Fiscal_Year,Asset_Category,Region,Budget_Allocated_CAD,Forecast_Replacement_Cost_CAD,Maintenance_Cost_CAD,Support_Cost_CAD
2024,Developer Tooling,DR Site,134327,687242,1851071,126141
2025,Endpoint,Toronto HQ,4444392,3709953,116829,381952
2025,Endpoint,GTA Branches,1045527,95229,2060999,631357
2025,Endpoint,Ontario Regional,3095801,259851,1417148,397901
2025,Endpoint,Western Canada,622176,548459,1633275,243248
2025,Endpoint,Quebec,3840196,3447743,1394932,1984409
2025,Endpoint,Atlantic Canada,3320875,1542947,1797155,944179
2025,Endpoint,Data Centre,2473936,1043445,546115,1650573
2025,Endpoint,DR Site,1966265,2917067,1191874,517972
2025,Server,Toronto HQ,3644967,2973173,1523270,894451
2025,Server,GTA Branches,2883980,1894086,2244310,2798650
2025,Server,Ontario Regional,1385213,818355,1976018,411089
2025,Server,Western Canada,509342,2332858,2229310,311750
2025,Server,Quebec,4629705,2255081,1540059,600696
2025,Server,Atlantic Canada,4340084,4064672,2153809,2613084
2025,Server,Data Centre,380307,2567863,424304,2446561
2025,Server,DR Site,3583730,1540291,2003383,936569
2025,Network,Toronto HQ,1895068,1256879,2076328,865965
2025,Network,GTA Branches,2870119,2682205,871901,1798246
2025,Network,Ontario Regional,1294031,2963274,1335464,466696
2025,Network,Western Canada,2414566,2023701,1542721,912234
2025,Network,Quebec,3922015,1927909,2082645,1860947
2025,Network,Atlantic Canada,893456,1312990,2302500,2779401
2025,Network,Data Centre,3057005,1303029,1759252,2385996
2025,Network,DR Site,744430,1123631,434451,392214
2025,Storage,Toronto HQ,2491384,1423979,2314272,699446
2025,Storage,GTA Branches,3793861,179870,857174,428866
2025,Storage,Ontario Regional,416465,2451429,2248075,528928
2025,Storage,Western Canada,1884222,89840,692081,1819760
2025,Storage,Quebec,2575877,180994,374154,1624317
2025,Storage,Atlantic Canada,852698,1911602,1004834,102009
2025,Storage,Data Centre,1326227,3582929,2395171,477059
2025,Storage,DR Site,4007623,2589515,203807,115508
2025,Cloud,Toronto HQ,405964,1104653,1581175,1361884
2025,Cloud,GTA Branches,1609982,133959,557203,811871
2025,Cloud,Ontario Regional,3110518,3933639,1750708,1193084
2025,Cloud,Western Canada,4649493,760928,2146757,2182249
2025,Cloud,Quebec,263015,3265852,1384173,1194091
2025,Cloud,Atlantic Canada,2063352,2548095,186035,2640828
2025,Cloud,Data Centre,4218929,2750529,1746860,1882954
2025,Cloud,DR Site,3640431,2732926,745135,1892035
2025,Software,Toronto HQ,436212,1618971,319787,1355775
2025,Software,GTA Branches,3570450,460016,1345278,1350455
2025,Software,Ontario Regional,1560755,1685686,1129707,1649091
2025,Software,Western Canada,2954870,1972894,1790165,231687
2025,Software,Quebec,800401,3660372,300065,2594256
2025,Software,Atlantic Canada,1365647,3291962,999471,1829881
2025,Software,Data Centre,324061,3768161,521879,389038
2025,Software,DR Site,272565,719989,192452,875537
2025,Security Tooling,Toronto HQ,1104673,3703243,1273406,2139742
2025,Security Tooling,GTA Branches,2755963,1136523,2149888,2446862
2025,Security Tooling,Ontario Regional,3719102,219493,115274,289964
2025,Security Tooling,Western Canada,4786550,2104905,1810999,1948526
2025,Security Tooling,Quebec,2736187,2874539,1774520,2173979
2025,Security Tooling,Atlantic Canada,3311451,1388608,2022564,2427784
2025,Security Tooling,Data Centre,2666199,1123424,2163617,2785766
2025,Security Tooling,DR Site,4268847,2448245,1368799,1399240
2025,Developer Tooling,Toronto HQ,2238017,740237,1450191,2710460
2025,Developer Tooling,GTA Branches,1569915,1181534,675288,2028527
2025,Developer Tooling,Ontario Regional,1508809,1571851,722472,2215719
2025,Developer Tooling,Western Canada,3639853,3528358,2073547,2059471
2025,Developer Tooling,Quebec,4816774,3084545,1378258,352900
2025,Developer Tooling,Atlantic Canada,1830063,889888,117324,2740721
2025,Developer Tooling,Data Centre,2719547,741649,1742105,2767169
2025,Developer Tooling,DR Site,3520675,2893908,796613,2529802
2026,Endpoint,Toronto HQ,3101326,512043,589544,2884477
2026,Endpoint,GTA Branches,3944749,2734674,1196279,2485585
2026,Endpoint,Ontario Regional,1021946,756764,2310922,1557149
2026,Endpoint,Western Canada,2656056,1220243,714891,2540117
2026,Endpoint,Quebec,2209731,4022659,861861,2608276
2026,Endpoint,Atlantic Canada,2740219,188076,1807969,2794961
2026,Endpoint,Data Centre,1924389,3317779,2450623,1063583
2026,Endpoint,DR Site,4674999,1611550,769501,847750
2026,Server,Toronto HQ,2875762,1469419,2122384,323171
2026,Server,GTA Branches,4478070,2363440,2087310,1389441
2026,Server,Ontario Regional,1843713,3654875,547598,826141
2026,Server,Western Canada,4700984,268791,2452913,2369816
2026,Server,Quebec,1720051,309744,271339,1139677
2026,Server,Atlantic Canada,3974102,3853692,1943708,2425514
2026,Server,Data Centre,3801899,154393,818462,1338939
2026,Server,DR Site,1185471,2605516,2395463,2777751
2026,Network,Toronto HQ,3961585,1108063,2072161,1804468
2026,Network,GTA Branches,894694,796475,2272610,400766
2026,Network,Ontario Regional,4218484,706563,1859619,2260564
2026,Network,Western Canada,3810545,3019026,2454590,553539
2026,Network,Quebec,4593426,1399497,308254,969154
2026,Network,Atlantic Canada,2752671,2732483,1447436,2577928
2026,Network,Data Centre,3281491,1302265,82127,2578651
2026,Network,DR Site,4102047,3454678,132204,1060806
2026,Storage,Toronto HQ,3756621,2293763,705036,793637
2026,Storage,GTA Branches,2329159,2671759,1916833,2016553
2026,Storage,Ontario Regional,4559140,580927,1804776,2029066
2026,Storage,Western Canada,4005965,910121,195650,1650434
2026,Storage,Quebec,728227,3844391,865449,2162585
2026,Storage,Atlantic Canada,2673830,1101616,321832,2928258
2026,Storage,Data Centre,4847128,856511,860381,1671042
2026,Storage,DR Site,2261799,3095615,548433,170158
2026,Cloud,Toronto HQ,883099,2190555,1996206,1028788
2026,Cloud,GTA Branches,2886053,3435303,966023,1066016
2026,Cloud,Ontario Regional,1770926,3513791,1422683,1755339
2026,Cloud,Western Canada,139960,184110,990443,236140
2026,Cloud,Quebec,4550969,2529802,2339274,625592
2026,Cloud,Atlantic Canada,4786509,3394677,1882367,166872
2026,Cloud,Data Centre,4531026,1849390,1744113,1260366
2026,Cloud,DR Site,1064975,362075,2259090,1712814
2026,Software,Toronto HQ,4025391,2317210,366536,2655114
2026,Software,GTA Branches,3116633,3254234,1226979,307262
2026,Software,Ontario Regional,3872836,553076,1658169,679137
2026,Software,Western Canada,3026179,3488637,516650,1598401
2026,Software,Quebec,790268,193980,1226646,523288
2026,Software,Atlantic Canada,486496,567706,183123,1843598
2026,Software,Data Centre,4377422,2401657,1425187,1505290
2026,Software,DR Site,2067338,1714567,1878652,2578930
2026,Security Tooling,Toronto HQ,4944907,2008029,536978,1625674
2026,Security Tooling,GTA Branches,1005798,396810,144922,2659826
2026,Security Tooling,Ontario Regional,4138965,3163862,1143161,2449357
2026,Security Tooling,Western Canada,357275,3453112,1334631,2958325
2026,Security Tooling,Quebec,4744390,1807627,1357132,482582
2026,Security Tooling,Atlantic Canada,4977331,412262,911815,902964
2026,Security Tooling,Data Centre,3648012,1476568,1734388,345859
2026,Security Tooling,DR Site,325675,1089715,1182960,2301870
2026,Developer Tooling,Toronto HQ,1151329,3290346,1557138,969150
2026,Developer Tooling,GTA Branches,1683229,868494,1777338,614886
2026,Developer Tooling,Ontario Regional,1577602,433312,56501,184200
2026,Developer Tooling,Western Canada,3010278,957344,2176448,1003646
2026,Developer Tooling,Quebec,3379563,2671197,56215,2647189
2026,Developer Tooling,Atlantic Canada,4497992,756031,1847322,2411618
2026,Developer Tooling,Data Centre,2308141,3630788,2238424,1961534
2026,Developer Tooling,DR Site,3060576,2780492,493509,1246160
2027,Endpoint,Toronto HQ,4819514,3778930,649485,1548359
2027,Endpoint,GTA Branches,2262248,1294657,2438783,2063739
2027,Endpoint,Ontario Regional,2370106,4076652,390515,1617465
2027,Endpoint,Western Canada,1103067,4185547,1152598,219334
2027,Endpoint,Quebec,1321140,1738132,1855919,404690
2027,Endpoint,Atlantic Canada,3353621,2667941,131095,2119497
2027,Endpoint,Data Centre,2579526,1399559,1649308,805606
2027,Endpoint,DR Site,3179060,1558134,1456584,2322986
2027,Server,Toronto HQ,1392700,1289042,379347,754781
2027,Server,GTA Branches,2399403,1535852,987045,1986660
2027,Server,Ontario Regional,4824948,275872,1087364,935639
2027,Server,Western Canada,3413081,1327592,1501997,1253434
2027,Server,Quebec,3078189,2651429,1300559,1751314
2027,Server,Atlantic Canada,945406,3304990,276665,2927142
2027,Server,Data Centre,4433471,930278,2018169,996428
2027,Server,DR Site,2059978,1466783,1861042,926455
2027,Network,Toronto HQ,2839097,676010,1172770,1824953
2027,Network,GTA Branches,1259126,1395971,1602055,2977241
2027,Network,Ontario Regional,1117873,4006193,850403,2961980
2027,Network,Western Canada,4162103,2103894,2046545,583557
2027,Network,Quebec,1248190,1876992,1036026,2003324
2027,Network,Atlantic Canada,768679,841676,1448024,783200
2027,Network,Data Centre,3967470,2826554,236328,1346054
2027,Network,DR Site,4155748,3428325,1827111,849126
2027,Storage,Toronto HQ,4609191,4121908,1295392,1996406
2027,Storage,GTA Branches,4217284,2147018,769131,712279
2027,Storage,Ontario Regional,2180907,1698221,1415612,495052
2027,Storage,Western Canada,1512378,3817140,1716392,109338
2027,Storage,Quebec,3093201,1862896,106074,1420749
2027,Storage,Atlantic Canada,422642,3486695,621367,721265
2027,Storage,Data Centre,3642077,1224279,1575665,259713
2027,Storage,DR Site,1497919,198341,668583,2750551
2027,Cloud,Toronto HQ,417304,1736650,1905777,2096200
2027,Cloud,GTA Branches,2879378,3943849,709073,166142
2027,Cloud,Ontario Regional,1387047,3155913,1375925,947947
2027,Cloud,Western Canada,4857629,3292364,1098229,1771856
2027,Cloud,Quebec,2604692,727131,2290411,994662
2027,Cloud,Atlantic Canada,3983159,3589082,609541,267716
2027,Cloud,Data Centre,895583,3156843,1841837,2198304
2027,Cloud,DR Site,4733428,3597919,1545293,1973626
2027,Software,Toronto HQ,3827103,1833296,1665737,730156
2027,Software,GTA Branches,4067649,954352,1623131,584513
2027,Software,Ontario Regional,3873517,1595340,676907,2898701
2027,Software,Western Canada,332440,3803775,2286331,74128
2027,Software,Quebec,2420680,2182373,1291316,1496796
2027,Software,Atlantic Canada,1926471,1203448,1435699,1968384
2027,Software,Data Centre,1936074,3699011,830209,1041218
2027,Software,DR Site,521922,1360212,231487,2255261
2027,Security Tooling,Toronto HQ,3893834,1338790,52716,1458508
2027,Security Tooling,GTA Branches,2631956,3020397,1053389,2161647
2027,Security Tooling,Ontario Regional,2763321,3312381,438081,705150
2027,Security Tooling,Western Canada,4790653,1154391,528319,1908401
2027,Security Tooling,Quebec,4927497,2149950,981353,1734043
2027,Security Tooling,Atlantic Canada,4090637,1272822,2192449,91475
2027,Security Tooling,Data Centre,3935216,457194,547380,1236941
2027,Security Tooling,DR Site,2112478,2232715,551064,1883404
2027,Developer Tooling,Toronto HQ,4072057,3575914,1212596,887397
2027,Developer Tooling,GTA Branches,2109272,3605867,1082730,522518
2027,Developer Tooling,Ontario Regional,3433744,2704759,1460091,638226
2027,Developer Tooling,Western Canada,4043923,3642647,1700883,2769789
2027,Developer Tooling,Quebec,2018407,2893612,140642,961186
2027,Developer Tooling,Atlantic Canada,163998,226838,822108,1177228
2027,Developer Tooling,Data Centre,4360572,1200457,1391612,1766943
2027,Developer Tooling,DR Site,420207,2047913,1524330,2156065
2028,Endpoint,Toronto HQ,425922,2484331,134882,1859491
2028,Endpoint,GTA Branches,535858,2363253,207463,1654705
2028,Endpoint,Ontario Regional,3476308,2686339,1792091,489920
2028,Endpoint,Western Canada,939849,429433,1412784,1904351
2028,Endpoint,Quebec,552226,2299487,850396,398504
2028,Endpoint,Atlantic Canada,1139981,534418,2118689,822789
2028,Endpoint,Data Centre,4214450,3498856,927662,2139066
2028,Endpoint,DR Site,1381600,2192424,2257481,1558441
2028,Server,Toronto HQ,3930132,2612879,807615,2027716
2028,Server,GTA Branches,3483639,1832143,2448854,1620691
2028,Server,Ontario Regional,2234284,1158614,1235322,1559844
2028,Server,Western Canada,3676130,2455122,2336186,189315
2028,Server,Quebec,994320,3127881,279014,2784193
2028,Server,Atlantic Canada,4757029,2243669,1504234,2473912
2028,Server,Data Centre,3400087,1610767,466010,1596568
2028,Server,DR Site,3457485,156488,705555,1803613
2028,Network,Toronto HQ,4069725,1441910,1190692,1593949
2028,Network,GTA Branches,351664,3733914,2106694,347318
2028,Network,Ontario Regional,923155,2061370,1834409,2125271
2028,Network,Western Canada,1715262,922221,1898561,2352597
2028,Network,Quebec,842685,2221349,758624,2701027
2028,Network,Atlantic Canada,1892214,2631161,544085,687597
2028,Network,Data Centre,1272805,1877086,1121028,2484584
2028,Network,DR Site,1663365,125618,1474751,697728
2028,Storage,Toronto HQ,1836842,1985424,1328766,1985454
2028,Storage,GTA Branches,2418881,566574,2174692,640304
2028,Storage,Ontario Regional,2931003,3518082,1315340,2672758
2028,Storage,Western Canada,633769,3395284,823199,2876283
2028,Storage,Quebec,243463,3418722,927349,1518914
2028,Storage,Atlantic Canada,1957659,1761006,2099782,1987281
2028,Storage,Data Centre,3664702,658243,880233,460436
2028,Storage,DR Site,2485175,90667,683550,1356869
2028,Cloud,Toronto HQ,3090946,83535,1998233,435248
2028,Cloud,GTA Branches,3659335,2098397,2031557,2380946
2028,Cloud,Ontario Regional,2447207,1558587,604268,2406014
2028,Cloud,Western Canada,2835721,1914764,479880,1937250
2028,Cloud,Quebec,1720603,3492966,915899,2576764
2028,Cloud,Atlantic Canada,2857478,720837,113633,1817100
2028,Cloud,Data Centre,2097901,3124305,2112033,2379761
2028,Cloud,DR Site,1083928,1447346,241363,2419233
2028,Software,Toronto HQ,560311,1006274,147607,1566068
2028,Software,GTA Branches,1156167,1213346,1414703,1591791
2028,Software,Ontario Regional,4992707,855054,2240678,1060916
2028,Software,Western Canada,4379906,4106753,334594,508602
2028,Software,Quebec,2193531,3308987,755679,1439068
2028,Software,Atlantic Canada,2382792,2372354,355550,1688769
2028,Software,Data Centre,3451767,3733481,1580811,907903
2028,Software,DR Site,304142,870501,1311235,412036
2028,Security Tooling,Toronto HQ,4929385,3992912,1363408,2180050
2028,Security Tooling,GTA Branches,584130,4117114,529739,2613403
2028,Security Tooling,Ontario Regional,4300240,1503012,2442693,2577427
2028,Security Tooling,Western Canada,1408861,1446002,891955,561554
2028,Security Tooling,Quebec,2976347,447354,1660827,2264395
2028,Security Tooling,Atlantic Canada,3571046,3828728,693293,2299478
2028,Security Tooling,Data Centre,941874,1482747,2358117,1830500
2028,Security Tooling,DR Site,236320,1879980,332126,2668023
2028,Developer Tooling,Toronto HQ,3753709,95654,139121,2967675
2028,Developer Tooling,GTA Branches,654383,1973713,1745959,777364
2028,Developer Tooling,Ontario Regional,2830075,2103467,1720616,1076812
2028,Developer Tooling,Western Canada,4199822,1844667,1575834,472683
2028,Developer Tooling,Quebec,1848001,2184140,1970022,1026905
2028,Developer Tooling,Atlantic Canada,4874987,716126,2007106,1997346
2028,Developer Tooling,Data Centre,3027648,2530329,2412410,2787761
2028,Developer Tooling,DR Site,1817543,1591028,2313497,964809
2029,Endpoint,Toronto HQ,410238,152224,2094912,2079391
2029,Endpoint,GTA Branches,3716321,1664717,1790922,2250669
2029,Endpoint,Ontario Regional,4692311,2573969,1334751,86990
2029,Endpoint,Western Canada,3772918,314306,2093264,2537592
2029,Endpoint,Quebec,2658470,3332166,615764,2790079
2029,Endpoint,Atlantic Canada,1939261,891444,977682,229309
2029,Endpoint,Data Centre,4167787,961628,433337,2160170
2029,Endpoint,DR Site,4795968,2469482,2490797,2511942
2029,Server,Toronto HQ,612861,1839119,1502411,1492625
2029,Server,GTA Branches,1764682,157913,2132434,995134
2029,Server,Ontario Regional,1033174,2767792,1533478,2945112
2029,Server,Western Canada,1691424,984414,59281,1295421
2029,Server,Quebec,1931719,1969315,895575,2371644
2029,Server,Atlantic Canada,1493448,1028111,718624,1053545
2029,Server,Data Centre,1162921,2008274,2396632,2924723
2029,Server,DR Site,2555453,316582,360933,1640202
2029,Network,Toronto HQ,3736239,1733335,1509741,1328174
2029,Network,GTA Branches,2831912,1578210,1682566,1415808
2029,Network,Ontario Regional,1352197,3513797,654162,1230325
2029,Network,Western Canada,571144,1113100,1121407,1000950
2029,Network,Quebec,1972147,3029394,2373513,752688
2029,Network,Atlantic Canada,953985,4076395,1250152,1291203
2029,Network,Data Centre,3126340,1956091,1622562,2336440
2029,Network,DR Site,3391412,2206610,865349,1380011
2029,Storage,Toronto HQ,1019036,2713657,1484859,1619436
2029,Storage,GTA Branches,1697929,706938,2026726,1456176
2029,Storage,Ontario Regional,4086687,774672,439036,2021281
2029,Storage,Western Canada,158254,2301119,1681983,120066
2029,Storage,Quebec,4951173,4060425,1749707,2257320
2029,Storage,Atlantic Canada,2882806,637691,1444482,2711845
2029,Storage,Data Centre,1097643,2143492,1376533,765933
2029,Storage,DR Site,2240547,3869552,1965989,680854
2029,Cloud,Toronto HQ,785227,4060279,124020,750577
2029,Cloud,GTA Branches,4499524,3408961,2499861,409188
2029,Cloud,Ontario Regional,1280153,2199719,1148115,263029
2029,Cloud,Western Canada,3267656,401259,1565350,879215
2029,Cloud,Quebec,3358006,1261432,726906,2413656
2029,Cloud,Atlantic Canada,1296408,1704922,1437586,2387925
2029,Cloud,Data Centre,2907464,715055,1985581,1566613
2029,Cloud,DR Site,989560,2724211,769322,2731316
2029,Software,Toronto HQ,2780770,3022174,418183,167105
2029,Software,GTA Branches,4729661,1523763,230622,1891074
2029,Software,Ontario Regional,2233965,1345439,370465,1365140
2029,Software,Western Canada,2029030,2950519,603731,2750875
2029,Software,Quebec,188141,574957,1994308,2067915
2029,Software,Atlantic Canada,2916072,968850,1312011,1429387
2029,Software,Data Centre,2096664,1360561,409690,1402056
2029,Software,DR Site,3484872,3282805,1565965,1855986
2029,Security Tooling,Toronto HQ,2054822,1537738,2447370,2913017
2029,Security Tooling,GTA Branches,3326421,4120719,2257712,168412
2029,Security Tooling,Ontario Regional,1731347,3416114,2117821,1551954
2029,Security Tooling,Western Canada,1665153,2123354,368694,1771051
2029,Security Tooling,Quebec,628722,2068053,1628770,1890604
2029,Security Tooling,Atlantic Canada,1181211,777488,160549,2905164
2029,Security Tooling,Data Centre,279851,3269319,874412,2284415
2029,Security Tooling,DR Site,766358,708354,1333630,1663974
2029,Developer Tooling,Toronto HQ,1795018,2312147,2415528,949967
2029,Developer Tooling,GTA Branches,2921024,2959259,712770,1689529
2029,Developer Tooling,Ontario Regional,3717506,2600825,674166,336637
2029,Developer Tooling,Western Canada,4393535,1722488,388555,683753
2029,Developer Tooling,Quebec,2780642,4038377,845950,630216
2029,Developer Tooling,Atlantic Canada,3414030,450149,1036098,469051
2029,Developer Tooling,Data Centre,4089168,2518985,2353291,1746663
2029,Developer Tooling,DR Site,3840083,989985,1788844,155515
