Fiscal_Year,Business_Unit_ID,Budget_Type,Allocated_Amount
2027,BU007,Software Remediation,3394730.59
2027,BU007,Cloud Modernization,7601895.81
2027,BU007,Security Remediation,6038803.77
2027,BU008,Hardware Refresh,6636875.7
2027,BU008,Software Remediation,1644610.67
2027,BU008,Cloud Modernization,3191423.48
2027,BU008,Security Remediation,2666354.27
2027,BU009,Hardware Refresh,3718939.1
2027,BU009,Software Remediation,2037815.33
2027,BU009,Cloud Modernization,4605403.94
2027,BU009,Security Remediation,7337132.96
2027,BU010,Hardware Refresh,7187057.57
2027,BU010,Software Remediation,6422013.89
2027,BU010,Cloud Modernization,3305931.74
2027,BU010,Security Remediation,3561303.62
2028,BU001,Hardware Refresh,2766127.18
2028,BU001,Software Remediation,6079728.83
2028,BU001,Cloud Modernization,1673527.26
2028,BU001,Security Remediation,6440679.89
2028,BU002,Hardware Refresh,4198859.85
2028,BU002,Software Remediation,8143166.9
2028,BU002,Cloud Modernization,1033161.32
2028,BU002,Security Remediation,5403591.57
2028,BU003,Hardware Refresh,7431715.38
2028,BU003,Software Remediation,5179532.64
2028,BU003,Cloud Modernization,7870447.45
2028,BU003,Security Remediation,3088954.46
2028,BU004,Hardware Refresh,5151239.32
2028,BU004,Software Remediation,2242477.14
2028,BU004,Cloud Modernization,1032672.39
2028,BU004,Security Remediation,7670405.4
2028,BU005,Hardware Refresh,7229937.05
2028,BU005,Software Remediation,3503880.49
2028,BU005,Cloud Modernization,3228793.69
2028,BU005,Security Remediation,8264919.99
2028,BU006,Hardware Refresh,1548065.22
2028,BU006,Software Remediation,2203623.14
2028,BU006,Cloud Modernization,2251758.18
2028,BU006,Security Remediation,3716950.05
2028,BU007,Hardware Refresh,1952881.0
2028,BU007,Software Remediation,4223702.78
2028,BU007,Cloud Modernization,4056652.37
2028,BU007,Security Remediation,8443207.52
2028,BU008,Hardware Refresh,3650994.07
2028,BU008,Software Remediation,4277379.23
2028,BU008,Cloud Modernization,6821668.16
2028,BU008,Security Remediation,5130615.52
2028,BU009,Hardware Refresh,5573849.93
2028,BU009,Software Remediation,8225707.46
2028,BU009,Cloud Modernization,3879277.15
2028,BU009,Security Remediation,7256606.83
2028,BU010,Hardware Refresh,6473124.49
2028,BU010,Software Remediation,8254320.37
2028,BU010,Cloud Modernization,2873156.42
2028,BU010,Security Remediation,6962158.07
2029,BU001,Hardware Refresh,3260359.92
2029,BU001,Software Remediation,7840230.74
2029,BU001,Cloud Modernization,2451010.16
2029,BU001,Security Remediation,7316934.01
2029,BU002,Hardware Refresh,6939575.38
2029,BU002,Software Remediation,6123858.75
2029,BU002,Cloud Modernization,5383040.3
2029,BU002,Security Remediation,8024658.95
2029,BU003,Hardware Refresh,2508448.75
2029,BU003,Software Remediation,6943914.09
2029,BU003,Cloud Modernization,5201445.39
2029,BU003,Security Remediation,2690072.48
2029,BU004,Hardware Refresh,6750848.2
2029,BU004,Software Remediation,4257867.97
2029,BU004,Cloud Modernization,7339848.81
2029,BU004,Security Remediation,4871202.4
2029,BU005,Hardware Refresh,1877960.32
2029,BU005,Software Remediation,4708470.61
2029,BU005,Cloud Modernization,4705139.5
2029,BU005,Security Remediation,3120384.22
2029,BU006,Hardware Refresh,4864293.77
2029,BU006,Software Remediation,1066271.72
2029,BU006,Cloud Modernization,8466020.28
2029,BU006,Security Remediation,7546594.81
2029,BU007,Hardware Refresh,6178796.17
2029,BU007,Software Remediation,1884741.5
2029,BU007,Cloud Modernization,8470009.68
2029,BU007,Security Remediation,3651279.2
2029,BU008,Hardware Refresh,2001656.31
2029,BU008,Software Remediation,1621886.78
2029,BU008,Cloud Modernization,5377734.4
2029,BU008,Security Remediation,8030288.08
2029,BU009,Hardware Refresh,6412872.62
2029,BU009,Software Remediation,1460748.9
2029,BU009,Cloud Modernization,7040600.89
2029,BU009,Security Remediation,4879448.47
2029,BU010,Hardware Refresh,8497702.05
2029,BU010,Software Remediation,5731893.34
2029,BU010,Cloud Modernization,4366120.28
2029,BU010,Security Remediation,6525637.64
