Incident_ID,Asset_ID,Opened_DateTime,Closed_DateTime,Priority,Incident_State,Root_Cause_Category,Assignment_Group
INC00000024,A0016167,2025-03-25,2025-03-25 20:36:30.887398486,P3,Closed,Software Defect,Cybersecurity
INC00000025,A0011674,2025-04-13,2025-04-13 04:25:25.319372314,P3,Resolved,User Error,Network Operations
INC00000026,A0009174,2024-03-07,2024-03-07 06:02:28.368083202,P3,Resolved,Patch Failure,Cybersecurity
INC00000027,A0003221,2025-01-27,2025-01-27 05:34:00.829025108,P3,Closed,User Error,Cybersecurity
INC00000028,A0000225,2024-11-05,2024-11-05 13:47:43.243084935,P3,Resolved,Software Defect,Cybersecurity
INC00000029,A0007878,2024-05-14,2024-05-14 10:50:01.913458146,P4,Resolved,Hardware Failure,Network Operations
INC00000030,A0022387,2025-02-13,2025-02-13 03:28:25.610080152,P4,Resolved,Hardware Failure,Cybersecurity
INC00000031,A0019251,2026-02-16,2026-02-16 02:15:26.045405985,P3,Resolved,Software Defect,Service Desk
INC00000032,A0023516,2025-02-17,2025-02-17 00:47:15.665704364,P4,Closed,Configuration Error,Server Operations
INC00000033,A0009953,2026-02-17,2026-02-17 06:02:09.498569337,P3,Resolved,Unknown,Service Desk
INC00000034,A0023107,2025-03-15,2025-03-15 02:43:38.974086678,P3,Resolved,Capacity Issue,Service Desk
INC00000035,A0013177,2024-03-01,2024-03-01 03:23:42.641289477,P3,Closed,Software Defect,Service Desk
INC00000036,A0012277,2024-11-15,2024-11-15 05:46:04.796338944,P4,Resolved,Unknown,Application Support
INC00000037,A0001768,2024-02-12,2024-02-12 07:45:00.003635283,P4,Closed,Hardware Failure,Service Desk
INC00000038,A0017152,2024-08-01,2024-08-01 00:42:13.770450036,P3,Resolved,Security Control,Cybersecurity
INC00000039,A0019322,2025-10-22,2025-10-22 07:53:03.821905017,P4,Closed,Configuration Error,Service Desk
INC00000040,A0019815,2025-07-20,2025-07-20 05:34:37.784316432,P4,Resolved,User Error,Cybersecurity
INC00000041,A0012406,2024-04-13,2024-04-13 02:45:47.300697165,P4,Resolved,Security Control,Service Desk
INC00000042,A0005870,2024-07-14,2024-07-14 07:39:57.461041450,P4,Closed,Configuration Error,Server Operations
INC00000043,A0020271,2024-06-08,2024-06-08 15:35:19.286615594,P3,Resolved,Patch Failure,End User Computing
INC00000044,A0018991,2026-03-25,2026-03-25 08:48:35.893004385,P4,Closed,Configuration Error,Cybersecurity
INC00000045,A0023413,2026-05-10,2026-05-10 04:53:12.825248402,P4,Closed,Software Defect,End User Computing
INC00000046,A0002596,2025-11-09,2025-11-09 11:40:57.720812682,P3,Closed,Hardware Failure,Network Operations
INC00000047,A0018772,2024-08-24,2024-08-25 00:05:04.591717944,P3,Resolved,Capacity Issue,Server Operations
INC00000048,A0002494,2024-06-26,2024-06-26 04:59:52.723080963,P4,Closed,Network Connectivity,Application Support
INC00000049,A0012840,2024-08-24,2024-08-24 06:21:08.451250848,P4,Closed,Network Connectivity,End User Computing
INC00000050,A0008417,2024-02-24,2024-02-24 08:06:55.810631941,P2,Closed,Configuration Error,Cybersecurity
INC00000051,A0001966,2025-05-09,2025-05-09 05:15:13.646164086,P4,Closed,Hardware Failure,Service Desk
INC00000052,A0005343,2024-12-22,2024-12-22 04:50:23.406885812,P3,Closed,Software Defect,Service Desk
INC00000053,A0004372,2024-09-13,2024-09-14 11:50:00.468406104,P3,Resolved,User Error,Service Desk
INC00000054,A0008352,2025-11-21,2025-11-21 06:05:54.998850372,P2,Resolved,Capacity Issue,Server Operations
INC00000055,A0007649,2026-05-09,2026-05-09 06:47:47.151201498,P1,Resolved,Configuration Error,Application Support
INC00000056,A0014695,2025-05-11,2025-05-11 03:48:58.884482502,P3,Resolved,Software Defect,Network Operations
INC00000057,A0009215,2025-08-12,2025-08-12 01:41:05.510446094,P3,Closed,Software Defect,Server Operations
INC00000058,A0018811,2024-03-23,2024-03-23 09:35:31.684072686,P3,Closed,Patch Failure,End User Computing
INC00000059,A0020678,2024-10-28,2024-10-28 01:24:49.741970713,P4,Resolved,Configuration Error,Service Desk
INC00000060,A0006649,2024-06-05,2024-06-05 02:20:47.045544738,P3,Resolved,Software Defect,Application Support
INC00000061,A0005661,2025-03-23,2025-03-23 10:56:22.895824761,P4,Resolved,Software Defect,Cybersecurity
INC00000062,A0007962,2026-03-13,2026-03-13 12:19:25.027163097,P4,Closed,Capacity Issue,Service Desk
INC00000063,A0005040,2025-09-29,2025-09-29 06:43:02.862602724,P4,Resolved,Patch Failure,Server Operations
INC00000064,A0023309,2025-04-03,2025-04-03 05:33:42.768036414,P3,Resolved,Network Connectivity,Application Support
INC00000065,A0017871,2024-11-18,2024-11-18 01:05:35.959107620,P3,Closed,Unknown,End User Computing
INC00000066,A0011293,2024-09-30,2024-09-30 08:41:51.501995383,P3,Resolved,Security Control,End User Computing
INC00000067,A0009948,2025-07-21,2025-07-21 05:41:36.124882404,P3,Closed,Hardware Failure,Cybersecurity
INC00000068,A0002867,2025-09-16,2025-09-16 04:27:21.015191692,P3,Closed,Network Connectivity,Server Operations
INC00000069,A0016147,2024-06-07,2024-06-07 04:00:49.847315212,P3,Closed,Unknown,Server Operations
INC00000070,A0017118,2025-05-27,2025-05-27 14:25:00.295105551,P2,Closed,Patch Failure,Cybersecurity
INC00000071,A0021537,2025-11-30,2025-11-30 11:59:24.650502928,P3,Resolved,Network Connectivity,Cybersecurity
INC00000072,A0000129,2024-03-03,2024-03-03 14:17:27.244032651,P3,Cancelled,Unknown,Server Operations
INC00000073,A0013558,2026-04-24,2026-04-24 05:51:06.296212364,P3,Resolved,Software Defect,End User Computing
INC00000074,A0003448,2025-07-25,2025-07-25 05:02:10.314272673,P4,Closed,Capacity Issue,End User Computing
INC00000075,A0007665,2025-06-04,2025-06-04 01:56:05.190194760,P3,Resolved,Patch Failure,Network Operations
INC00000076,A0006865,2024-02-11,2024-02-11 20:22:15.619677344,P3,Closed,Patch Failure,Cybersecurity
INC00000077,A0005032,2026-05-07,2026-05-07 09:11:09.373997198,P3,Closed,Capacity Issue,Application Support
INC00000078,A0018985,2026-03-27,2026-03-27 07:20:08.484767098,P2,Resolved,Network Connectivity,End User Computing
INC00000079,A0007450,2024-08-26,2024-08-26 10:40:48.282854217,P4,Closed,Security Control,Cybersecurity
INC00000080,A0010043,2024-03-05,2024-03-05 03:21:53.023297694,P3,Resolved,Capacity Issue,End User Computing
INC00000081,A0021682,2026-03-30,2026-03-30 07:19:17.125203342,P3,Closed,Capacity Issue,Application Support
INC00000082,A0008720,2025-11-29,2025-11-29 02:54:32.478053076,P4,Resolved,User Error,Service Desk
INC00000083,A0014105,2024-09-17,2024-09-17 04:49:36.823218657,P4,Closed,Patch Failure,Network Operations
INC00000084,A0021988,2024-11-30,2024-11-30 05:52:44.216068555,P4,Resolved,Patch Failure,Service Desk
INC00000085,A0022032,2024-02-26,2024-02-26 07:38:46.793552582,P4,Resolved,Software Defect,End User Computing
INC00000086,A0016833,2024-08-09,2024-08-09 01:16:38.706097893,P3,Resolved,Software Defect,Application Support
INC00000087,A0001465,2025-02-01,2025-02-01 02:23:23.875709186,P3,Resolved,Network Connectivity,End User Computing
INC00000088,A0010443,2025-07-22,2025-07-22 04:22:35.017972536,P3,Resolved,Security Control,Cybersecurity
INC00000089,A0012610,2024-03-19,2024-03-19 00:24:03.248887132,P4,Resolved,Unknown,Server Operations
INC00000090,A0009587,2024-06-06,2024-06-06 08:07:57.586209222,P4,Resolved,Security Control,Network Operations
INC00000091,A0012081,2024-03-02,2024-03-02 19:57:35.612279445,P4,Closed,Capacity Issue,Service Desk
INC00000092,A0008929,2025-05-09,2025-05-09 01:54:45.745538266,P3,Resolved,Security Control,Network Operations
INC00000093,A0017625,2024-12-28,2024-12-28 08:29:32.559912520,P4,Closed,Configuration Error,Service Desk
INC00000094,A0012211,2024-11-29,2024-11-29 02:10:05.898037836,P3,Resolved,Network Connectivity,Network Operations
INC00000095,A0013303,2026-02-21,2026-02-21 02:00:06.250721994,P2,Resolved,Configuration Error,Cybersecurity
INC00000096,A0010891,2024-04-21,2024-04-21 03:46:33.038814381,P4,Closed,Software Defect,Network Operations
INC00000097,A0012677,2026-01-03,2026-01-03 12:11:13.326114714,P3,Resolved,Configuration Error,Server Operations
INC00000098,A0003905,2026-03-10,2026-03-10 03:28:08.619349702,P3,Resolved,Unknown,Server Operations
INC00000099,A0000740,2025-01-06,2025-01-06 10:24:25.677668480,P3,Resolved,Software Defect,Server Operations
INC00000100,A0005154,2025-03-31,2025-03-31 07:27:14.640259323,P3,Resolved,Unknown,Application Support
INC00000101,A0006620,2024-10-08,2024-10-08 08:30:25.722700135,P2,Resolved,Hardware Failure,End User Computing
INC00000102,A0020531,2025-05-28,2025-05-28 06:58:34.699078621,P2,Resolved,Configuration Error,Server Operations
INC00000103,A0000876,2025-12-25,2025-12-25 07:53:55.937606100,P4,Closed,Hardware Failure,Cybersecurity
INC00000104,A0010827,2025-10-22,2025-10-22 01:07:10.854329365,P3,Resolved,User Error,Application Support
INC00000105,A0007245,2024-05-18,2024-05-18 10:30:59.644461002,P4,Resolved,Patch Failure,Service Desk
INC00000106,A0014013,2026-05-13,2026-05-13 06:16:00.193088240,P4,Resolved,Capacity Issue,Application Support
INC00000107,A0021194,2024-05-29,2024-05-29 04:40:29.106486807,P2,Closed,Hardware Failure,Network Operations
INC00000108,A0021194,2024-06-19,2024-06-19 02:11:26.817390787,P4,Resolved,Security Control,Network Operations
INC00000109,A0007424,2024-03-01,2024-03-01 07:52:59.921231322,P4,Closed,Network Connectivity,Application Support
INC00000110,A0009125,2025-03-08,2025-03-08 22:47:37.144184175,P4,Resolved,Patch Failure,End User Computing
INC00000111,A0018086,2026-04-06,2026-04-06 07:31:50.076068703,P4,Resolved,Software Defect,End User Computing
INC00000112,A0011447,2025-04-02,2025-04-02 00:59:04.036963002,P3,Closed,Security Control,Service Desk
INC00000113,A0005407,2024-04-10,2024-04-10 04:39:48.729228336,P4,Closed,Patch Failure,End User Computing
INC00000114,A0015782,2025-11-15,2025-11-15 01:43:07.157825439,P3,Resolved,Configuration Error,Service Desk
INC00000115,A0014070,2026-04-18,2026-04-18 01:03:11.317094391,P3,Resolved,Capacity Issue,Service Desk
INC00000116,A0019438,2026-01-24,2026-01-24 13:18:14.242264851,P3,Resolved,Patch Failure,Application Support
INC00000117,A0017949,2026-02-11,2026-02-11 08:14:24.666311659,P2,Resolved,Software Defect,Application Support
INC00000118,A0000285,2025-12-02,2025-12-02 02:53:02.911283214,P4,Closed,Capacity Issue,Service Desk
INC00000119,A0016732,2026-03-02,2026-03-02 01:24:07.872146510,P3,Closed,User Error,End User Computing
INC00000120,A0006520,2025-03-31,2025-03-31 08:57:04.679295976,P4,Closed,Hardware Failure,Application Support
INC00000121,A0000358,2024-09-01,2024-09-01 11:16:17.365271800,P3,Resolved,Hardware Failure,Service Desk
INC00000122,A0002547,2024-06-14,2024-06-14 05:01:29.533291464,P4,Resolved,Software Defect,Cybersecurity
INC00000123,A0014912,2025-09-10,2025-09-10 01:42:05.037720642,P2,Resolved,Patch Failure,Server Operations
INC00000124,A0021713,2025-10-04,2025-10-04 12:11:14.853939666,P3,Resolved,Network Connectivity,End User Computing
INC00000125,A0010918,2024-05-09,2024-05-09 03:54:33.091474456,P1,Resolved,Capacity Issue,Cybersecurity
INC00000126,A0021300,2025-08-08,2025-08-08 07:02:51.018888757,P3,Resolved,Security Control,Cybersecurity
INC00000127,A0012535,2025-11-15,2025-11-15 07:30:12.405506522,P3,Resolved,Unknown,Cybersecurity
INC00000128,A0000813,2024-06-27,2024-06-27 01:17:19.825171821,P3,Resolved,Hardware Failure,Application Support
INC00000129,A0017171,2024-04-19,2024-04-19 06:45:03.920693925,P3,Resolved,Security Control,Network Operations
INC00000130,A0001745,2025-10-06,2025-10-06 00:30:36.078458000,P3,Resolved,Configuration Error,Network Operations
INC00000131,A0020232,2024-08-08,2024-08-08 04:35:31.884432723,P3,Resolved,Capacity Issue,Server Operations
INC00000132,A0001046,2024-04-30,2024-04-30 01:47:36.991387208,P4,Resolved,Hardware Failure,Cybersecurity
INC00000133,A0022831,2025-08-28,2025-08-28 01:33:53.066856632,P4,Resolved,Network Connectivity,End User Computing
INC00000134,A0011182,2025-03-16,2025-03-16 10:46:35.157963144,P4,Closed,Software Defect,Cybersecurity
INC00000135,A0005543,2025-03-21,2025-03-21 01:44:52.501868239,P4,Closed,Patch Failure,End User Computing
INC00000136,A0023091,2024-01-31,2024-01-31 06:31:07.366066971,P4,Resolved,Hardware Failure,Cybersecurity
INC00000137,A0003804,2025-05-06,2025-05-06 06:14:26.937293607,P3,Closed,Network Connectivity,Application Support
INC00000138,A0002745,2025-04-13,2025-04-13 01:32:47.573812834,P2,Resolved,Security Control,Cybersecurity
INC00000139,A0016841,2026-01-23,2026-01-23 07:16:42.966332068,P3,Resolved,Unknown,Network Operations
INC00000140,A0008301,2026-02-15,2026-02-15 02:29:37.254065658,P3,Resolved,Unknown,Service Desk
INC00000141,A0023690,2025-02-20,2025-02-20 03:58:58.510649553,P2,Closed,Network Connectivity,End User Computing
INC00000142,A0007119,2025-10-20,2025-10-20 05:52:51.806282577,P4,Resolved,Unknown,Network Operations
INC00000143,A0003818,2025-11-07,2025-11-07 04:47:40.589083773,P3,Resolved,Capacity Issue,Server Operations
INC00000144,A0000003,2024-01-10,2024-01-11 00:32:11.881153129,P3,Resolved,Capacity Issue,Application Support
INC00000145,A0013939,2025-04-13,2025-04-13 02:07:12.356345647,P3,Resolved,Configuration Error,Server Operations
INC00000146,A0013861,2026-01-23,2026-01-23 02:42:12.256474201,P3,Closed,Unknown,Network Operations
INC00000147,A0010307,2025-10-26,2025-10-26 09:43:35.803700155,P3,Resolved,Patch Failure,Service Desk
INC00000148,A0007865,2026-04-13,2026-04-13 02:48:30.806698802,P3,Closed,Hardware Failure,End User Computing
INC00000149,A0021483,2024-05-16,2024-05-16 17:02:06.971233434,P3,Resolved,Unknown,End User Computing
INC00000150,A0009037,2025-11-23,2025-11-23 03:47:51.915713078,P4,Closed,Network Connectivity,End User Computing
INC00000151,A0005332,2025-10-27,2025-10-27 06:17:17.031733807,P4,Resolved,Configuration Error,Service Desk
INC00000152,A0010358,2024-04-02,2024-04-02 02:16:39.195311098,P4,Closed,Security Control,Server Operations
INC00000153,A0014392,2024-12-12,2024-12-13 01:14:24.481417837,P2,Resolved,User Error,Service Desk
INC00000154,A0001694,2026-03-20,2026-03-20 04:11:11.564560579,P4,Closed,Unknown,Application Support
INC00000155,A0015525,2024-03-18,2024-03-18 07:22:01.864765462,P3,Resolved,Configuration Error,Application Support
INC00000156,A0007265,2026-03-05,2026-03-05 03:31:20.807230501,P4,Closed,Hardware Failure,Server Operations
INC00000157,A0005842,2025-02-07,2025-02-07 10:12:18.815260075,P4,Resolved,Capacity Issue,Application Support
INC00000158,A0014267,2024-03-30,2024-03-30 06:36:47.482648142,P3,Closed,Patch Failure,End User Computing
INC00000159,A0006089,2024-03-05,2024-03-05 03:59:37.191326442,P3,Closed,Patch Failure,End User Computing
INC00000160,A0020470,2024-07-06,2024-07-06 11:07:38.968114501,P3,Resolved,Capacity Issue,Server Operations
INC00000161,A0015748,2026-02-11,2026-02-11 03:18:07.406169807,P3,Resolved,User Error,Application Support
INC00000162,A0007939,2025-03-05,2025-03-05 06:20:19.809543962,P3,Resolved,Hardware Failure,Server Operations
INC00000163,A0019843,2025-06-07,2025-06-07 07:17:23.792221733,P4,Closed,Network Connectivity,Network Operations
INC00000164,A0021500,2025-07-08,2025-07-08 09:33:38.195228613,P3,Closed,Capacity Issue,Server Operations
INC00000165,A0009119,2025-01-24,2025-01-24 07:20:55.236090793,P3,Resolved,Capacity Issue,Application Support
INC00000166,A0016436,2024-09-30,2024-09-30 04:19:53.531467474,P4,Closed,Hardware Failure,Application Support
INC00000167,A0006853,2024-11-18,2024-11-18 00:54:43.786806048,P3,Resolved,Hardware Failure,Application Support
INC00000168,A0017437,2024-07-29,2024-07-29 02:48:34.438762450,P4,Resolved,Software Defect,Network Operations
INC00000169,A0020504,2025-06-15,2025-06-15 17:19:13.403640464,P4,Resolved,Network Connectivity,End User Computing
INC00000170,A0017482,2024-12-14,2024-12-14 06:46:19.318815357,P3,Closed,Capacity Issue,Cybersecurity
INC00000171,A0003134,2024-06-08,2024-06-08 06:55:44.836027604,P3,Closed,Configuration Error,Application Support
INC00000172,A0008576,2024-09-11,2024-09-11 02:44:20.958136267,P2,Resolved,Network Connectivity,End User Computing
INC00000173,A0001527,2024-07-24,2024-07-24 03:39:07.448779735,P2,Closed,Capacity Issue,Network Operations
INC00000174,A0006421,2024-05-02,2024-05-02 03:37:32.073285662,P4,Closed,Capacity Issue,Service Desk
INC00000175,A0012000,2025-10-12,2025-10-12 05:07:59.221039630,P3,Closed,Software Defect,Server Operations
INC00000176,A0022913,2024-07-10,2024-07-10 01:13:21.271593982,P3,Resolved,Hardware Failure,Network Operations
INC00000177,A0022935,2024-08-21,2024-08-21 08:10:37.107138169,P4,Closed,Patch Failure,Network Operations
INC00000178,A0019285,2026-02-11,2026-02-11 06:52:56.729155026,P3,Resolved,Software Defect,Application Support
INC00000179,A0014190,2026-02-23,2026-02-23 05:38:24.593805322,P4,Resolved,Unknown,Service Desk
INC00000180,A0004002,2025-07-06,2025-07-06 03:07:43.283008347,P3,Resolved,Network Connectivity,Cybersecurity
INC00000181,A0008588,2026-03-01,2026-03-01 03:41:23.886819999,P3,Resolved,Software Defect,Server Operations
INC00000182,A0016278,2025-10-28,2025-10-28 07:10:02.491281490,P1,Resolved,Software Defect,Service Desk
INC00000183,A0003704,2025-05-07,2025-05-07 07:27:47.594390227,P4,Resolved,Network Connectivity,Server Operations
INC00000184,A0015887,2024-07-19,2024-07-19 04:08:15.725920254,P3,Closed,Patch Failure,End User Computing
INC00000185,A0006243,2025-10-11,2025-10-11 01:11:02.984264289,P4,Cancelled,Patch Failure,Cybersecurity
INC00000186,A0004254,2025-09-28,2025-09-28 06:28:46.963578493,P4,Closed,Unknown,Cybersecurity
INC00000187,A0007010,2024-02-18,2024-02-18 08:24:03.572289097,P4,Closed,Software Defect,Cybersecurity
INC00000188,A0022600,2025-02-28,2025-02-28 09:46:25.877304418,P4,Resolved,Hardware Failure,Network Operations
INC00000189,A0006657,2024-04-08,2024-04-08 01:43:48.383272758,P4,Resolved,Security Control,Network Operations
INC00000190,A0003525,2025-02-11,2025-02-11 07:53:39.718427146,P1,Resolved,Unknown,Cybersecurity
INC00000191,A0007612,2025-06-29,2025-06-29 03:21:26.605134212,P3,Resolved,Capacity Issue,Application Support
INC00000192,A0006773,2025-02-28,2025-02-28 02:52:08.592691303,P4,Resolved,Patch Failure,Cybersecurity
INC00000193,A0009274,2025-02-26,2025-02-26 18:27:47.202056226,P3,Resolved,Network Connectivity,End User Computing
INC00000194,A0018731,2025-04-09,2025-04-09 03:07:37.194336714,P3,Resolved,Hardware Failure,End User Computing
INC00000195,A0013862,2026-02-09,2026-02-09 08:09:24.047086266,P3,Closed,User Error,Server Operations
INC00000196,A0006123,2025-09-09,2025-09-09 14:15:41.530731411,P4,Closed,Configuration Error,Service Desk
INC00000197,A0022236,2025-05-27,2025-05-27 08:32:31.728216382,P4,Closed,Capacity Issue,Application Support
INC00000198,A0000952,2025-06-17,2025-06-17 05:28:41.044377320,P3,Closed,Network Connectivity,Cybersecurity
INC00000199,A0000614,2025-12-16,2025-12-16 06:07:01.744137969,P2,Resolved,Software Defect,Server Operations
INC00000200,A0003849,2024-05-08,2024-05-08 05:38:52.224331758,P4,Resolved,Hardware Failure,Network Operations
INC00000201,A0008560,2025-11-11,2025-11-11 05:25:56.452118113,P3,Closed,Network Connectivity,End User Computing
INC00000202,A0006773,2025-08-24,2025-08-24 03:21:13.313871406,P4,Closed,Configuration Error,End User Computing
INC00000203,A0006990,2024-10-05,2024-10-05 02:33:31.932948603,P4,Closed,User Error,Application Support
INC00000204,A0012429,2026-01-29,2026-01-29 04:11:21.076324447,P3,Closed,Unknown,End User Computing
INC00000205,A0000594,2024-08-14,2024-08-14 09:29:31.729411226,P3,Resolved,Unknown,End User Computing
INC00000206,A0020119,2024-10-28,2024-10-28 03:54:45.581523015,P3,Closed,Configuration Error,End User Computing
INC00000207,A0014481,2024-11-17,2024-11-17 13:27:00.223766186,P4,Closed,Network Connectivity,Server Operations
INC00000208,A0010301,2024-07-22,2024-07-22 05:47:35.385974354,P2,Resolved,Capacity Issue,End User Computing
INC00000209,A0022130,2026-04-26,2026-04-26 04:01:04.129438299,P2,Resolved,Capacity Issue,Cybersecurity
INC00000210,A0000741,2025-09-11,2025-09-11 10:31:57.614012706,P3,Closed,Unknown,Application Support
INC00000211,A0022731,2025-10-17,2025-10-17 10:36:14.263998951,P3,Resolved,Patch Failure,Network Operations
INC00000212,A0020296,2025-07-15,2025-07-15 06:53:21.094695290,P4,Resolved,Hardware Failure,Network Operations
INC00000213,A0010191,2024-04-23,2024-04-23 13:39:15.147050083,P2,Resolved,Capacity Issue,Server Operations
INC00000214,A0005831,2024-03-01,2024-03-01 04:20:28.333410705,P3,Closed,Network Connectivity,Cybersecurity
INC00000215,A0001205,2024-10-25,2024-10-25 05:31:05.062891569,P3,Resolved,Patch Failure,Server Operations
INC00000216,A0014646,2024-07-23,2024-07-23 01:36:46.078619518,P4,Closed,Capacity Issue,Server Operations
INC00000217,A0015074,2025-04-12,2025-04-12 03:49:42.384919267,P4,Resolved,Network Connectivity,End User Computing
INC00000218,A0014249,2025-12-28,2025-12-28 01:21:39.670153621,P3,Closed,Hardware Failure,Network Operations
INC00000219,A0017624,2026-04-01,2026-04-01 06:58:39.250484299,P2,Closed,User Error,Server Operations
INC00000220,A0020160,2024-04-26,2024-04-26 04:55:08.885157272,P4,Resolved,Capacity Issue,End User Computing
INC00000221,A0005859,2025-10-02,2025-10-02 01:32:39.892507242,P4,Resolved,Capacity Issue,Network Operations
INC00000222,A0020684,2024-09-30,2024-09-30 08:04:25.292487921,P2,Resolved,Hardware Failure,Server Operations
INC00000223,A0021049,2025-08-13,2025-08-13 05:02:30.864673226,P3,Resolved,Configuration Error,Service Desk
INC00000224,A0009730,2026-03-28,2026-03-28 08:07:51.340706749,P3,Resolved,Security Control,Application Support
INC00000225,A0018129,2025-04-27,2025-04-27 05:14:54.816895485,P3,Closed,Patch Failure,Service Desk
INC00000226,A0018485,2026-05-10,2026-05-10 10:37:00.950086365,P4,Resolved,Security Control,Network Operations
INC00000227,A0010817,2024-02-10,2024-02-10 05:56:52.068101611,P3,Closed,Software Defect,Application Support
INC00000228,A0021421,2025-11-28,2025-11-28 17:03:41.876970962,P3,Resolved,Patch Failure,Service Desk
INC00000229,A0007361,2025-11-12,2025-11-12 01:06:20.534967050,P3,Closed,Software Defect,Network Operations
INC00000230,A0001407,2025-07-29,2025-07-29 01:53:33.857662527,P3,Resolved,Software Defect,Cybersecurity
INC00000231,A0006163,2025-07-11,2025-07-11 02:56:24.154870563,P1,Closed,Capacity Issue,Network Operations
INC00000232,A0004121,2025-04-13,2025-04-13 06:02:32.138595009,P4,Resolved,Patch Failure,Server Operations
INC00000233,A0004600,2025-07-15,2025-07-15 07:09:36.130410158,P2,Resolved,Unknown,Application Support
INC00000234,A0003776,2024-08-09,2024-08-09 02:57:49.011157188,P4,Closed,Software Defect,Network Operations
INC00000235,A0013803,2025-11-08,2025-11-08 05:56:07.932407650,P3,Resolved,Network Connectivity,Application Support
INC00000236,A0016925,2024-04-30,2024-04-30 02:31:15.587039935,P3,Closed,User Error,Service Desk
INC00000237,A0014160,2026-03-07,2026-03-07 06:42:45.013176928,P2,Resolved,Patch Failure,End User Computing
INC00000238,A0009283,2025-07-30,2025-07-30 04:33:24.300159098,P3,Resolved,Hardware Failure,Application Support
INC00000239,A0013597,2025-03-04,2025-03-04 06:55:44.703599156,P3,Closed,Network Connectivity,Cybersecurity
INC00000240,A0005447,2026-01-19,2026-01-19 10:08:24.279818323,P2,Closed,User Error,Cybersecurity
INC00000241,A0022587,2024-07-13,2024-07-13 05:27:44.956405494,P3,Resolved,Security Control,Network Operations
INC00000242,A0018105,2025-07-14,2025-07-14 03:45:35.277396278,P3,Resolved,Capacity Issue,Cybersecurity
INC00000243,A0013532,2024-04-02,2024-04-02 11:09:37.241765226,P4,Closed,Patch Failure,Service Desk
INC00000244,A0014680,2024-10-03,2024-10-03 17:22:13.177380788,P4,Closed,Hardware Failure,Network Operations
INC00000245,A0009815,2024-03-18,2024-03-18 03:51:29.116057906,P3,Resolved,Configuration Error,Application Support
INC00000246,A0011700,2024-07-11,2024-07-11 12:03:49.836625257,P3,Closed,Unknown,Network Operations
INC00000247,A0019254,2024-11-15,2024-11-15 07:55:36.678316652,P3,Resolved,User Error,Server Operations
INC00000248,A0016510,2025-06-19,2025-06-19 10:19:22.197769496,P4,Resolved,Configuration Error,Application Support
INC00000249,A0022795,2026-01-09,2026-01-09 02:10:57.247413963,P4,Resolved,Unknown,Service Desk
INC00000250,A0008086,2025-10-18,2025-10-18 07:35:09.685209267,P3,Cancelled,Capacity Issue,End User Computing
