Project_ID,Asset_ID,Asset_Type,Current_Lifecycle_Status,Refresh_Year,Planned_Refresh_Date,Actual_Refresh_Date,Budget_Estimate_CAD,Project_Status,Constraint_or_Blocker
PRJ-000042,AST-0014151,Desktop,EOL within 24 months,2026,2026-12-15,,1228.4,Planning,None
PRJ-000043,AST-0013018,Laptop,Past EOL,2027,2027-12-25,,1779.18,Blocked,Application Dependency
PRJ-000044,AST-0022011,Access Switch,EOL within 24 months,2028,2028-07-01,,6400.01,Not Started,Security Exception
PRJ-000045,AST-0002842,Laptop,EOL within 12 months,2026,2026-10-12,,1494.73,Not Started,None
PRJ-000046,AST-0018725,VDI Endpoint,EOL within 12 months,2027,2027-05-31,,1076.08,Planning,Branch Scheduling
PRJ-000047,AST-0005000,Laptop,EOL within 24 months,2026,2026-12-23,,3727.83,In Progress,Security Exception
PRJ-000048,AST-0012282,Laptop,EOL within 24 months,2028,2028-10-27,2028-12-31,3291.12,Completed,Application Dependency
PRJ-000049,AST-0016188,Desktop,EOL within 24 months,2027,2027-08-03,,893.01,Planning,None
PRJ-000050,AST-0004564,Laptop,Past EOL,2028,2028-02-15,,1360.33,Not Started,Security Exception
PRJ-000051,AST-0013785,Laptop,EOL within 24 months,2028,2028-05-25,,2226.41,In Progress,Security Exception
PRJ-000052,AST-0009234,Laptop,Past EOL,2026,2026-10-15,,1751.96,Not Started,Budget Approval
PRJ-000053,AST-0007701,Laptop,EOL within 12 months,2028,2028-02-13,,1663.05,Not Started,Security Exception
PRJ-000054,AST-0003756,Laptop,Past EOL,2028,2028-09-16,,1671.29,Planning,Change Freeze
PRJ-000055,AST-0015338,Desktop,EOL within 12 months,2028,2028-02-20,,1221.56,In Progress,Budget Approval
PRJ-000056,AST-0022979,Router,EOL within 12 months,2028,2028-07-19,,6443.44,In Progress,Change Freeze
PRJ-000057,AST-0013643,Laptop,EOL within 12 months,2027,2027-11-04,,1881.02,In Progress,Vendor Lead Time
PRJ-000058,AST-0012889,Laptop,EOL within 12 months,2026,2026-10-09,,2173.42,Not Started,Budget Approval
PRJ-000059,AST-0006718,Laptop,EOL within 12 months,2028,2028-12-30,,1554.39,Not Started,Security Exception
PRJ-000060,AST-0015120,Desktop,EOL within 24 months,2027,2027-09-05,,1183.67,Not Started,Change Freeze
PRJ-000061,AST-0002427,Laptop,EOL within 12 months,2026,2026-10-10,,1872.29,In Progress,None
PRJ-000062,AST-0006924,Laptop,EOL within 12 months,2026,2026-10-14,,1845.58,Not Started,Branch Scheduling
PRJ-000063,AST-0010493,Laptop,EOL within 24 months,2027,2027-08-09,,1823.62,In Progress,None
PRJ-000064,AST-0000424,Laptop,Past EOL,2027,2027-12-30,,1371.12,Not Started,Security Exception
PRJ-000065,AST-0013887,Laptop,EOL within 24 months,2027,2027-02-08,,2205.68,Not Started,Budget Approval
PRJ-000066,AST-0005088,Laptop,EOL within 12 months,2027,2027-08-27,,1575.02,Planning,Vendor Lead Time
PRJ-000067,AST-0017118,Desktop,EOL within 24 months,2028,2028-05-28,,1059.51,Not Started,Change Freeze
PRJ-000068,AST-0021609,Access Switch,EOL within 24 months,2026,2026-10-08,,6630.05,In Progress,Vendor Lead Time
PRJ-000069,AST-0015429,Desktop,EOL within 12 months,2027,2027-07-21,2027-09-27,1400.47,Completed,Application Dependency
PRJ-000070,AST-0016792,Desktop,EOL within 24 months,2028,2028-12-04,,1247.97,In Progress,Branch Scheduling
PRJ-000071,AST-0022709,Core Switch,EOL within 24 months,2027,2027-12-15,,21971.09,Not Started,None
PRJ-000072,AST-0018078,Desktop,EOL within 12 months,2028,2028-02-03,,1045.89,Not Started,Vendor Lead Time
PRJ-000073,AST-0002743,Laptop,Past EOL,2027,2027-08-28,,1555.97,Deferred,None
PRJ-000074,AST-0009443,Laptop,Past EOL,2026,2026-12-11,,1785.33,Planning,Budget Approval
PRJ-000075,AST-0013908,Laptop,EOL within 24 months,2028,2028-12-13,,1978.17,Planning,Security Exception
PRJ-000076,AST-0007694,Laptop,EOL within 24 months,2026,2026-11-28,,1973.14,Not Started,Change Freeze
PRJ-000077,AST-0001407,Laptop,Past EOL,2027,2027-02-25,,1953.6,Not Started,None
PRJ-000078,AST-0023514,Wireless Access Point,EOL within 24 months,2028,2028-08-20,,1298.46,Not Started,Security Exception
PRJ-000079,AST-0008490,Laptop,Past EOL,2028,2028-12-08,,1607.93,Not Started,Vendor Lead Time
PRJ-000080,AST-0010065,Laptop,EOL within 12 months,2028,2028-10-19,,2017.78,Deferred,Security Exception
PRJ-000081,AST-0014383,Desktop,EOL within 24 months,2028,2028-08-01,2028-08-30,1000.63,Completed,None
PRJ-000082,AST-0000406,Laptop,Past EOL,2028,2028-01-04,,1896.09,In Progress,None
PRJ-000083,AST-0002804,Laptop,EOL within 24 months,2026,2026-07-18,,3013.29,In Progress,Change Freeze
PRJ-000084,AST-0006930,Laptop,EOL within 24 months,2026,2026-12-24,,1957.94,In Progress,Application Dependency
PRJ-000085,AST-0004737,Laptop,Past EOL,2028,2028-03-17,,1394.14,Planning,Security Exception
PRJ-000086,AST-0023583,Wireless Access Point,EOL within 24 months,2028,2028-07-02,,1408.26,In Progress,Application Dependency
PRJ-000087,AST-0000046,Laptop,Past EOL,2028,2028-09-16,2028-12-12,1843.11,Completed,Application Dependency
PRJ-000088,AST-0013385,Laptop,EOL within 12 months,2027,2027-09-27,,1631.58,Not Started,Branch Scheduling
PRJ-000089,AST-0008073,Laptop,EOL within 12 months,2027,2027-05-17,2027-07-09,1791.42,Completed,Application Dependency
PRJ-000090,AST-0022094,Access Switch,EOL within 24 months,2028,2028-12-25,,5261.85,Planning,Budget Approval
PRJ-000091,AST-0008144,Laptop,EOL within 24 months,2028,2028-04-17,,2753.04,In Progress,Branch Scheduling
PRJ-000092,AST-0011347,Laptop,EOL within 12 months,2027,2027-05-17,,1555.28,In Progress,Application Dependency
PRJ-000093,AST-0014112,Desktop,EOL within 24 months,2027,2027-04-15,,1337.24,Blocked,Security Exception
PRJ-000094,AST-0019424,VDI Endpoint,EOL within 12 months,2027,2027-12-29,,1264.55,In Progress,Vendor Lead Time
PRJ-000095,AST-0006108,Laptop,EOL within 24 months,2026,2026-08-30,,3777.61,Planning,Budget Approval
PRJ-000096,AST-0002621,Laptop,EOL within 24 months,2026,2026-07-07,,2059.01,Planning,Security Exception
PRJ-000097,AST-0016429,Desktop,EOL within 24 months,2027,2027-03-16,,1077.39,Deferred,None
PRJ-000098,AST-0023022,Router,EOL within 12 months,2028,2028-08-11,,8314.76,Planning,Vendor Lead Time
PRJ-000099,AST-0019137,VDI Endpoint,EOL within 24 months,2027,2027-12-06,,1072.51,Planning,Vendor Lead Time
PRJ-000100,AST-0018311,Desktop,EOL within 24 months,2027,2027-07-31,2027-07-15,1164.38,Completed,None
PRJ-000101,AST-0019523,VDI Endpoint,EOL within 12 months,2026,2026-09-24,,1117.44,Not Started,Security Exception
PRJ-000102,AST-0006332,Laptop,EOL within 24 months,2028,2028-04-23,,2138.76,Deferred,Vendor Lead Time
PRJ-000103,AST-0002278,Laptop,EOL within 24 months,2028,2028-06-14,,3499.75,Planning,None
PRJ-000104,AST-0010176,Laptop,Past EOL,2028,2028-11-07,,1600.49,In Progress,Security Exception
PRJ-000105,AST-0010217,Laptop,Past EOL,2027,2027-11-25,,1684.37,In Progress,None
PRJ-000106,AST-0017224,Desktop,EOL within 12 months,2027,2027-04-09,,1394.54,Planning,Branch Scheduling
PRJ-000107,AST-0017369,Desktop,EOL within 24 months,2027,2027-03-20,,1269.42,In Progress,None
PRJ-000108,AST-0010346,Laptop,EOL within 24 months,2028,2028-07-10,2028-07-05,3410.69,Completed,Change Freeze
PRJ-000109,AST-0004470,Laptop,EOL within 12 months,2027,2027-08-08,,1746.21,Not Started,Application Dependency
PRJ-000110,AST-0003350,Laptop,Past EOL,2026,2026-10-09,2026-09-28,1823.52,Completed,Change Freeze
PRJ-000111,AST-0016426,Desktop,EOL within 12 months,2028,2028-02-27,,1068.47,Deferred,Change Freeze
PRJ-000112,AST-0007656,Laptop,Past EOL,2027,2027-04-06,,1484.33,Not Started,Vendor Lead Time
PRJ-000113,AST-0002027,Laptop,Past EOL,2028,2028-11-08,,1374.82,Planning,Vendor Lead Time
PRJ-000114,AST-0006166,Laptop,Past EOL,2028,2028-05-27,,1974.82,Blocked,Budget Approval
PRJ-000115,AST-0002969,Laptop,EOL within 24 months,2028,2028-03-01,,2244.84,Not Started,None
PRJ-000116,AST-0008836,Laptop,Past EOL,2026,2026-06-21,,1899.02,Deferred,Vendor Lead Time
PRJ-000117,AST-0014549,Desktop,EOL within 12 months,2028,2028-02-10,,1025.82,Deferred,Security Exception
PRJ-000118,AST-0001100,Laptop,EOL within 12 months,2028,2028-07-07,,1520.36,Planning,Application Dependency
PRJ-000119,AST-0019084,VDI Endpoint,EOL within 12 months,2028,2028-04-14,2028-05-18,1368.49,Completed,Branch Scheduling
PRJ-000120,AST-0006085,Laptop,Past EOL,2027,2027-04-21,,1525.52,Not Started,Budget Approval
PRJ-000121,AST-0006971,Laptop,EOL within 12 months,2026,2026-10-19,2026-12-21,1483.94,Completed,Branch Scheduling
PRJ-000122,AST-0011320,Laptop,Past EOL,2028,2028-05-08,,1756.37,Blocked,Branch Scheduling
PRJ-000123,AST-0005055,Laptop,EOL within 12 months,2028,2028-05-07,,1904.96,Not Started,Change Freeze
PRJ-000124,AST-0006253,Laptop,Past EOL,2026,2026-10-29,,1782.71,Not Started,Application Dependency
PRJ-000125,AST-0008030,Laptop,EOL within 24 months,2028,2028-12-08,,1951.71,In Progress,Vendor Lead Time
PRJ-000126,AST-0002271,Laptop,EOL within 24 months,2027,2027-03-10,,2042.3,Planning,Branch Scheduling
PRJ-000127,AST-0017339,Desktop,EOL within 12 months,2026,2026-12-12,,1152.38,Deferred,Branch Scheduling
PRJ-000128,AST-0020308,Server,EOL within 24 months,2028,2028-11-05,,14924.39,In Progress,Application Dependency
PRJ-000129,AST-0010761,Laptop,Past EOL,2027,2027-11-27,,1571.85,Planning,Application Dependency
PRJ-000130,AST-0014576,Desktop,EOL within 24 months,2026,2026-12-24,2027-01-29,1046.34,Completed,Change Freeze
PRJ-000131,AST-0000818,Laptop,EOL within 24 months,2028,2028-06-11,,3309.96,In Progress,Security Exception
PRJ-000132,AST-0019889,VDI Endpoint,EOL within 24 months,2026,2026-09-08,,835.24,Deferred,Change Freeze
PRJ-000133,AST-0023475,Wireless Access Point,EOL within 24 months,2026,2026-08-19,,1686.38,Not Started,Application Dependency
PRJ-000134,AST-0019919,VDI Endpoint,EOL within 24 months,2027,2027-12-25,,1150.31,Planning,Security Exception
PRJ-000135,AST-0005628,Laptop,EOL within 12 months,2028,2028-12-20,,1514.84,In Progress,Budget Approval
PRJ-000136,AST-0009410,Laptop,EOL within 24 months,2028,2028-07-01,2028-09-06,2165.89,Completed,Budget Approval
PRJ-000137,AST-0005149,Laptop,EOL within 12 months,2027,2027-01-10,,1857.97,Not Started,Branch Scheduling
PRJ-000138,AST-0006946,Laptop,Past EOL,2027,2027-03-17,,1533.63,Not Started,Branch Scheduling
PRJ-000139,AST-0001201,Laptop,EOL within 24 months,2027,2027-07-26,,1640.17,Not Started,Vendor Lead Time
PRJ-000140,AST-0010725,Laptop,EOL within 12 months,2027,2027-05-26,,1950.75,Planning,Security Exception
PRJ-000141,AST-0002160,Laptop,Past EOL,2027,2027-02-05,,1515.82,Planning,Change Freeze
PRJ-000142,AST-0019252,VDI Endpoint,EOL within 24 months,2028,2028-05-05,2028-04-10,1009.08,Completed,Application Dependency
PRJ-000143,AST-0009124,Laptop,EOL within 12 months,2028,2028-05-16,,2143.18,Not Started,Vendor Lead Time
PRJ-000144,AST-0007135,Laptop,EOL within 24 months,2027,2027-11-16,,2681.79,Not Started,Budget Approval
PRJ-000145,AST-0015442,Desktop,EOL within 24 months,2027,2027-02-14,,1139.03,Planning,Security Exception
PRJ-000146,AST-0021584,Access Switch,EOL within 24 months,2027,2027-08-11,,6853.68,In Progress,Budget Approval
PRJ-000147,AST-0008945,Laptop,EOL within 12 months,2027,2027-10-16,2027-09-18,1695.89,Completed,Application Dependency
PRJ-000148,AST-0001329,Laptop,EOL within 12 months,2026,2026-12-31,,1669.64,Planning,Change Freeze
PRJ-000149,AST-0001728,Laptop,EOL within 12 months,2028,2028-02-13,,1703.68,Planning,Change Freeze
PRJ-000150,AST-0015042,Desktop,EOL within 24 months,2026,2026-12-08,,915.74,Planning,None
PRJ-000151,AST-0013070,Laptop,Past EOL,2027,2027-01-18,,1606.22,Not Started,Vendor Lead Time
PRJ-000152,AST-0000089,Laptop,EOL within 24 months,2026,2026-11-19,,1674.79,Planning,Budget Approval
PRJ-000153,AST-0002750,Laptop,EOL within 12 months,2026,2026-09-29,,1983.86,In Progress,Vendor Lead Time
PRJ-000154,AST-0006459,Laptop,EOL within 24 months,2027,2027-01-20,,2094.23,Blocked,None
PRJ-000155,AST-0009933,Laptop,EOL within 12 months,2027,2027-11-10,,1952.96,In Progress,Vendor Lead Time
PRJ-000156,AST-0007182,Laptop,Past EOL,2028,2028-04-04,,1921.48,Planning,Application Dependency
PRJ-000157,AST-0013370,Laptop,EOL within 24 months,2027,2027-06-04,2027-07-23,3358.14,Completed,None
PRJ-000158,AST-0009396,Laptop,Past EOL,2026,2026-06-09,,1412.8,Planning,None
PRJ-000159,AST-0010772,Laptop,Past EOL,2027,2027-05-29,2027-05-28,1395.31,Completed,Application Dependency
PRJ-000160,AST-0012015,Laptop,EOL within 12 months,2027,2027-02-18,,1908.53,Not Started,Branch Scheduling
PRJ-000161,AST-0009764,Laptop,EOL within 24 months,2028,2028-01-28,,1542.24,Not Started,None
PRJ-000162,AST-0012556,Laptop,EOL within 12 months,2026,2026-08-30,,1952.94,Not Started,Security Exception
PRJ-000163,AST-0017803,Desktop,EOL within 12 months,2027,2027-11-28,,1089.46,Deferred,Application Dependency
PRJ-000164,AST-0000392,Laptop,EOL within 12 months,2027,2027-07-28,,2017.79,Deferred,Change Freeze
PRJ-000165,AST-0014026,Desktop,EOL within 12 months,2027,2027-09-29,,1306.72,Not Started,Budget Approval
PRJ-000166,AST-0005605,Laptop,EOL within 24 months,2028,2028-03-04,2028-02-06,1674.28,Completed,Application Dependency
PRJ-000167,AST-0008685,Laptop,EOL within 24 months,2028,2028-03-12,,3127.22,Not Started,Application Dependency
PRJ-000168,AST-0008155,Laptop,EOL within 24 months,2028,2028-05-29,,3327.45,Blocked,Application Dependency
PRJ-000169,AST-0005051,Laptop,Past EOL,2026,2026-10-23,,1951.07,Not Started,Branch Scheduling
PRJ-000170,AST-0010948,Laptop,EOL within 24 months,2028,2028-07-22,,2348.13,Planning,Vendor Lead Time
PRJ-000171,AST-0014001,Desktop,EOL within 12 months,2028,2028-06-30,,1031.05,Planning,None
PRJ-000172,AST-0023297,Wireless Access Point,EOL within 12 months,2028,2028-05-15,,811.92,In Progress,Budget Approval
PRJ-000173,AST-0007764,Laptop,Past EOL,2027,2027-02-17,2027-03-03,1447.69,Completed,Branch Scheduling
PRJ-000174,AST-0014817,Desktop,EOL within 12 months,2028,2028-12-02,,1372.68,Not Started,Security Exception
PRJ-000175,AST-0021970,Access Switch,EOL within 24 months,2027,2027-11-30,,6636.45,In Progress,None
PRJ-000176,AST-0020345,Server,EOL within 24 months,2028,2028-01-02,,11446.09,Planning,Budget Approval
PRJ-000177,AST-0014301,Desktop,EOL within 12 months,2027,2027-01-10,,1229.95,Planning,Change Freeze
PRJ-000178,AST-0010686,Laptop,Past EOL,2028,2028-06-28,2028-05-30,1892.72,Completed,Vendor Lead Time
PRJ-000179,AST-0008995,Laptop,Past EOL,2028,2028-11-14,,1548.28,Not Started,None
PRJ-000180,AST-0019616,VDI Endpoint,EOL within 12 months,2027,2027-10-24,,1264.38,Deferred,Application Dependency
PRJ-000181,AST-0006636,Laptop,Past EOL,2026,2026-10-10,,1741.45,Deferred,Branch Scheduling
PRJ-000182,AST-0015606,Desktop,EOL within 24 months,2028,2028-12-27,2029-02-26,1176.22,Completed,Budget Approval
PRJ-000183,AST-0013803,Laptop,Past EOL,2027,2027-09-26,,1462.03,In Progress,None
PRJ-000184,AST-0007761,Laptop,EOL within 24 months,2027,2027-03-05,,3010.2,In Progress,Branch Scheduling
PRJ-000185,AST-0007332,Laptop,EOL within 12 months,2027,2027-12-16,,1854.41,Planning,Security Exception
PRJ-000186,AST-0023712,Wireless Access Point,EOL within 24 months,2027,2027-03-08,,1401.1,Planning,Application Dependency
PRJ-000187,AST-0009021,Laptop,Past EOL,2026,2026-11-12,,1988.57,Not Started,Budget Approval
PRJ-000188,AST-0016389,Desktop,EOL within 24 months,2027,2027-05-29,,958.47,Planning,Vendor Lead Time
PRJ-000189,AST-0012077,Laptop,EOL within 12 months,2028,2028-02-15,,1918.47,Deferred,Application Dependency
PRJ-000190,AST-0016329,Desktop,EOL within 12 months,2027,2027-10-10,,1408.51,Deferred,None
PRJ-000191,AST-0011443,Laptop,EOL within 12 months,2026,2026-10-14,,1778.17,Blocked,None
PRJ-000192,AST-0006298,Laptop,EOL within 12 months,2028,2028-01-24,,1978.52,Not Started,Budget Approval
PRJ-000193,AST-0011766,Laptop,EOL within 24 months,2027,2027-02-10,2027-04-19,2576.11,Completed,Budget Approval
PRJ-000194,AST-0016990,Desktop,EOL within 12 months,2026,2026-07-11,,962.22,Planning,None
PRJ-000195,AST-0001487,Laptop,EOL within 24 months,2026,2026-07-08,,2464.3,Not Started,Application Dependency
PRJ-000196,AST-0000283,Laptop,EOL within 12 months,2028,2028-12-05,2028-11-29,2112.18,Completed,Vendor Lead Time
PRJ-000197,AST-0000311,Laptop,EOL within 12 months,2028,2028-02-19,,2173.88,Planning,Security Exception
PRJ-000198,AST-0023800,Wireless Access Point,EOL within 24 months,2027,2027-09-05,,1507.12,Blocked,Vendor Lead Time
PRJ-000199,AST-0019857,VDI Endpoint,EOL within 12 months,2027,2027-05-09,2027-06-20,1482.13,Completed,Security Exception
PRJ-000200,AST-0019767,VDI Endpoint,EOL within 24 months,2026,2026-08-11,,895.85,Planning,Application Dependency
PRJ-000201,AST-0008613,Laptop,EOL within 24 months,2027,2027-05-26,,2840.51,Deferred,Change Freeze
PRJ-000202,AST-0018856,VDI Endpoint,EOL within 24 months,2027,2027-06-13,,1123.68,Planning,None
PRJ-000203,AST-0021883,Access Switch,EOL within 24 months,2028,2028-10-11,,5302.24,Planning,Branch Scheduling
PRJ-000204,AST-0007406,Laptop,Past EOL,2027,2027-03-21,,1765.14,Blocked,Budget Approval
PRJ-000205,AST-0018595,VDI Endpoint,EOL within 12 months,2027,2027-09-06,,1317.83,In Progress,Vendor Lead Time
PRJ-000206,AST-0013244,Laptop,EOL within 12 months,2026,2026-06-04,,2151.5,Not Started,Branch Scheduling
PRJ-000207,AST-0000546,Laptop,Past EOL,2028,2028-11-08,,1394.98,Deferred,Change Freeze
PRJ-000208,AST-0019147,VDI Endpoint,EOL within 24 months,2027,2027-05-08,,1131.58,Deferred,Budget Approval
PRJ-000209,AST-0022926,Router,EOL within 12 months,2028,2028-08-25,,11925.23,In Progress,Change Freeze
PRJ-000210,AST-0000420,Laptop,EOL within 24 months,2026,2026-09-12,,1768.86,In Progress,None
PRJ-000211,AST-0012099,Laptop,EOL within 12 months,2028,2028-03-08,,1850.11,Planning,None
PRJ-000212,AST-0015872,Desktop,EOL within 12 months,2026,2026-10-04,,1260.77,Blocked,Change Freeze
PRJ-000213,AST-0012673,Laptop,Past EOL,2028,2028-04-28,2028-04-05,1350.02,Completed,Security Exception
PRJ-000214,AST-0023130,Firewall,EOL within 24 months,2028,2028-08-12,,10957.4,Not Started,Branch Scheduling
PRJ-000215,AST-0011726,Laptop,EOL within 12 months,2028,2028-05-25,,1982.33,Blocked,Budget Approval
PRJ-000216,AST-0005819,Laptop,EOL within 12 months,2027,2027-03-25,,1516.88,Not Started,Budget Approval
PRJ-000217,AST-0013598,Laptop,EOL within 24 months,2027,2027-11-12,,2356.61,Not Started,Vendor Lead Time
PRJ-000218,AST-0001210,Laptop,EOL within 24 months,2026,2026-10-19,,1947.06,Not Started,None
PRJ-000219,AST-0011624,Laptop,EOL within 24 months,2026,2026-10-25,,1880.58,Not Started,Branch Scheduling
PRJ-000220,AST-0015556,Desktop,EOL within 12 months,2028,2028-10-01,2028-12-01,1338.81,Completed,None
PRJ-000221,AST-0005918,Laptop,EOL within 24 months,2026,2026-08-16,,1735.89,In Progress,Security Exception
PRJ-000222,AST-0016983,Desktop,EOL within 12 months,2028,2028-02-09,,1073.39,Blocked,Application Dependency
PRJ-000223,AST-0008333,Laptop,EOL within 12 months,2026,2026-07-08,2026-08-25,1728.35,Completed,None
PRJ-000224,AST-0017760,Desktop,EOL within 24 months,2028,2028-08-16,,876.48,In Progress,Vendor Lead Time
PRJ-000225,AST-0000942,Laptop,EOL within 24 months,2027,2027-10-12,,2199.89,In Progress,Security Exception
PRJ-000226,AST-0008753,Laptop,Past EOL,2027,2027-03-26,,1533.96,Not Started,Security Exception
PRJ-000227,AST-0011001,Laptop,EOL within 24 months,2026,2026-06-20,,2611.89,Not Started,Change Freeze
PRJ-000228,AST-0007953,Laptop,EOL within 12 months,2028,2028-05-14,,1442.46,Blocked,Branch Scheduling
PRJ-000229,AST-0012744,Laptop,EOL within 24 months,2028,2028-08-31,,2027.11,In Progress,Branch Scheduling
PRJ-000230,AST-0015711,Desktop,EOL within 24 months,2027,2027-07-25,,1072.66,Not Started,Security Exception
PRJ-000231,AST-0016369,Desktop,EOL within 12 months,2026,2026-07-06,,1185.31,Deferred,Budget Approval
PRJ-000232,AST-0016660,Desktop,EOL within 24 months,2026,2026-07-06,,1254.71,In Progress,Branch Scheduling
PRJ-000233,AST-0012764,Laptop,EOL within 12 months,2028,2028-11-11,,1405.72,Planning,Vendor Lead Time
PRJ-000234,AST-0006307,Laptop,EOL within 12 months,2027,2027-07-22,,1524.79,Not Started,Vendor Lead Time
PRJ-000235,AST-0019421,VDI Endpoint,EOL within 24 months,2028,2028-02-15,,883.0,Planning,Change Freeze
PRJ-000236,AST-0007111,Laptop,Past EOL,2026,2026-09-19,,1600.79,In Progress,Security Exception
PRJ-000237,AST-0018932,VDI Endpoint,EOL within 24 months,2028,2028-03-19,,911.02,Not Started,Branch Scheduling
PRJ-000238,AST-0008740,Laptop,EOL within 24 months,2028,2028-06-05,,1576.31,Not Started,Change Freeze
PRJ-000239,AST-0014956,Desktop,EOL within 24 months,2028,2028-07-17,2028-09-20,1295.56,Completed,Change Freeze
PRJ-000240,AST-0013220,Laptop,EOL within 24 months,2028,2028-09-02,,1970.25,In Progress,Vendor Lead Time
PRJ-000241,AST-0001255,Laptop,Past EOL,2026,2026-12-05,,1602.41,Planning,Application Dependency
PRJ-000242,AST-0011321,Laptop,EOL within 24 months,2028,2028-08-27,,1878.69,Planning,Application Dependency
