Project_ID,Asset_ID,Project_Name,Planned_Refresh_Date,Actual_Refresh_Date,Project_Portfolio,Project_Status,Planned_Budget_Amount
PRJ000029,A0015717,Technology Refresh Wave,2026-09-21,,Security,Approved,830.71
PRJ000030,A0015968,Technology Refresh Wave,2028-07-08,,Network,Approved,985.98
PRJ000031,A0009539,Technology Refresh Wave,2028-04-01,,Network,In Progress,1181.58
PRJ000032,A0018974,Technology Refresh Wave,2027-10-23,,Infrastructure,Deferred,514.8
PRJ000033,A0012138,Technology Refresh Wave,2026-04-29,,End User Computing,Approved,1422.54
PRJ000034,A0007593,Technology Refresh Wave,2028-03-26,,Cloud,Approved,1323.54
PRJ000035,A0021412,Technology Refresh Wave,2026-10-06,,End User Computing,In Progress,13231.55
PRJ000036,A0015590,Technology Refresh Wave,2028-12-30,,Infrastructure,Approved,1083.77
PRJ000037,A0004344,Technology Refresh Wave,2028-07-02,,Network,Deferred,1533.22
PRJ000038,A0014055,Technology Refresh Wave,2027-01-19,,End User Computing,Approved,1061.43
PRJ000039,A0006880,Technology Refresh Wave,2026-12-11,,Cloud,Approved,1466.47
PRJ000040,A0008490,Technology Refresh Wave,2026-11-23,,Network,In Progress,1232.48
PRJ000041,A0001494,Technology Refresh Wave,2027-01-13,,Network,In Progress,1650.34
PRJ000042,A0002711,Technology Refresh Wave,2027-05-25,,End User Computing,Completed,1111.08
PRJ000043,A0013109,Technology Refresh Wave,2028-05-19,,Security,Deferred,1706.62
PRJ000044,A0011936,Technology Refresh Wave,2027-07-16,,Cloud,Approved,1202.73
PRJ000045,A0011959,Technology Refresh Wave,2026-07-15,,End User Computing,Completed,1355.99
PRJ000046,A0008224,Technology Refresh Wave,2026-05-29,,Cloud,Deferred,1688.84
PRJ000047,A0008397,Technology Refresh Wave,2026-12-13,,Security,Proposed,1327.81
PRJ000048,A0008936,Technology Refresh Wave,2028-11-09,,Cloud,In Progress,1505.62
PRJ000049,A0009935,Technology Refresh Wave,2027-10-19,,Cloud,Approved,1547.35
PRJ000050,A0002271,Technology Refresh Wave,2027-10-03,,Network,Completed,2145.84
PRJ000051,A0001604,Technology Refresh Wave,2027-05-01,,Cloud,Approved,1997.53
PRJ000052,A0017492,Technology Refresh Wave,2028-05-04,,Infrastructure,Deferred,879.01
PRJ000053,A0003807,Technology Refresh Wave,2027-08-03,,End User Computing,Proposed,2054.94
PRJ000054,A0007388,Technology Refresh Wave,2026-07-20,,End User Computing,Approved,1741.04
PRJ000055,A0004490,Technology Refresh Wave,2028-01-21,,Cloud,Approved,1449.99
PRJ000056,A0020913,Technology Refresh Wave,2026-07-10,,Cloud,Approved,10862.44
PRJ000057,A0004708,Technology Refresh Wave,2026-02-05,,Network,Proposed,1323.96
PRJ000058,A0021438,Technology Refresh Wave,2026-10-02,,Network,In Progress,22897.83
PRJ000059,A0014456,Technology Refresh Wave,2027-11-13,,Cloud,Completed,1295.48
PRJ000060,A0001555,Technology Refresh Wave,2028-01-08,,Network,In Progress,1308.98
PRJ000061,A0021845,Technology Refresh Wave,2028-10-28,,Infrastructure,Approved,7362.72
PRJ000062,A0011153,Technology Refresh Wave,2028-02-28,,Security,Deferred,1488.78
PRJ000063,A0014802,Technology Refresh Wave,2028-06-09,,Cloud,Deferred,1209.34
PRJ000064,A0019723,Technology Refresh Wave,2027-06-10,,Cloud,Deferred,371.94
PRJ000065,A0012897,Technology Refresh Wave,2028-02-26,,Security,Approved,946.44
PRJ000066,A0002142,Technology Refresh Wave,2028-01-28,,End User Computing,Proposed,1511.94
PRJ000067,A0016785,Technology Refresh Wave,2026-09-13,,Security,In Progress,1141.23
PRJ000068,A0006232,Technology Refresh Wave,2026-04-20,,Security,Completed,905.6
PRJ000069,A0012609,Technology Refresh Wave,2028-04-29,,Security,Completed,1570.1
PRJ000070,A0018364,Technology Refresh Wave,2028-01-21,,Security,Completed,755.36
PRJ000071,A0003734,Technology Refresh Wave,2027-09-18,,End User Computing,In Progress,1096.66
PRJ000072,A0004160,Technology Refresh Wave,2026-06-23,,Network,In Progress,1832.05
PRJ000073,A0021270,Technology Refresh Wave,2028-04-29,,Infrastructure,Approved,10586.43
PRJ000074,A0020209,Technology Refresh Wave,2028-06-08,,Security,Approved,19274.05
PRJ000075,A0014323,Technology Refresh Wave,2026-08-31,,Security,In Progress,1009.52
PRJ000076,A0006871,Technology Refresh Wave,2027-08-04,,Cloud,Deferred,1108.02
PRJ000077,A0022801,Technology Refresh Wave,2028-05-26,,End User Computing,Proposed,23922.8
PRJ000078,A0011742,Technology Refresh Wave,2027-12-17,,Cloud,Proposed,1988.22
PRJ000079,A0011481,Technology Refresh Wave,2028-11-03,,Security,Deferred,1458.12
PRJ000080,A0001636,Technology Refresh Wave,2028-09-09,,Cloud,Proposed,1440.02
PRJ000081,A0007553,Technology Refresh Wave,2027-03-10,,Cloud,Completed,1900.73
PRJ000082,A0001475,Technology Refresh Wave,2026-07-09,,End User Computing,Approved,1043.14
PRJ000083,A0008166,Technology Refresh Wave,2027-05-30,,Infrastructure,In Progress,1087.5
PRJ000084,A0003777,Technology Refresh Wave,2027-05-18,,Security,In Progress,2300.86
PRJ000085,A0019953,Technology Refresh Wave,2026-11-11,,Network,Completed,393.78
PRJ000086,A0017260,Technology Refresh Wave,2028-12-18,,Security,Approved,926.15
PRJ000087,A0003464,Technology Refresh Wave,2028-07-31,,Security,Approved,1097.3
PRJ000088,A0010537,Technology Refresh Wave,2027-10-24,,Security,In Progress,1421.4
PRJ000089,A0017980,Technology Refresh Wave,2028-08-19,,End User Computing,Deferred,661.95
PRJ000090,A0016335,Technology Refresh Wave,2027-04-14,,Network,In Progress,1150.46
PRJ000091,A0016086,Technology Refresh Wave,2027-11-06,,End User Computing,Proposed,698.44
PRJ000092,A0016823,Technology Refresh Wave,2026-08-06,,Cloud,In Progress,992.91
PRJ000093,A0000200,Technology Refresh Wave,2028-09-08,,Infrastructure,Proposed,2148.25
PRJ000094,A0003800,Technology Refresh Wave,2027-02-18,,Cloud,Approved,914.31
PRJ000095,A0002112,Technology Refresh Wave,2027-02-24,,End User Computing,Approved,1071.15
PRJ000096,A0000222,Technology Refresh Wave,2028-09-19,,End User Computing,Proposed,1172.69
PRJ000097,A0023135,Technology Refresh Wave,2028-07-01,,Security,Deferred,526.86
PRJ000098,A0012962,Technology Refresh Wave,2027-10-06,,Network,Approved,1448.87
PRJ000099,A0017122,Technology Refresh Wave,2027-08-21,,Security,Deferred,911.3
PRJ000100,A0013656,Technology Refresh Wave,2026-01-30,,Network,In Progress,1119.81
PRJ000101,A0020245,Technology Refresh Wave,2026-12-22,,Infrastructure,In Progress,12339.79
PRJ000102,A0008933,Technology Refresh Wave,2028-02-11,,Infrastructure,In Progress,1414.41
PRJ000103,A0017063,Technology Refresh Wave,2027-09-07,,Network,Proposed,1178.55
PRJ000104,A0021850,Technology Refresh Wave,2028-10-15,,Infrastructure,Approved,4338.1
PRJ000105,A0014471,Technology Refresh Wave,2027-02-22,,Infrastructure,Completed,1345.54
PRJ000106,A0013145,Technology Refresh Wave,2027-08-23,,Infrastructure,Completed,876.47
PRJ000107,A0000517,Technology Refresh Wave,2028-02-19,,Infrastructure,Deferred,1566.08
PRJ000108,A0010663,Technology Refresh Wave,2028-03-20,,Cloud,Approved,763.19
PRJ000109,A0019701,Technology Refresh Wave,2026-12-04,,Cloud,Proposed,457.29
PRJ000110,A0004511,Technology Refresh Wave,2028-11-28,,Security,Completed,1258.11
PRJ000111,A0016376,Technology Refresh Wave,2027-10-25,,Security,In Progress,937.99
PRJ000112,A0016156,Technology Refresh Wave,2026-12-14,,Network,Completed,703.08
PRJ000113,A0004575,Technology Refresh Wave,2026-11-23,,Security,Proposed,909.04
PRJ000114,A0011896,Technology Refresh Wave,2028-09-25,,Security,In Progress,2429.25
PRJ000115,A0014972,Technology Refresh Wave,2026-04-10,,Network,In Progress,873.65
PRJ000116,A0005993,Technology Refresh Wave,2028-10-09,,End User Computing,Completed,2380.12
PRJ000117,A0010629,Technology Refresh Wave,2026-05-29,,Cloud,Approved,1213.38
PRJ000118,A0011789,Technology Refresh Wave,2026-01-05,,End User Computing,Deferred,1425.55
PRJ000119,A0022485,Technology Refresh Wave,2027-10-08,,End User Computing,In Progress,13786.08
PRJ000120,A0001203,Technology Refresh Wave,2027-06-21,,End User Computing,In Progress,817.02
PRJ000121,A0011319,Technology Refresh Wave,2027-10-30,,Cloud,Proposed,1514.31
PRJ000122,A0016471,Technology Refresh Wave,2028-06-29,,Security,Completed,1019.94
PRJ000123,A0009086,Technology Refresh Wave,2026-08-26,,Infrastructure,Proposed,1788.59
PRJ000124,A0022182,Technology Refresh Wave,2026-08-06,,Infrastructure,Proposed,8186.79
PRJ000125,A0010355,Technology Refresh Wave,2027-03-17,,Cloud,Approved,2843.7
PRJ000126,A0019545,Technology Refresh Wave,2027-01-15,,Infrastructure,In Progress,436.09
PRJ000127,A0016023,Technology Refresh Wave,2026-12-05,,Network,Approved,1157.84
PRJ000128,A0012177,Technology Refresh Wave,2028-12-13,,Network,Proposed,939.81
PRJ000129,A0019047,Technology Refresh Wave,2026-12-21,,Network,Deferred,417.22
PRJ000130,A0002560,Technology Refresh Wave,2028-04-18,,End User Computing,Proposed,1017.94
PRJ000131,A0000972,Technology Refresh Wave,2026-10-18,,Cloud,Approved,1008.27
PRJ000132,A0021045,Technology Refresh Wave,2028-05-01,,Network,In Progress,19327.63
PRJ000133,A0015240,Technology Refresh Wave,2027-11-17,,Security,In Progress,945.48
PRJ000134,A0012795,Technology Refresh Wave,2028-12-14,,Infrastructure,In Progress,917.87
PRJ000135,A0022039,Technology Refresh Wave,2028-01-27,,Infrastructure,Deferred,4492.08
PRJ000136,A0008929,Technology Refresh Wave,2028-05-10,,Infrastructure,Deferred,1422.43
PRJ000137,A0017745,Technology Refresh Wave,2026-10-05,,Security,In Progress,847.87
PRJ000138,A0021687,Technology Refresh Wave,2026-09-28,,Security,In Progress,3554.57
PRJ000139,A0023317,Technology Refresh Wave,2026-08-08,,End User Computing,Approved,673.92
PRJ000140,A0012573,Technology Refresh Wave,2028-12-01,,Security,Approved,1206.02
PRJ000141,A0019799,Technology Refresh Wave,2027-03-28,,Network,Approved,530.98
PRJ000142,A0011294,Technology Refresh Wave,2026-12-14,,Infrastructure,Approved,1266.27
PRJ000143,A0020410,Technology Refresh Wave,2027-03-26,,End User Computing,Approved,17171.15
PRJ000144,A0014369,Technology Refresh Wave,2026-03-19,,Network,Deferred,857.18
PRJ000145,A0019594,Technology Refresh Wave,2026-07-15,,Network,Deferred,463.95
PRJ000146,A0019565,Technology Refresh Wave,2027-03-28,,Infrastructure,In Progress,422.1
PRJ000147,A0011257,Technology Refresh Wave,2028-01-24,,Network,In Progress,2149.71
PRJ000148,A0013832,Technology Refresh Wave,2027-02-09,,Network,Deferred,1929.45
PRJ000149,A0012407,Technology Refresh Wave,2026-04-22,,End User Computing,Completed,1266.87
PRJ000150,A0023219,Technology Refresh Wave,2027-01-11,,Cloud,Completed,982.74
PRJ000151,A0022131,Technology Refresh Wave,2027-05-06,,Cloud,Proposed,4392.06
PRJ000152,A0012841,Technology Refresh Wave,2027-09-06,,Security,Proposed,1380.94
PRJ000153,A0012341,Technology Refresh Wave,2028-03-30,,End User Computing,Deferred,1137.63
PRJ000154,A0006827,Technology Refresh Wave,2026-03-27,,Security,Deferred,839.02
PRJ000155,A0002223,Technology Refresh Wave,2026-12-12,,End User Computing,Deferred,1200.83
PRJ000156,A0016414,Technology Refresh Wave,2027-04-28,,Security,In Progress,1022.79
PRJ000157,A0019510,Technology Refresh Wave,2028-05-09,,Infrastructure,In Progress,536.36
PRJ000158,A0023068,Technology Refresh Wave,2026-09-02,,Network,Completed,988.14
PRJ000159,A0008444,Technology Refresh Wave,2028-07-25,,Infrastructure,Approved,1252.59
PRJ000160,A0001109,Technology Refresh Wave,2026-11-12,,Cloud,Completed,1216.03
PRJ000161,A0016628,Technology Refresh Wave,2027-09-12,,Security,Completed,1090.5
PRJ000162,A0004835,Technology Refresh Wave,2027-09-19,,Network,Proposed,898.34
PRJ000163,A0012045,Technology Refresh Wave,2027-04-09,,Infrastructure,In Progress,1357.71
PRJ000164,A0023440,Technology Refresh Wave,2028-08-02,,Infrastructure,Completed,760.3
PRJ000165,A0017193,Technology Refresh Wave,2028-10-28,,Cloud,Completed,890.72
PRJ000166,A0014667,Technology Refresh Wave,2026-11-02,,Network,Completed,1063.24
PRJ000167,A0019926,Technology Refresh Wave,2027-04-01,,Network,In Progress,357.48
PRJ000168,A0015943,Technology Refresh Wave,2027-05-21,,Network,Approved,751.75
PRJ000169,A0015685,Technology Refresh Wave,2026-08-21,,End User Computing,Proposed,796.93
PRJ000170,A0001484,Technology Refresh Wave,2028-06-08,,Cloud,Proposed,1130.11
PRJ000171,A0008320,Technology Refresh Wave,2026-02-03,,Cloud,Deferred,870.03
PRJ000172,A0019027,Technology Refresh Wave,2027-08-26,,Network,Approved,534.34
PRJ000173,A0005954,Technology Refresh Wave,2028-10-03,,Network,In Progress,1048.65
PRJ000174,A0016672,Technology Refresh Wave,2027-05-08,,Security,Deferred,1291.76
PRJ000175,A0009093,Technology Refresh Wave,2027-02-04,,End User Computing,Completed,943.31
PRJ000176,A0006970,Technology Refresh Wave,2028-10-25,,Network,Proposed,2579.52
PRJ000177,A0018489,Technology Refresh Wave,2028-12-02,,Network,Completed,1208.07
PRJ000178,A0000502,Technology Refresh Wave,2028-07-01,,Network,Completed,2487.78
PRJ000179,A0012349,Technology Refresh Wave,2026-06-17,,Cloud,Deferred,908.46
PRJ000180,A0019501,Technology Refresh Wave,2026-04-28,,End User Computing,Proposed,409.06
PRJ000181,A0011207,Technology Refresh Wave,2028-07-03,,Cloud,Completed,1563.25
PRJ000182,A0010819,Technology Refresh Wave,2028-11-17,,Infrastructure,In Progress,1002.29
PRJ000183,A0002405,Technology Refresh Wave,2026-06-09,,Cloud,Proposed,1142.95
PRJ000184,A0005710,Technology Refresh Wave,2026-10-23,,Cloud,Proposed,1109.14
PRJ000185,A0003740,Technology Refresh Wave,2027-10-16,,Infrastructure,Completed,1756.54
PRJ000186,A0014510,Technology Refresh Wave,2028-02-04,,Infrastructure,Proposed,861.65
PRJ000187,A0017123,Technology Refresh Wave,2028-05-18,,Security,Approved,900.74
PRJ000188,A0007135,Technology Refresh Wave,2028-11-11,,Cloud,Proposed,1241.93
PRJ000189,A0018341,Technology Refresh Wave,2028-12-08,,Network,Deferred,902.9
PRJ000190,A0002387,Technology Refresh Wave,2028-10-06,,Security,Completed,1185.41
PRJ000191,A0020280,Technology Refresh Wave,2028-01-21,,Infrastructure,In Progress,20577.1
PRJ000192,A0009145,Technology Refresh Wave,2028-09-21,,Infrastructure,Proposed,2479.91
PRJ000193,A0006888,Technology Refresh Wave,2026-10-08,,Infrastructure,Deferred,1089.67
PRJ000194,A0020814,Technology Refresh Wave,2027-08-20,,Security,Approved,17935.37
PRJ000195,A0012310,Technology Refresh Wave,2026-11-30,,Cloud,Proposed,971.18
PRJ000196,A0011068,Technology Refresh Wave,2027-05-09,,Network,Deferred,1118.66
PRJ000197,A0019313,Technology Refresh Wave,2028-02-03,,Infrastructure,Approved,470.47
PRJ000198,A0010295,Technology Refresh Wave,2027-04-14,,End User Computing,In Progress,1317.65
PRJ000199,A0014194,Technology Refresh Wave,2027-06-01,,Network,Deferred,813.18
PRJ000200,A0018667,Technology Refresh Wave,2027-12-06,,End User Computing,Deferred,346.84
PRJ000201,A0011444,Technology Refresh Wave,2028-01-15,,Security,Deferred,1410.55
PRJ000202,A0013641,Technology Refresh Wave,2026-06-29,,Network,Approved,1230.35
PRJ000203,A0005972,Technology Refresh Wave,2026-04-12,,Network,Approved,1444.36
PRJ000204,A0004401,Technology Refresh Wave,2026-06-08,,Infrastructure,Completed,2074.89
PRJ000205,A0017593,Technology Refresh Wave,2026-08-27,,Infrastructure,Proposed,892.89
PRJ000206,A0011989,Technology Refresh Wave,2028-07-08,,Cloud,In Progress,998.27
PRJ000207,A0007305,Technology Refresh Wave,2027-04-13,,Network,In Progress,1031.49
PRJ000208,A0016179,Technology Refresh Wave,2027-03-12,,End User Computing,Proposed,1304.78
PRJ000209,A0001744,Technology Refresh Wave,2026-03-09,,Cloud,Proposed,1093.88
PRJ000210,A0003589,Technology Refresh Wave,2026-07-15,,Cloud,Deferred,1044.26
PRJ000211,A0014992,Technology Refresh Wave,2027-01-19,,End User Computing,In Progress,1092.78
PRJ000212,A0020366,Technology Refresh Wave,2028-04-12,,Infrastructure,Completed,19389.95
PRJ000213,A0006253,Technology Refresh Wave,2027-04-07,,Cloud,In Progress,1047.62
PRJ000214,A0012934,Technology Refresh Wave,2028-12-23,,Network,In Progress,2793.49
PRJ000215,A0017937,Technology Refresh Wave,2028-08-21,,Cloud,Proposed,933.29
PRJ000216,A0013310,Technology Refresh Wave,2028-11-27,,Cloud,Deferred,1415.87
PRJ000217,A0007217,Technology Refresh Wave,2027-11-05,,Infrastructure,Deferred,1135.01
PRJ000218,A0016399,Technology Refresh Wave,2026-01-30,,Security,Approved,912.26
PRJ000219,A0004846,Technology Refresh Wave,2028-04-23,,Network,Proposed,1207.76
PRJ000220,A0000504,Technology Refresh Wave,2028-09-20,,Security,Completed,1932.68
PRJ000221,A0006280,Technology Refresh Wave,2027-06-01,,End User Computing,Completed,1424.33
PRJ000222,A0011217,Technology Refresh Wave,2027-09-28,,Security,In Progress,1881.49
PRJ000223,A0013537,Technology Refresh Wave,2027-02-11,,Network,In Progress,1368.85
PRJ000224,A0012148,Technology Refresh Wave,2027-03-19,,Cloud,In Progress,1154.9
PRJ000225,A0007554,Technology Refresh Wave,2028-12-30,,Cloud,Approved,1399.45
PRJ000226,A0004153,Technology Refresh Wave,2026-11-28,,Security,Approved,1332.25
PRJ000227,A0006499,Technology Refresh Wave,2028-10-04,,Cloud,Completed,1211.37
PRJ000228,A0018795,Technology Refresh Wave,2026-09-22,,Security,Completed,508.08
PRJ000229,A0006713,Technology Refresh Wave,2027-09-02,,Security,Approved,990.06
PRJ000230,A0012043,Technology Refresh Wave,2026-01-30,,End User Computing,Completed,1469.29
PRJ000231,A0015031,Technology Refresh Wave,2027-03-31,,Network,In Progress,1343.54
PRJ000232,A0010670,Technology Refresh Wave,2028-09-02,,End User Computing,Proposed,1481.08
PRJ000233,A0010862,Technology Refresh Wave,2026-06-09,,Network,Proposed,1467.35
PRJ000234,A0016424,Technology Refresh Wave,2027-07-03,,Cloud,Completed,1041.41
PRJ000235,A0002086,Technology Refresh Wave,2026-07-12,,End User Computing,Completed,1326.99
PRJ000236,A0018290,Technology Refresh Wave,2027-04-17,,End User Computing,Completed,868.14
PRJ000237,A0004105,Technology Refresh Wave,2027-01-20,,End User Computing,In Progress,1122.97
PRJ000238,A0022378,Technology Refresh Wave,2028-02-03,,Cloud,In Progress,15961.56
PRJ000239,A0005706,Technology Refresh Wave,2026-09-13,,Cloud,Proposed,1300.05
PRJ000240,A0018702,Technology Refresh Wave,2026-02-22,,Network,Proposed,307.12
PRJ000241,A0003700,Technology Refresh Wave,2026-05-22,,Infrastructure,Deferred,1445.12
PRJ000242,A0006134,Technology Refresh Wave,2028-06-20,,End User Computing,Completed,2366.65
PRJ000243,A0020307,Technology Refresh Wave,2027-08-11,,Cloud,Deferred,14366.04
PRJ000244,A0004259,Technology Refresh Wave,2027-11-11,,Infrastructure,Deferred,1489.36
PRJ000245,A0006673,Technology Refresh Wave,2027-01-16,,End User Computing,Completed,2012.19
PRJ000246,A0020849,Technology Refresh Wave,2028-10-24,,Cloud,Completed,15770.53
PRJ000247,A0008716,Technology Refresh Wave,2028-12-21,,End User Computing,In Progress,1248.07
PRJ000248,A0007478,Technology Refresh Wave,2028-11-25,,Network,In Progress,1325.17
PRJ000249,A0014743,Technology Refresh Wave,2027-08-20,,Infrastructure,Deferred,1110.36
PRJ000250,A0013291,Technology Refresh Wave,2028-12-15,,Cloud,Proposed,1327.77
PRJ000251,A0008410,Technology Refresh Wave,2028-11-13,,Cloud,Proposed,1889.17
PRJ000252,A0013843,Technology Refresh Wave,2028-05-07,,Security,Approved,1519.32
PRJ000253,A0019894,Technology Refresh Wave,2028-07-04,,End User Computing,Completed,453.19
PRJ000254,A0021113,Technology Refresh Wave,2026-10-21,,Security,Approved,19843.48
PRJ000255,A0013036,Technology Refresh Wave,2027-11-01,,Infrastructure,Completed,1350.3
PRJ000256,A0011146,Technology Refresh Wave,2027-05-29,,End User Computing,Approved,1238.66
PRJ000257,A0000961,Technology Refresh Wave,2028-08-17,,Infrastructure,Approved,1096.12
PRJ000258,A0017919,Technology Refresh Wave,2028-12-24,,End User Computing,Deferred,1411.52
PRJ000259,A0002202,Technology Refresh Wave,2028-06-02,,Cloud,Proposed,1438.7
PRJ000260,A0000424,Technology Refresh Wave,2028-10-23,,Infrastructure,Proposed,1513.17
PRJ000261,A0009956,Technology Refresh Wave,2028-05-21,,End User Computing,Completed,1292.75
PRJ000262,A0006760,Technology Refresh Wave,2026-05-26,,Infrastructure,In Progress,1224.1
PRJ000263,A0001874,Technology Refresh Wave,2028-05-23,,Security,Completed,1685.59
PRJ000264,A0021250,Technology Refresh Wave,2027-11-16,,Security,Completed,13111.22
PRJ000265,A0000211,Technology Refresh Wave,2026-06-02,,Security,Completed,1571.73
PRJ000266,A0009100,Technology Refresh Wave,2028-09-24,,Network,Proposed,1637.23
PRJ000267,A0008759,Technology Refresh Wave,2028-12-21,,Infrastructure,Completed,1439.77
PRJ000268,A0000448,Technology Refresh Wave,2026-08-13,,Cloud,Approved,1206.65
PRJ000269,A0011342,Technology Refresh Wave,2027-01-16,,Network,Approved,1535.35
PRJ000270,A0008623,Technology Refresh Wave,2026-06-19,,Network,Proposed,1579.23
PRJ000271,A0004192,Technology Refresh Wave,2027-06-16,,Security,Approved,973.47
PRJ000272,A0011039,Technology Refresh Wave,2028-07-07,,Security,Approved,1185.05
PRJ000273,A0006429,Technology Refresh Wave,2027-02-22,,End User Computing,Deferred,1251.54
PRJ000274,A0008765,Technology Refresh Wave,2028-09-21,,End User Computing,In Progress,1476.18
PRJ000275,A0020473,Technology Refresh Wave,2026-08-23,,Cloud,In Progress,11085.62
PRJ000276,A0004878,Technology Refresh Wave,2028-07-22,,End User Computing,Proposed,1288.36
PRJ000277,A0017932,Technology Refresh Wave,2028-03-07,,Cloud,In Progress,1018.45
PRJ000278,A0005750,Technology Refresh Wave,2026-08-01,,End User Computing,Approved,2476.52
PRJ000279,A0020549,Technology Refresh Wave,2028-06-24,,Security,Deferred,15072.18
PRJ000280,A0007091,Technology Refresh Wave,2027-09-08,,End User Computing,Completed,1015.19
PRJ000281,A0002865,Technology Refresh Wave,2027-02-07,,Security,Approved,1055.62
PRJ000282,A0006731,Technology Refresh Wave,2028-03-07,,Infrastructure,Proposed,1584.49
PRJ000283,A0020689,Technology Refresh Wave,2026-12-30,,Network,Proposed,13613.42
PRJ000284,A0022128,Technology Refresh Wave,2028-03-08,,Network,In Progress,5891.17
PRJ000285,A0007514,Technology Refresh Wave,2026-07-15,,Cloud,In Progress,2047.62
PRJ000286,A0002782,Technology Refresh Wave,2027-07-29,,Infrastructure,Approved,1066.24
PRJ000287,A0007153,Technology Refresh Wave,2027-08-31,,End User Computing,Approved,1422.16
PRJ000288,A0014903,Technology Refresh Wave,2028-01-30,,Infrastructure,Proposed,1190.4
PRJ000289,A0006282,Technology Refresh Wave,2028-03-22,,Infrastructure,In Progress,1248.61
PRJ000290,A0008443,Technology Refresh Wave,2027-03-12,,Cloud,In Progress,1376.96
PRJ000291,A0022509,Technology Refresh Wave,2028-02-04,,Cloud,Approved,21373.89
PRJ000292,A0017444,Technology Refresh Wave,2026-06-30,,End User Computing,Deferred,1333.74
PRJ000293,A0005072,Technology Refresh Wave,2028-06-12,,Infrastructure,Proposed,1123.12
PRJ000294,A0003214,Technology Refresh Wave,2026-03-18,,End User Computing,Deferred,2313.45
PRJ000295,A0016380,Technology Refresh Wave,2027-05-13,,Infrastructure,Proposed,862.56
PRJ000296,A0022819,Technology Refresh Wave,2027-03-06,,End User Computing,In Progress,12118.51
PRJ000297,A0012168,Technology Refresh Wave,2027-12-28,,Security,Proposed,981.37
PRJ000298,A0017769,Technology Refresh Wave,2028-03-24,,Network,Proposed,693.97
PRJ000299,A0002409,Technology Refresh Wave,2027-12-24,,End User Computing,Approved,1789.74
PRJ000300,A0019055,Technology Refresh Wave,2027-08-01,,End User Computing,Completed,414.28
PRJ000301,A0015500,Technology Refresh Wave,2026-09-02,,End User Computing,In Progress,1086.9
PRJ000302,A0002120,Technology Refresh Wave,2026-06-05,,Network,In Progress,1154.99
PRJ000303,A0004476,Technology Refresh Wave,2028-07-20,,Security,Approved,1078.54
PRJ000304,A0015424,Technology Refresh Wave,2028-09-05,,Infrastructure,Deferred,953.74
PRJ000305,A0012909,Technology Refresh Wave,2027-08-22,,End User Computing,In Progress,1260.08
PRJ000306,A0003403,Technology Refresh Wave,2028-10-10,,Infrastructure,In Progress,1020.98
