Vulnerability_Record_ID,Asset_ID,CVE,Affected_Product,Severity,CVSS_Score,Discovery_Date,Remediation_Due_Date,Remediation_Status,Patch_Available,Recommended_Action
VUL-00000018,AST-0021944,CVE-2023-34362,MOVEit Transfer,Critical,9.8,2025-07-28,2025-08-27,In Progress,Yes,Vendor Fix Pending
VUL-00000019,AST-0021520,CVE-2022-30190,Microsoft Support Diagnostic Tool,High,7.8,2025-10-13,2025-10-28,Remediated,Yes,Patch
VUL-00000020,AST-0000892,CVE-2021-44228,Apache Log4j,Critical,10.0,2024-11-19,2024-12-04,Remediated,No,Upgrade
VUL-00000021,AST-0004258,CVE-2023-3519,Citrix ADC,Critical,9.8,2025-04-26,2025-05-26,Open,Yes,Upgrade
VUL-00000022,AST-0004081,CVE-2024-3094,XZ Utils,Critical,10.0,2024-09-01,2024-11-30,Open,No,Patch
VUL-00000023,AST-0000483,CVE-2023-23397,Microsoft Outlook,Critical,9.8,2025-05-11,2025-05-26,In Progress,No,Upgrade
VUL-00000024,AST-0017726,CVE-2024-3094,XZ Utils,Critical,10.0,2025-12-27,2026-01-26,Open,Yes,Patch
VUL-00000025,AST-0008790,CVE-2023-3519,Citrix ADC,Critical,9.8,2024-06-14,2024-08-13,Remediated,Yes,Vendor Fix Pending
VUL-00000026,AST-0023047,CVE-2021-34527,Windows Print Spooler,Critical,8.8,2026-01-06,2026-03-07,Open,Yes,Vendor Fix Pending
VUL-00000027,AST-0020984,CVE-2023-23397,Microsoft Outlook,Critical,9.8,2025-08-12,2025-11-10,In Progress,No,Vendor Fix Pending
VUL-00000028,AST-0010094,CVE-2023-38545,curl,High,9.8,2024-11-16,2025-02-14,Remediated,No,Vendor Fix Pending
VUL-00000029,AST-0016976,CVE-2024-3094,XZ Utils,Critical,10.0,2026-03-20,2026-04-19,Remediated,Yes,Patch
VUL-00000030,AST-0021180,CVE-2022-22965,Spring Framework,Critical,9.8,2024-08-16,2024-08-31,Risk Accepted,Yes,Upgrade
VUL-00000031,AST-0006470,CVE-2024-3094,XZ Utils,Critical,10.0,2024-12-19,2025-01-03,In Progress,No,Vendor Fix Pending
VUL-00000032,AST-0013735,CVE-2020-1472,Windows Netlogon,Critical,10.0,2026-03-27,2026-05-26,Remediated,No,Vendor Fix Pending
VUL-00000033,AST-0004567,CVE-2022-22965,Spring Framework,Critical,9.8,2025-07-06,2025-09-04,In Progress,Yes,Vendor Fix Pending
VUL-00000034,AST-0022881,CVE-2023-3519,Citrix ADC,Critical,9.8,2025-07-01,2025-08-30,Remediated,Yes,Upgrade
VUL-00000035,AST-0020490,CVE-2023-3519,Citrix ADC,Critical,9.8,2025-11-26,2026-01-25,In Progress,No,Upgrade
VUL-00000036,AST-0021702,CVE-2024-3094,XZ Utils,Critical,10.0,2025-08-04,2025-08-19,Risk Accepted,No,Upgrade
VUL-00000037,AST-0020405,CVE-2023-23397,Microsoft Outlook,Critical,9.8,2025-10-25,2025-11-24,Open,Yes,Compensating Control
VUL-00000038,AST-0016378,CVE-2022-30190,Microsoft Support Diagnostic Tool,High,7.8,2024-12-04,2025-01-03,False Positive,Yes,Compensating Control
VUL-00000039,AST-0004382,CVE-2022-22965,Spring Framework,Critical,9.8,2025-03-11,2025-05-10,Remediated,No,Patch
VUL-00000040,AST-0005050,CVE-2024-3094,XZ Utils,Critical,10.0,2024-06-21,2024-09-19,Open,No,Vendor Fix Pending
VUL-00000041,AST-0018412,CVE-2023-3519,Citrix ADC,Critical,9.8,2024-11-22,2024-12-07,Open,No,Vendor Fix Pending
VUL-00000042,AST-0021375,CVE-2022-22965,Spring Framework,Critical,9.8,2025-08-10,2025-08-25,Remediated,Yes,Vendor Fix Pending
VUL-00000043,AST-0022906,CVE-2022-22965,Spring Framework,Critical,9.8,2024-07-03,2024-10-01,Remediated,Yes,Compensating Control
VUL-00000044,AST-0000232,CVE-2022-22965,Spring Framework,Critical,9.8,2025-09-02,2025-11-01,Risk Accepted,Yes,Compensating Control
VUL-00000045,AST-0006068,CVE-2021-44228,Apache Log4j,Critical,10.0,2024-08-26,2024-10-25,Open,Yes,Vendor Fix Pending
VUL-00000046,AST-0015232,CVE-2021-44228,Apache Log4j,Critical,10.0,2026-05-20,2026-06-04,Open,Yes,Upgrade
VUL-00000047,AST-0020120,CVE-2023-34362,MOVEit Transfer,Critical,9.8,2025-09-23,2025-10-08,Remediated,Yes,Patch
VUL-00000048,AST-0003259,CVE-2020-1472,Windows Netlogon,Critical,10.0,2026-05-04,2026-05-19,Remediated,Yes,Compensating Control
VUL-00000049,AST-0009117,CVE-2022-30190,Microsoft Support Diagnostic Tool,High,7.8,2024-09-16,2024-10-16,Remediated,No,Vendor Fix Pending
VUL-00000050,AST-0020766,CVE-2024-3094,XZ Utils,Critical,10.0,2025-04-06,2025-07-05,Remediated,No,Compensating Control
VUL-00000051,AST-0019355,CVE-2023-38545,curl,High,9.8,2025-11-04,2026-02-02,In Progress,No,Patch
VUL-00000052,AST-0017121,CVE-2023-23397,Microsoft Outlook,Critical,9.8,2025-03-07,2025-03-22,Risk Accepted,Yes,Patch
VUL-00000053,AST-0002475,CVE-2023-3519,Citrix ADC,Critical,9.8,2026-03-13,2026-06-11,Open,Yes,Compensating Control
VUL-00000054,AST-0022656,CVE-2023-38408,OpenSSH,High,9.8,2025-01-02,2025-04-02,Open,Yes,Upgrade
VUL-00000055,AST-0010261,CVE-2021-34527,Windows Print Spooler,Critical,8.8,2026-02-16,2026-05-17,Open,Yes,Patch
VUL-00000056,AST-0021485,CVE-2022-22965,Spring Framework,Critical,9.8,2025-03-15,2025-03-30,Remediated,Yes,Patch
VUL-00000057,AST-0018287,CVE-2023-27997,Fortinet FortiOS,Critical,9.8,2025-03-17,2025-04-01,In Progress,No,Compensating Control
VUL-00000058,AST-0009272,CVE-2023-38408,OpenSSH,High,9.8,2025-03-22,2025-04-06,In Progress,Yes,Patch
VUL-00000059,AST-0020074,CVE-2021-44228,Apache Log4j,Critical,10.0,2026-04-01,2026-04-16,In Progress,No,Compensating Control
VUL-00000060,AST-0000841,CVE-2021-34527,Windows Print Spooler,Critical,8.8,2025-02-24,2025-04-25,Open,No,Compensating Control
VUL-00000061,AST-0020206,CVE-2020-1472,Windows Netlogon,Critical,10.0,2025-07-15,2025-07-30,In Progress,Yes,Patch
VUL-00000062,AST-0013645,CVE-2021-34527,Windows Print Spooler,Critical,8.8,2025-05-28,2025-08-26,In Progress,Yes,Vendor Fix Pending
VUL-00000063,AST-0011709,CVE-2023-27997,Fortinet FortiOS,Critical,9.8,2025-11-21,2025-12-06,In Progress,No,Vendor Fix Pending
VUL-00000064,AST-0005686,CVE-2023-34362,MOVEit Transfer,Critical,9.8,2024-07-13,2024-09-11,In Progress,No,Patch
VUL-00000065,AST-0010316,CVE-2021-34527,Windows Print Spooler,Critical,8.8,2025-08-09,2025-08-24,Remediated,No,Vendor Fix Pending
VUL-00000066,AST-0020060,CVE-2020-1472,Windows Netlogon,Critical,10.0,2024-07-24,2024-10-22,Remediated,Yes,Patch
VUL-00000067,AST-0020688,CVE-2021-44228,Apache Log4j,Critical,10.0,2025-12-09,2026-02-07,Open,No,Compensating Control
VUL-00000068,AST-0005084,CVE-2023-27997,Fortinet FortiOS,Critical,9.8,2024-09-25,2024-12-24,Risk Accepted,Yes,Compensating Control
VUL-00000069,AST-0020744,CVE-2023-34362,MOVEit Transfer,Critical,9.8,2024-11-08,2025-01-07,In Progress,Yes,Upgrade
VUL-00000070,AST-0001987,CVE-2020-1472,Windows Netlogon,Critical,10.0,2024-06-02,2024-07-02,Remediated,Yes,Vendor Fix Pending
VUL-00000071,AST-0020499,CVE-2021-34527,Windows Print Spooler,Critical,8.8,2025-09-12,2025-10-12,Remediated,Yes,Patch
VUL-00000072,AST-0008722,CVE-2020-1472,Windows Netlogon,Critical,10.0,2025-12-06,2026-03-06,False Positive,Yes,Upgrade
VUL-00000073,AST-0003027,CVE-2022-30190,Microsoft Support Diagnostic Tool,High,7.8,2025-07-29,2025-08-28,Remediated,No,Patch
VUL-00000074,AST-0012165,CVE-2024-3094,XZ Utils,Critical,10.0,2025-02-27,2025-04-28,Remediated,No,Patch
VUL-00000075,AST-0020860,CVE-2022-22965,Spring Framework,Critical,9.8,2025-12-25,2026-01-24,Remediated,No,Compensating Control
VUL-00000076,AST-0008903,CVE-2021-44228,Apache Log4j,Critical,10.0,2025-04-22,2025-05-22,Remediated,No,Compensating Control
VUL-00000077,AST-0010332,CVE-2023-38545,curl,High,9.8,2024-10-14,2024-10-29,Open,Yes,Upgrade
VUL-00000078,AST-0021234,CVE-2021-34527,Windows Print Spooler,Critical,8.8,2026-02-26,2026-05-27,Remediated,Yes,Vendor Fix Pending
VUL-00000079,AST-0010948,CVE-2020-1472,Windows Netlogon,Critical,10.0,2024-12-11,2025-01-10,Open,No,Vendor Fix Pending
VUL-00000080,AST-0023243,CVE-2021-34527,Windows Print Spooler,Critical,8.8,2025-10-09,2025-11-08,In Progress,No,Patch
VUL-00000081,AST-0009416,CVE-2021-34527,Windows Print Spooler,Critical,8.8,2026-02-04,2026-05-05,Remediated,Yes,Vendor Fix Pending
VUL-00000082,AST-0001332,CVE-2021-44228,Apache Log4j,Critical,10.0,2025-08-08,2025-10-07,Open,Yes,Vendor Fix Pending
VUL-00000083,AST-0019151,CVE-2021-44228,Apache Log4j,Critical,10.0,2024-10-23,2024-12-22,Risk Accepted,Yes,Patch
VUL-00000084,AST-0015547,CVE-2022-30190,Microsoft Support Diagnostic Tool,High,7.8,2026-01-24,2026-02-23,Remediated,Yes,Vendor Fix Pending
VUL-00000085,AST-0021068,CVE-2021-34527,Windows Print Spooler,Critical,8.8,2026-03-09,2026-04-08,Open,No,Patch
VUL-00000086,AST-0014845,CVE-2022-22965,Spring Framework,Critical,9.8,2025-10-11,2025-12-10,Remediated,No,Vendor Fix Pending
VUL-00000087,AST-0022073,CVE-2023-27997,Fortinet FortiOS,Critical,9.8,2024-07-10,2024-09-08,Remediated,Yes,Vendor Fix Pending
VUL-00000088,AST-0010222,CVE-2023-34362,MOVEit Transfer,Critical,9.8,2025-06-05,2025-09-03,Remediated,Yes,Patch
VUL-00000089,AST-0006806,CVE-2022-22965,Spring Framework,Critical,9.8,2025-05-04,2025-07-03,Open,No,Upgrade
VUL-00000090,AST-0020319,CVE-2023-38545,curl,High,9.8,2024-09-29,2024-10-14,Remediated,Yes,Patch
VUL-00000091,AST-0014892,CVE-2023-34362,MOVEit Transfer,Critical,9.8,2024-08-01,2024-08-16,Remediated,No,Compensating Control
VUL-00000092,AST-0005592,CVE-2023-3519,Citrix ADC,Critical,9.8,2025-03-31,2025-04-30,Remediated,Yes,Patch
VUL-00000093,AST-0014912,CVE-2023-38408,OpenSSH,High,9.8,2026-04-15,2026-07-14,Open,No,Vendor Fix Pending
VUL-00000094,AST-0008850,CVE-2023-23397,Microsoft Outlook,Critical,9.8,2025-06-27,2025-07-27,In Progress,No,Compensating Control
VUL-00000095,AST-0023767,CVE-2023-27997,Fortinet FortiOS,Critical,9.8,2024-09-16,2024-12-15,Open,No,Compensating Control
VUL-00000096,AST-0020955,CVE-2023-23397,Microsoft Outlook,Critical,9.8,2025-05-15,2025-08-13,Risk Accepted,Yes,Upgrade
VUL-00000097,AST-0022327,CVE-2021-44228,Apache Log4j,Critical,10.0,2024-11-13,2025-02-11,Open,No,Patch
VUL-00000098,AST-0022422,CVE-2023-23397,Microsoft Outlook,Critical,9.8,2024-12-19,2025-01-03,In Progress,Yes,Vendor Fix Pending
VUL-00000099,AST-0014935,CVE-2023-27997,Fortinet FortiOS,Critical,9.8,2025-12-30,2026-01-29,Risk Accepted,No,Upgrade
VUL-00000100,AST-0002982,CVE-2023-23397,Microsoft Outlook,Critical,9.8,2025-09-24,2025-11-23,Risk Accepted,Yes,Upgrade
VUL-00000101,AST-0021684,CVE-2020-1472,Windows Netlogon,Critical,10.0,2025-09-03,2025-12-02,In Progress,Yes,Vendor Fix Pending
VUL-00000102,AST-0012134,CVE-2021-44228,Apache Log4j,Critical,10.0,2025-06-06,2025-06-21,Remediated,Yes,Compensating Control
VUL-00000103,AST-0022921,CVE-2022-22965,Spring Framework,Critical,9.8,2024-06-23,2024-07-23,In Progress,Yes,Compensating Control
VUL-00000104,AST-0020268,CVE-2022-30190,Microsoft Support Diagnostic Tool,High,7.8,2025-11-01,2025-11-16,Open,Yes,Compensating Control
VUL-00000105,AST-0021265,CVE-2024-3094,XZ Utils,Critical,10.0,2024-09-13,2024-12-12,Open,No,Compensating Control
VUL-00000106,AST-0001396,CVE-2020-1472,Windows Netlogon,Critical,10.0,2026-03-11,2026-06-09,Remediated,Yes,Compensating Control
VUL-00000107,AST-0020013,CVE-2023-34362,MOVEit Transfer,Critical,9.8,2025-08-22,2025-11-20,Remediated,No,Patch
VUL-00000108,AST-0022816,CVE-2020-1472,Windows Netlogon,Critical,10.0,2025-02-24,2025-04-25,In Progress,Yes,Patch
VUL-00000109,AST-0015216,CVE-2022-30190,Microsoft Support Diagnostic Tool,High,7.8,2025-07-12,2025-08-11,Risk Accepted,Yes,Vendor Fix Pending
VUL-00000110,AST-0014081,CVE-2022-22965,Spring Framework,Critical,9.8,2024-10-02,2024-11-01,Remediated,No,Vendor Fix Pending
VUL-00000111,AST-0006912,CVE-2023-23397,Microsoft Outlook,Critical,9.8,2026-05-06,2026-06-05,Open,Yes,Vendor Fix Pending
VUL-00000112,AST-0021053,CVE-2023-38545,curl,High,9.8,2026-04-13,2026-04-28,Remediated,No,Upgrade
VUL-00000113,AST-0020188,CVE-2023-38545,curl,High,9.8,2025-10-08,2025-12-07,Open,Yes,Patch
VUL-00000114,AST-0009997,CVE-2022-30190,Microsoft Support Diagnostic Tool,High,7.8,2025-05-28,2025-06-27,Remediated,Yes,Compensating Control
VUL-00000115,AST-0021297,CVE-2023-34362,MOVEit Transfer,Critical,9.8,2025-02-12,2025-02-27,Open,No,Patch
VUL-00000116,AST-0000353,CVE-2021-34527,Windows Print Spooler,Critical,8.8,2025-11-19,2025-12-19,Remediated,No,Upgrade
VUL-00000117,AST-0016444,CVE-2021-44228,Apache Log4j,Critical,10.0,2025-01-03,2025-03-04,Remediated,Yes,Vendor Fix Pending
VUL-00000118,AST-0023508,CVE-2023-3519,Citrix ADC,Critical,9.8,2025-07-26,2025-08-10,Risk Accepted,No,Upgrade
VUL-00000119,AST-0007306,CVE-2021-34527,Windows Print Spooler,Critical,8.8,2025-05-25,2025-08-23,Remediated,Yes,Patch
VUL-00000120,AST-0023597,CVE-2023-3519,Citrix ADC,Critical,9.8,2026-05-21,2026-06-20,Remediated,No,Compensating Control
VUL-00000121,AST-0020694,CVE-2022-30190,Microsoft Support Diagnostic Tool,High,7.8,2025-03-16,2025-06-14,In Progress,No,Patch
VUL-00000122,AST-0019096,CVE-2023-38545,curl,High,9.8,2025-03-29,2025-04-13,Open,Yes,Compensating Control
VUL-00000123,AST-0016300,CVE-2021-34527,Windows Print Spooler,Critical,8.8,2024-08-26,2024-09-25,Open,No,Compensating Control
VUL-00000124,AST-0023360,CVE-2022-22965,Spring Framework,Critical,9.8,2024-07-03,2024-07-18,Remediated,Yes,Vendor Fix Pending
VUL-00000125,AST-0011373,CVE-2022-30190,Microsoft Support Diagnostic Tool,High,7.8,2025-12-15,2026-01-14,Remediated,No,Patch
VUL-00000126,AST-0001537,CVE-2021-44228,Apache Log4j,Critical,10.0,2026-02-22,2026-03-24,Remediated,Yes,Patch
VUL-00000127,AST-0022038,CVE-2020-1472,Windows Netlogon,Critical,10.0,2024-09-22,2024-10-22,Remediated,Yes,Patch
VUL-00000128,AST-0022016,CVE-2021-44228,Apache Log4j,Critical,10.0,2024-10-13,2025-01-11,Remediated,No,Patch
VUL-00000129,AST-0011148,CVE-2023-38408,OpenSSH,High,9.8,2025-08-25,2025-09-09,Remediated,No,Upgrade
VUL-00000130,AST-0000230,CVE-2021-44228,Apache Log4j,Critical,10.0,2024-10-17,2024-11-01,In Progress,Yes,Patch
VUL-00000131,AST-0017309,CVE-2021-44228,Apache Log4j,Critical,10.0,2025-02-16,2025-03-03,Remediated,Yes,Patch
VUL-00000132,AST-0001271,CVE-2023-27997,Fortinet FortiOS,Critical,9.8,2025-02-01,2025-03-03,Open,Yes,Compensating Control
VUL-00000133,AST-0016979,CVE-2023-27997,Fortinet FortiOS,Critical,9.8,2025-07-03,2025-08-02,Open,Yes,Compensating Control
VUL-00000134,AST-0023597,CVE-2023-27997,Fortinet FortiOS,Critical,9.8,2024-08-19,2024-09-18,Remediated,Yes,Vendor Fix Pending
VUL-00000135,AST-0012349,CVE-2022-22965,Spring Framework,Critical,9.8,2025-06-13,2025-08-12,Remediated,Yes,Vendor Fix Pending
VUL-00000136,AST-0009046,CVE-2023-38408,OpenSSH,High,9.8,2025-04-15,2025-07-14,Risk Accepted,No,Patch
VUL-00000137,AST-0003548,CVE-2023-23397,Microsoft Outlook,Critical,9.8,2025-01-26,2025-03-27,Open,No,Compensating Control
VUL-00000138,AST-0011289,CVE-2021-44228,Apache Log4j,Critical,10.0,2025-02-20,2025-03-07,Remediated,No,Compensating Control
VUL-00000139,AST-0001118,CVE-2021-34527,Windows Print Spooler,Critical,8.8,2024-11-20,2025-01-19,Open,No,Upgrade
VUL-00000140,AST-0017090,CVE-2020-1472,Windows Netlogon,Critical,10.0,2024-10-28,2024-11-12,In Progress,No,Patch
VUL-00000141,AST-0006490,CVE-2024-3094,XZ Utils,Critical,10.0,2026-01-19,2026-02-03,Remediated,No,Compensating Control
VUL-00000142,AST-0016153,CVE-2023-38408,OpenSSH,High,9.8,2026-05-16,2026-08-14,Open,Yes,Patch
VUL-00000143,AST-0022039,CVE-2022-22965,Spring Framework,Critical,9.8,2024-09-17,2024-10-02,Open,Yes,Vendor Fix Pending
VUL-00000144,AST-0000018,CVE-2023-3519,Citrix ADC,Critical,9.8,2025-03-28,2025-04-27,Open,Yes,Compensating Control
VUL-00000145,AST-0010364,CVE-2022-22965,Spring Framework,Critical,9.8,2024-07-09,2024-08-08,Open,No,Patch
VUL-00000146,AST-0009402,CVE-2023-38408,OpenSSH,High,9.8,2026-03-09,2026-05-08,Open,No,Compensating Control
VUL-00000147,AST-0011353,CVE-2022-30190,Microsoft Support Diagnostic Tool,High,7.8,2025-12-31,2026-03-31,In Progress,No,Compensating Control
VUL-00000148,AST-0015023,CVE-2022-22965,Spring Framework,Critical,9.8,2024-08-29,2024-10-28,Open,No,Compensating Control
VUL-00000149,AST-0001104,CVE-2022-30190,Microsoft Support Diagnostic Tool,High,7.8,2025-09-28,2025-10-28,Remediated,Yes,Upgrade
VUL-00000150,AST-0023544,CVE-2022-30190,Microsoft Support Diagnostic Tool,High,7.8,2025-01-15,2025-03-16,Open,No,Patch
VUL-00000151,AST-0003658,CVE-2022-22965,Spring Framework,Critical,9.8,2025-07-26,2025-10-24,Remediated,No,Patch
VUL-00000152,AST-0020256,CVE-2023-38545,curl,High,9.8,2025-02-27,2025-05-28,Open,No,Patch
VUL-00000153,AST-0012137,CVE-2023-3519,Citrix ADC,Critical,9.8,2025-03-30,2025-04-29,In Progress,Yes,Upgrade
VUL-00000154,AST-0014401,CVE-2024-3094,XZ Utils,Critical,10.0,2025-05-07,2025-08-05,In Progress,No,Vendor Fix Pending
VUL-00000155,AST-0010673,CVE-2022-22965,Spring Framework,Critical,9.8,2025-09-06,2025-12-05,Open,Yes,Patch
VUL-00000156,AST-0010081,CVE-2021-34527,Windows Print Spooler,Critical,8.8,2026-02-05,2026-03-07,Open,No,Patch
VUL-00000157,AST-0023318,CVE-2020-1472,Windows Netlogon,Critical,10.0,2025-01-09,2025-03-10,Remediated,Yes,Upgrade
VUL-00000158,AST-0023747,CVE-2023-3519,Citrix ADC,Critical,9.8,2025-05-24,2025-08-22,In Progress,No,Vendor Fix Pending
VUL-00000159,AST-0021664,CVE-2021-44228,Apache Log4j,Critical,10.0,2026-03-10,2026-06-08,Remediated,No,Compensating Control
VUL-00000160,AST-0023360,CVE-2021-34527,Windows Print Spooler,Critical,8.8,2025-10-10,2025-12-09,Open,Yes,Patch
VUL-00000161,AST-0002887,CVE-2023-23397,Microsoft Outlook,Critical,9.8,2024-12-03,2024-12-18,Risk Accepted,No,Vendor Fix Pending
VUL-00000162,AST-0001542,CVE-2024-3094,XZ Utils,Critical,10.0,2024-07-27,2024-08-11,Remediated,No,Upgrade
VUL-00000163,AST-0021097,CVE-2020-1472,Windows Netlogon,Critical,10.0,2026-01-08,2026-03-09,In Progress,No,Upgrade
VUL-00000164,AST-0008768,CVE-2021-34527,Windows Print Spooler,Critical,8.8,2024-07-05,2024-10-03,Remediated,Yes,Upgrade
VUL-00000165,AST-0022311,CVE-2023-27997,Fortinet FortiOS,Critical,9.8,2025-11-09,2025-12-09,Remediated,No,Compensating Control
VUL-00000166,AST-0020166,CVE-2021-44228,Apache Log4j,Critical,10.0,2026-04-29,2026-05-14,Open,No,Compensating Control
VUL-00000167,AST-0020825,CVE-2023-34362,MOVEit Transfer,Critical,9.8,2026-02-26,2026-03-13,Remediated,No,Upgrade
VUL-00000168,AST-0015816,CVE-2024-3094,XZ Utils,Critical,10.0,2025-07-19,2025-09-17,Remediated,No,Vendor Fix Pending
VUL-00000169,AST-0022298,CVE-2024-3094,XZ Utils,Critical,10.0,2024-06-20,2024-07-20,In Progress,No,Patch
VUL-00000170,AST-0000644,CVE-2023-3519,Citrix ADC,Critical,9.8,2025-01-11,2025-04-11,False Positive,No,Compensating Control
VUL-00000171,AST-0023547,CVE-2021-34527,Windows Print Spooler,Critical,8.8,2025-06-10,2025-09-08,Remediated,Yes,Patch
VUL-00000172,AST-0014591,CVE-2023-3519,Citrix ADC,Critical,9.8,2026-04-18,2026-07-17,Remediated,No,Compensating Control
VUL-00000173,AST-0009062,CVE-2021-44228,Apache Log4j,Critical,10.0,2025-04-05,2025-06-04,Remediated,Yes,Upgrade
VUL-00000174,AST-0021238,CVE-2023-34362,MOVEit Transfer,Critical,9.8,2025-08-15,2025-10-14,In Progress,Yes,Compensating Control
VUL-00000175,AST-0022296,CVE-2022-30190,Microsoft Support Diagnostic Tool,High,7.8,2024-10-02,2024-12-31,Remediated,Yes,Upgrade
VUL-00000176,AST-0023478,CVE-2022-22965,Spring Framework,Critical,9.8,2025-12-04,2026-03-04,Open,Yes,Upgrade
VUL-00000177,AST-0021130,CVE-2022-22965,Spring Framework,Critical,9.8,2024-08-20,2024-09-04,Remediated,No,Compensating Control
VUL-00000178,AST-0016596,CVE-2020-1472,Windows Netlogon,Critical,10.0,2025-04-19,2025-05-19,Open,Yes,Vendor Fix Pending
VUL-00000179,AST-0018268,CVE-2020-1472,Windows Netlogon,Critical,10.0,2025-04-27,2025-06-26,Remediated,No,Patch
VUL-00000180,AST-0021147,CVE-2023-27997,Fortinet FortiOS,Critical,9.8,2024-07-23,2024-09-21,Remediated,No,Patch
VUL-00000181,AST-0021035,CVE-2023-23397,Microsoft Outlook,Critical,9.8,2025-05-25,2025-06-09,Open,No,Upgrade
VUL-00000182,AST-0017188,CVE-2021-34527,Windows Print Spooler,Critical,8.8,2024-12-03,2025-02-01,Open,No,Upgrade
VUL-00000183,AST-0021012,CVE-2022-30190,Microsoft Support Diagnostic Tool,High,7.8,2026-04-14,2026-05-14,In Progress,No,Patch
VUL-00000184,AST-0021780,CVE-2021-34527,Windows Print Spooler,Critical,8.8,2025-11-24,2026-01-23,Remediated,No,Patch
VUL-00000185,AST-0023449,CVE-2023-34362,MOVEit Transfer,Critical,9.8,2025-05-05,2025-07-04,Remediated,Yes,Vendor Fix Pending
VUL-00000186,AST-0022372,CVE-2024-3094,XZ Utils,Critical,10.0,2025-11-14,2025-12-14,Remediated,Yes,Vendor Fix Pending
VUL-00000187,AST-0006129,CVE-2024-3094,XZ Utils,Critical,10.0,2026-01-19,2026-02-18,Remediated,Yes,Upgrade
VUL-00000188,AST-0001849,CVE-2022-30190,Microsoft Support Diagnostic Tool,High,7.8,2025-03-04,2025-03-19,Remediated,No,Patch
VUL-00000189,AST-0012496,CVE-2023-34362,MOVEit Transfer,Critical,9.8,2024-10-06,2024-12-05,Remediated,No,Upgrade
VUL-00000190,AST-0023752,CVE-2023-27997,Fortinet FortiOS,Critical,9.8,2025-11-24,2025-12-24,Open,No,Upgrade
VUL-00000191,AST-0018848,CVE-2022-22965,Spring Framework,Critical,9.8,2025-02-21,2025-03-23,In Progress,No,Patch
VUL-00000192,AST-0023750,CVE-2023-38408,OpenSSH,High,9.8,2024-12-03,2025-01-02,Open,Yes,Patch
VUL-00000193,AST-0018404,CVE-2022-30190,Microsoft Support Diagnostic Tool,High,7.8,2025-12-12,2026-01-11,False Positive,Yes,Patch
VUL-00000194,AST-0005553,CVE-2023-27997,Fortinet FortiOS,Critical,9.8,2026-05-12,2026-05-27,Open,Yes,Upgrade
VUL-00000195,AST-0003005,CVE-2023-34362,MOVEit Transfer,Critical,9.8,2025-01-26,2025-04-26,In Progress,No,Compensating Control
VUL-00000196,AST-0021946,CVE-2022-22965,Spring Framework,Critical,9.8,2024-11-11,2024-12-11,In Progress,No,Upgrade
VUL-00000197,AST-0000507,CVE-2023-27997,Fortinet FortiOS,Critical,9.8,2025-10-23,2026-01-21,Remediated,Yes,Vendor Fix Pending
