Finding_ID,Asset_ID,CVE_ID,Severity,First_Detected_Date,Last_Detected_Date,Remediation_Status,Scanner_Source,CVSS_Score
VULN00000039,A0012668,CVE-2023-23397,Medium,2024-04-27,2026-05-31,Open,Qualys,5.5
VULN00000040,A0001854,CVE-2023-3519,Medium,2025-03-29,2026-05-31,Closed,Qualys,5.5
VULN00000041,A0010818,CVE-2023-36884,High,2025-04-14,2026-05-31,In Remediation,Tenable,7.9
VULN00000042,A0015162,CVE-2023-23397,Low,2025-08-01,2026-05-31,In Remediation,Defender Vulnerability Management,1.9
VULN00000043,A0022616,CVE-2021-44228,Critical,2025-04-05,2026-05-31,In Remediation,Tenable,9.0
VULN00000044,A0008463,CVE-2022-30190,Medium,2026-05-11,2026-05-31,Closed,Defender Vulnerability Management,5.1
VULN00000045,A0011583,CVE-2024-3400,Low,2025-04-04,2026-05-31,Closed,Qualys,2.5
VULN00000046,A0014903,CVE-2022-30190,Low,2024-03-20,2026-05-31,Closed,Qualys,2.8
VULN00000047,A0015057,CVE-2024-3400,Medium,2025-12-30,2026-05-31,Open,Defender Vulnerability Management,5.3
VULN00000048,A0004605,CVE-2023-36884,Medium,2024-01-07,2026-05-31,Open,Qualys,6.5
VULN00000049,A0003539,CVE-2023-34362,Medium,2025-10-21,2026-05-31,Closed,Qualys,5.8
VULN00000050,A0011471,CVE-2022-30190,Critical,2024-09-12,2026-05-31,In Remediation,Qualys,8.7
VULN00000051,A0006914,CVE-2022-30190,High,2025-03-10,2026-05-31,Closed,Defender Vulnerability Management,7.8
VULN00000052,A0018683,CVE-2021-44228,Medium,2025-11-30,2026-05-31,In Remediation,Qualys,6.3
VULN00000053,A0012458,CVE-2023-34362,Medium,2025-01-29,2026-05-31,Open,Tenable,5.0
VULN00000054,A0023014,CVE-2023-20198,Critical,2025-04-17,2026-05-31,In Remediation,Defender Vulnerability Management,9.4
VULN00000055,A0002251,CVE-2023-23397,Medium,2025-07-29,2026-05-31,In Remediation,Defender Vulnerability Management,4.3
VULN00000056,A0009494,CVE-2023-34362,High,2024-01-15,2026-05-31,Open,Tenable,8.4
VULN00000057,A0002963,CVE-2021-44228,Medium,2024-05-14,2026-05-31,Open,Qualys,5.3
VULN00000058,A0012561,CVE-2024-3400,Low,2024-10-08,2026-05-31,Exception Approved,Tenable,2.4
VULN00000059,A0010873,CVE-2022-30190,Medium,2026-01-26,2026-05-31,Open,Defender Vulnerability Management,5.7
VULN00000060,A0014437,CVE-2022-30190,High,2026-04-09,2026-05-31,Open,Qualys,8.6
VULN00000061,A0008019,CVE-2024-21410,Medium,2024-02-29,2026-05-31,Closed,Qualys,6.3
VULN00000062,A0000614,CVE-2024-3400,Medium,2025-09-29,2026-05-31,Open,Qualys,5.0
VULN00000063,A0016428,CVE-2023-36884,Low,2025-12-08,2026-05-31,In Remediation,Qualys,2.5
VULN00000064,A0011311,CVE-2024-3400,Medium,2025-02-16,2026-05-31,In Remediation,Defender Vulnerability Management,5.4
VULN00000065,A0009984,CVE-2023-34362,High,2024-12-15,2026-05-31,Open,Tenable,8.2
VULN00000066,A0008191,CVE-2023-23397,Low,2024-11-04,2026-05-31,Exception Approved,Qualys,2.4
VULN00000067,A0012216,CVE-2023-20198,Medium,2024-10-16,2026-05-31,Open,Qualys,4.8
VULN00000068,A0019614,CVE-2023-34362,Critical,2025-11-26,2026-05-31,In Remediation,Defender Vulnerability Management,8.4
VULN00000069,A0020436,CVE-2024-3094,Medium,2025-12-28,2026-05-31,Open,Tenable,5.8
VULN00000070,A0006569,CVE-2023-36884,Medium,2024-01-28,2026-05-31,Closed,Defender Vulnerability Management,6.0
VULN00000071,A0010109,CVE-2023-34362,Critical,2025-05-15,2026-05-31,Closed,Qualys,9.8
VULN00000072,A0017411,CVE-2024-3400,High,2025-03-05,2026-05-31,Closed,Defender Vulnerability Management,8.4
VULN00000073,A0005595,CVE-2023-3519,Medium,2024-11-12,2026-05-31,Open,Qualys,5.6
VULN00000074,A0010714,CVE-2023-23397,Medium,2025-02-03,2026-05-31,Open,Defender Vulnerability Management,5.1
VULN00000075,A0006312,CVE-2023-3519,Critical,2024-03-21,2026-05-31,Closed,Qualys,9.1
VULN00000076,A0000230,CVE-2021-44228,High,2026-02-11,2026-05-31,Closed,Tenable,8.2
VULN00000077,A0010790,CVE-2024-3094,Medium,2025-12-25,2026-05-31,Closed,Qualys,5.0
VULN00000078,A0004516,CVE-2023-23397,High,2026-01-20,2026-05-31,Open,Qualys,8.4
VULN00000079,A0014468,CVE-2023-3519,Low,2025-08-19,2026-05-31,In Remediation,Qualys,3.5
VULN00000080,A0021394,CVE-2023-20198,High,2024-10-30,2026-05-31,Closed,Qualys,8.7
VULN00000081,A0019957,CVE-2023-23397,Critical,2024-06-23,2026-05-31,Closed,Tenable,10.0
VULN00000082,A0023216,CVE-2022-30190,Critical,2025-01-14,2026-05-31,Open,Qualys,9.6
VULN00000083,A0006062,CVE-2024-3094,High,2025-03-09,2026-05-31,Open,Tenable,8.5
VULN00000084,A0023086,CVE-2023-34362,Medium,2024-05-15,2026-05-31,Closed,Qualys,5.7
VULN00000085,A0013849,CVE-2023-3519,High,2024-04-06,2026-05-31,In Remediation,Defender Vulnerability Management,8.4
VULN00000086,A0000331,CVE-2023-23397,High,2025-05-18,2026-05-31,In Remediation,Tenable,9.0
VULN00000087,A0004767,CVE-2023-20198,Medium,2024-01-26,2026-05-31,Exception Approved,Defender Vulnerability Management,5.9
VULN00000088,A0003027,CVE-2023-34362,Medium,2026-04-07,2026-05-31,Closed,Qualys,4.7
VULN00000089,A0011712,CVE-2023-3519,Low,2026-03-09,2026-05-31,Closed,Tenable,3.2
VULN00000090,A0011950,CVE-2023-20198,Medium,2025-09-08,2026-05-31,Open,Qualys,6.0
VULN00000091,A0012083,CVE-2024-21410,Medium,2024-03-03,2026-05-31,Closed,Tenable,5.5
VULN00000092,A0019649,CVE-2023-23397,Critical,2026-01-31,2026-05-31,Open,Defender Vulnerability Management,9.5
VULN00000093,A0023707,CVE-2023-20198,Medium,2025-09-06,2026-05-31,Open,Tenable,5.9
VULN00000094,A0015230,CVE-2023-23397,Medium,2024-12-16,2026-05-31,Closed,Tenable,6.4
VULN00000095,A0019071,CVE-2023-3519,Critical,2026-01-06,2026-05-31,In Remediation,Defender Vulnerability Management,9.4
VULN00000096,A0001775,CVE-2023-3519,Low,2025-03-08,2026-05-31,Closed,Tenable,4.2
VULN00000097,A0010596,CVE-2024-3094,Medium,2024-04-17,2026-05-31,In Remediation,Qualys,6.0
VULN00000098,A0014201,CVE-2024-3094,Medium,2024-10-23,2026-05-31,Open,Tenable,6.0
VULN00000099,A0008506,CVE-2024-21410,High,2025-03-03,2026-05-31,In Remediation,Qualys,8.2
VULN00000100,A0013628,CVE-2024-3094,Low,2024-11-15,2026-05-31,Closed,Tenable,1.7
VULN00000101,A0015399,CVE-2023-23397,Low,2024-12-02,2026-05-31,Open,Defender Vulnerability Management,3.0
VULN00000102,A0003379,CVE-2021-44228,High,2025-02-18,2026-05-31,Open,Defender Vulnerability Management,7.6
VULN00000103,A0009820,CVE-2023-23397,High,2024-06-18,2026-05-31,In Remediation,Qualys,8.0
VULN00000104,A0022457,CVE-2023-23397,High,2024-05-30,2026-05-31,In Remediation,Defender Vulnerability Management,8.7
VULN00000105,A0019709,CVE-2022-30190,Medium,2024-09-16,2026-05-31,Closed,Tenable,5.5
VULN00000106,A0021167,CVE-2024-21410,Critical,2026-01-22,2026-05-31,In Remediation,Qualys,10.0
VULN00000107,A0001652,CVE-2022-30190,Low,2025-12-27,2026-05-31,Closed,Qualys,2.2
VULN00000108,A0007719,CVE-2023-20198,Medium,2024-08-25,2026-05-31,Closed,Tenable,5.9
VULN00000109,A0020210,CVE-2023-23397,Medium,2024-07-26,2026-05-31,Closed,Defender Vulnerability Management,5.7
VULN00000110,A0010047,CVE-2023-23397,Critical,2025-04-22,2026-05-31,Closed,Defender Vulnerability Management,9.6
VULN00000111,A0006277,CVE-2023-23397,Medium,2025-01-07,2026-05-31,In Remediation,Tenable,5.2
VULN00000112,A0022559,CVE-2024-3094,Medium,2024-02-16,2026-05-31,Closed,Qualys,5.5
VULN00000113,A0017360,CVE-2024-3400,Medium,2024-11-09,2026-05-31,In Remediation,Qualys,5.1
VULN00000114,A0003891,CVE-2023-23397,High,2026-04-25,2026-05-31,Open,Qualys,8.2
VULN00000115,A0004788,CVE-2023-34362,High,2025-04-29,2026-05-31,In Remediation,Tenable,8.1
VULN00000116,A0007045,CVE-2024-21410,Critical,2025-05-31,2026-05-31,Closed,Tenable,9.7
VULN00000117,A0016379,CVE-2023-34362,High,2025-09-02,2026-05-31,Open,Tenable,7.5
VULN00000118,A0011575,CVE-2021-44228,High,2025-08-08,2026-05-31,Closed,Tenable,8.2
VULN00000119,A0008461,CVE-2024-3094,Medium,2025-12-13,2026-05-31,In Remediation,Qualys,5.7
VULN00000120,A0020714,CVE-2021-44228,Low,2025-01-01,2026-05-31,Closed,Tenable,2.7
VULN00000121,A0019851,CVE-2023-36884,Medium,2024-12-10,2026-05-31,Open,Defender Vulnerability Management,6.3
VULN00000122,A0003272,CVE-2023-23397,High,2026-04-18,2026-05-31,Open,Defender Vulnerability Management,7.9
VULN00000123,A0007457,CVE-2023-20198,Medium,2024-02-05,2026-05-31,Closed,Defender Vulnerability Management,4.5
VULN00000124,A0003761,CVE-2021-44228,Critical,2025-03-07,2026-05-31,In Remediation,Tenable,8.9
VULN00000125,A0013544,CVE-2024-3400,Medium,2024-05-02,2026-05-31,Closed,Qualys,4.9
VULN00000126,A0018916,CVE-2024-3400,High,2025-11-03,2026-05-31,Closed,Tenable,7.4
VULN00000127,A0009925,CVE-2024-21410,High,2024-03-09,2026-05-31,Closed,Tenable,7.6
VULN00000128,A0000521,CVE-2024-3400,Medium,2024-05-27,2026-05-31,Exception Approved,Tenable,5.3
VULN00000129,A0009658,CVE-2022-30190,Critical,2025-01-15,2026-05-31,Open,Qualys,9.8
VULN00000130,A0006512,CVE-2024-3400,Medium,2024-02-21,2026-05-31,In Remediation,Tenable,6.0
VULN00000131,A0013743,CVE-2023-34362,Medium,2025-10-30,2026-05-31,Exception Approved,Defender Vulnerability Management,5.2
VULN00000132,A0010783,CVE-2023-20198,Critical,2024-12-12,2026-05-31,Exception Approved,Qualys,9.5
VULN00000133,A0009684,CVE-2023-3519,Medium,2024-08-03,2026-05-31,Open,Tenable,5.2
VULN00000134,A0017034,CVE-2021-44228,High,2024-10-17,2026-05-31,In Remediation,Tenable,8.7
VULN00000135,A0018822,CVE-2023-23397,Low,2024-03-12,2026-05-31,Closed,Defender Vulnerability Management,3.2
VULN00000136,A0012641,CVE-2024-3400,High,2024-11-18,2026-05-31,In Remediation,Defender Vulnerability Management,7.6
VULN00000137,A0021996,CVE-2023-23397,High,2025-07-03,2026-05-31,Closed,Tenable,7.5
VULN00000138,A0020075,CVE-2023-34362,High,2024-12-26,2026-05-31,Closed,Qualys,8.0
VULN00000139,A0004639,CVE-2023-20198,Medium,2025-08-25,2026-05-31,In Remediation,Tenable,6.0
VULN00000140,A0000014,CVE-2023-34362,Medium,2024-12-18,2026-05-31,Open,Qualys,4.2
VULN00000141,A0000299,CVE-2022-30190,Medium,2026-03-14,2026-05-31,Open,Defender Vulnerability Management,6.1
VULN00000142,A0011528,CVE-2022-30190,Medium,2024-08-13,2026-05-31,Closed,Tenable,5.2
VULN00000143,A0000480,CVE-2024-3400,Medium,2024-03-01,2026-05-31,Closed,Qualys,6.0
VULN00000144,A0001505,CVE-2023-20198,Medium,2025-01-26,2026-05-31,In Remediation,Defender Vulnerability Management,6.2
VULN00000145,A0003271,CVE-2023-3519,Critical,2024-01-12,2026-05-31,Open,Tenable,9.1
VULN00000146,A0019365,CVE-2023-34362,Medium,2026-01-17,2026-05-31,Closed,Qualys,5.6
VULN00000147,A0016409,CVE-2023-23397,Critical,2025-05-11,2026-05-31,In Remediation,Tenable,9.9
VULN00000148,A0002751,CVE-2024-3094,Low,2025-01-23,2026-05-31,In Remediation,Tenable,2.5
VULN00000149,A0004988,CVE-2024-3094,Medium,2025-04-09,2026-05-31,Closed,Tenable,4.2
VULN00000150,A0006944,CVE-2023-23397,High,2024-05-31,2026-05-31,Closed,Defender Vulnerability Management,8.0
VULN00000151,A0011903,CVE-2023-23397,High,2026-01-30,2026-05-31,Exception Approved,Qualys,8.0
VULN00000152,A0020485,CVE-2023-20198,High,2025-02-03,2026-05-31,Closed,Tenable,8.5
VULN00000153,A0015595,CVE-2023-3519,Medium,2024-01-23,2026-05-31,Open,Qualys,5.0
VULN00000154,A0010921,CVE-2024-3400,Low,2025-08-09,2026-05-31,Closed,Qualys,2.1
VULN00000155,A0023634,CVE-2023-34362,Medium,2024-07-08,2026-05-31,Open,Defender Vulnerability Management,5.7
VULN00000156,A0009829,CVE-2024-21410,Medium,2024-03-14,2026-05-31,Closed,Qualys,5.0
VULN00000157,A0017462,CVE-2024-21410,Medium,2024-10-28,2026-05-31,Closed,Defender Vulnerability Management,5.5
VULN00000158,A0001413,CVE-2023-36884,Critical,2026-05-14,2026-05-31,Closed,Defender Vulnerability Management,10.0
VULN00000159,A0014779,CVE-2024-3094,Low,2026-04-27,2026-05-31,Open,Tenable,3.3
VULN00000160,A0018452,CVE-2024-3094,Low,2025-07-03,2026-05-31,Exception Approved,Tenable,2.5
VULN00000161,A0009815,CVE-2024-21410,High,2026-02-03,2026-05-31,Closed,Defender Vulnerability Management,8.1
VULN00000162,A0004465,CVE-2024-3400,Low,2024-03-09,2026-05-31,Closed,Qualys,3.1
VULN00000163,A0017421,CVE-2022-30190,Critical,2024-11-09,2026-05-31,Exception Approved,Tenable,9.0
VULN00000164,A0014240,CVE-2024-21410,Low,2025-04-06,2026-05-31,Exception Approved,Tenable,2.2
VULN00000165,A0010238,CVE-2021-44228,High,2024-07-26,2026-05-31,Open,Tenable,7.4
VULN00000166,A0015627,CVE-2023-23397,Medium,2024-01-27,2026-05-31,Closed,Defender Vulnerability Management,6.1
VULN00000167,A0015081,CVE-2023-36884,High,2024-05-23,2026-05-31,Open,Defender Vulnerability Management,7.5
VULN00000168,A0021656,CVE-2023-36884,High,2024-02-23,2026-05-31,Closed,Qualys,8.1
VULN00000169,A0019178,CVE-2024-3094,High,2025-12-02,2026-05-31,Closed,Tenable,8.2
VULN00000170,A0020128,CVE-2021-44228,High,2025-01-31,2026-05-31,Closed,Tenable,7.9
VULN00000171,A0021050,CVE-2022-30190,High,2024-04-09,2026-05-31,Closed,Qualys,8.4
VULN00000172,A0015087,CVE-2022-30190,Low,2024-10-11,2026-05-31,Closed,Qualys,2.4
VULN00000173,A0014718,CVE-2021-44228,Critical,2026-03-31,2026-05-31,Closed,Tenable,9.5
VULN00000174,A0021010,CVE-2023-36884,High,2026-03-15,2026-05-31,Closed,Tenable,8.2
VULN00000175,A0022961,CVE-2021-44228,Medium,2024-08-11,2026-05-31,In Remediation,Tenable,4.7
VULN00000176,A0002641,CVE-2024-3400,Medium,2026-01-08,2026-05-31,Closed,Tenable,6.3
VULN00000177,A0019909,CVE-2024-3400,Low,2025-09-10,2026-05-31,Closed,Qualys,2.9
VULN00000178,A0014167,CVE-2023-20198,Medium,2024-08-18,2026-05-31,In Remediation,Defender Vulnerability Management,5.8
VULN00000179,A0009956,CVE-2023-20198,Low,2024-12-22,2026-05-31,Open,Tenable,3.3
VULN00000180,A0007143,CVE-2024-3400,High,2024-02-07,2026-05-31,Closed,Defender Vulnerability Management,7.4
VULN00000181,A0017036,CVE-2023-3519,Low,2024-11-05,2026-05-31,Open,Defender Vulnerability Management,2.4
VULN00000182,A0016285,CVE-2021-44228,Medium,2026-01-24,2026-05-31,Closed,Defender Vulnerability Management,5.6
VULN00000183,A0005492,CVE-2024-3094,Medium,2024-02-16,2026-05-31,Closed,Tenable,5.2
VULN00000184,A0015307,CVE-2024-3400,High,2026-03-10,2026-05-31,Closed,Tenable,7.5
VULN00000185,A0009281,CVE-2024-21410,Critical,2024-04-27,2026-05-31,Closed,Qualys,9.7
VULN00000186,A0010181,CVE-2022-30190,Medium,2025-10-14,2026-05-31,Open,Qualys,5.0
VULN00000187,A0019031,CVE-2024-21410,High,2026-01-29,2026-05-31,Exception Approved,Qualys,7.7
VULN00000188,A0020045,CVE-2023-23397,High,2025-05-10,2026-05-31,Closed,Tenable,8.0
VULN00000189,A0006534,CVE-2022-30190,Medium,2025-05-27,2026-05-31,Open,Tenable,6.0
VULN00000190,A0011396,CVE-2023-34362,High,2024-05-19,2026-05-31,In Remediation,Tenable,8.7
VULN00000191,A0017156,CVE-2022-30190,Medium,2024-12-20,2026-05-31,Closed,Defender Vulnerability Management,6.0
VULN00000192,A0018991,CVE-2022-30190,High,2025-11-06,2026-05-31,Closed,Qualys,7.1
VULN00000193,A0002601,CVE-2023-3519,High,2024-09-26,2026-05-31,Closed,Qualys,8.3
VULN00000194,A0021564,CVE-2023-36884,Medium,2024-05-03,2026-05-31,In Remediation,Defender Vulnerability Management,5.2
VULN00000195,A0006419,CVE-2024-3400,Critical,2024-10-27,2026-05-31,In Remediation,Qualys,9.1
VULN00000196,A0001797,CVE-2023-36884,Medium,2025-03-14,2026-05-31,Closed,Tenable,5.0
VULN00000197,A0008285,CVE-2022-30190,Critical,2024-01-22,2026-05-31,Open,Tenable,10.0
VULN00000198,A0019869,CVE-2023-36884,Critical,2024-04-21,2026-05-31,Closed,Tenable,9.0
VULN00000199,A0009579,CVE-2024-3094,High,2025-10-24,2026-05-31,Closed,Qualys,8.4
VULN00000200,A0015037,CVE-2023-3519,Medium,2025-05-03,2026-05-31,Open,Qualys,4.9
VULN00000201,A0013556,CVE-2024-3400,Critical,2024-03-31,2026-05-31,Closed,Defender Vulnerability Management,9.6
VULN00000202,A0008656,CVE-2021-44228,High,2025-10-22,2026-05-31,Open,Qualys,8.3
VULN00000203,A0012569,CVE-2022-30190,High,2025-09-07,2026-05-31,In Remediation,Qualys,7.5
VULN00000204,A0015049,CVE-2021-44228,Medium,2026-04-06,2026-05-31,Open,Defender Vulnerability Management,5.1
VULN00000205,A0011156,CVE-2023-36884,Critical,2024-05-02,2026-05-31,Closed,Defender Vulnerability Management,9.8
VULN00000206,A0014292,CVE-2021-44228,Critical,2025-08-16,2026-05-31,Open,Qualys,9.4
VULN00000207,A0014877,CVE-2024-3400,High,2025-08-04,2026-05-31,Closed,Qualys,8.1
VULN00000208,A0010134,CVE-2023-20198,Medium,2024-10-12,2026-05-31,Exception Approved,Tenable,5.0
VULN00000209,A0003159,CVE-2024-21410,High,2026-01-20,2026-05-31,Closed,Tenable,8.6
VULN00000210,A0015931,CVE-2024-3400,Low,2026-03-25,2026-05-31,Closed,Tenable,2.3
VULN00000211,A0016119,CVE-2023-34362,Critical,2026-02-26,2026-05-31,In Remediation,Qualys,8.7
VULN00000212,A0012767,CVE-2024-3400,Low,2024-05-13,2026-05-31,Open,Defender Vulnerability Management,1.6
VULN00000213,A0013243,CVE-2021-44228,High,2024-07-08,2026-05-31,Closed,Tenable,8.4
VULN00000214,A0016368,CVE-2023-3519,High,2024-08-29,2026-05-31,In Remediation,Defender Vulnerability Management,8.1
VULN00000215,A0002777,CVE-2024-21410,Medium,2026-01-12,2026-05-31,Open,Qualys,5.9
VULN00000216,A0002537,CVE-2023-20198,High,2025-01-03,2026-05-31,Closed,Qualys,7.6
VULN00000217,A0022997,CVE-2021-44228,Medium,2025-11-23,2026-05-31,Open,Tenable,5.2
VULN00000218,A0019234,CVE-2023-34362,Critical,2024-07-02,2026-05-31,Open,Defender Vulnerability Management,8.3
VULN00000219,A0023440,CVE-2021-44228,Medium,2024-07-11,2026-05-31,Closed,Defender Vulnerability Management,5.8
VULN00000220,A0022178,CVE-2023-23397,Medium,2024-07-05,2026-05-31,Closed,Tenable,5.6
VULN00000221,A0004441,CVE-2023-20198,High,2024-05-24,2026-05-31,Closed,Tenable,8.1
VULN00000222,A0008630,CVE-2024-21410,Medium,2024-03-20,2026-05-31,Open,Defender Vulnerability Management,5.3
VULN00000223,A0006330,CVE-2023-20198,Medium,2025-12-08,2026-05-31,Closed,Tenable,5.4
VULN00000224,A0016456,CVE-2024-21410,Medium,2025-04-29,2026-05-31,Closed,Tenable,5.4
VULN00000225,A0000453,CVE-2021-44228,Low,2024-06-03,2026-05-31,Open,Tenable,4.0
VULN00000226,A0017333,CVE-2022-30190,Critical,2024-06-12,2026-05-31,Open,Qualys,8.2
VULN00000227,A0022551,CVE-2024-3094,High,2025-12-13,2026-05-31,Closed,Defender Vulnerability Management,8.6
VULN00000228,A0017654,CVE-2023-34362,Medium,2025-03-26,2026-05-31,Closed,Qualys,5.3
VULN00000229,A0019429,CVE-2024-3400,Medium,2025-07-08,2026-05-31,Closed,Tenable,4.7
VULN00000230,A0014678,CVE-2023-36884,Medium,2026-03-08,2026-05-31,Closed,Qualys,6.0
VULN00000231,A0008425,CVE-2024-21410,Medium,2025-04-20,2026-05-31,Closed,Qualys,5.7
VULN00000232,A0009242,CVE-2023-23397,High,2025-08-30,2026-05-31,Open,Qualys,7.4
VULN00000233,A0019498,CVE-2024-3094,Low,2025-04-06,2026-05-31,Closed,Qualys,2.6
VULN00000234,A0021530,CVE-2022-30190,Medium,2025-11-30,2026-05-31,Open,Tenable,5.8
VULN00000235,A0020412,CVE-2024-3094,Medium,2024-12-10,2026-05-31,Closed,Defender Vulnerability Management,5.5
VULN00000236,A0018495,CVE-2023-3519,Low,2025-05-27,2026-05-31,Closed,Qualys,1.8
VULN00000237,A0017609,CVE-2023-23397,High,2025-11-14,2026-05-31,In Remediation,Tenable,8.8
VULN00000238,A0013041,CVE-2023-23397,Medium,2024-07-23,2026-05-31,In Remediation,Qualys,5.6
VULN00000239,A0023597,CVE-2022-30190,Medium,2024-12-17,2026-05-31,In Remediation,Tenable,4.4
VULN00000240,A0017088,CVE-2023-3519,Low,2025-07-28,2026-05-31,Open,Qualys,1.8
VULN00000241,A0004437,CVE-2023-23397,High,2025-01-07,2026-05-31,Exception Approved,Defender Vulnerability Management,8.8
VULN00000242,A0003146,CVE-2024-3094,Medium,2026-04-30,2026-05-31,Open,Tenable,6.0
VULN00000243,A0010594,CVE-2024-3094,High,2025-05-09,2026-05-31,Closed,Tenable,8.5
VULN00000244,A0020253,CVE-2023-3519,High,2025-06-29,2026-05-31,Closed,Tenable,8.1
VULN00000245,A0020630,CVE-2022-30190,Medium,2025-03-16,2026-05-31,Closed,Qualys,6.0
VULN00000246,A0006354,CVE-2022-30190,High,2024-05-31,2026-05-31,In Remediation,Qualys,8.6
VULN00000247,A0010124,CVE-2023-36884,Medium,2024-12-22,2026-05-31,Closed,Tenable,5.8
VULN00000248,A0007139,CVE-2022-30190,Medium,2025-10-09,2026-05-31,Closed,Qualys,5.5
VULN00000249,A0009504,CVE-2024-21410,Medium,2025-11-29,2026-05-31,Closed,Tenable,5.5
VULN00000250,A0022461,CVE-2023-23397,Critical,2024-01-04,2026-05-31,Open,Qualys,9.1
VULN00000251,A0009652,CVE-2023-36884,High,2024-06-27,2026-05-31,Closed,Defender Vulnerability Management,7.7
VULN00000252,A0008149,CVE-2024-3094,Critical,2024-05-16,2026-05-31,Closed,Defender Vulnerability Management,8.8
VULN00000253,A0003430,CVE-2023-23397,Critical,2025-08-22,2026-05-31,Closed,Tenable,9.7
VULN00000254,A0015915,CVE-2024-21410,High,2025-11-12,2026-05-31,In Remediation,Tenable,8.6
VULN00000255,A0015768,CVE-2022-30190,High,2024-10-30,2026-05-31,In Remediation,Tenable,8.1
