Remediation_ID,Asset_ID,Business_Unit_ID,Remediation_Type,Priority,Assigned_Team,Target_Completion_Date,Actual_Completion_Date,Remediation_Status,Remediation_Cost,Risk_Reduction_Category
REM-000037,A0000037,BU001,Endpoint Refresh,P3 - Medium,End User Computing,2027-02-24,,In Progress,1155.68,Lifecycle
REM-000038,A0000038,BU009,Endpoint Refresh,P4 - Planned,End User Computing,2027-04-06,2027-03-07,Completed,1904.76,Lifecycle
REM-000039,A0000039,BU004,Endpoint Refresh,P3 - Medium,End User Computing,2027-05-22,,In Progress,1218.05,Lifecycle
REM-000040,A0000040,BU001,Endpoint Refresh,P2 - High,End User Computing,2026-08-30,,Exception Approved,1430.95,Lifecycle
REM-000041,A0000041,BU008,Endpoint Refresh,P2 - High,End User Computing,2026-11-01,,In Progress,1269.1,Lifecycle + Cyber
REM-000042,A0000042,BU001,Endpoint Refresh,P4 - Planned,End User Computing,2027-05-06,2027-05-28,Completed,1335.9,Lifecycle
REM-000043,A0000043,BU010,Endpoint Refresh,P3 - Medium,End User Computing,2027-03-24,2027-02-19,Completed,1540.16,Lifecycle
REM-000044,A0000044,BU005,Endpoint Refresh,P3 - Medium,End User Computing,2027-01-19,2027-02-05,Completed,1668.58,Lifecycle
REM-000045,A0000045,BU001,Endpoint Refresh,P4 - Planned,End User Computing,2027-07-23,,In Progress,1398.34,Lifecycle
REM-000046,A0000046,BU004,Endpoint Refresh,P4 - Planned,End User Computing,2027-05-01,,In Progress,2488.5,Lifecycle
REM-000047,A0000047,BU010,Endpoint Refresh,P3 - Medium,End User Computing,2027-04-02,2027-03-10,Completed,1367.48,Lifecycle + Cyber
REM-000048,A0000048,BU001,Endpoint Refresh,P3 - Medium,End User Computing,2026-11-13,,In Progress,1410.7,Lifecycle + Cyber
REM-000049,A0000049,BU002,Endpoint Refresh,P3 - Medium,End User Computing,2026-12-18,2026-11-03,Completed,1374.26,Lifecycle
REM-000050,A0000050,BU006,Endpoint Refresh,P4 - Planned,End User Computing,2027-06-26,,Not Started,1434.64,Lifecycle
REM-000051,A0000051,BU002,Endpoint Refresh,P3 - Medium,End User Computing,2027-02-25,,In Progress,1178.3,Lifecycle + Cyber
REM-000052,A0000052,BU001,Endpoint Refresh,P4 - Planned,End User Computing,2027-06-27,,Deferred,2380.6,Lifecycle + Cyber
REM-000053,A0000053,BU003,Endpoint Refresh,P3 - Medium,End User Computing,2026-10-13,,Not Started,1295.33,Lifecycle
REM-000054,A0000054,BU001,Endpoint Refresh,P3 - Medium,End User Computing,2026-10-18,,In Progress,1569.5,Lifecycle + Cyber
REM-000055,A0000055,BU009,Endpoint Refresh,P3 - Medium,End User Computing,2027-02-08,,In Progress,1413.39,Lifecycle
REM-000056,A0000056,BU001,Endpoint Refresh,P4 - Planned,End User Computing,2027-05-16,2027-05-05,Completed,1380.91,Lifecycle
REM-000057,A0000057,BU002,Endpoint Refresh,P3 - Medium,End User Computing,2027-02-03,2027-01-07,Completed,1726.39,Lifecycle
REM-000058,A0000058,BU004,Endpoint Refresh,P2 - High,End User Computing,2026-11-06,2026-10-04,Completed,1163.0,Lifecycle + Cyber
REM-000059,A0000059,BU008,Endpoint Refresh,P4 - Planned,End User Computing,2027-06-14,,In Progress,1614.93,Lifecycle
REM-000060,A0000060,BU004,Endpoint Refresh,P3 - Medium,End User Computing,2027-03-26,,In Progress,1617.07,Lifecycle
REM-000061,A0000061,BU009,Endpoint Refresh,P4 - Planned,End User Computing,2027-08-15,2027-08-10,Completed,1591.36,Lifecycle
REM-000062,A0000062,BU004,Endpoint Refresh,P4 - Planned,End User Computing,2027-10-22,2027-09-04,Completed,1355.21,Lifecycle
REM-000063,A0000063,BU001,Endpoint Refresh,P2 - High,End User Computing,2026-10-05,,Not Started,1464.2,Lifecycle + Cyber
REM-000064,A0000064,BU006,Endpoint Refresh,P2 - High,End User Computing,2026-08-23,,In Progress,1275.89,Lifecycle
REM-000065,A0000065,BU002,Endpoint Refresh,P4 - Planned,End User Computing,2027-11-05,,In Progress,1263.17,Lifecycle
REM-000066,A0000066,BU004,Endpoint Refresh,P2 - High,End User Computing,2026-08-20,,Not Started,1186.35,Lifecycle
REM-000067,A0000067,BU001,Endpoint Refresh,P3 - Medium,End User Computing,2026-11-07,,In Progress,1707.9,Lifecycle
REM-000068,A0000068,BU010,Endpoint Refresh,P3 - Medium,End User Computing,2026-10-20,,Not Started,1551.72,Lifecycle + Cyber
REM-000069,A0000069,BU003,Endpoint Refresh,P4 - Planned,End User Computing,2027-08-23,,Not Started,2404.14,Lifecycle
REM-000070,A0000070,BU007,Endpoint Refresh,P3 - Medium,End User Computing,2026-10-03,2026-10-13,Completed,1627.9,Lifecycle
REM-000071,A0000071,BU008,Endpoint Refresh,P4 - Planned,End User Computing,2027-10-12,2027-08-21,Completed,2550.93,Lifecycle
REM-000072,A0000072,BU002,Endpoint Refresh,P4 - Planned,End User Computing,2026-11-28,2026-12-23,Completed,2225.19,Lifecycle
REM-000073,A0000073,BU004,Endpoint Refresh,P3 - Medium,End User Computing,2026-10-14,2026-10-29,Completed,1414.38,Lifecycle
REM-000074,A0000074,BU009,Endpoint Refresh,P3 - Medium,End User Computing,2026-12-27,2026-12-21,Completed,1660.07,Lifecycle
REM-000075,A0000075,BU001,Endpoint Refresh,P3 - Medium,End User Computing,2026-12-06,2026-11-04,Completed,1397.09,Lifecycle
REM-000076,A0000076,BU001,Endpoint Refresh,P3 - Medium,End User Computing,2027-01-28,,Deferred,1269.39,Lifecycle + Cyber
REM-000077,A0000077,BU007,Endpoint Refresh,P4 - Planned,End User Computing,2027-05-26,2027-04-11,Completed,1217.98,Lifecycle
REM-000078,A0000078,BU001,Endpoint Refresh,P3 - Medium,End User Computing,2026-11-23,,In Progress,1354.46,Lifecycle
REM-000079,A0000079,BU001,Endpoint Refresh,P2 - High,End User Computing,2026-11-19,,In Progress,1381.53,Lifecycle
REM-000080,A0000080,BU001,Endpoint Refresh,P3 - Medium,End User Computing,2027-03-17,2027-04-04,Completed,1430.41,Lifecycle
REM-000081,A0000081,BU002,Endpoint Refresh,P4 - Planned,End User Computing,2027-09-12,,Not Started,1217.71,Lifecycle
REM-000082,A0000082,BU007,Endpoint Refresh,P3 - Medium,End User Computing,2027-02-14,2027-03-10,Completed,1264.15,Lifecycle
REM-000083,A0000083,BU001,Endpoint Refresh,P2 - High,End User Computing,2026-08-14,,In Progress,1411.28,Lifecycle
REM-000084,A0000084,BU010,Endpoint Refresh,P4 - Planned,End User Computing,2027-05-21,,Deferred,1617.34,Lifecycle
REM-000085,A0000085,BU001,Endpoint Refresh,P3 - Medium,End User Computing,2027-01-28,,Not Started,2427.55,Lifecycle + Cyber
REM-000086,A0000086,BU001,Endpoint Refresh,P4 - Planned,End User Computing,2026-12-05,,In Progress,1255.03,Lifecycle
REM-000087,A0000087,BU003,Endpoint Refresh,P3 - Medium,End User Computing,2027-03-31,2027-03-09,Completed,1931.4,Lifecycle + Cyber
REM-000088,A0000088,BU005,Endpoint Refresh,P3 - Medium,End User Computing,2026-11-11,,In Progress,1856.61,Lifecycle + Cyber
REM-000089,A0000089,BU002,Endpoint Refresh,P3 - Medium,End User Computing,2027-05-15,,In Progress,1399.67,Lifecycle
REM-000090,A0000090,BU001,Endpoint Refresh,P3 - Medium,End User Computing,2027-03-10,2027-01-18,Completed,1698.36,Lifecycle
REM-000091,A0000091,BU002,Endpoint Refresh,P4 - Planned,End User Computing,2027-05-12,,Not Started,1363.2,Lifecycle
REM-000092,A0000092,BU007,Endpoint Refresh,P4 - Planned,End User Computing,2027-02-18,,In Progress,1485.86,Lifecycle
REM-000093,A0000093,BU001,Endpoint Refresh,P3 - Medium,End User Computing,2026-12-08,,In Progress,1356.44,Lifecycle + Cyber
REM-000094,A0000094,BU002,Endpoint Refresh,P4 - Planned,End User Computing,2027-04-24,,In Progress,2489.84,Lifecycle
REM-000095,A0000095,BU003,Endpoint Refresh,P2 - High,End User Computing,2026-09-01,,Not Started,1211.74,Lifecycle + Cyber
REM-000096,A0000096,BU010,Endpoint Refresh,P3 - Medium,End User Computing,2027-01-17,2027-02-16,Completed,1636.53,Lifecycle
REM-000097,A0000097,BU001,Endpoint Refresh,P3 - Medium,End User Computing,2027-03-30,2027-04-19,Completed,1386.37,Lifecycle + Cyber
REM-000098,A0000098,BU009,Endpoint Refresh,P4 - Planned,End User Computing,2026-12-20,2026-11-07,Completed,1332.31,Lifecycle
REM-000099,A0000099,BU002,Endpoint Refresh,P3 - Medium,End User Computing,2027-04-18,2027-05-11,Completed,1372.21,Lifecycle
REM-000100,A0000100,BU001,Endpoint Refresh,P2 - High,End User Computing,2026-11-18,2026-11-10,Completed,1212.04,Lifecycle + Cyber
REM-000101,A0000101,BU007,Endpoint Refresh,P4 - Planned,End User Computing,2027-01-21,2027-01-25,Completed,2182.47,Lifecycle
REM-000102,A0000102,BU001,Endpoint Refresh,P4 - Planned,End User Computing,2026-12-16,2026-11-25,Completed,1799.49,Lifecycle
REM-000103,A0000103,BU001,Endpoint Refresh,P3 - Medium,End User Computing,2027-02-20,,In Progress,1236.3,Lifecycle
REM-000104,A0000104,BU001,Endpoint Refresh,P3 - Medium,End User Computing,2027-03-28,,In Progress,1707.48,Lifecycle
REM-000105,A0000105,BU002,Endpoint Refresh,P3 - Medium,End User Computing,2027-05-01,2027-04-15,Completed,1401.12,Lifecycle
REM-000106,A0000106,BU001,Endpoint Refresh,P4 - Planned,End User Computing,2027-01-31,2027-01-29,Completed,1321.52,Lifecycle
REM-000107,A0000107,BU001,Endpoint Refresh,P2 - High,End User Computing,2026-10-07,2026-08-08,Completed,1360.65,Lifecycle
REM-000108,A0000108,BU007,Endpoint Refresh,P3 - Medium,End User Computing,2026-12-28,2026-11-06,Completed,1234.64,Lifecycle + Cyber
REM-000109,A0000109,BU002,Endpoint Refresh,P3 - Medium,End User Computing,2027-04-21,,Not Started,1252.46,Lifecycle + Cyber
REM-000110,A0000110,BU002,Endpoint Refresh,P4 - Planned,End User Computing,2027-09-11,,Not Started,2700.84,Lifecycle
REM-000111,A0000111,BU005,Endpoint Refresh,P2 - High,End User Computing,2026-11-16,,Not Started,1453.73,Lifecycle
REM-000112,A0000112,BU002,Endpoint Refresh,P2 - High,End User Computing,2026-10-12,,In Progress,1172.09,Lifecycle + Cyber
REM-000113,A0000113,BU001,Endpoint Refresh,P4 - Planned,End User Computing,2027-09-03,,In Progress,1722.57,Lifecycle
REM-000114,A0000114,BU001,Endpoint Refresh,P4 - Planned,End User Computing,2027-09-23,,Not Started,1310.17,Lifecycle
REM-000115,A0000115,BU001,Endpoint Refresh,P4 - Planned,End User Computing,2027-05-12,,In Progress,1608.11,Lifecycle
REM-000116,A0000116,BU004,Endpoint Refresh,P3 - Medium,End User Computing,2027-01-12,2026-12-26,Completed,1270.91,Lifecycle + Cyber
REM-000117,A0000117,BU003,Endpoint Refresh,P3 - Medium,End User Computing,2026-12-20,2026-11-23,Completed,1253.24,Lifecycle + Cyber
REM-000118,A0000118,BU007,Endpoint Refresh,P4 - Planned,End User Computing,2027-05-02,2027-04-06,Completed,1801.81,Lifecycle
REM-000119,A0000119,BU001,Endpoint Refresh,P3 - Medium,End User Computing,2027-04-11,2027-05-07,Completed,1734.87,Lifecycle + Cyber
REM-000120,A0000120,BU002,Endpoint Refresh,P3 - Medium,End User Computing,2027-04-05,,In Progress,1522.39,Lifecycle
REM-000121,A0000121,BU006,Endpoint Refresh,P2 - High,End User Computing,2026-09-07,,Not Started,1569.95,Lifecycle + Cyber
REM-000122,A0000122,BU004,Endpoint Refresh,P3 - Medium,End User Computing,2027-02-11,,Not Started,1346.52,Lifecycle
REM-000123,A0000123,BU001,Endpoint Refresh,P3 - Medium,End User Computing,2027-02-06,2026-12-24,Completed,1387.18,Lifecycle
REM-000124,A0000124,BU001,Endpoint Refresh,P3 - Medium,End User Computing,2027-03-27,,In Progress,1654.45,Lifecycle
REM-000125,A0000125,BU002,Endpoint Refresh,P3 - Medium,End User Computing,2027-05-20,2027-05-15,Completed,1389.94,Lifecycle
REM-000126,A0000126,BU001,Endpoint Refresh,P3 - Medium,End User Computing,2027-02-17,,In Progress,1743.09,Lifecycle
REM-000127,A0000127,BU001,Endpoint Refresh,P4 - Planned,End User Computing,2026-12-27,2027-01-23,Completed,2585.77,Lifecycle
REM-000128,A0000128,BU001,Endpoint Refresh,P2 - High,End User Computing,2026-11-23,,In Progress,1454.88,Lifecycle
REM-000129,A0000129,BU004,Endpoint Refresh,P4 - Planned,End User Computing,2027-10-28,,Not Started,1310.78,Lifecycle
REM-000130,A0000130,BU003,Endpoint Refresh,P4 - Planned,End User Computing,2027-11-02,,In Progress,1528.91,Lifecycle
REM-000131,A0000131,BU010,Endpoint Refresh,P3 - Medium,End User Computing,2026-11-08,,In Progress,1587.28,Lifecycle + Cyber
REM-000132,A0000132,BU001,Endpoint Refresh,P3 - Medium,End User Computing,2026-11-09,,In Progress,1391.14,Lifecycle + Cyber
REM-000133,A0000133,BU007,Endpoint Refresh,P4 - Planned,End User Computing,2027-08-15,,In Progress,1517.11,Lifecycle
REM-000134,A0000134,BU001,Endpoint Refresh,P2 - High,End User Computing,2026-10-30,,In Progress,1388.25,Lifecycle
REM-000135,A0000135,BU001,Endpoint Refresh,P4 - Planned,End User Computing,2027-09-27,,Not Started,2145.41,Lifecycle
REM-000136,A0000136,BU002,Endpoint Refresh,P3 - Medium,End User Computing,2026-10-27,2026-10-11,Completed,1271.51,Lifecycle
REM-000137,A0000137,BU002,Endpoint Refresh,P2 - High,End User Computing,2026-10-17,,Not Started,1414.33,Lifecycle
REM-000138,A0000138,BU001,Endpoint Refresh,P2 - High,End User Computing,2026-10-27,,In Progress,1391.89,Lifecycle + Cyber
REM-000139,A0000139,BU007,Endpoint Refresh,P4 - Planned,End User Computing,2027-10-16,2027-10-28,Completed,2272.5,Lifecycle
REM-000140,A0000140,BU009,Endpoint Refresh,P3 - Medium,End User Computing,2026-12-26,2027-01-22,Completed,1452.64,Lifecycle
REM-000141,A0000141,BU002,Endpoint Refresh,P4 - Planned,End User Computing,2027-01-19,,In Progress,1359.89,Lifecycle
REM-000142,A0000142,BU003,Endpoint Refresh,P3 - Medium,End User Computing,2026-11-10,,In Progress,1743.18,Lifecycle + Cyber
REM-000143,A0000143,BU004,Endpoint Refresh,P3 - Medium,End User Computing,2027-02-11,,Not Started,1344.49,Lifecycle
REM-000144,A0000144,BU001,Endpoint Refresh,P4 - Planned,End User Computing,2027-07-19,2027-08-17,Completed,1486.31,Lifecycle
REM-000145,A0000145,BU003,Endpoint Refresh,P2 - High,End User Computing,2026-09-19,,Exception Approved,1479.59,Lifecycle
REM-000146,A0000146,BU002,Endpoint Refresh,P4 - Planned,End User Computing,2027-01-08,,In Progress,1261.09,Lifecycle
REM-000147,A0000147,BU002,Endpoint Refresh,P2 - High,End User Computing,2026-08-02,,In Progress,1174.48,Lifecycle
REM-000148,A0000148,BU007,Endpoint Refresh,P4 - Planned,End User Computing,2027-07-31,,In Progress,2601.56,Lifecycle
REM-000149,A0000149,BU002,Endpoint Refresh,P4 - Planned,End User Computing,2027-11-10,2027-10-22,Completed,1382.19,Lifecycle
REM-000150,A0000150,BU009,Endpoint Refresh,P3 - Medium,End User Computing,2027-02-01,2027-02-24,Completed,1622.21,Lifecycle + Cyber
REM-000151,A0000151,BU004,Endpoint Refresh,P2 - High,End User Computing,2026-09-15,2026-10-15,Completed,1490.03,Lifecycle
REM-000152,A0000152,BU002,Endpoint Refresh,P4 - Planned,End User Computing,2027-09-03,2027-09-19,Completed,2138.53,Lifecycle
REM-000153,A0000153,BU004,Endpoint Refresh,P3 - Medium,End User Computing,2026-10-03,,Deferred,1623.05,Lifecycle
REM-000154,A0000154,BU001,Endpoint Refresh,P3 - Medium,End User Computing,2027-03-10,2027-03-11,Completed,1362.18,Lifecycle
REM-000155,A0000155,BU002,Endpoint Refresh,P3 - Medium,End User Computing,2027-05-06,2027-04-17,Completed,1620.37,Lifecycle
REM-000156,A0000156,BU002,Endpoint Refresh,P3 - Medium,End User Computing,2026-11-02,2026-09-04,Completed,1354.69,Lifecycle
REM-000157,A0000157,BU006,Endpoint Refresh,P4 - Planned,End User Computing,2027-10-20,2027-08-21,Completed,1234.53,Lifecycle + Cyber
REM-000158,A0000158,BU001,Endpoint Refresh,P4 - Planned,End User Computing,2026-11-28,,In Progress,1517.96,Lifecycle + Cyber
REM-000159,A0000159,BU002,Endpoint Refresh,P3 - Medium,End User Computing,2026-12-07,2026-12-24,Completed,1145.03,Lifecycle
REM-000160,A0000160,BU002,Endpoint Refresh,P4 - Planned,End User Computing,2027-11-10,,Not Started,1841.71,Lifecycle
REM-000161,A0000161,BU009,Endpoint Refresh,P4 - Planned,End User Computing,2027-10-27,,In Progress,1475.02,Lifecycle
REM-000162,A0000162,BU007,Endpoint Refresh,P1 - Critical,End User Computing,2026-07-19,2026-06-07,Completed,1215.47,Lifecycle + Cyber
REM-000163,A0000163,BU009,Endpoint Refresh,P4 - Planned,End User Computing,2027-06-09,,In Progress,1399.32,Lifecycle
REM-000164,A0000164,BU002,Endpoint Refresh,P3 - Medium,End User Computing,2027-03-30,,Not Started,1556.71,Lifecycle + Cyber
REM-000165,A0000165,BU002,Endpoint Refresh,P3 - Medium,End User Computing,2026-10-11,,In Progress,1219.77,Lifecycle
REM-000166,A0000166,BU001,Endpoint Refresh,P3 - Medium,End User Computing,2026-11-14,,In Progress,1937.85,Lifecycle + Cyber
REM-000167,A0000167,BU001,Endpoint Refresh,P4 - Planned,End User Computing,2027-05-29,,In Progress,1394.34,Lifecycle
REM-000168,A0000168,BU002,Endpoint Refresh,P3 - Medium,End User Computing,2026-10-11,2026-08-31,Completed,1648.02,Lifecycle
REM-000169,A0000169,BU001,Endpoint Refresh,P3 - Medium,End User Computing,2027-05-03,2027-04-06,Completed,1569.79,Lifecycle + Cyber
REM-000170,A0000170,BU010,Endpoint Refresh,P4 - Planned,End User Computing,2026-12-30,,Deferred,1388.34,Lifecycle
REM-000171,A0000171,BU001,Endpoint Refresh,P3 - Medium,End User Computing,2026-11-29,,Not Started,1537.4,Lifecycle
REM-000172,A0000172,BU004,Endpoint Refresh,P4 - Planned,End User Computing,2027-07-14,2027-06-06,Completed,2264.06,Lifecycle
REM-000173,A0000173,BU006,Endpoint Refresh,P4 - Planned,End User Computing,2027-11-02,,In Progress,2520.66,Lifecycle
REM-000174,A0000174,BU009,Endpoint Refresh,P4 - Planned,End User Computing,2027-05-05,,In Progress,1271.11,Lifecycle
REM-000175,A0000175,BU001,Endpoint Refresh,P3 - Medium,End User Computing,2027-05-17,,In Progress,1519.69,Lifecycle
REM-000176,A0000176,BU007,Endpoint Refresh,P4 - Planned,End User Computing,2027-01-12,,In Progress,1218.81,Lifecycle
REM-000177,A0000177,BU001,Endpoint Refresh,P2 - High,End User Computing,2026-08-13,2026-06-22,Completed,1325.76,Lifecycle + Cyber
REM-000178,A0000178,BU002,Endpoint Refresh,P3 - Medium,End User Computing,2026-12-11,,In Progress,2478.7,Lifecycle + Cyber
REM-000179,A0000179,BU003,Endpoint Refresh,P2 - High,End User Computing,2026-08-17,,In Progress,1249.22,Lifecycle
REM-000180,A0000180,BU002,Endpoint Refresh,P2 - High,End User Computing,2026-09-17,,In Progress,1285.4,Lifecycle
REM-000181,A0000181,BU001,Endpoint Refresh,P3 - Medium,End User Computing,2026-12-10,2026-11-18,Completed,1497.5,Lifecycle + Cyber
REM-000182,A0000182,BU010,Endpoint Refresh,P2 - High,End User Computing,2026-08-10,2026-08-02,Completed,1534.7,Lifecycle + Cyber
REM-000183,A0000183,BU001,Endpoint Refresh,P4 - Planned,End User Computing,2027-06-11,,In Progress,1786.42,Lifecycle
REM-000184,A0000184,BU001,Endpoint Refresh,P3 - Medium,End User Computing,2027-03-06,2027-01-27,Completed,1422.58,Lifecycle + Cyber
REM-000185,A0000185,BU001,Endpoint Refresh,P3 - Medium,End User Computing,2027-04-09,,In Progress,2473.15,Lifecycle + Cyber
REM-000186,A0000186,BU004,Endpoint Refresh,P3 - Medium,End User Computing,2027-05-22,,In Progress,1659.42,Lifecycle
REM-000187,A0000187,BU001,Endpoint Refresh,P2 - High,End User Computing,2026-09-30,,Not Started,1505.26,Lifecycle
REM-000188,A0000188,BU001,Endpoint Refresh,P4 - Planned,End User Computing,2027-08-18,,In Progress,1854.54,Lifecycle
REM-000189,A0000189,BU002,Endpoint Refresh,P4 - Planned,End User Computing,2027-06-02,2027-05-20,Completed,1349.87,Lifecycle
REM-000190,A0000190,BU001,Endpoint Refresh,P4 - Planned,End User Computing,2027-09-24,2027-07-31,Completed,2612.24,Lifecycle
REM-000191,A0000191,BU006,Endpoint Refresh,P3 - Medium,End User Computing,2026-10-15,2026-08-23,Completed,1440.66,Lifecycle
REM-000192,A0000192,BU002,Endpoint Refresh,P4 - Planned,End User Computing,2027-03-08,2027-03-14,Completed,1828.12,Lifecycle
REM-000193,A0000193,BU007,Endpoint Refresh,P3 - Medium,End User Computing,2026-12-14,2026-11-23,Completed,1652.76,Lifecycle
REM-000194,A0000194,BU007,Endpoint Refresh,P3 - Medium,End User Computing,2027-04-19,,In Progress,1273.07,Lifecycle + Cyber
REM-000195,A0000195,BU002,Endpoint Refresh,P1 - Critical,End User Computing,2026-08-04,,In Progress,1302.83,Lifecycle + Cyber
REM-000196,A0000196,BU001,Endpoint Refresh,P4 - Planned,End User Computing,2027-01-09,,Deferred,1532.35,Lifecycle
REM-000197,A0000197,BU001,Endpoint Refresh,P3 - Medium,End User Computing,2027-01-10,,Not Started,1474.94,Lifecycle
REM-000198,A0000198,BU007,Endpoint Refresh,P4 - Planned,End User Computing,2027-03-18,,In Progress,1664.18,Lifecycle
REM-000199,A0000199,BU006,Endpoint Refresh,P4 - Planned,End User Computing,2027-03-27,,In Progress,2204.63,Lifecycle
REM-000200,A0000200,BU001,Endpoint Refresh,P4 - Planned,End User Computing,2026-11-30,,In Progress,2175.46,Lifecycle
REM-000201,A0000201,BU002,Endpoint Refresh,P3 - Medium,End User Computing,2027-01-08,2027-01-24,Completed,1941.98,Lifecycle + Cyber
REM-000202,A0000202,BU004,Endpoint Refresh,P2 - High,End User Computing,2026-08-23,,In Progress,1765.94,Lifecycle + Cyber
REM-000203,A0000203,BU001,Endpoint Refresh,P3 - Medium,End User Computing,2027-04-22,2027-04-07,Completed,1262.4,Lifecycle
REM-000204,A0000204,BU004,Endpoint Refresh,P4 - Planned,End User Computing,2027-05-07,2027-05-23,Completed,1378.97,Lifecycle
REM-000205,A0000205,BU001,Endpoint Refresh,P3 - Medium,End User Computing,2027-04-01,,In Progress,1224.84,Lifecycle + Cyber
REM-000206,A0000206,BU002,Endpoint Refresh,P2 - High,End User Computing,2026-08-28,2026-09-19,Completed,1186.25,Lifecycle
