Incident_ID,Asset_ID,Incident_Date,Incident_Type,Severity,Downtime_Hours,Root_Cause,Status
INC-00000031,AST-0019476,2023-10-19,Security Alert,High,5.14,Configuration Drift,Closed
INC-00000032,AST-0016159,2024-02-02,Performance Degradation,Low,0,Configuration Drift,Open
INC-00000033,AST-0015580,2023-06-10,Hardware Failure,High,2.74,Hardware Aging,Resolved
INC-00000034,AST-0005508,2024-10-07,Security Alert,Low,0,Unsupported Software,Problem Created
INC-00000035,AST-0005459,2026-01-22,Performance Degradation,Medium,0,Security Vulnerability,Closed
INC-00000036,AST-0019974,2023-07-29,Performance Degradation,Low,0.29,Hardware Aging,Open
INC-00000037,AST-0013641,2025-02-08,Hardware Failure,Low,0,Unsupported Software,Open
INC-00000038,AST-0022532,2024-05-18,Storage Alert,Medium,1.29,User Error,Closed
INC-00000039,AST-0017155,2024-07-18,Performance Degradation,Low,0,Unknown,Closed
INC-00000040,AST-0011911,2024-03-21,Hardware Failure,High,5.2,Configuration Drift,Open
INC-00000041,AST-0012533,2023-12-20,Storage Alert,Medium,1.24,Unknown,Resolved
INC-00000042,AST-0012721,2025-06-19,Network Outage,Medium,3.89,Vendor Bug,Resolved
INC-00000043,AST-0000458,2025-01-20,Hardware Failure,Low,0.04,Unknown,Closed
INC-00000044,AST-0005530,2024-04-20,Patch Failure,Low,0.4,Capacity Issue,Resolved
INC-00000045,AST-0001926,2025-09-01,Storage Alert,Low,2.31,Capacity Issue,Open
INC-00000046,AST-0017397,2025-06-22,OS Issue,Low,2.53,Unsupported Software,Closed
INC-00000047,AST-0020432,2024-09-15,Performance Degradation,High,4.81,Unsupported Software,Resolved
INC-00000048,AST-0019864,2024-03-03,Patch Failure,Low,0,Hardware Aging,Problem Created
INC-00000049,AST-0019897,2023-11-21,Performance Degradation,Medium,0.12,Security Vulnerability,Open
INC-00000050,AST-0022542,2024-01-26,OS Issue,Medium,3.17,User Error,Resolved
INC-00000051,AST-0009243,2024-05-12,Storage Alert,High,5.6,Security Vulnerability,Resolved
INC-00000052,AST-0010450,2025-03-19,Hardware Failure,Critical,12.16,Vendor Bug,Problem Created
INC-00000053,AST-0013611,2026-05-01,Security Alert,Medium,1.24,Vendor Bug,Problem Created
INC-00000054,AST-0000513,2025-11-05,Application Error,Low,0,Capacity Issue,Closed
INC-00000055,AST-0011003,2023-12-29,Network Outage,High,4.49,Unsupported Software,Resolved
INC-00000056,AST-0018793,2024-09-28,Performance Degradation,Critical,11.9,Capacity Issue,Open
INC-00000057,AST-0017601,2024-07-22,Hardware Failure,High,1.7,Configuration Drift,Closed
INC-00000058,AST-0010735,2025-11-03,Performance Degradation,Low,1.01,Security Vulnerability,Problem Created
INC-00000059,AST-0019984,2026-01-06,Hardware Failure,Low,0.77,User Error,Resolved
INC-00000060,AST-0005789,2025-12-28,Network Outage,Critical,11.11,Unsupported Software,Closed
INC-00000061,AST-0011410,2024-01-13,Security Alert,Low,0.82,Unknown,Closed
INC-00000062,AST-0011208,2024-05-27,Hardware Failure,Medium,0,Unsupported Software,Closed
INC-00000063,AST-0011110,2024-11-03,Security Alert,Low,0.74,Hardware Aging,Resolved
INC-00000064,AST-0011798,2026-05-09,Network Outage,Low,0.84,Configuration Drift,Open
INC-00000065,AST-0015349,2023-09-27,Patch Failure,Medium,3.19,Configuration Drift,Resolved
INC-00000066,AST-0017923,2025-12-17,Application Error,Low,0.02,Capacity Issue,Resolved
INC-00000067,AST-0002176,2025-05-26,OS Issue,Medium,1.03,Configuration Drift,Resolved
INC-00000068,AST-0004290,2024-09-28,OS Issue,Critical,13.27,Unknown,Problem Created
INC-00000069,AST-0020405,2024-03-14,Performance Degradation,Medium,0.93,Capacity Issue,Problem Created
INC-00000070,AST-0011633,2023-12-09,Performance Degradation,Low,0,Unknown,Problem Created
INC-00000071,AST-0020084,2026-04-11,Application Error,Low,0,Hardware Aging,Resolved
INC-00000072,AST-0020190,2026-02-13,Patch Failure,High,0.24,User Error,Resolved
INC-00000073,AST-0008784,2025-01-20,Network Outage,High,2.32,Hardware Aging,Problem Created
INC-00000074,AST-0004471,2024-03-29,OS Issue,Low,0.23,Configuration Drift,Closed
INC-00000075,AST-0003702,2024-01-18,Security Alert,Medium,2.28,User Error,Open
INC-00000076,AST-0008413,2023-11-15,OS Issue,Medium,0.26,Unknown,Problem Created
INC-00000077,AST-0011013,2023-08-03,OS Issue,High,3.21,Configuration Drift,Closed
INC-00000078,AST-0014992,2023-07-10,Storage Alert,Low,0,Security Vulnerability,Resolved
INC-00000079,AST-0023583,2024-08-05,OS Issue,High,5.15,Security Vulnerability,Resolved
INC-00000080,AST-0005729,2025-11-08,Performance Degradation,Low,0,Unknown,Resolved
INC-00000081,AST-0023681,2026-05-07,Security Alert,High,3.46,Unknown,Resolved
INC-00000082,AST-0018706,2024-06-25,Network Outage,Medium,2.8,Unknown,Problem Created
INC-00000083,AST-0010881,2023-09-22,Network Outage,Low,0,Hardware Aging,Open
INC-00000084,AST-0004059,2024-07-18,Hardware Failure,Low,0,Security Vulnerability,Closed
INC-00000085,AST-0019607,2026-05-23,Storage Alert,Medium,0,Configuration Drift,Resolved
INC-00000086,AST-0007363,2024-07-31,Performance Degradation,Low,0,Unsupported Software,Open
INC-00000087,AST-0019521,2025-10-21,Security Alert,Medium,0,Unsupported Software,Closed
INC-00000088,AST-0014384,2025-09-25,Hardware Failure,Medium,0,Vendor Bug,Open
INC-00000089,AST-0020274,2025-01-06,Security Alert,Low,2.87,Unknown,Problem Created
INC-00000090,AST-0013539,2026-02-09,Performance Degradation,Critical,11.17,Unknown,Problem Created
INC-00000091,AST-0015304,2025-11-20,Network Outage,Medium,1.33,Vendor Bug,Resolved
INC-00000092,AST-0000658,2024-06-12,Patch Failure,Low,0,Unsupported Software,Resolved
INC-00000093,AST-0020279,2025-09-30,Security Alert,Medium,1.14,Security Vulnerability,Resolved
INC-00000094,AST-0022778,2023-10-30,Security Alert,Medium,0,Security Vulnerability,Resolved
INC-00000095,AST-0006469,2025-08-29,Security Alert,Low,0,Unsupported Software,Problem Created
INC-00000096,AST-0010167,2025-09-28,Performance Degradation,Low,0,Configuration Drift,Open
INC-00000097,AST-0020996,2024-06-12,Application Error,Medium,0,Unknown,Problem Created
INC-00000098,AST-0013558,2023-07-22,Storage Alert,High,4.17,Capacity Issue,Open
INC-00000099,AST-0011108,2025-07-23,Hardware Failure,Medium,1.05,Unknown,Closed
INC-00000100,AST-0012921,2024-07-04,Application Error,Medium,3.03,Capacity Issue,Open
INC-00000101,AST-0010521,2024-10-07,Network Outage,Medium,3.15,Security Vulnerability,Resolved
INC-00000102,AST-0016438,2024-05-12,Patch Failure,Low,2.7,Hardware Aging,Closed
INC-00000103,AST-0005759,2023-07-31,Hardware Failure,Medium,1.43,Security Vulnerability,Closed
INC-00000104,AST-0017620,2024-01-31,OS Issue,Low,0,Security Vulnerability,Closed
INC-00000105,AST-0009333,2025-02-27,Storage Alert,Medium,2.34,Capacity Issue,Open
INC-00000106,AST-0003366,2024-10-31,Network Outage,Medium,1.51,User Error,Open
INC-00000107,AST-0006241,2025-05-31,Application Error,Medium,0,Capacity Issue,Resolved
INC-00000108,AST-0016593,2026-02-13,Security Alert,Medium,0,Security Vulnerability,Open
INC-00000109,AST-0000011,2025-11-09,Application Error,Low,0,Unsupported Software,Resolved
INC-00000110,AST-0007268,2024-01-02,Security Alert,Low,0.26,Capacity Issue,Resolved
INC-00000111,AST-0011312,2024-09-06,Storage Alert,Medium,3.68,Security Vulnerability,Problem Created
INC-00000112,AST-0012399,2025-06-20,Network Outage,Low,0,Unsupported Software,Problem Created
INC-00000113,AST-0009670,2023-08-21,Application Error,Medium,1.04,Configuration Drift,Resolved
INC-00000114,AST-0022395,2025-11-10,Performance Degradation,Low,1.31,Unknown,Problem Created
INC-00000115,AST-0020351,2024-03-10,Performance Degradation,High,2.87,Configuration Drift,Open
INC-00000116,AST-0014872,2023-07-22,Network Outage,High,3.93,Capacity Issue,Closed
INC-00000117,AST-0002360,2024-05-17,Performance Degradation,Medium,0.07,Configuration Drift,Problem Created
INC-00000118,AST-0022390,2026-05-13,Application Error,Low,0.26,Hardware Aging,Problem Created
INC-00000119,AST-0017719,2025-06-17,Patch Failure,Medium,1.85,User Error,Closed
INC-00000120,AST-0014094,2026-02-07,Security Alert,High,4.62,User Error,Closed
INC-00000121,AST-0014662,2024-06-16,Hardware Failure,Medium,1.8,Configuration Drift,Problem Created
INC-00000122,AST-0021928,2025-08-18,OS Issue,Medium,0.63,Unsupported Software,Open
INC-00000123,AST-0009139,2024-11-11,Patch Failure,High,4.27,Unsupported Software,Closed
INC-00000124,AST-0018374,2025-09-04,Hardware Failure,Medium,3.08,User Error,Open
INC-00000125,AST-0019131,2023-08-24,Security Alert,High,4.36,Hardware Aging,Resolved
INC-00000126,AST-0014048,2026-04-06,OS Issue,Low,0,Hardware Aging,Problem Created
INC-00000127,AST-0005848,2026-04-07,Network Outage,High,4.66,Vendor Bug,Closed
INC-00000128,AST-0006518,2025-08-16,Hardware Failure,Medium,1.4,Configuration Drift,Closed
INC-00000129,AST-0011216,2025-02-25,Performance Degradation,High,4.31,Unknown,Open
INC-00000130,AST-0007172,2026-04-29,Storage Alert,Low,0.22,Unknown,Resolved
INC-00000131,AST-0016117,2024-03-08,Application Error,Medium,2.41,Configuration Drift,Resolved
INC-00000132,AST-0014323,2023-07-16,Hardware Failure,Low,3.61,Configuration Drift,Open
INC-00000133,AST-0007895,2025-07-16,Application Error,Critical,9.77,Security Vulnerability,Closed
INC-00000134,AST-0007316,2025-05-04,OS Issue,Critical,12.35,Vendor Bug,Closed
INC-00000135,AST-0014788,2024-02-21,Network Outage,Low,0.46,Unknown,Resolved
INC-00000136,AST-0010388,2025-02-15,Security Alert,High,4.02,Unknown,Resolved
INC-00000137,AST-0000879,2025-05-25,Security Alert,High,6.11,Vendor Bug,Open
INC-00000138,AST-0005597,2025-10-24,Network Outage,Critical,11.88,User Error,Resolved
INC-00000139,AST-0015024,2026-01-29,OS Issue,Low,0.78,Security Vulnerability,Problem Created
INC-00000140,AST-0020162,2024-07-20,Storage Alert,Low,0.71,User Error,Open
INC-00000141,AST-0014634,2023-09-02,Performance Degradation,Low,4.69,Security Vulnerability,Resolved
INC-00000142,AST-0008324,2025-01-28,Hardware Failure,Low,0,Unknown,Resolved
INC-00000143,AST-0005609,2025-08-06,Performance Degradation,Medium,0,Unknown,Open
INC-00000144,AST-0008491,2025-04-21,Network Outage,Low,0,Vendor Bug,Closed
INC-00000145,AST-0005615,2024-07-30,Application Error,Medium,2.0,User Error,Resolved
INC-00000146,AST-0021030,2026-03-14,Performance Degradation,High,1.56,Configuration Drift,Resolved
INC-00000147,AST-0005308,2024-10-03,Network Outage,Medium,2.45,User Error,Resolved
INC-00000148,AST-0007437,2024-09-18,Application Error,Low,3.32,Security Vulnerability,Problem Created
INC-00000149,AST-0019710,2023-08-22,Patch Failure,Low,2.84,Configuration Drift,Problem Created
INC-00000150,AST-0019445,2026-01-24,Hardware Failure,High,3.61,Unsupported Software,Resolved
INC-00000151,AST-0001684,2023-11-25,OS Issue,High,2.12,Hardware Aging,Resolved
INC-00000152,AST-0013222,2026-03-31,Patch Failure,High,2.84,Configuration Drift,Problem Created
INC-00000153,AST-0012308,2025-05-08,Network Outage,Low,0.33,Security Vulnerability,Open
INC-00000154,AST-0008016,2026-01-25,Hardware Failure,Low,0,Hardware Aging,Open
INC-00000155,AST-0021907,2023-08-17,Security Alert,Medium,0,Hardware Aging,Resolved
INC-00000156,AST-0014096,2024-03-01,Security Alert,Low,0,User Error,Problem Created
INC-00000157,AST-0018521,2023-06-13,OS Issue,Medium,3.04,Hardware Aging,Problem Created
INC-00000158,AST-0016630,2025-03-07,Storage Alert,Low,0.99,Configuration Drift,Resolved
INC-00000159,AST-0001004,2024-09-21,Performance Degradation,Low,0.89,Configuration Drift,Resolved
INC-00000160,AST-0023019,2025-03-15,Storage Alert,Low,1.97,Vendor Bug,Open
INC-00000161,AST-0001361,2025-03-31,Patch Failure,Critical,9.63,Hardware Aging,Resolved
INC-00000162,AST-0022235,2025-01-30,Storage Alert,Critical,11.74,User Error,Resolved
INC-00000163,AST-0010613,2025-01-26,Security Alert,Low,0,User Error,Resolved
INC-00000164,AST-0017104,2024-07-25,Security Alert,Medium,0,User Error,Problem Created
INC-00000165,AST-0012249,2023-12-06,OS Issue,Medium,1.15,Capacity Issue,Closed
INC-00000166,AST-0005043,2025-02-23,Application Error,Low,1.2,Unknown,Open
INC-00000167,AST-0000006,2024-01-23,Application Error,Low,0.93,Configuration Drift,Resolved
INC-00000168,AST-0017909,2025-07-10,Performance Degradation,Medium,0,User Error,Closed
INC-00000169,AST-0007175,2024-07-02,Patch Failure,Low,1.25,Unknown,Resolved
INC-00000170,AST-0000539,2023-12-16,OS Issue,Medium,0.81,Unsupported Software,Problem Created
INC-00000171,AST-0011692,2025-08-28,Security Alert,High,3.46,Hardware Aging,Open
INC-00000172,AST-0021446,2026-01-26,Network Outage,Low,0,User Error,Problem Created
INC-00000173,AST-0017972,2025-08-31,Performance Degradation,Medium,0.79,Vendor Bug,Open
INC-00000174,AST-0018224,2025-09-17,Patch Failure,Medium,2.07,Security Vulnerability,Problem Created
INC-00000175,AST-0004376,2025-07-04,Application Error,Low,0,Unsupported Software,Problem Created
INC-00000176,AST-0001210,2025-02-04,Hardware Failure,Medium,0,Capacity Issue,Resolved
INC-00000177,AST-0003172,2025-02-13,Performance Degradation,Low,3.12,Capacity Issue,Problem Created
INC-00000178,AST-0000553,2026-03-28,Storage Alert,Low,1.57,Hardware Aging,Open
INC-00000179,AST-0003011,2024-03-15,Application Error,High,4.73,Unknown,Problem Created
INC-00000180,AST-0006911,2026-01-26,Performance Degradation,Low,3.78,Unsupported Software,Problem Created
INC-00000181,AST-0020081,2024-11-10,Patch Failure,High,4.44,Hardware Aging,Closed
INC-00000182,AST-0007110,2024-06-14,Patch Failure,High,4.88,Vendor Bug,Open
INC-00000183,AST-0001125,2024-11-11,OS Issue,Critical,11.07,Configuration Drift,Closed
INC-00000184,AST-0010450,2024-11-11,Security Alert,Critical,15.39,Security Vulnerability,Resolved
INC-00000185,AST-0016407,2025-09-10,Security Alert,Medium,2.87,Unknown,Problem Created
INC-00000186,AST-0000602,2024-02-11,Hardware Failure,Low,1.92,Unsupported Software,Open
INC-00000187,AST-0021350,2024-06-22,Application Error,Low,2.34,Configuration Drift,Open
INC-00000188,AST-0002242,2024-02-17,Security Alert,Medium,0.06,Security Vulnerability,Resolved
INC-00000189,AST-0021927,2023-06-07,Security Alert,Low,1.56,Capacity Issue,Resolved
INC-00000190,AST-0012969,2023-06-24,Application Error,Low,0.39,User Error,Open
INC-00000191,AST-0008473,2026-03-03,Application Error,High,3.39,Vendor Bug,Resolved
INC-00000192,AST-0000310,2023-10-06,Application Error,Low,0,Unknown,Resolved
INC-00000193,AST-0003215,2025-02-10,Hardware Failure,Low,0,Unsupported Software,Resolved
INC-00000194,AST-0017570,2024-12-20,Storage Alert,Low,1.14,User Error,Resolved
INC-00000195,AST-0009521,2025-03-23,Hardware Failure,Low,1.75,Configuration Drift,Closed
INC-00000196,AST-0023347,2024-01-25,Security Alert,High,3.87,User Error,Resolved
INC-00000197,AST-0002392,2024-07-07,Storage Alert,Low,0.4,Configuration Drift,Resolved
INC-00000198,AST-0019838,2023-11-02,Storage Alert,Low,0,Vendor Bug,Resolved
INC-00000199,AST-0015519,2024-01-16,Security Alert,Medium,1.72,User Error,Problem Created
INC-00000200,AST-0008649,2025-05-08,Network Outage,Low,0,User Error,Resolved
INC-00000201,AST-0002132,2025-10-06,Performance Degradation,High,4.98,Capacity Issue,Problem Created
INC-00000202,AST-0023471,2026-01-24,Application Error,Low,1.19,Unknown,Resolved
INC-00000203,AST-0015683,2025-02-14,Network Outage,High,0.89,Unsupported Software,Closed
INC-00000204,AST-0019348,2026-04-09,Storage Alert,Low,2.09,Security Vulnerability,Resolved
INC-00000205,AST-0021000,2023-10-27,Application Error,Low,0,Configuration Drift,Resolved
INC-00000206,AST-0017744,2025-04-08,Security Alert,Low,2.07,Security Vulnerability,Closed
INC-00000207,AST-0014070,2024-04-14,Hardware Failure,Medium,0,Capacity Issue,Problem Created
INC-00000208,AST-0003033,2025-09-23,Performance Degradation,Medium,0,Unsupported Software,Open
INC-00000209,AST-0015287,2023-10-14,Hardware Failure,Medium,1.52,Unsupported Software,Closed
INC-00000210,AST-0019298,2023-10-29,Patch Failure,Medium,4.64,Unsupported Software,Resolved
INC-00000211,AST-0017552,2025-04-06,Storage Alert,Low,0,Hardware Aging,Resolved
INC-00000212,AST-0023475,2025-05-26,Hardware Failure,Low,0.39,Configuration Drift,Problem Created
INC-00000213,AST-0020321,2025-01-19,Storage Alert,Low,0,User Error,Problem Created
INC-00000214,AST-0011652,2025-07-28,Patch Failure,Medium,1.77,Vendor Bug,Open
INC-00000215,AST-0013254,2025-04-18,OS Issue,Critical,10.12,Security Vulnerability,Resolved
INC-00000216,AST-0002158,2025-12-06,Storage Alert,Critical,13.2,Capacity Issue,Resolved
INC-00000217,AST-0005634,2023-12-23,Security Alert,Low,0.94,Unknown,Resolved
INC-00000218,AST-0016499,2024-11-18,Application Error,High,4.43,Unknown,Resolved
INC-00000219,AST-0021743,2024-10-17,Network Outage,Medium,0.08,User Error,Resolved
INC-00000220,AST-0003686,2023-10-22,OS Issue,Low,0,Security Vulnerability,Resolved
INC-00000221,AST-0018883,2025-05-04,Storage Alert,Medium,0.98,Hardware Aging,Closed
INC-00000222,AST-0009863,2023-06-24,Performance Degradation,Low,2.89,Security Vulnerability,Closed
INC-00000223,AST-0000489,2025-01-26,Application Error,High,3.68,User Error,Problem Created
INC-00000224,AST-0001674,2023-08-28,Network Outage,Medium,1.74,Security Vulnerability,Open
INC-00000225,AST-0018685,2025-08-12,Hardware Failure,Low,0,Vendor Bug,Resolved
INC-00000226,AST-0015479,2023-12-21,Security Alert,Medium,0.76,Unsupported Software,Open
INC-00000227,AST-0010828,2025-03-27,Security Alert,Low,0,Unknown,Closed
INC-00000228,AST-0019247,2025-08-17,Hardware Failure,Low,2.16,Vendor Bug,Open
INC-00000229,AST-0010706,2023-07-28,OS Issue,Medium,2.45,Configuration Drift,Problem Created
INC-00000230,AST-0003781,2023-07-08,Security Alert,Medium,1.99,Unknown,Problem Created
INC-00000231,AST-0010676,2024-02-01,Hardware Failure,High,2.23,Hardware Aging,Resolved
INC-00000232,AST-0013781,2023-10-27,Storage Alert,Medium,2.3,Capacity Issue,Closed
INC-00000233,AST-0020151,2023-08-09,Performance Degradation,High,4.36,Security Vulnerability,Problem Created
INC-00000234,AST-0013953,2023-08-05,Patch Failure,High,5.54,Configuration Drift,Resolved
INC-00000235,AST-0018457,2025-03-03,Performance Degradation,Low,2.32,User Error,Closed
INC-00000236,AST-0001329,2025-07-31,Security Alert,Low,0,Capacity Issue,Closed
INC-00000237,AST-0021216,2023-10-17,Storage Alert,High,4.53,User Error,Open
INC-00000238,AST-0014086,2025-07-16,Storage Alert,Low,0,Configuration Drift,Closed
INC-00000239,AST-0015190,2023-12-26,OS Issue,Medium,2.55,Unknown,Resolved
INC-00000240,AST-0015150,2024-02-20,Patch Failure,High,3.88,Security Vulnerability,Open
INC-00000241,AST-0007967,2025-11-19,Security Alert,Medium,2.71,Vendor Bug,Open
INC-00000242,AST-0011634,2023-11-09,Security Alert,Medium,3.87,Unknown,Open
INC-00000243,AST-0019103,2023-09-30,Application Error,Low,0,User Error,Resolved
INC-00000244,AST-0022151,2023-08-24,Performance Degradation,Low,0,Vendor Bug,Open
INC-00000245,AST-0021389,2024-08-06,OS Issue,Low,0.94,Vendor Bug,Open
INC-00000246,AST-0021393,2025-05-26,Security Alert,Medium,3.35,Hardware Aging,Open
INC-00000247,AST-0016558,2023-06-30,Hardware Failure,Medium,3.32,Security Vulnerability,Problem Created
INC-00000248,AST-0007376,2024-12-05,Performance Degradation,Low,0,Security Vulnerability,Open
INC-00000249,AST-0008084,2025-11-24,Security Alert,Medium,0.22,Configuration Drift,Closed
INC-00000250,AST-0007325,2025-06-14,Patch Failure,High,4.03,User Error,Problem Created
INC-00000251,AST-0008924,2023-06-26,Performance Degradation,Medium,1.89,Hardware Aging,Resolved
INC-00000252,AST-0005444,2025-11-05,OS Issue,Medium,2.28,User Error,Resolved
INC-00000253,AST-0019841,2025-09-25,Application Error,Low,0.86,Security Vulnerability,Resolved
INC-00000254,AST-0004774,2023-09-06,Performance Degradation,Low,0,Configuration Drift,Resolved
INC-00000255,AST-0004494,2023-06-03,Storage Alert,Medium,0.74,Vendor Bug,Problem Created
INC-00000256,AST-0010778,2025-11-12,OS Issue,Low,0.18,Unsupported Software,Resolved
INC-00000257,AST-0006329,2025-05-17,Security Alert,Low,0,Unknown,Closed
INC-00000258,AST-0009559,2025-11-15,Security Alert,Medium,2.62,Hardware Aging,Problem Created
INC-00000259,AST-0018379,2024-12-17,Network Outage,Low,1.07,Unknown,Open
INC-00000260,AST-0005428,2025-06-29,Storage Alert,Low,0.6,Configuration Drift,Open
INC-00000261,AST-0001577,2023-11-23,Hardware Failure,Low,0,Capacity Issue,Problem Created
INC-00000262,AST-0012507,2023-11-03,Performance Degradation,Low,1.97,Hardware Aging,Resolved
INC-00000263,AST-0012394,2024-07-03,OS Issue,Medium,0.08,Vendor Bug,Problem Created
INC-00000264,AST-0018596,2025-08-05,Patch Failure,Low,0.82,Unsupported Software,Resolved
INC-00000265,AST-0013267,2024-02-19,Hardware Failure,Critical,14.37,Security Vulnerability,Resolved
INC-00000266,AST-0020543,2025-08-13,Storage Alert,Low,0,Security Vulnerability,Problem Created
INC-00000267,AST-0011690,2023-11-12,Storage Alert,Medium,0.23,User Error,Resolved
INC-00000268,AST-0007778,2024-11-17,Storage Alert,Medium,0,Capacity Issue,Open
INC-00000269,AST-0013366,2023-12-18,Storage Alert,High,6.93,Vendor Bug,Problem Created
INC-00000270,AST-0022133,2026-05-31,Storage Alert,High,4.89,Unsupported Software,Resolved
INC-00000271,AST-0002149,2025-03-27,Patch Failure,Critical,10.59,User Error,Problem Created
INC-00000272,AST-0019878,2023-06-19,OS Issue,Medium,1.44,Configuration Drift,Closed
INC-00000273,AST-0021681,2023-08-18,Hardware Failure,Low,0.58,User Error,Resolved
INC-00000274,AST-0019160,2024-11-02,Network Outage,Low,1.83,Capacity Issue,Open
INC-00000275,AST-0015007,2025-07-08,OS Issue,High,2.44,Unsupported Software,Closed
INC-00000276,AST-0017042,2024-07-18,Application Error,Low,1.28,Security Vulnerability,Closed
INC-00000277,AST-0010408,2024-01-19,Security Alert,Low,1.37,Security Vulnerability,Open
INC-00000278,AST-0017671,2025-04-04,Storage Alert,Medium,2.71,Configuration Drift,Problem Created
INC-00000279,AST-0002199,2023-12-22,Hardware Failure,Medium,1.34,Capacity Issue,Problem Created
INC-00000280,AST-0021275,2025-07-21,Performance Degradation,Medium,2.29,Vendor Bug,Closed
INC-00000281,AST-0015147,2025-11-26,Patch Failure,Critical,12.33,User Error,Closed
INC-00000282,AST-0015831,2024-08-21,Application Error,High,3.05,Security Vulnerability,Open
INC-00000283,AST-0000267,2023-10-02,Application Error,Low,1.89,Capacity Issue,Resolved
INC-00000284,AST-0008669,2024-05-12,Storage Alert,Low,1.91,Configuration Drift,Closed
INC-00000285,AST-0022603,2024-04-23,Performance Degradation,High,4.38,Capacity Issue,Closed
INC-00000286,AST-0005980,2026-03-22,OS Issue,Low,0,User Error,Closed
INC-00000287,AST-0000673,2024-05-16,Storage Alert,High,3.25,Unknown,Problem Created
INC-00000288,AST-0003125,2024-11-07,OS Issue,Critical,12.75,Security Vulnerability,Open
INC-00000289,AST-0023176,2025-12-02,Network Outage,Low,3.64,Security Vulnerability,Problem Created
INC-00000290,AST-0017614,2025-06-14,Storage Alert,Medium,3.01,Unknown,Closed
INC-00000291,AST-0022084,2024-06-14,Application Error,Low,0,Unknown,Open
INC-00000292,AST-0012375,2024-06-18,Performance Degradation,Critical,10.71,Unknown,Problem Created
INC-00000293,AST-0010032,2024-05-06,Security Alert,Critical,11.03,Security Vulnerability,Closed
INC-00000294,AST-0020758,2023-06-29,OS Issue,Medium,0.9,Security Vulnerability,Resolved
INC-00000295,AST-0010340,2023-10-29,OS Issue,Critical,12.17,Security Vulnerability,Open
INC-00000296,AST-0000350,2025-02-10,Network Outage,Medium,0.49,Hardware Aging,Resolved
INC-00000297,AST-0020215,2023-12-20,Storage Alert,Low,0,User Error,Open
INC-00000298,AST-0002833,2026-03-03,Security Alert,Medium,2.89,Hardware Aging,Resolved
INC-00000299,AST-0015760,2026-05-09,Patch Failure,High,4.95,Unsupported Software,Closed
INC-00000300,AST-0001352,2024-04-29,Application Error,Low,1.15,Unsupported Software,Problem Created
INC-00000301,AST-0002287,2025-07-04,Storage Alert,Low,2.54,Hardware Aging,Open
