Location_ID,Location_Name,Region,City,Country,Location_Type
LOC-0079,GTA Branches 76,GTA Branches,Oakville,Canada,Branch
LOC-0080,GTA Branches 77,GTA Branches,Mississauga,Canada,Branch
LOC-0081,GTA Branches 78,GTA Branches,Oakville,Canada,Branch
LOC-0082,GTA Branches 79,GTA Branches,Toronto,Canada,Branch
LOC-0083,GTA Branches 80,GTA Branches,Markham,Canada,Branch
LOC-0084,Ontario Regional 1,Ontario Regional,Kitchener,Canada,DR Site
LOC-0085,Ontario Regional 2,Ontario Regional,Kitchener,Canada,Office
LOC-0086,Ontario Regional 3,Ontario Regional,Kitchener,Canada,Data Centre
LOC-0087,Ontario Regional 4,Ontario Regional,London,Canada,Data Centre
LOC-0088,Ontario Regional 5,Ontario Regional,Ottawa,Canada,Office
LOC-0089,Ontario Regional 6,Ontario Regional,Kingston,Canada,Office
LOC-0090,Ontario Regional 7,Ontario Regional,London,Canada,DR Site
LOC-0091,Ontario Regional 8,Ontario Regional,Hamilton,Canada,Data Centre
LOC-0092,Ontario Regional 9,Ontario Regional,Kingston,Canada,Office
LOC-0093,Ontario Regional 10,Ontario Regional,Kitchener,Canada,Branch
LOC-0094,Ontario Regional 11,Ontario Regional,London,Canada,Branch
LOC-0095,Ontario Regional 12,Ontario Regional,Kitchener,Canada,DR Site
LOC-0096,Ontario Regional 13,Ontario Regional,Kitchener,Canada,Branch
LOC-0097,Ontario Regional 14,Ontario Regional,London,Canada,Data Centre
LOC-0098,Ontario Regional 15,Ontario Regional,London,Canada,DR Site
LOC-0099,Western Canada 1,Western Canada,Winnipeg,Canada,DR Site
LOC-0100,Western Canada 2,Western Canada,Calgary,Canada,Data Centre
LOC-0101,Western Canada 3,Western Canada,Calgary,Canada,Office
LOC-0102,Western Canada 4,Western Canada,Victoria,Canada,Data Centre
LOC-0103,Western Canada 5,Western Canada,Victoria,Canada,DR Site
LOC-0104,Western Canada 6,Western Canada,Victoria,Canada,DR Site
LOC-0105,Western Canada 7,Western Canada,Edmonton,Canada,Office
LOC-0106,Western Canada 8,Western Canada,Calgary,Canada,DR Site
LOC-0107,Western Canada 9,Western Canada,Vancouver,Canada,Branch
LOC-0108,Western Canada 10,Western Canada,Vancouver,Canada,Office
LOC-0109,Western Canada 11,Western Canada,Calgary,Canada,DR Site
LOC-0110,Western Canada 12,Western Canada,Victoria,Canada,Branch
LOC-0111,Western Canada 13,Western Canada,Winnipeg,Canada,DR Site
LOC-0112,Western Canada 14,Western Canada,Victoria,Canada,DR Site
LOC-0113,Western Canada 15,Western Canada,Victoria,Canada,Data Centre
LOC-0114,Western Canada 16,Western Canada,Victoria,Canada,Branch
LOC-0115,Western Canada 17,Western Canada,Vancouver,Canada,Data Centre
LOC-0116,Western Canada 18,Western Canada,Edmonton,Canada,Branch
LOC-0117,Western Canada 19,Western Canada,Edmonton,Canada,DR Site
LOC-0118,Western Canada 20,Western Canada,Calgary,Canada,DR Site
LOC-0119,Western Canada 21,Western Canada,Vancouver,Canada,Data Centre
LOC-0120,Western Canada 22,Western Canada,Victoria,Canada,Office
LOC-0121,Western Canada 23,Western Canada,Victoria,Canada,Branch
LOC-0122,Western Canada 24,Western Canada,Edmonton,Canada,Office
LOC-0123,Western Canada 25,Western Canada,Calgary,Canada,Data Centre
LOC-0124,Quebec 1,Quebec,Quebec City,Canada,Branch
LOC-0125,Quebec 2,Quebec,Laval,Canada,DR Site
LOC-0126,Quebec 3,Quebec,Montreal,Canada,Branch
LOC-0127,Quebec 4,Quebec,Laval,Canada,Data Centre
LOC-0128,Quebec 5,Quebec,Quebec City,Canada,Branch
LOC-0129,Quebec 6,Quebec,Quebec City,Canada,Branch
LOC-0130,Quebec 7,Quebec,Montreal,Canada,DR Site
LOC-0131,Quebec 8,Quebec,Montreal,Canada,Office
LOC-0132,Quebec 9,Quebec,Quebec City,Canada,DR Site
LOC-0133,Quebec 10,Quebec,Quebec City,Canada,Data Centre
LOC-0134,Quebec 11,Quebec,Gatineau,Canada,Office
LOC-0135,Quebec 12,Quebec,Quebec City,Canada,Data Centre
LOC-0136,Quebec 13,Quebec,Gatineau,Canada,Data Centre
LOC-0137,Quebec 14,Quebec,Gatineau,Canada,DR Site
LOC-0138,Quebec 15,Quebec,Montreal,Canada,Office
LOC-0139,Quebec 16,Quebec,Quebec City,Canada,Branch
LOC-0140,Quebec 17,Quebec,Laval,Canada,Branch
LOC-0141,Quebec 18,Quebec,Quebec City,Canada,Office
LOC-0142,Quebec 19,Quebec,Montreal,Canada,Branch
LOC-0143,Quebec 20,Quebec,Montreal,Canada,Office
LOC-0144,Atlantic Canada 1,Atlantic Canada,Halifax,Canada,Branch
LOC-0145,Atlantic Canada 2,Atlantic Canada,Moncton,Canada,Branch
LOC-0146,Atlantic Canada 3,Atlantic Canada,St. John's,Canada,Office
LOC-0147,Atlantic Canada 4,Atlantic Canada,Moncton,Canada,DR Site
LOC-0148,Atlantic Canada 5,Atlantic Canada,Halifax,Canada,Office
LOC-0149,Atlantic Canada 6,Atlantic Canada,St. John's,Canada,DR Site
LOC-0150,Atlantic Canada 7,Atlantic Canada,Halifax,Canada,DR Site
LOC-0151,Atlantic Canada 8,Atlantic Canada,Moncton,Canada,Office
LOC-0152,Atlantic Canada 9,Atlantic Canada,Halifax,Canada,Branch
LOC-0153,Atlantic Canada 10,Atlantic Canada,St. John's,Canada,DR Site
LOC-0154,Data Centre 1,Data Centre,Montreal,Canada,DR Site
LOC-0155,Data Centre 2,Data Centre,Calgary,Canada,DR Site
LOC-0156,Data Centre 3,Data Centre,Toronto,Canada,Branch
LOC-0157,Data Centre 4,Data Centre,Toronto,Canada,DR Site
LOC-0158,DR Site 1,DR Site,Winnipeg,Canada,Branch
LOC-0159,DR Site 2,DR Site,Ottawa,Canada,Office
