data_layer,table_name,row_count,column_count,duplicate_rows,missing_values,columns
processed,hardware_assets.csv,23770,17,0,0,"Asset_ID, Hostname, Asset_Type, Manufacturer, Model, Serial_Number, Purchase_Date, Install_Date, Warranty_End_Date, Purchase_Cost, Location_ID, Business_Unit_ID, Environment, Assigned_Owner_ID, Asset_Operational_Status, Inventory_Source, Last_Discovered_Date"
processed,incidents.csv,100000,8,0,0,"Incident_ID, Asset_ID, Opened_DateTime, Closed_DateTime, Priority, Incident_State, Root_Cause_Category, Assignment_Group"
processed,refresh_projects.csv,8000,8,0,8000,"Project_ID, Asset_ID, Project_Name, Planned_Refresh_Date, Actual_Refresh_Date, Project_Portfolio, Project_Status, Planned_Budget_Amount"
processed,software_installations.csv,125353,9,0,0,"Installation_ID, Asset_ID, Publisher, Software_Name, Software_Version, Install_Date, Discovery_Source, License_Metric, Last_Seen_Date"
processed,vulnerabilities.csv,60000,9,0,0,"Finding_ID, Asset_ID, CVE_ID, Severity, First_Detected_Date, Last_Detected_Date, Remediation_Status, Scanner_Source, CVSS_Score"
engineered,asset_lifecycle_analysis.csv,23770,37,0,0,"Asset_ID, Hostname, Asset_Type, Manufacturer, Model, Serial_Number, Purchase_Date, Install_Date, Warranty_End_Date, Purchase_Cost, Location_ID, Business_Unit_ID, Environment, Assigned_Owner_ID, Asset_Operational_Status, Inventory_Source, Last_Discovered_Date, Model_Release_Date, Vendor_Support_End_Date, Standard_Refresh_Cycle_Years, Standard_Replacement_Cost, Asset_Age_Years, Warranty_Status, Months_To_EOL, Lifecycle_Status, Past_EOL_Flag, Expiring_12M_Flag, Expiring_24M_Flag, Expiring_36M_Flag, Replacement_Cost, Open_Vulnerability_Count, Critical_Vulnerability_Count, High_Vulnerability_Count, Incident_Count, Downtime_Hours, Lifecycle_Risk_Score, Refresh_Priority"
engineered,asset_lifecycle_by_type.csv,27,4,0,0,"Asset_Type, Lifecycle_Status, Asset_Count, Replacement_Cost"
engineered,business_unit_risk.csv,10,23,0,0,"Business_Unit_ID, Business_Unit_Name, Business_Criticality, Total_Assets, Past_EOL_Assets, Expiring_12M_Assets, Expiring_24M_Assets, Expiring_36M_Assets, Critical_Vulnerability_Count, High_Vulnerability_Count, Total_Replacement_Cost, Total_Downtime_Hours, Incident_Count, Avg_Risk_Score, Past_EOL_Pct, Near_Term_Exposure_Pct, Past_EOL_Assets_Norm, Expiring_12M_Assets_Norm, Critical_Vulnerability_Count_Norm, Total_Replacement_Cost_Norm, Total_Downtime_Hours_Norm, Executive_Risk_Index, Risk_Band"
engineered,cyber_risk_analysis.csv,1391,39,0,0,"Asset_ID, Hostname, Asset_Type, Manufacturer, Model, Serial_Number, Purchase_Date, Install_Date, Warranty_End_Date, Purchase_Cost, Location_ID, Business_Unit_ID, Environment, Assigned_Owner_ID, Asset_Operational_Status, Inventory_Source, Last_Discovered_Date, Model_Release_Date, Vendor_Support_End_Date, Standard_Refresh_Cycle_Years, Standard_Replacement_Cost, Asset_Age_Years, Warranty_Status, Months_To_EOL, Lifecycle_Status, Past_EOL_Flag, Expiring_12M_Flag, Expiring_24M_Flag, Expiring_36M_Flag, Replacement_Cost, Open_Vulnerability_Count, Critical_Vulnerability_Count, High_Vulnerability_Count, Incident_Count, Downtime_Hours, Lifecycle_Risk_Score, Refresh_Priority, Remediation_Priority, Cyber_Risk_Category"
engineered,operational_risk_analysis.csv,5,8,0,0,"Lifecycle_Status, Asset_Count, Incident_Count, Downtime_Hours, Avg_Downtime_Per_Asset, Avg_Incidents_Per_Asset, Lifecycle_Impact_Weight, Operational_Disruption_Index"
engineered,refresh_forecast.csv,4,3,0,0,"Refresh_Year, Assets, Estimated_Refresh_Cost"
engineered,software_lifecycle_analysis.csv,125353,16,0,0,"Installation_ID, Asset_ID, Publisher, Software_Name, Software_Version, Install_Date, Discovery_Source, License_Metric, Last_Seen_Date, Version, Release_Date, Vendor_Support_End_Date, Software_Category, Months_To_Software_EOL, Software_EOL_Status, Software_Compliance_Risk"
