Asset_ID,Asset_Name,Asset_Type,Manufacturer,Model,Serial_Number,Purchase_Date,Install_Date,Warranty_End,Expected_EOL,Lifecycle_Status,Current_Status,Location_ID,Business_Unit,Criticality,Environment,Replacement_Cost_CAD,Days_To_EOL,Age_Years,Criticality_Score,EOL_Score,Vulnerability_Count,Critical_Vuln_Count,High_Vuln_Count,Avg_CVSS,Max_CVSS,Incident_Count,Total_Downtime_Hours,Avg_Downtime_Hours,Refresh_Project_Count,Latest_Refresh_Status,Planned_Refresh_Budget,Location_Name,Region,City,Country,Location_Type,Risk_Score,Risk_Band
AST-0000011,LAP-0000011,Laptop,Apple,MacBook Air M2,S3Y70HP87W,2023-02-22,2023-03-19,2028-03-17,2027-03-31,6-12 Months,Quarantined,LOC-0049,Commercial Banking,High,Production,1650,303,3.3,3,3,2.0,1.0,1.0,9.3,9.8,5.0,14.7,2.9400000000000004,0.0,,0.0,GTA Branches 46,GTA Branches,Brampton,Canada,Branch,118.5,Critical
AST-0000012,LAP-0000012,Laptop,Dell,Latitude 5430,KEP7Y6WKTA,2026-04-14,2026-05-04,2031-05-03,2026-08-04,0-6 Months,In Service,LOC-0080,Technology,Medium,Test,1550,64,0.1,2,4,1.0,0.0,1.0,7.8,7.8,6.0,20.31,3.385,1.0,Not Started,1566.89,GTA Branches 77,GTA Branches,Mississauga,Canada,Branch,121.0,Critical
AST-0000013,LAP-0000013,Laptop,Lenovo,ThinkPad T14 Gen 2,S280XKXWD8,2023-07-01,2023-08-08,2028-08-06,2026-10-09,0-6 Months,In Service,LOC-0083,Wealth Management,Medium,Production,1500,130,2.9,2,4,2.0,0.0,2.0,9.8,9.8,1.0,3.22,3.22,0.0,,0.0,GTA Branches 80,GTA Branches,Markham,Canada,Branch,115.5,Critical
AST-0000014,LAP-0000014,Laptop,Lenovo,ThinkPad T14 Gen 3,4COWGZRIXA,2023-08-04,2023-08-17,2026-08-16,2031-12-09,Supported >24 Months,In Service,LOC-0007,Retail Banking,Critical,Test,1600,2017,2.8,4,1,2.0,1.0,1.0,8.9,10.0,2.0,11.77,5.885,0.0,,0.0,GTA Branches 4,GTA Branches,Richmond Hill,Canada,Branch,89.0,High
AST-0000015,LAP-0000015,Laptop,HP,EliteBook 850 G9,Q2Y9V86WZS,2023-06-23,2023-07-05,2028-07-03,2027-03-29,6-12 Months,Retired,LOC-0133,Wealth Management,High,Production,1650,301,2.9,3,3,1.0,1.0,0.0,10.0,10.0,5.0,8.99,1.798,0.0,,0.0,Quebec 10,Quebec,Quebec City,Canada,Data Centre,116.5,Critical
AST-0000016,LAP-0000016,Laptop,Apple,MacBook Pro 14-inch M2 Pro,1SWJCKJLTE,2023-11-22,2023-12-23,2027-12-22,2024-07-23,Past EOL,In Service,LOC-0067,Technology,High,Development,2850,-678,2.5,3,5,4.0,3.0,1.0,9.3,9.8,5.0,17.97,3.594,1.0,Not Started,3295.1,GTA Branches 64,GTA Branches,Oakville,Canada,Branch,166.5,Critical
AST-0000017,LAP-0000017,Laptop,HP,EliteBook 850 G9,QC3O18A5UR,2026-02-20,2026-03-02,2031-03-01,2028-02-06,12-24 Months,In Service,LOC-0055,Retail Banking,Medium,Test,1650,615,0.3,2,2,2.0,2.0,0.0,9.8,9.8,2.0,17.98,8.99,1.0,Completed,1757.0,GTA Branches 52,GTA Branches,Toronto,Canada,Branch,81.0,High
AST-0000018,LAP-0000018,Laptop,Lenovo,ThinkPad T14 Gen 3,HPBMYOFQEW,2024-07-07,2024-08-03,2029-08-02,2027-08-29,12-24 Months,In Service,LOC-0140,Cybersecurity,Critical,Development,1600,454,1.9,4,2,3.0,3.0,0.0,9.8,9.8,3.0,2.04,0.6799999999999998,0.0,,0.0,Quebec 17,Quebec,Laval,Canada,Branch,116.5,Critical
AST-0000019,LAP-0000019,Laptop,HP,EliteBook 850 G9,GJLQM5K8P4,2025-07-26,2025-09-01,2030-08-31,2027-10-31,12-24 Months,Planned Refresh,LOC-0007,Retail Banking,Medium,Development,1650,517,0.8,2,2,2.0,2.0,0.0,9.8,9.8,4.0,6.949999999999999,1.7374999999999998,1.0,In Progress,1899.52,GTA Branches 4,GTA Branches,Richmond Hill,Canada,Branch,84.0,High
AST-0000020,LAP-0000020,Laptop,Dell,Latitude 5420,BBI4WIRE8Q,2024-03-09,2024-03-13,2028-03-12,2025-05-15,Past EOL,In Service,LOC-0058,Technology,High,Test,1450,-382,2.2,3,5,2.0,1.0,1.0,9.9,10.0,7.0,11.14,1.5914285714285714,0.0,,0.0,GTA Branches 55,GTA Branches,Vaughan,Canada,Branch,161.5,Critical
AST-0000021,LAP-0000021,Laptop,HP,EliteBook 840 G8,DALY8OZCYW,2021-12-10,2022-01-18,2027-01-17,2025-04-03,Past EOL,In Service,LOC-0030,Cybersecurity,Low,Development,1500,-424,4.5,1,5,2.0,0.0,2.0,9.3,9.8,3.0,6.05,2.0166666666666666,0.0,,0.0,GTA Branches 27,GTA Branches,Brampton,Canada,Branch,123.5,Critical
AST-0000022,LAP-0000022,Laptop,Lenovo,ThinkPad T14 Gen 3,XCXAPRPN6Q,2026-03-02,2026-04-10,2029-04-09,2027-02-20,6-12 Months,In Service,LOC-0145,Cybersecurity,Medium,Development,1600,264,0.2,2,3,3.0,3.0,0.0,9.8,9.8,2.0,4.38,2.19,0.0,,0.0,Atlantic Canada 2,Atlantic Canada,Moncton,Canada,Branch,105.0,High
AST-0000023,LAP-0000023,Laptop,HP,EliteBook 850 G9,Q3VLI7KQ1U,2023-03-27,2023-04-30,2028-04-28,2026-08-11,0-6 Months,Quarantined,LOC-0070,Technology,Critical,Development,1650,71,3.2,4,4,4.0,2.0,2.0,9.35,10.0,3.0,5.53,1.8433333333333333,1.0,In Progress,1964.78,GTA Branches 67,GTA Branches,Mississauga,Canada,Branch,156.5,Critical
AST-0000024,LAP-0000024,Laptop,HP,EliteBook 850 G9,M5ZJA8DZR1,2024-02-18,2024-02-20,2028-02-19,2028-04-20,12-24 Months,Quarantined,LOC-0084,Retail Banking,Medium,Development,1650,689,2.3,2,2,1.0,0.0,1.0,9.8,9.8,4.0,15.62,3.905,0.0,,0.0,Ontario Regional 1,Ontario Regional,Kitchener,Canada,DR Site,78.0,Medium
AST-0000025,LAP-0000025,Laptop,Apple,MacBook Pro 14-inch M2 Pro,LURTP0LZJJ,2025-10-02,2025-10-31,2028-10-30,2027-10-01,12-24 Months,In Service,LOC-0024,Commercial Banking,Medium,Production,2850,487,0.7,2,2,4.0,2.0,2.0,9.3,9.8,2.0,3.03,1.515,1.0,In Progress,2568.07,GTA Branches 21,GTA Branches,Richmond Hill,Canada,Branch,85.0,High
AST-0000026,LAP-0000026,Laptop,Lenovo,ThinkPad T14 Gen 2,HR09SKDGIG,2022-11-09,2022-11-17,2027-11-16,2027-04-09,6-12 Months,In Service,LOC-0138,Legal & Compliance,High,Production,1500,312,3.6,3,3,1.0,0.0,1.0,7.8,7.8,3.0,3.74,1.2466666666666666,0.0,,0.0,Quebec 15,Quebec,Montreal,Canada,Office,111.5,Critical
AST-0000027,LAP-0000027,Laptop,Apple,MacBook Air M2,W1DAKRM8J5,2023-03-17,2023-04-04,2026-04-03,2027-05-13,6-12 Months,In Service,LOC-0014,Finance,High,Production,1650,346,3.2,3,3,1.0,1.0,0.0,10.0,10.0,5.0,19.75,3.95,1.0,Not Started,2041.03,GTA Branches 11,GTA Branches,Toronto,Canada,Branch,116.5,Critical
AST-0000028,LAP-0000028,Laptop,Dell,Latitude 5430,38DIUOVW1N,2024-06-29,2024-07-31,2027-07-31,2025-10-05,Past EOL,Planned Refresh,LOC-0148,Technology,Low,Production,1550,-239,1.9,1,5,3.0,3.0,0.0,9.533333333333331,10.0,10.0,38.29,3.829,0.0,,0.0,Atlantic Canada 5,Atlantic Canada,Halifax,Canada,Office,142.0,Critical
AST-0000029,LAP-0000029,Laptop,Lenovo,ThinkPad T14 Gen 3,D1WJCITFOY,2025-08-18,2025-09-15,2029-09-14,2027-03-31,6-12 Months,Planned Refresh,LOC-0146,Technology,High,Test,1600,303,0.8,3,3,3.0,3.0,0.0,9.866666666666667,10.0,4.0,0.1,0.025,0.0,,0.0,Atlantic Canada 3,Atlantic Canada,St. John's,Canada,Office,123.0,Critical
AST-0000030,LAP-0000030,Laptop,Lenovo,ThinkPad T14 Gen 3,IJ2V2HEIFJ,2022-07-06,2022-07-21,2026-07-20,2031-02-07,Supported >24 Months,In Service,LOC-0073,Technology,Medium,Test,1600,1712,3.9,2,1,1.0,1.0,0.0,10.0,10.0,1.0,13.03,13.03,0.0,,0.0,GTA Branches 70,GTA Branches,Toronto,Canada,Branch,55.5,Medium
AST-0000031,LAP-0000031,Laptop,Dell,Latitude 5430,PQKOJTPV60,2022-08-01,2022-08-12,2026-08-11,2026-07-27,0-6 Months,Retired,LOC-0153,Technology,High,Development,1550,56,3.8,3,4,2.0,1.0,1.0,8.8,9.8,4.0,17.04,4.26,1.0,Not Started,1847.86,Atlantic Canada 10,Atlantic Canada,St. John's,Canada,DR Site,137.0,Critical
AST-0000032,LAP-0000032,Laptop,Lenovo,ThinkPad T14 Gen 3,3U1GSPK9P3,2022-06-22,2022-06-28,2025-06-27,2028-04-20,12-24 Months,In Service,LOC-0148,Human Resources,Low,Test,1600,689,3.9,1,2,0.0,0.0,0.0,,,9.0,23.92,2.657777777777778,1.0,Planning,1954.31,Atlantic Canada 5,Atlantic Canada,Halifax,Canada,Office,68.5,Medium
AST-0000033,LAP-0000033,Laptop,Apple,MacBook Pro 14-inch M2 Pro,ORXO1BDJE1,2024-12-13,2025-01-09,2029-01-08,2030-04-23,Supported >24 Months,Retired,LOC-0083,Technology,Critical,Development,2850,1422,1.5,4,1,1.0,0.0,1.0,9.8,9.8,5.0,39.03,7.806,1.0,Not Started,3438.46,GTA Branches 80,GTA Branches,Markham,Canada,Branch,89.5,High
AST-0000034,LAP-0000034,Laptop,Dell,Latitude 5420,1W1HT7PZE9,2024-11-06,2024-12-11,2028-12-10,2027-01-24,6-12 Months,Retired,LOC-0106,Retail Banking,Medium,Test,1450,237,1.6,2,3,2.0,1.0,1.0,8.8,9.8,4.0,21.07,5.2675,1.0,Planning,1338.67,Western Canada 8,Western Canada,Calgary,Canada,DR Site,102.0,High
AST-0000035,LAP-0000035,Laptop,Lenovo,ThinkPad T14 Gen 2,96QE3RZSJ4,2025-01-24,2025-02-04,2029-02-03,2026-11-09,0-6 Months,Planned Refresh,LOC-0142,Retail Banking,Medium,Production,1500,161,1.3,2,4,3.0,2.0,1.0,9.2,10.0,4.0,6.09,1.5225,1.0,In Progress,1497.41,Quebec 19,Quebec,Montreal,Canada,Branch,126.0,Critical
AST-0000036,LAP-0000036,Laptop,Lenovo,ThinkPad T14 Gen 2,55J2O7S3KK,2023-08-25,2023-09-30,2026-09-29,2031-09-14,Supported >24 Months,Retired,LOC-0099,Retail Banking,High,Test,1500,1931,2.8,3,1,1.0,1.0,0.0,9.8,9.8,5.0,16.51,3.3020000000000005,0.0,,0.0,Western Canada 1,Western Canada,Winnipeg,Canada,DR Site,76.5,Medium
AST-0000037,LAP-0000037,Laptop,Apple,MacBook Pro 14-inch M2 Pro,N759IN4OLR,2023-11-01,2023-11-30,2028-11-28,2029-03-08,Supported >24 Months,Planned Refresh,LOC-0124,Capital Markets,High,Test,2850,1011,2.6,3,1,6.0,6.0,0.0,9.866666666666667,10.0,6.0,5.14,0.8566666666666666,1.0,Planning,3301.31,Quebec 1,Quebec,Quebec City,Canada,Branch,98.0,High
AST-0000038,LAP-0000038,Laptop,HP,EliteBook 850 G9,LD4D6AF58C,2025-12-20,2026-01-31,2029-01-30,2023-02-06,Past EOL,In Service,LOC-0127,Legal & Compliance,Low,Test,1650,-1211,0.4,1,5,2.0,2.0,0.0,10.0,10.0,4.0,13.44,3.36,0.0,,0.0,Quebec 4,Quebec,Laval,Canada,Data Centre,129.0,Critical
AST-0000039,LAP-0000039,Laptop,HP,EliteBook 840 G8,NLZ15BCW79,2024-06-30,2024-08-14,2028-08-13,2026-06-25,0-6 Months,Quarantined,LOC-0021,Data & Analytics,Critical,Test,1500,24,1.9,4,4,1.0,1.0,0.0,9.8,9.8,1.0,0.75,0.75,0.0,,0.0,GTA Branches 18,GTA Branches,Mississauga,Canada,Branch,145.5,Critical
AST-0000040,LAP-0000040,Laptop,Dell,Latitude 5430,B2KNFTU2GC,2024-09-05,2024-09-12,2029-09-11,2024-07-26,Past EOL,Planned Refresh,LOC-0026,Wealth Management,High,Production,1550,-675,1.7,3,5,3.0,2.0,1.0,9.466666666666669,9.8,8.0,21.78,2.7225,0.0,,0.0,GTA Branches 23,GTA Branches,Markham,Canada,Branch,167.0,Critical
AST-0000041,LAP-0000041,Laptop,Lenovo,ThinkPad T14 Gen 2,Y6QKTC89K8,2023-11-17,2023-12-25,2026-12-24,2030-01-04,Supported >24 Months,Quarantined,LOC-0060,Wealth Management,Medium,Development,1500,1313,2.5,2,1,0.0,0.0,0.0,,,7.0,16.58,2.3685714285714283,1.0,In Progress,1911.67,GTA Branches 57,GTA Branches,Markham,Canada,Branch,60.5,Medium
AST-0000042,LAP-0000042,Laptop,Lenovo,ThinkPad T14 Gen 3,UU9K9XJUY0,2024-11-21,2024-12-11,2027-12-11,2028-01-22,12-24 Months,In Service,LOC-0099,Data & Analytics,Low,Development,1600,600,1.5,1,2,0.0,0.0,0.0,,,6.0,15.55,2.591666666666667,1.0,Planning,1905.67,Western Canada 1,Western Canada,Winnipeg,Canada,DR Site,64.0,Medium
AST-0000043,LAP-0000043,Laptop,Apple,MacBook Pro 14-inch M2 Pro,YZX4W6XLPU,2024-08-09,2024-08-24,2029-08-23,2027-10-31,12-24 Months,Quarantined,LOC-0091,Commercial Banking,Low,Development,2850,517,1.8,1,2,0.0,0.0,0.0,,,6.0,21.48,3.58,0.0,,0.0,Ontario Regional 8,Ontario Regional,Hamilton,Canada,Data Centre,64.0,Medium
AST-0000044,LAP-0000044,Laptop,Dell,Latitude 7440,5NSJF678K5,2023-10-02,2023-10-21,2027-10-20,2026-09-15,0-6 Months,In Service,LOC-0107,Retail Banking,Low,Test,1850,106,2.7,1,4,1.0,1.0,0.0,9.8,9.8,6.0,6.53,1.0883333333333334,1.0,Planning,2453.77,Western Canada 9,Western Canada,Vancouver,Canada,Branch,108.0,High
AST-0000045,LAP-0000045,Laptop,Apple,MacBook Pro 14-inch M2 Pro,DOJEN0JNWN,2023-06-04,2023-06-14,2026-06-13,2031-06-10,Supported >24 Months,Quarantined,LOC-0102,Legal & Compliance,High,Development,2850,1835,3.0,3,1,2.0,1.0,1.0,9.8,9.8,2.0,0.5,0.25,1.0,Completed,2670.65,Western Canada 4,Western Canada,Victoria,Canada,Data Centre,74.0,Medium
AST-0000046,LAP-0000046,Laptop,Lenovo,ThinkPad T14 Gen 2,C36KOF8KRD,2023-09-24,2023-09-26,2028-09-24,2031-03-23,Supported >24 Months,Retired,LOC-0144,Capital Markets,High,Test,1500,1756,2.7,3,1,3.0,2.0,1.0,9.2,10.0,5.0,7.63,1.526,1.0,Completed,1843.11,Atlantic Canada 1,Atlantic Canada,Halifax,Canada,Branch,82.5,High
AST-0000047,LAP-0000047,Laptop,Dell,Latitude 7440,5X4W7KYHQI,2025-06-04,2025-07-04,2029-07-03,2031-11-15,Supported >24 Months,In Service,LOC-0139,Wealth Management,High,Production,1850,1993,1.0,3,1,2.0,2.0,0.0,9.4,10.0,2.0,3.14,1.57,0.0,,0.0,Quebec 16,Quebec,Quebec City,Canada,Branch,76.0,Medium
AST-0000048,LAP-0000048,Laptop,Dell,Latitude 5430,83DHX8BM92,2026-02-03,2026-02-27,2031-02-26,2028-04-17,12-24 Months,In Service,LOC-0092,Retail Banking,Medium,Production,1550,686,0.3,2,2,1.0,0.0,1.0,9.8,9.8,4.0,23.68,5.92,1.0,Not Started,2084.54,Ontario Regional 9,Ontario Regional,Kingston,Canada,Office,78.0,Medium
AST-0000049,LAP-0000049,Laptop,Dell,Latitude 5430,2VJ99T2D5E,2025-05-10,2025-05-24,2030-05-23,2031-07-03,Supported >24 Months,In Service,LOC-0056,Cybersecurity,Medium,Production,1550,1858,1.1,2,1,1.0,1.0,0.0,9.8,9.8,4.0,14.41,3.6025,0.0,,0.0,GTA Branches 53,GTA Branches,Richmond Hill,Canada,Branch,60.0,Medium
AST-0000050,LAP-0000050,Laptop,Lenovo,ThinkPad T14 Gen 2,S0R2SDS8B2,2024-05-21,2024-06-11,2027-06-11,2025-05-12,Past EOL,Quarantined,LOC-0045,Commercial Banking,Low,Development,1500,-385,2.0,1,5,1.0,1.0,0.0,9.1,9.1,8.0,15.56,1.945,0.0,,0.0,GTA Branches 42,GTA Branches,Toronto,Canada,Branch,131.0,Critical
AST-0000051,LAP-0000051,Laptop,Apple,MacBook Air M2,PDZP6LFEWV,2024-03-09,2024-04-08,2029-04-07,2026-08-17,0-6 Months,Quarantined,LOC-0008,Retail Banking,Medium,Development,1650,77,2.2,2,4,4.0,4.0,0.0,9.9,10.0,3.0,9.0,3.0,1.0,Not Started,1635.95,GTA Branches 5,GTA Branches,Vaughan,Canada,Branch,130.5,Critical
AST-0000052,LAP-0000052,Laptop,HP,EliteBook 840 G8,2EX5T5P5O3,2023-02-20,2023-03-31,2028-03-29,2029-07-29,Supported >24 Months,Planned Refresh,LOC-0076,Wealth Management,High,Production,1500,1154,3.3,3,1,2.0,1.0,1.0,9.9,10.0,8.0,15.88,1.985,0.0,,0.0,GTA Branches 73,GTA Branches,Oakville,Canada,Branch,83.0,High
AST-0000053,LAP-0000053,Laptop,HP,EliteBook 850 G9,YRDDP0NEC8,2022-10-12,2022-11-02,2026-11-01,2029-01-12,Supported >24 Months,Retired,LOC-0081,Technology,Medium,Production,1650,956,3.6,2,1,3.0,3.0,0.0,9.933333333333334,10.0,1.0,0.47,0.47,0.0,,0.0,GTA Branches 78,GTA Branches,Oakville,Canada,Branch,63.5,Medium
AST-0000054,LAP-0000054,Laptop,HP,EliteBook 840 G8,5Z8VMUHXID,2024-10-04,2024-10-12,2028-10-11,2028-08-27,Supported >24 Months,Retired,LOC-0091,Data & Analytics,Critical,Development,1500,818,1.7,4,1,2.0,2.0,0.0,10.0,10.0,4.0,4.96,1.24,0.0,,0.0,Ontario Regional 8,Ontario Regional,Hamilton,Canada,Data Centre,94.0,High
AST-0000055,LAP-0000055,Laptop,HP,EliteBook 840 G8,WXA73JGZLM,2021-08-24,2021-09-11,2026-09-10,2030-10-25,Supported >24 Months,In Service,LOC-0058,Cybersecurity,High,Test,1500,1607,4.8,3,1,0.0,0.0,0.0,,,4.0,8.79,2.1975,0.0,,0.0,GTA Branches 55,GTA Branches,Vaughan,Canada,Branch,71.0,Medium
AST-0000056,LAP-0000056,Laptop,Dell,Latitude 7440,DTNQFLL7V5,2024-01-19,2024-02-25,2029-02-23,2027-02-02,6-12 Months,In Service,LOC-0103,Retail Banking,High,Production,1850,246,2.4,3,3,6.0,5.0,1.0,9.866666666666667,10.0,5.0,15.36,3.072,1.0,Not Started,1834.84,Western Canada 5,Western Canada,Victoria,Canada,DR Site,134.5,Critical
AST-0000057,LAP-0000057,Laptop,Dell,Latitude 7440,PJ1EPKYRYB,2023-07-11,2023-08-24,2026-08-23,2029-02-08,Supported >24 Months,Planned Refresh,LOC-0070,Wealth Management,Medium,Test,1850,983,2.9,2,1,2.0,2.0,0.0,10.0,10.0,2.0,13.0,6.5,1.0,Completed,1775.31,GTA Branches 67,GTA Branches,Mississauga,Canada,Branch,61.0,Medium
AST-0000058,LAP-0000058,Laptop,Dell,Latitude 5420,LA0GNZS43C,2021-03-16,2021-03-30,2025-03-29,2026-04-29,Past EOL,Quarantined,LOC-0055,Technology,High,Development,1450,-33,5.2,3,5,5.0,5.0,0.0,9.64,10.0,6.0,8.44,1.4066666666666665,0.0,,0.0,GTA Branches 52,GTA Branches,Toronto,Canada,Branch,174.0,Critical
AST-0000059,LAP-0000059,Laptop,Dell,Latitude 5420,OXKO8G8QYN,2023-08-11,2023-08-13,2027-08-12,2027-01-23,6-12 Months,Planned Refresh,LOC-0020,Data & Analytics,High,Test,1450,236,2.8,3,3,3.0,3.0,0.0,9.533333333333331,10.0,2.0,0.49,0.245,0.0,,0.0,GTA Branches 17,GTA Branches,Vaughan,Canada,Branch,120.0,Critical
AST-0000060,LAP-0000060,Laptop,Dell,Latitude 5430,0H2CWTG1M8,2023-08-12,2023-09-09,2028-09-07,2023-06-25,Past EOL,Quarantined,LOC-0103,Risk,Medium,Development,1550,-1072,2.8,2,5,2.0,1.0,1.0,8.8,9.8,7.0,18.85,2.692857142857143,0.0,,0.0,Western Canada 5,Western Canada,Victoria,Canada,DR Site,146.5,Critical
AST-0000061,LAP-0000061,Laptop,Dell,Latitude 7440,C8WQUUY5X9,2024-07-27,2024-08-03,2027-08-03,2025-12-17,Past EOL,In Service,LOC-0066,Commercial Banking,High,Test,1850,-166,1.8,3,5,1.0,0.0,1.0,9.8,9.8,3.0,7.49,2.4966666666666666,1.0,Completed,1956.28,GTA Branches 63,GTA Branches,Vaughan,Canada,Branch,151.5,Critical
AST-0000062,LAP-0000062,Laptop,HP,EliteBook 840 G8,VMCQBNKX9D,2021-11-06,2021-12-05,2024-12-04,2031-01-12,Supported >24 Months,Retired,LOC-0121,Wealth Management,Medium,Development,1500,1686,4.6,2,1,0.0,0.0,0.0,,,5.0,33.25,6.65,0.0,,0.0,Western Canada 23,Western Canada,Victoria,Canada,Branch,57.5,Medium
AST-0000063,LAP-0000063,Laptop,Apple,MacBook Air M2,Q3XLRFCD6M,2024-08-26,2024-09-25,2029-09-24,2026-08-11,0-6 Months,Quarantined,LOC-0142,Legal & Compliance,High,Production,1650,71,1.8,3,4,1.0,1.0,0.0,10.0,10.0,6.0,28.28,4.713333333333334,0.0,,0.0,Quebec 19,Quebec,Montreal,Canada,Branch,138.0,Critical
AST-0000064,LAP-0000064,Laptop,Dell,Latitude 5430,SVN7N1YBWM,2025-01-28,2025-03-11,2028-03-10,2026-08-16,0-6 Months,In Service,LOC-0011,Commercial Banking,Medium,Development,1550,76,1.3,2,4,1.0,1.0,0.0,9.8,9.8,4.0,26.29,6.5725,0.0,,0.0,GTA Branches 8,GTA Branches,Markham,Canada,Branch,120.0,Critical
AST-0000065,LAP-0000065,Laptop,Dell,Latitude 5430,5MUFM8ZOV7,2025-05-17,2025-06-30,2029-06-29,2023-01-10,Past EOL,In Service,LOC-0073,Commercial Banking,Critical,Test,1550,-1238,1.0,4,5,1.0,0.0,1.0,8.8,8.8,8.0,14.45,1.80625,0.0,,0.0,GTA Branches 70,GTA Branches,Toronto,Canada,Branch,174.0,Critical
AST-0000066,LAP-0000066,Laptop,Apple,MacBook Air M2,96DYSAL8M1,2024-08-10,2024-09-21,2028-09-20,2026-07-22,0-6 Months,In Service,LOC-0033,Technology,High,Test,1650,51,1.8,3,4,3.0,3.0,0.0,9.866666666666667,10.0,6.0,20.13,3.355,0.0,,0.0,GTA Branches 30,GTA Branches,Toronto,Canada,Branch,146.0,Critical
