Installation_ID,Asset_ID,Publisher,Software_Name,Software_Version,Install_Date,Discovery_Source,License_Metric,Last_Seen_Date,Version,Release_Date,Vendor_Support_End_Date,Software_Category,Months_To_Software_EOL,Software_EOL_Status,Software_Compliance_Risk
SWI00000034,A0000006,Microsoft,.NET,8,2023-08-24,Intune,User,2026-05-31,8,2023-11-14,2026-11-10,Development,5.3,Support Ending in 12 Months,Medium
SWI00000035,A0000007,Microsoft,Windows 11 Enterprise,23H2,2018-04-07,Intune,Device,2026-05-31,23H2,2023-10-31,2026-11-10,Operating System,5.3,Support Ending in 12 Months,Medium
SWI00000036,A0000007,Adobe,Adobe Acrobat Pro 2020,20,2018-04-07,SCCM,User,2026-05-31,20,2020-06-01,2025-11-30,Productivity,-6.0,Unsupported,High
SWI00000037,A0000007,Microsoft,Windows 10 Enterprise,22H2,2018-04-07,SCCM,Device,2026-05-31,22H2,2022-10-18,2025-10-14,Operating System,-7.6,Unsupported,High
SWI00000038,A0000007,Google,Google Chrome,124,2018-04-07,SCCM,Device,2026-05-31,124,2024-04-01,2025-04-01,Browser,-14.0,Unsupported,High
SWI00000039,A0000007,Google,Google Chrome,124,2018-04-07,Intune,Device,2026-05-31,124,2024-04-01,2025-04-01,Browser,-14.0,Unsupported,High
SWI00000040,A0000008,Microsoft,OneDrive,24.x,2021-07-30,SCCM,Enterprise,2026-05-31,24.x,2024-01-01,2026-01-01,Productivity,-5.0,Unsupported,High
SWI00000041,A0000008,Microsoft,Windows 11 Enterprise,23H2,2021-07-30,SCCM,Enterprise,2026-05-31,23H2,2023-10-31,2026-11-10,Operating System,5.3,Support Ending in 12 Months,Medium
SWI00000042,A0000008,Microsoft,Microsoft 365 Apps for Enterprise,Current Channel,2021-07-30,SCCM,Enterprise,2026-05-31,Current Channel,2023-01-01,2027-01-01,Productivity,7.0,Support Ending in 12 Months,Medium
SWI00000043,A0000008,Adobe,Adobe Acrobat Pro 2020,20,2021-07-30,SCCM,User,2026-05-31,20,2020-06-01,2025-11-30,Productivity,-6.0,Unsupported,High
SWI00000044,A0000008,Microsoft,OneDrive,24.x,2021-07-30,SCCM,Device,2026-05-31,24.x,2024-01-01,2026-01-01,Productivity,-5.0,Unsupported,High
SWI00000045,A0000009,Google,Google Chrome,124,2022-12-06,Intune,Device,2026-05-31,124,2024-04-01,2025-04-01,Browser,-14.0,Unsupported,High
SWI00000046,A0000009,Microsoft,OneDrive,24.x,2022-12-06,SCCM,Enterprise,2026-05-31,24.x,2024-01-01,2026-01-01,Productivity,-5.0,Unsupported,High
SWI00000047,A0000009,Microsoft,OneDrive,24.x,2022-12-06,Server Discovery,Device,2026-05-31,24.x,2024-01-01,2026-01-01,Productivity,-5.0,Unsupported,High
SWI00000048,A0000009,Microsoft,Microsoft 365 Apps for Enterprise,Current Channel,2022-12-06,SCCM,Device,2026-05-31,Current Channel,2023-01-01,2027-01-01,Productivity,7.0,Support Ending in 12 Months,Medium
SWI00000049,A0000009,Mozilla,Firefox ESR,115,2022-12-06,SCCM,Open Source,2026-05-31,115,2023-07-01,2024-10-01,Browser,-20.0,Unsupported,High
SWI00000050,A0000010,Microsoft,Microsoft Teams Classic,1.6,2020-09-27,SCCM,User,2026-05-31,1.6,2022-01-01,2024-06-30,Collaboration,-23.1,Unsupported,High
SWI00000051,A0000010,Adobe,Adobe Acrobat Pro 2020,20,2020-09-27,Server Discovery,User,2026-05-31,20,2020-06-01,2025-11-30,Productivity,-6.0,Unsupported,High
SWI00000052,A0000010,Adobe,Adobe Acrobat Pro 2020,20,2020-09-27,Server Discovery,Open Source,2026-05-31,20,2020-06-01,2025-11-30,Productivity,-6.0,Unsupported,High
SWI00000053,A0000010,Microsoft,Windows 10 Enterprise,22H2,2020-09-27,Intune,Device,2026-05-31,22H2,2022-10-18,2025-10-14,Operating System,-7.6,Unsupported,High
SWI00000054,A0000010,Microsoft,OneDrive,24.x,2020-09-27,Intune,User,2026-05-31,24.x,2024-01-01,2026-01-01,Productivity,-5.0,Unsupported,High
SWI00000055,A0000011,Mozilla,Firefox ESR,115,2019-03-16,SCCM,Enterprise,2026-05-31,115,2023-07-01,2024-10-01,Browser,-20.0,Unsupported,High
SWI00000056,A0000011,Microsoft,Microsoft Teams Classic,1.6,2019-03-16,SCCM,User,2026-05-31,1.6,2022-01-01,2024-06-30,Collaboration,-23.1,Unsupported,High
SWI00000057,A0000011,Microsoft,Windows 10 Enterprise,22H2,2019-03-16,Tanium,Open Source,2026-05-31,22H2,2022-10-18,2025-10-14,Operating System,-7.6,Unsupported,High
SWI00000058,A0000011,Microsoft,Microsoft Teams Classic,1.6,2019-03-16,SCCM,Open Source,2026-05-31,1.6,2022-01-01,2024-06-30,Collaboration,-23.1,Unsupported,High
SWI00000059,A0000011,Microsoft,Microsoft 365 Apps for Enterprise,Current Channel,2019-03-16,SCCM,User,2026-05-31,Current Channel,2023-01-01,2027-01-01,Productivity,7.0,Support Ending in 12 Months,Medium
SWI00000060,A0000011,Python Software Foundation,Python,3.8,2019-03-16,Tanium,Device,2026-05-31,3.8,2019-10-14,2024-10-07,Development,-19.8,Unsupported,High
SWI00000061,A0000011,Tableau,Tableau Desktop,2023.3,2019-03-16,SCCM,Open Source,2026-05-31,2023.3,2023-10-01,2025-10-01,Analytics,-8.0,Unsupported,High
SWI00000062,A0000011,Python Software Foundation,Python,3.10,2019-03-16,Intune,User,2026-05-31,3.10,2021-10-04,2026-10-04,Development,4.1,Support Ending in 12 Months,Medium
SWI00000063,A0000011,Microsoft,Power BI Desktop,2024,2019-03-16,Tanium,User,2026-05-31,2024,2024-01-01,2026-01-01,Analytics,-5.0,Unsupported,High
SWI00000064,A0000011,Anaconda,Anaconda Distribution,2023.09,2019-03-16,SCCM,Device,2026-05-31,2023.09,2023-09-01,2025-09-01,Analytics,-9.0,Unsupported,High
SWI00000065,A0000012,Mozilla,Firefox ESR,115,2021-10-23,SCCM,User,2026-05-31,115,2023-07-01,2024-10-01,Browser,-20.0,Unsupported,High
SWI00000066,A0000012,Microsoft,Microsoft Teams Classic,1.6,2021-10-23,SCCM,Open Source,2026-05-31,1.6,2022-01-01,2024-06-30,Collaboration,-23.1,Unsupported,High
SWI00000067,A0000012,Google,Google Chrome,124,2021-10-23,SCCM,Open Source,2026-05-31,124,2024-04-01,2025-04-01,Browser,-14.0,Unsupported,High
SWI00000068,A0000012,Adobe,Adobe Acrobat Pro 2020,20,2021-10-23,SCCM,Enterprise,2026-05-31,20,2020-06-01,2025-11-30,Productivity,-6.0,Unsupported,High
SWI00000069,A0000012,Microsoft,Windows 11 Enterprise,23H2,2021-10-23,Intune,Enterprise,2026-05-31,23H2,2023-10-31,2026-11-10,Operating System,5.3,Support Ending in 12 Months,Medium
SWI00000070,A0000013,Microsoft,Windows 11 Enterprise,23H2,2023-12-13,SCCM,Device,2026-05-31,23H2,2023-10-31,2026-11-10,Operating System,5.3,Support Ending in 12 Months,Medium
SWI00000071,A0000013,Microsoft,Microsoft Teams Classic,1.6,2023-12-13,SCCM,Device,2026-05-31,1.6,2022-01-01,2024-06-30,Collaboration,-23.1,Unsupported,High
SWI00000072,A0000013,Microsoft,Windows 10 Enterprise,22H2,2023-12-13,Server Discovery,User,2026-05-31,22H2,2022-10-18,2025-10-14,Operating System,-7.6,Unsupported,High
SWI00000073,A0000013,Microsoft,Microsoft 365 Apps for Enterprise,Current Channel,2023-12-13,SCCM,Open Source,2026-05-31,Current Channel,2023-01-01,2027-01-01,Productivity,7.0,Support Ending in 12 Months,Medium
SWI00000074,A0000013,Adobe,Adobe Acrobat Pro 2020,20,2023-12-13,SCCM,Enterprise,2026-05-31,20,2020-06-01,2025-11-30,Productivity,-6.0,Unsupported,High
SWI00000075,A0000013,Docker,Docker Desktop,4.28,2023-12-13,SCCM,Open Source,2026-05-31,4.28,2024-02-01,2026-02-01,Development,-4.0,Unsupported,High
SWI00000076,A0000013,Microsoft,Power BI Desktop,2024,2023-12-13,SCCM,Open Source,2026-05-31,2024,2024-01-01,2026-01-01,Analytics,-5.0,Unsupported,High
SWI00000077,A0000013,Python Software Foundation,Python,3.10,2023-12-13,SCCM,Enterprise,2026-05-31,3.10,2021-10-04,2026-10-04,Development,4.1,Support Ending in 12 Months,Medium
SWI00000078,A0000014,Microsoft,Microsoft 365 Apps for Enterprise,Current Channel,2018-01-19,SCCM,Device,2026-05-31,Current Channel,2023-01-01,2027-01-01,Productivity,7.0,Support Ending in 12 Months,Medium
SWI00000079,A0000014,Mozilla,Firefox ESR,115,2018-01-19,Intune,User,2026-05-31,115,2023-07-01,2024-10-01,Browser,-20.0,Unsupported,High
SWI00000080,A0000014,Microsoft,Microsoft 365 Apps for Enterprise,Current Channel,2018-01-19,Tanium,Device,2026-05-31,Current Channel,2023-01-01,2027-01-01,Productivity,7.0,Support Ending in 12 Months,Medium
SWI00000081,A0000014,Microsoft,Microsoft Teams Classic,1.6,2018-01-19,Intune,Enterprise,2026-05-31,1.6,2022-01-01,2024-06-30,Collaboration,-23.1,Unsupported,High
SWI00000082,A0000014,Adobe,Adobe Acrobat Pro 2020,20,2018-01-19,SCCM,Enterprise,2026-05-31,20,2020-06-01,2025-11-30,Productivity,-6.0,Unsupported,High
SWI00000083,A0000015,Microsoft,Microsoft Teams Classic,1.6,2021-06-29,Intune,Device,2026-05-31,1.6,2022-01-01,2024-06-30,Collaboration,-23.1,Unsupported,High
SWI00000084,A0000015,Adobe,Adobe Acrobat Pro 2020,20,2021-06-29,Intune,Device,2026-05-31,20,2020-06-01,2025-11-30,Productivity,-6.0,Unsupported,High
SWI00000085,A0000015,Microsoft,OneDrive,24.x,2021-06-29,SCCM,Device,2026-05-31,24.x,2024-01-01,2026-01-01,Productivity,-5.0,Unsupported,High
SWI00000086,A0000015,Microsoft,Microsoft Teams Classic,1.6,2021-06-29,SCCM,Device,2026-05-31,1.6,2022-01-01,2024-06-30,Collaboration,-23.1,Unsupported,High
SWI00000087,A0000015,Google,Google Chrome,124,2021-06-29,Intune,Enterprise,2026-05-31,124,2024-04-01,2025-04-01,Browser,-14.0,Unsupported,High
SWI00000088,A0000016,Microsoft,Microsoft 365 Apps for Enterprise,Current Channel,2018-05-26,SCCM,Device,2026-05-31,Current Channel,2023-01-01,2027-01-01,Productivity,7.0,Support Ending in 12 Months,Medium
SWI00000089,A0000016,Mozilla,Firefox ESR,115,2018-05-26,SCCM,Device,2026-05-31,115,2023-07-01,2024-10-01,Browser,-20.0,Unsupported,High
SWI00000090,A0000016,Microsoft,Windows 11 Enterprise,23H2,2018-05-26,SCCM,Open Source,2026-05-31,23H2,2023-10-31,2026-11-10,Operating System,5.3,Support Ending in 12 Months,Medium
SWI00000091,A0000016,Microsoft,OneDrive,24.x,2018-05-26,SCCM,User,2026-05-31,24.x,2024-01-01,2026-01-01,Productivity,-5.0,Unsupported,High
SWI00000092,A0000016,Microsoft,Windows 10 Enterprise,22H2,2018-05-26,SCCM,Device,2026-05-31,22H2,2022-10-18,2025-10-14,Operating System,-7.6,Unsupported,High
SWI00000093,A0000017,Microsoft,Windows 11 Enterprise,23H2,2021-01-19,SCCM,Device,2026-05-31,23H2,2023-10-31,2026-11-10,Operating System,5.3,Support Ending in 12 Months,Medium
SWI00000094,A0000017,Microsoft,Microsoft 365 Apps for Enterprise,Current Channel,2021-01-19,SCCM,Device,2026-05-31,Current Channel,2023-01-01,2027-01-01,Productivity,7.0,Support Ending in 12 Months,Medium
SWI00000095,A0000017,Adobe,Adobe Acrobat Pro 2020,20,2021-01-19,Intune,Enterprise,2026-05-31,20,2020-06-01,2025-11-30,Productivity,-6.0,Unsupported,High
SWI00000096,A0000017,Google,Google Chrome,124,2021-01-19,SCCM,Device,2026-05-31,124,2024-04-01,2025-04-01,Browser,-14.0,Unsupported,High
SWI00000097,A0000017,Mozilla,Firefox ESR,115,2021-01-19,Tanium,Device,2026-05-31,115,2023-07-01,2024-10-01,Browser,-20.0,Unsupported,High
SWI00000098,A0000018,Microsoft,Windows 11 Enterprise,23H2,2020-08-30,Intune,Device,2026-05-31,23H2,2023-10-31,2026-11-10,Operating System,5.3,Support Ending in 12 Months,Medium
SWI00000099,A0000018,Mozilla,Firefox ESR,115,2020-08-30,SCCM,Device,2026-05-31,115,2023-07-01,2024-10-01,Browser,-20.0,Unsupported,High
SWI00000100,A0000018,Mozilla,Firefox ESR,115,2020-08-30,Intune,Enterprise,2026-05-31,115,2023-07-01,2024-10-01,Browser,-20.0,Unsupported,High
SWI00000101,A0000018,Microsoft,OneDrive,24.x,2020-08-30,Tanium,User,2026-05-31,24.x,2024-01-01,2026-01-01,Productivity,-5.0,Unsupported,High
SWI00000102,A0000018,Microsoft,Microsoft 365 Apps for Enterprise,Current Channel,2020-08-30,SCCM,Device,2026-05-31,Current Channel,2023-01-01,2027-01-01,Productivity,7.0,Support Ending in 12 Months,Medium
SWI00000103,A0000019,Microsoft,Microsoft Teams Classic,1.6,2023-07-06,SCCM,User,2026-05-31,1.6,2022-01-01,2024-06-30,Collaboration,-23.1,Unsupported,High
SWI00000104,A0000019,Microsoft,OneDrive,24.x,2023-07-06,SCCM,Enterprise,2026-05-31,24.x,2024-01-01,2026-01-01,Productivity,-5.0,Unsupported,High
SWI00000105,A0000019,Mozilla,Firefox ESR,115,2023-07-06,Intune,Device,2026-05-31,115,2023-07-01,2024-10-01,Browser,-20.0,Unsupported,High
SWI00000106,A0000019,Adobe,Adobe Acrobat Pro 2020,20,2023-07-06,SCCM,User,2026-05-31,20,2020-06-01,2025-11-30,Productivity,-6.0,Unsupported,High
SWI00000107,A0000019,Microsoft,Microsoft 365 Apps for Enterprise,Current Channel,2023-07-06,SCCM,Enterprise,2026-05-31,Current Channel,2023-01-01,2027-01-01,Productivity,7.0,Support Ending in 12 Months,Medium
SWI00000108,A0000020,Adobe,Adobe Acrobat Pro 2020,20,2019-10-04,SCCM,User,2026-05-31,20,2020-06-01,2025-11-30,Productivity,-6.0,Unsupported,High
SWI00000109,A0000020,Microsoft,Microsoft 365 Apps for Enterprise,Current Channel,2019-10-04,Tanium,User,2026-05-31,Current Channel,2023-01-01,2027-01-01,Productivity,7.0,Support Ending in 12 Months,Medium
SWI00000110,A0000020,Microsoft,Windows 11 Enterprise,23H2,2019-10-04,Intune,Enterprise,2026-05-31,23H2,2023-10-31,2026-11-10,Operating System,5.3,Support Ending in 12 Months,Medium
SWI00000111,A0000020,Mozilla,Firefox ESR,115,2019-10-04,SCCM,Open Source,2026-05-31,115,2023-07-01,2024-10-01,Browser,-20.0,Unsupported,High
SWI00000112,A0000020,Mozilla,Firefox ESR,115,2019-10-04,SCCM,User,2026-05-31,115,2023-07-01,2024-10-01,Browser,-20.0,Unsupported,High
SWI00000113,A0000020,Microsoft,.NET,8,2019-10-04,Server Discovery,User,2026-05-31,8,2023-11-14,2026-11-10,Development,5.3,Support Ending in 12 Months,Medium
SWI00000114,A0000020,Git,Git,2.43,2019-10-04,SCCM,Enterprise,2026-05-31,2.43,2023-11-20,2025-11-20,Development,-6.4,Unsupported,High
SWI00000115,A0000021,Microsoft,OneDrive,24.x,2023-09-16,Intune,Device,2026-05-31,24.x,2024-01-01,2026-01-01,Productivity,-5.0,Unsupported,High
SWI00000116,A0000021,Adobe,Adobe Acrobat Pro 2020,20,2023-09-16,SCCM,Open Source,2026-05-31,20,2020-06-01,2025-11-30,Productivity,-6.0,Unsupported,High
SWI00000117,A0000021,Microsoft,Microsoft 365 Apps for Enterprise,Current Channel,2023-09-16,SCCM,User,2026-05-31,Current Channel,2023-01-01,2027-01-01,Productivity,7.0,Support Ending in 12 Months,Medium
SWI00000118,A0000021,Adobe,Adobe Acrobat Pro 2020,20,2023-09-16,SCCM,User,2026-05-31,20,2020-06-01,2025-11-30,Productivity,-6.0,Unsupported,High
SWI00000119,A0000021,Microsoft,Microsoft Teams Classic,1.6,2023-09-16,Intune,Device,2026-05-31,1.6,2022-01-01,2024-06-30,Collaboration,-23.1,Unsupported,High
SWI00000120,A0000022,Microsoft,OneDrive,24.x,2020-06-08,SCCM,Open Source,2026-05-31,24.x,2024-01-01,2026-01-01,Productivity,-5.0,Unsupported,High
SWI00000121,A0000022,Google,Google Chrome,124,2020-06-08,Tanium,Open Source,2026-05-31,124,2024-04-01,2025-04-01,Browser,-14.0,Unsupported,High
SWI00000122,A0000022,Microsoft,OneDrive,24.x,2020-06-08,SCCM,Device,2026-05-31,24.x,2024-01-01,2026-01-01,Productivity,-5.0,Unsupported,High
SWI00000123,A0000022,Google,Google Chrome,124,2020-06-08,SCCM,Enterprise,2026-05-31,124,2024-04-01,2025-04-01,Browser,-14.0,Unsupported,High
SWI00000124,A0000022,Microsoft,Microsoft 365 Apps for Enterprise,Current Channel,2020-06-08,SCCM,Open Source,2026-05-31,Current Channel,2023-01-01,2027-01-01,Productivity,7.0,Support Ending in 12 Months,Medium
SWI00000125,A0000022,Microsoft,.NET,6,2020-06-08,SCCM,User,2026-05-31,6,2021-11-08,2024-11-12,Development,-18.6,Unsupported,High
SWI00000126,A0000022,Microsoft,Power BI Desktop,2024,2020-06-08,SCCM,Open Source,2026-05-31,2024,2024-01-01,2026-01-01,Analytics,-5.0,Unsupported,High
SWI00000127,A0000022,Anaconda,Anaconda Distribution,2023.09,2020-06-08,SCCM,User,2026-05-31,2023.09,2023-09-01,2025-09-01,Analytics,-9.0,Unsupported,High
SWI00000128,A0000022,OpenJS Foundation,Node.js,16,2020-06-08,Intune,Device,2026-05-31,16,2021-04-20,2023-09-11,Development,-32.7,Unsupported,High
SWI00000129,A0000022,Microsoft,.NET,6,2020-06-08,Server Discovery,Enterprise,2026-05-31,6,2021-11-08,2024-11-12,Development,-18.6,Unsupported,High
SWI00000130,A0000023,Mozilla,Firefox ESR,115,2024-03-04,SCCM,Open Source,2026-05-31,115,2023-07-01,2024-10-01,Browser,-20.0,Unsupported,High
SWI00000131,A0000023,Mozilla,Firefox ESR,115,2024-03-04,Intune,Enterprise,2026-05-31,115,2023-07-01,2024-10-01,Browser,-20.0,Unsupported,High
SWI00000132,A0000023,Microsoft,OneDrive,24.x,2024-03-04,SCCM,User,2026-05-31,24.x,2024-01-01,2026-01-01,Productivity,-5.0,Unsupported,High
SWI00000133,A0000023,Microsoft,OneDrive,24.x,2024-03-04,Intune,Device,2026-05-31,24.x,2024-01-01,2026-01-01,Productivity,-5.0,Unsupported,High
SWI00000134,A0000023,Microsoft,Windows 10 Enterprise,22H2,2024-03-04,Server Discovery,Device,2026-05-31,22H2,2022-10-18,2025-10-14,Operating System,-7.6,Unsupported,High
SWI00000135,A0000024,Microsoft,OneDrive,24.x,2021-03-24,SCCM,Device,2026-05-31,24.x,2024-01-01,2026-01-01,Productivity,-5.0,Unsupported,High
SWI00000136,A0000024,Google,Google Chrome,124,2021-03-24,SCCM,User,2026-05-31,124,2024-04-01,2025-04-01,Browser,-14.0,Unsupported,High
SWI00000137,A0000024,Mozilla,Firefox ESR,115,2021-03-24,SCCM,Device,2026-05-31,115,2023-07-01,2024-10-01,Browser,-20.0,Unsupported,High
SWI00000138,A0000024,Microsoft,Microsoft Teams Classic,1.6,2021-03-24,Intune,Enterprise,2026-05-31,1.6,2022-01-01,2024-06-30,Collaboration,-23.1,Unsupported,High
SWI00000139,A0000024,Microsoft,Windows 10 Enterprise,22H2,2021-03-24,Server Discovery,Enterprise,2026-05-31,22H2,2022-10-18,2025-10-14,Operating System,-7.6,Unsupported,High
SWI00000140,A0000024,IBM,IBM SPSS Statistics,29,2021-03-24,Tanium,Device,2026-05-31,29,2022-09-01,2027-09-01,Analytics,15.0,Support Ending in 24 Months,Medium
SWI00000141,A0000024,Microsoft,.NET,6,2021-03-24,Intune,Open Source,2026-05-31,6,2021-11-08,2024-11-12,Development,-18.6,Unsupported,High
SWI00000142,A0000024,Microsoft,Power BI Desktop,2024,2021-03-24,Tanium,User,2026-05-31,2024,2024-01-01,2026-01-01,Analytics,-5.0,Unsupported,High
SWI00000143,A0000024,Tableau,Tableau Desktop,2023.3,2021-03-24,Intune,Enterprise,2026-05-31,2023.3,2023-10-01,2025-10-01,Analytics,-8.0,Unsupported,High
SWI00000144,A0000024,IBM,IBM SPSS Statistics,29,2021-03-24,Tanium,Device,2026-05-31,29,2022-09-01,2027-09-01,Analytics,15.0,Support Ending in 24 Months,Medium
SWI00000145,A0000025,Microsoft,OneDrive,24.x,2020-11-29,SCCM,Enterprise,2026-05-31,24.x,2024-01-01,2026-01-01,Productivity,-5.0,Unsupported,High
SWI00000146,A0000025,Microsoft,Windows 11 Enterprise,23H2,2020-11-29,Intune,Device,2026-05-31,23H2,2023-10-31,2026-11-10,Operating System,5.3,Support Ending in 12 Months,Medium
SWI00000147,A0000025,Microsoft,Windows 11 Enterprise,23H2,2020-11-29,SCCM,Device,2026-05-31,23H2,2023-10-31,2026-11-10,Operating System,5.3,Support Ending in 12 Months,Medium
SWI00000148,A0000025,Microsoft,Microsoft 365 Apps for Enterprise,Current Channel,2020-11-29,SCCM,User,2026-05-31,Current Channel,2023-01-01,2027-01-01,Productivity,7.0,Support Ending in 12 Months,Medium
SWI00000149,A0000025,Microsoft,Microsoft 365 Apps for Enterprise,Current Channel,2020-11-29,SCCM,Open Source,2026-05-31,Current Channel,2023-01-01,2027-01-01,Productivity,7.0,Support Ending in 12 Months,Medium
SWI00000150,A0000026,Adobe,Adobe Acrobat Pro 2020,20,2019-08-24,Tanium,Open Source,2026-05-31,20,2020-06-01,2025-11-30,Productivity,-6.0,Unsupported,High
