Software_Name,Version,Category,Software_Lifecycle_Status,non_compliant_installs,distinct_assets
SQL Server Management Studio 20.x,20.x,Database Tool,Supported >24 Months,442,442
Visual Studio 2022 17.x,17.x,IDE,Supported >24 Months,441,441
DBeaver 24.x,24.x,Database Tool,Supported >24 Months,441,441
PyCharm Professional 2024.x,2024.x,IDE,12-24 Months,439,439
DataGrip 2024.x,2024.x,IDE,12-24 Months,436,436
Visual Studio 2019 16.x,16.x,IDE,Supported >24 Months,436,436
Anaconda Distribution 2023.x,2023.x,Data Science,6-12 Months,432,432
Java SE 21,21,Runtime,Supported >24 Months,429,429
Tableau Desktop 2024.x,2024.x,Analytics,12-24 Months,426,426
SAS Viya 4,4,Analytics,Supported >24 Months,425,425
Java SE 17,17,Runtime,Supported >24 Months,423,423
Power BI Desktop,Current,Analytics,Supported >24 Months,422,422
macOS Sonoma 14,14,Operating System,0-6 Months,419,419
Azure DevOps Server 2022,2022,CI/CD,Supported >24 Months,416,416
PowerShell 7.4 LTS,7.4 LTS,Runtime,0-6 Months,415,415
IntelliJ IDEA 2024.x,2024.x,IDE,12-24 Months,415,415
.NET 8,8,Runtime,0-6 Months,412,412
Java SE 11,11,Runtime,0-6 Months,412,412
Python 3.10,3.10,Runtime,0-6 Months,411,411
Bitbucket Data Center 8.x,8.x,Source Control,12-24 Months,405,405
Java SE 8,8,Runtime,Supported >24 Months,404,404
JupyterLab 4.x,4.x,Data Science,Supported >24 Months,404,404
Visual Studio Code,Current,IDE,Supported >24 Months,393,393
Python 3.11,3.11,Runtime,12-24 Months,389,389
macOS Sequoia 15,15,Operating System,12-24 Months,382,382
.NET Framework 4.8,4.8,Runtime,Supported >24 Months,360,360
Oracle Database 21c,21c,Database,Past EOL,192,192
MySQL Community Server 8.0,8.0,Database,Past EOL,182,182
Windows Server 2022,2022,Server OS,Supported >24 Months,100,100
Windows Server 2016,2016,Server OS,6-12 Months,93,93
Ubuntu Server 22.04 LTS,22.04 LTS,Server OS,Supported >24 Months,92,92
Windows Server 2019,2019,Server OS,Supported >24 Months,86,86
Red Hat Enterprise Linux 9,9,Server OS,Supported >24 Months,83,83
IBM MQ,9.3,Middleware,Supported >24 Months,79,79
Apache HTTP Server,2.4,Web Server,Supported >24 Months,78,78
Microsoft SQL Server 2019,2019,Database,Supported >24 Months,75,75
Ubuntu Server 20.04 LTS,20.04 LTS,Server OS,Supported >24 Months,72,72
PostgreSQL 15,15,Database,12-24 Months,71,71
Microsoft SQL Server 2022,2022,Database,Supported >24 Months,71,71
IBM WebSphere Application Server,9.0.5,Middleware,Supported >24 Months,66,66
Oracle Database 19c,19c,Database,6-12 Months,66,66
Red Hat Enterprise Linux 8,8,Server OS,Supported >24 Months,66,66
PostgreSQL 14,14,Database,0-6 Months,65,65
NGINX,1.24,Web Server,12-24 Months,63,63
MongoDB Enterprise Advanced 6.0,6.0,Database,0-6 Months,61,61
Microsoft SQL Server 2016,2016,Database,0-6 Months,55,55
Apache Tomcat,10.1,Middleware,Supported >24 Months,55,55
Apache Tomcat,9.0,Middleware,6-12 Months,54,54
Oracle WebLogic Server,12c,Middleware,12-24 Months,51,51
