Asset_ID,Hostname,Asset_Type,Manufacturer,Model,Serial_Number,Purchase_Date,Install_Date,Warranty_End_Date,Purchase_Cost,Location_ID,Business_Unit_ID,Environment,Assigned_Owner_ID,Asset_Operational_Status,Inventory_Source,Last_Discovered_Date,Model_Release_Date,Vendor_Support_End_Date,Standard_Refresh_Cycle_Years,Standard_Replacement_Cost,Asset_Age_Years,Warranty_Status,Months_To_EOL,Lifecycle_Status,Past_EOL_Flag,Expiring_12M_Flag,Expiring_24M_Flag,Expiring_36M_Flag,Replacement_Cost,Open_Vulnerability_Count,Critical_Vulnerability_Count,High_Vulnerability_Count,Incident_Count,Downtime_Hours,Lifecycle_Risk_Score,Refresh_Priority,Remediation_Priority,Cyber_Risk_Category
A0000150,LTP-000150,Laptop,Lenovo,ThinkPad T14 Gen 3,LTPNCOESCPNNW,2021-03-22,2021-04-09,2024-03-21,1086.69,GTA078,BU009,Branch,E000869,In Use,ServiceNow CMDB,2026-05-31,2022-04-01,2027-04-01,4,1450,5.15,Warranty Expired,10.0,Expiring in 12 Months,0,1,0,0,1450,2,1,1,2,10.03,34.5,Medium,Accelerated,End User Computing / Branch
A0000162,LTP-000162,Laptop,HP,EliteBook 840 G8,LTP0MZ7QWVIYB,2021-09-19,2021-10-24,2024-09-18,1089.83,GTA032,BU007,Corporate,E021905,In Use,SCCM,2026-05-31,2021-01-01,2026-01-01,4,1300,4.61,Warranty Expired,-5.0,Past EOL,1,0,0,0,1300,1,1,0,3,14.95,49.75,Medium,Immediate,End User Computing / Branch
A0000177,LTP-000177,Laptop,HP,EliteBook 840 G8,LTPXEYRXZ2HV5,2022-06-04,2022-06-27,2025-06-03,1102.07,ATL006,BU001,Branch,E019930,In Use,Intune,2026-05-31,2021-01-01,2026-01-01,4,1300,3.93,Warranty Expired,-5.0,Past EOL,1,0,0,0,1300,2,0,2,3,9.65,49.48,Medium,Immediate,End User Computing / Branch
A0000182,LTP-000182,Laptop,Lenovo,ThinkPad T14 Gen 3,LTPMT2WX4CR48,2019-05-09,2019-05-29,2022-05-08,1330.01,ONR016,BU010,Production,E008922,In Use,Intune,2026-05-31,2022-04-01,2027-04-01,4,1450,7.01,Warranty Expired,10.0,Expiring in 12 Months,0,1,0,0,1450,3,1,1,7,46.34,46.32,Medium,Accelerated,End User Computing / Branch
A0000195,LTP-000195,Laptop,HP,EliteBook 840 G8,LTPQNCCLIL5AO,2023-11-18,2023-12-03,2026-11-17,975.18,WST021,BU002,Branch,E007236,In Use,SCCM,2026-05-31,2021-01-01,2026-01-01,4,1300,2.5,Under Warranty,-5.0,Past EOL,1,0,0,0,1300,4,1,1,5,62.03,60.1,High,Immediate,End User Computing / Branch
A0000202,LTP-000202,Laptop,HP,EliteBook 850 G9,LTPHP9ZIYLA68,2025-01-12,2025-02-26,2029-01-11,1251.33,TOR005,BU004,Branch,E000016,In Use,ServiceNow CMDB,2026-05-31,2022-05-01,2027-05-01,4,1500,1.26,Under Warranty,10.9,Expiring in 12 Months,0,1,0,0,1500,1,1,0,8,45.99,44.3,Medium,Accelerated,End User Computing / Branch
A0000214,LTP-000214,Laptop,Lenovo,ThinkPad T14 Gen 3,LTP5N2XOLQ10G,2022-03-08,2022-03-20,2027-03-07,1373.73,QUE002,BU006,Production,E018356,In Use,ServiceNow CMDB,2026-05-31,2022-04-01,2027-04-01,4,1450,4.2,Under Warranty,10.0,Expiring in 12 Months,0,1,0,0,1450,1,1,0,8,54.5,44.72,Medium,Accelerated,End User Computing / Branch
A0000228,LTP-000228,Laptop,Dell,Latitude 5420,LTPIBE6UC5KVQ,2018-03-21,2018-04-09,2021-03-20,1000.91,GTA077,BU006,Corporate,E013076,In Use,ServiceNow CMDB,2026-05-31,2021-03-01,2027-06-01,4,1250,8.15,Warranty Expired,12.0,Expiring in 12 Months,0,1,0,0,1250,2,1,0,4,21.43,35.07,Medium,Accelerated,End User Computing / Branch
A0000250,LTP-000250,Laptop,Dell,Latitude 5420,LTPEKMJS5L0GY,2022-11-01,2022-11-16,2025-10-31,964.25,GTA011,BU010,Branch,E017194,In Repair,SCCM,2026-05-31,2021-03-01,2027-06-01,4,1250,3.54,Warranty Expired,12.0,Expiring in 12 Months,0,1,0,0,1250,1,1,0,7,45.74,42.29,Medium,Accelerated,End User Computing / Branch
A0000258,LTP-000258,Laptop,HP,EliteBook 850 G9,LTPYLN8CRIIDC,2021-06-26,2021-07-17,2025-06-25,1223.46,GTA012,BU004,Disaster Recovery,E012485,In Use,ServiceNow CMDB,2026-05-31,2022-05-01,2027-05-01,4,1500,4.88,Warranty Expired,10.9,Expiring in 12 Months,0,1,0,0,1500,1,1,0,7,41.15,42.06,Medium,Accelerated,End User Computing / Branch
A0000266,LTP-000266,Laptop,HP,EliteBook 850 G9,LTPSF0SGXJQ2T,2018-02-12,2018-02-14,2021-02-11,1065.65,GTA065,BU001,Branch,E004731,In Use,ServiceNow CMDB,2026-05-31,2022-05-01,2027-05-01,4,1500,8.3,Warranty Expired,10.9,Expiring in 12 Months,0,1,0,0,1500,3,0,2,4,29.37,35.47,Medium,Accelerated,End User Computing / Branch
A0000267,LTP-000267,Laptop,HP,EliteBook 850 G9,LTP0AJ7TKDTF2,2020-08-26,2020-09-16,2024-08-25,1270.59,WST008,BU001,Branch,E011174,In Use,ServiceNow CMDB,2026-05-31,2022-05-01,2027-05-01,4,1500,5.71,Warranty Expired,10.9,Expiring in 12 Months,0,1,0,0,1500,1,1,0,3,11.1,32.56,Medium,Accelerated,End User Computing / Branch
A0000278,LTP-000278,Laptop,HP,EliteBook 850 G9,LTP20A9X1TXGB,2022-09-25,2022-10-11,2025-09-24,1241.14,GTA010,BU003,Production,E003530,In Use,SCCM,2026-05-31,2022-05-01,2027-05-01,4,1500,3.64,Warranty Expired,10.9,Expiring in 12 Months,0,1,0,0,1500,3,1,1,4,28.29,39.41,Medium,Accelerated,End User Computing / Branch
A0000297,LTP-000297,Laptop,HP,EliteBook 840 G8,LTPDPL1N4RQ6P,2024-11-04,2024-11-13,2028-11-03,1037.45,QUE007,BU004,Production,E017911,In Use,SCCM,2026-05-31,2021-01-01,2026-01-01,4,1300,1.55,Under Warranty,-5.0,Past EOL,1,0,0,0,1300,2,0,2,5,30.79,54.54,Medium,Immediate,End User Computing / Branch
A0000356,LTP-000356,Laptop,Dell,Latitude 5420,LTPPEVB103K2A,2018-05-24,2018-06-03,2021-05-23,1128.92,GTA031,BU001,Corporate,E017245,In Use,SCCM,2026-05-31,2021-03-01,2027-06-01,4,1250,8.0,Warranty Expired,12.0,Expiring in 12 Months,0,1,0,0,1250,2,0,2,5,58.56,38.93,Medium,Accelerated,End User Computing / Branch
A0000368,LTP-000368,Laptop,HP,EliteBook 840 G8,LTP173JVXDP8M,2022-12-06,2023-01-14,2026-12-05,847.26,WST024,BU001,Production,E005334,In Use,ServiceNow CMDB,2026-05-31,2021-01-01,2026-01-01,4,1300,3.38,Under Warranty,-5.0,Past EOL,1,0,0,0,1300,1,1,0,2,14.28,47.71,Medium,Immediate,End User Computing / Branch
A0000379,LTP-000379,Laptop,HP,EliteBook 840 G8,LTP7I54Y1ZTSA,2021-09-21,2021-10-22,2024-09-20,1130.77,GTA021,BU001,Corporate,E006381,In Use,SCCM,2026-05-31,2021-01-01,2026-01-01,4,1300,4.61,Warranty Expired,-5.0,Past EOL,1,0,0,0,1300,2,1,0,3,18.51,49.93,Medium,Immediate,End User Computing / Branch
A0000380,LTP-000380,Laptop,Lenovo,ThinkPad T14 Gen 3,LTPG6YHF76A72,2021-11-14,2021-12-29,2024-11-13,955.86,QUE005,BU008,Production,E000421,In Use,ServiceNow CMDB,2026-05-31,2022-04-01,2027-04-01,4,1450,4.42,Warranty Expired,10.0,Expiring in 12 Months,0,1,0,0,1450,2,1,0,3,33.02,33.65,Medium,Accelerated,End User Computing / Branch
A0000414,LTP-000414,Laptop,Lenovo,ThinkPad T14 Gen 3,LTPEB90EDTT8Q,2021-11-08,2021-11-23,2024-11-07,1259.14,ONR007,BU002,Corporate,E004887,In Use,ServiceNow CMDB,2026-05-31,2022-04-01,2027-04-01,4,1450,4.52,Warranty Expired,10.0,Expiring in 12 Months,0,1,0,0,1450,3,1,0,2,12.75,30.64,Medium,Accelerated,End User Computing / Branch
A0000423,LTP-000423,Laptop,Lenovo,ThinkPad T14 Gen 3,LTP0ABKDTEHPB,2025-04-02,2025-04-18,2029-04-01,1316.45,GTA049,BU003,Branch,E008142,In Use,SCCM,2026-05-31,2022-04-01,2027-04-01,4,1450,1.12,Under Warranty,10.0,Expiring in 12 Months,0,1,0,0,1450,2,2,0,4,12.96,42.65,Medium,Accelerated,End User Computing / Branch
A0000435,LTP-000435,Laptop,Dell,Latitude 5420,LTPQP78ZQDUVQ,2021-07-19,2021-08-12,2025-07-18,1028.55,QUE024,BU003,Disaster Recovery,E021597,In Use,ServiceNow CMDB,2026-05-31,2021-03-01,2027-06-01,4,1250,4.8,Warranty Expired,12.0,Expiring in 12 Months,0,1,0,0,1250,1,1,0,2,6.67,30.33,Medium,Accelerated,End User Computing / Branch
A0000451,LTP-000451,Laptop,Dell,Latitude 5420,LTP2OVAJMU9N4,2019-12-10,2020-01-14,2022-12-09,917.21,GTA053,BU003,Corporate,E001734,In Use,ServiceNow CMDB,2026-05-31,2021-03-01,2027-06-01,4,1250,6.38,Warranty Expired,12.0,Expiring in 12 Months,0,1,0,0,1250,3,2,0,4,23.42,43.17,Medium,Accelerated,End User Computing / Branch
A0000456,LTP-000456,Laptop,Lenovo,ThinkPad T14 Gen 3,LTP21Y87IMI9M,2024-02-15,2024-03-22,2027-02-14,1192.54,WST026,BU001,Production,E011865,In Use,SCCM,2026-05-31,2022-04-01,2027-04-01,4,1450,2.2,Under Warranty,10.0,Expiring in 12 Months,0,1,0,0,1450,3,1,0,4,29.5,35.48,Medium,Accelerated,End User Computing / Branch
A0000457,LTP-000457,Laptop,Lenovo,ThinkPad T14 Gen 3,LTP3Q0W39IR0I,2020-11-19,2020-11-30,2025-11-18,1307.65,GTA010,BU002,Corporate,E006679,In Use,SCCM,2026-05-31,2022-04-01,2027-04-01,4,1450,5.5,Warranty Expired,10.0,Expiring in 12 Months,0,1,0,0,1450,2,0,2,5,46.53,38.33,Medium,Accelerated,End User Computing / Branch
A0000500,LTP-000500,Laptop,HP,EliteBook 840 G8,LTP7WM4Z7YFA4,2021-12-20,2022-01-14,2025-12-19,1156.06,GTA037,BU001,Disaster Recovery,E007918,In Use,ServiceNow CMDB,2026-05-31,2021-01-01,2026-01-01,4,1300,4.38,Warranty Expired,-5.0,Past EOL,1,0,0,0,1300,2,0,2,4,20.03,52.0,Medium,Immediate,End User Computing / Branch
A0000543,LTP-000543,Laptop,Lenovo,ThinkPad T14 Gen 3,LTP9LOF5MNH6V,2019-08-15,2019-08-25,2024-08-13,1226.89,GTA054,BU001,Branch,E003932,In Use,ServiceNow CMDB,2026-05-31,2022-04-01,2027-04-01,4,1450,6.77,Warranty Expired,10.0,Expiring in 12 Months,0,1,0,0,1450,1,1,0,1,2.36,28.12,Low,Accelerated,End User Computing / Branch
A0000577,LTP-000577,Laptop,Lenovo,ThinkPad T14 Gen 3,LTP2UJMAJEACO,2022-12-22,2023-01-28,2025-12-21,1068.47,GTA046,BU002,Corporate,E011724,In Use,SCCM,2026-05-31,2022-04-01,2027-04-01,4,1450,3.34,Warranty Expired,10.0,Expiring in 12 Months,0,1,0,0,1450,1,1,0,4,20.15,35.01,Medium,Accelerated,End User Computing / Branch
A0000608,LTP-000608,Laptop,Lenovo,ThinkPad T14 Gen 3,LTPD8GSXRBYSN,2018-11-24,2018-12-18,2022-11-23,1291.5,QUE020,BU005,Corporate,E007504,In Use,ServiceNow CMDB,2026-05-31,2022-04-01,2027-04-01,4,1450,7.46,Warranty Expired,10.0,Expiring in 12 Months,0,1,0,0,1450,2,0,2,2,7.46,30.37,Medium,Accelerated,End User Computing / Branch
A0000638,LTP-000638,Laptop,HP,EliteBook 850 G9,LTP6JHKHUKRSD,2018-06-14,2018-07-04,2021-06-13,1125.24,QUE001,BU003,Production,E014168,In Use,Intune,2026-05-31,2022-05-01,2027-05-01,4,1500,7.91,Warranty Expired,10.9,Expiring in 12 Months,0,1,0,0,1500,1,1,0,4,34.04,35.7,Medium,Accelerated,End User Computing / Branch
A0000665,LTP-000665,Laptop,HP,EliteBook 840 G8,LTP7KBEBKI0OX,2018-06-13,2018-06-18,2021-06-12,949.24,ONR006,BU006,Non-Production,E015903,In Use,ServiceNow CMDB,2026-05-31,2021-01-01,2026-01-01,4,1300,7.96,Warranty Expired,-5.0,Past EOL,1,0,0,0,1300,2,0,2,4,37.77,52.89,Medium,Immediate,End User Computing / Branch
A0000670,LTP-000670,Laptop,Dell,Latitude 5420,LTPYFXRIB51G4,2019-01-09,2019-02-13,2024-01-08,1078.47,GTA026,BU002,Production,E016694,In Use,Intune,2026-05-31,2021-03-01,2027-06-01,4,1250,7.3,Warranty Expired,12.0,Expiring in 12 Months,0,1,0,0,1250,1,1,0,6,53.83,40.69,Medium,Accelerated,End User Computing / Branch
A0000682,LTP-000682,Laptop,HP,EliteBook 840 G8,LTPSIVNP8AFY2,2023-08-06,2023-08-16,2028-08-04,876.79,WST008,BU002,Disaster Recovery,E009892,In Use,ServiceNow CMDB,2026-05-31,2021-01-01,2026-01-01,4,1300,2.8,Under Warranty,-5.0,Past EOL,1,0,0,0,1300,1,1,0,2,3.59,47.18,Medium,Immediate,End User Computing / Branch
A0000747,LTP-000747,Laptop,Dell,Latitude 5420,LTPUGLZKYVTGZ,2022-03-07,2022-03-27,2026-03-06,839.97,QUE022,BU001,Non-Production,E004409,In Use,Intune,2026-05-31,2021-03-01,2027-06-01,4,1250,4.18,Warranty Expired,12.0,Expiring in 12 Months,0,1,0,0,1250,3,1,0,2,9.06,30.45,Medium,Accelerated,End User Computing / Branch
A0000756,LTP-000756,Laptop,Lenovo,ThinkPad T14 Gen 3,LTP8DOW46M6YB,2022-09-04,2022-09-20,2025-09-03,1143.1,TOR003,BU001,Branch,E018882,In Use,ServiceNow CMDB,2026-05-31,2022-04-01,2027-04-01,4,1450,3.7,Warranty Expired,10.0,Expiring in 12 Months,0,1,0,0,1450,1,1,0,5,26.11,37.31,Medium,Accelerated,End User Computing / Branch
A0000774,LTP-000774,Laptop,HP,EliteBook 840 G8,LTPLORDOWDC5E,2023-04-01,2023-04-11,2027-03-31,1083.52,WST008,BU002,Production,E006740,In Use,ServiceNow CMDB,2026-05-31,2021-01-01,2026-01-01,4,1300,3.14,Under Warranty,-5.0,Past EOL,1,0,0,0,1300,1,1,0,5,23.94,54.2,Medium,Immediate,End User Computing / Branch
A0000775,LTP-000775,Laptop,HP,EliteBook 850 G9,LTP0YRY0HMMI8,2021-03-16,2021-04-11,2025-03-15,1337.47,GTA007,BU001,Branch,E009755,In Use,ServiceNow CMDB,2026-05-31,2022-05-01,2027-05-01,4,1500,5.14,Warranty Expired,10.9,Expiring in 12 Months,0,1,0,0,1500,1,1,0,9,64.53,47.23,Medium,Accelerated,End User Computing / Branch
A0000778,LTP-000778,Laptop,Dell,Latitude 5420,LTP8F7GV6EZ5X,2023-02-20,2023-04-01,2027-02-19,990.87,GTA025,BU001,Branch,E003859,In Use,SCCM,2026-05-31,2021-03-01,2027-06-01,4,1250,3.17,Under Warranty,12.0,Expiring in 12 Months,0,1,0,0,1250,2,1,1,4,30.23,39.51,Medium,Accelerated,End User Computing / Branch
A0000829,LTP-000829,Laptop,HP,EliteBook 850 G9,LTP8V2UTVDK34,2019-11-03,2019-11-09,2022-11-02,1108.9,ATL012,BU005,Branch,E008409,In Use,ServiceNow CMDB,2026-05-31,2022-05-01,2027-05-01,4,1500,6.56,Warranty Expired,10.9,Expiring in 12 Months,0,1,0,0,1500,1,1,0,3,23.13,33.16,Medium,Accelerated,End User Computing / Branch
A0000851,LTP-000851,Laptop,HP,EliteBook 850 G9,LTP940XCCHUJ6,2018-07-09,2018-08-19,2021-07-08,1175.26,GTA040,BU003,Branch,E019641,In Use,ServiceNow CMDB,2026-05-31,2022-05-01,2027-05-01,4,1500,7.79,Warranty Expired,10.9,Expiring in 12 Months,0,1,0,0,1500,3,1,0,5,28.45,37.42,Medium,Accelerated,End User Computing / Branch
A0000869,LTP-000869,Laptop,HP,EliteBook 850 G9,LTPYRO6CRVN7N,2022-05-30,2022-06-13,2026-05-29,1386.13,GTA027,BU003,Branch,E021324,In Use,SCCM,2026-05-31,2022-05-01,2027-05-01,4,1500,3.97,Warranty Expired,10.9,Expiring in 12 Months,0,1,0,0,1500,1,1,0,5,50.85,38.54,Medium,Accelerated,End User Computing / Branch
A0000873,LTP-000873,Laptop,Lenovo,ThinkPad T14 Gen 3,LTPZPTXQZ1J9F,2018-07-06,2018-08-11,2023-07-05,1331.24,GTA032,BU002,Branch,E003385,In Use,Network Discovery,2026-05-31,2022-04-01,2027-04-01,4,1450,7.81,Warranty Expired,10.0,Expiring in 12 Months,0,1,0,0,1450,2,1,0,2,3.66,30.18,Medium,Accelerated,End User Computing / Branch
A0000891,LTP-000891,Laptop,HP,EliteBook 840 G8,LTP3TNHSS2WT9,2019-10-22,2019-11-16,2023-10-21,871.58,WST008,BU002,Branch,E012429,In Use,Network Discovery,2026-05-31,2021-01-01,2026-01-01,4,1300,6.54,Warranty Expired,-5.0,Past EOL,1,0,0,0,1300,1,1,0,1,4.0,45.2,Medium,Immediate,End User Computing / Branch
A0000897,LTP-000897,Laptop,Dell,Latitude 5420,LTP964D1RBC85,2023-07-26,2023-08-08,2028-07-24,842.81,GTA043,BU004,Corporate,E018191,In Use,Network Discovery,2026-05-31,2021-03-01,2027-06-01,4,1250,2.82,Under Warranty,12.0,Expiring in 12 Months,0,1,0,0,1250,3,1,0,5,23.83,37.19,Medium,Accelerated,End User Computing / Branch
A0000901,LTP-000901,Laptop,HP,EliteBook 840 G8,LTP4N273DXBK0,2023-07-03,2023-08-05,2026-07-02,1126.69,ATL010,BU005,Production,E012494,In Use,ServiceNow CMDB,2026-05-31,2021-01-01,2026-01-01,4,1300,2.83,Under Warranty,-5.0,Past EOL,1,0,0,0,1300,2,1,0,1,9.08,45.45,Medium,Immediate,End User Computing / Branch
A0000911,LTP-000911,Laptop,Lenovo,ThinkPad T14 Gen 3,LTPHQ314W628E,2018-06-18,2018-07-14,2021-06-17,1141.81,WST006,BU001,Branch,E015420,In Use,SCCM,2026-05-31,2022-04-01,2027-04-01,4,1450,7.89,Warranty Expired,10.0,Expiring in 12 Months,0,1,0,0,1450,2,0,2,3,32.59,33.63,Medium,Accelerated,End User Computing / Branch
A0000918,LTP-000918,Laptop,Dell,Latitude 5420,LTPOEYZO7FO4T,2020-11-19,2020-12-10,2023-11-19,815.24,ONR011,BU002,Branch,E013019,In Use,ServiceNow CMDB,2026-05-31,2021-03-01,2027-06-01,4,1250,5.48,Warranty Expired,12.0,Expiring in 12 Months,0,1,0,0,1250,2,0,2,3,25.84,33.29,Medium,Accelerated,End User Computing / Branch
A0000920,LTP-000920,Laptop,Dell,Latitude 5420,LTPFZM29P6LDK,2018-05-27,2018-06-29,2021-05-26,950.97,GTA012,BU002,Corporate,E017526,In Use,ServiceNow CMDB,2026-05-31,2021-03-01,2027-06-01,4,1250,7.93,Warranty Expired,12.0,Expiring in 12 Months,0,1,0,0,1250,1,1,0,7,24.87,41.24,Medium,Accelerated,End User Computing / Branch
A0000949,LTP-000949,Laptop,HP,EliteBook 840 G8,LTPC2SOGDA6US,2020-01-13,2020-02-27,2023-01-12,1179.35,GTA066,BU002,Branch,E017574,In Use,Network Discovery,2026-05-31,2021-01-01,2026-01-01,4,1300,6.26,Warranty Expired,-5.0,Past EOL,1,0,0,0,1300,1,1,0,2,6.81,47.34,Medium,Immediate,End User Computing / Branch
A0000967,LTP-000967,Laptop,Lenovo,ThinkPad T14 Gen 3,LTPWVK1WJAYR0,2019-05-02,2019-05-29,2022-05-01,1370.0,ONR017,BU002,Production,E009902,In Use,ServiceNow CMDB,2026-05-31,2022-04-01,2027-04-01,4,1450,7.01,Warranty Expired,10.0,Expiring in 12 Months,0,1,0,0,1450,1,1,0,4,19.32,34.97,Medium,Accelerated,End User Computing / Branch
A0001005,LTP-001005,Laptop,HP,EliteBook 850 G9,LTPBYNKS5H1M5,2021-12-02,2022-01-06,2026-12-01,1019.93,QUE008,BU001,Production,E008333,In Use,Intune,2026-05-31,2022-05-01,2027-05-01,4,1500,4.4,Under Warranty,10.9,Expiring in 12 Months,0,1,0,0,1500,1,1,0,4,20.21,35.01,Medium,Accelerated,End User Computing / Branch
A0001012,LTP-001012,Laptop,Dell,Latitude 5420,LTPPLB3WANL5P,2018-07-20,2018-07-28,2023-07-19,1115.63,WST028,BU009,Production,E000227,In Repair,ServiceNow CMDB,2026-05-31,2021-03-01,2027-06-01,4,1250,7.85,Warranty Expired,12.0,Expiring in 12 Months,0,1,0,0,1250,1,1,0,8,57.85,44.89,Medium,Accelerated,End User Computing / Branch
A0001037,LTP-001037,Laptop,HP,EliteBook 850 G9,LTPRHBCJY4HGJ,2023-01-01,2023-02-15,2027-12-31,1319.57,QUE005,BU005,Corporate,E018041,In Use,SCCM,2026-05-31,2022-05-01,2027-05-01,4,1500,3.29,Under Warranty,10.9,Expiring in 12 Months,0,1,0,0,1500,2,1,0,5,18.24,36.91,Medium,Accelerated,End User Computing / Branch
A0001049,LTP-001049,Laptop,HP,EliteBook 840 G8,LTP66KJPXHKGO,2018-03-02,2018-04-05,2021-03-01,861.24,ONR005,BU003,Corporate,E011850,In Use,ServiceNow CMDB,2026-05-31,2021-01-01,2026-01-01,4,1300,8.16,Warranty Expired,-5.0,Past EOL,1,0,0,0,1300,1,1,0,3,9.81,49.49,Medium,Immediate,End User Computing / Branch
A0001072,LTP-001072,Laptop,Dell,Latitude 5420,LTPXWOW6M7B56,2020-07-07,2020-08-04,2024-07-06,1111.98,ATL003,BU009,Non-Production,E001505,In Repair,Network Discovery,2026-05-31,2021-03-01,2027-06-01,4,1250,5.83,Warranty Expired,12.0,Expiring in 12 Months,0,1,0,0,1250,3,0,2,1,7.19,28.36,Low,Accelerated,End User Computing / Branch
A0001077,LTP-001077,Laptop,HP,EliteBook 840 G8,LTP7P0YYY56FG,2024-10-11,2024-10-30,2027-10-11,971.08,GTA051,BU007,Branch,E017742,In Use,ServiceNow CMDB,2026-05-31,2021-01-01,2026-01-01,4,1300,1.59,Under Warranty,-5.0,Past EOL,1,0,0,0,1300,2,1,1,2,7.67,51.38,Medium,Immediate,End User Computing / Branch
