Asset_ID,Hostname,Asset_Type,Manufacturer,Model,Serial_Number,Purchase_Date,Install_Date,Warranty_End_Date,Purchase_Cost,Location_ID,Business_Unit_ID,Environment,Assigned_Owner_ID,Asset_Operational_Status,Inventory_Source,Last_Discovered_Date,Model_Release_Date,Vendor_Support_End_Date,Standard_Refresh_Cycle_Years,Standard_Replacement_Cost,Asset_Age_Years,Warranty_Status,Months_To_EOL,Lifecycle_Status,Past_EOL_Flag,Expiring_12M_Flag,Expiring_24M_Flag,Expiring_36M_Flag,Replacement_Cost,Open_Vulnerability_Count,Critical_Vulnerability_Count,High_Vulnerability_Count,Incident_Count,Downtime_Hours,Lifecycle_Risk_Score,Refresh_Priority
A0000011,LTP-000011,Laptop,HP,EliteBook 850 G9,LTPJOF9E9FWIQ,2019-02-08,2019-03-16,2024-02-07,1153.23,WST025,BU002,Production,E015751,In Use,ServiceNow CMDB,2026-05-31,2022-05-01,2027-05-01,4,1500,7.21,Warranty Expired,10.9,Expiring in 12 Months,0,1,0,0,1500,0,0,0,13,78.04,41.9,Medium
A0000012,LTP-000012,Laptop,Lenovo,ThinkPad T14 Gen 3,LTPT9ZEMICW5K,2021-09-10,2021-10-23,2026-09-09,1290.25,GTA026,BU005,Production,E017581,In Use,ServiceNow CMDB,2026-05-31,2022-04-01,2027-04-01,4,1450,4.61,Under Warranty,10.0,Expiring in 12 Months,0,1,0,0,1450,1,0,1,6,35.47,35.77,Medium
A0000013,LTP-000013,Laptop,Dell,Latitude 5420,LTP7CRMF2IG3C,2023-11-04,2023-12-13,2026-11-03,852.59,GTA025,BU002,Production,E015887,In Use,Network Discovery,2026-05-31,2021-03-01,2027-06-01,4,1250,2.47,Under Warranty,12.0,Expiring in 12 Months,0,1,0,0,1250,0,0,0,7,44.2,34.21,Medium
A0000014,LTP-000014,Laptop,Lenovo,ThinkPad T14 Gen 2,LTPZU8MYXEX1D,2018-01-08,2018-01-19,2021-01-07,1111.89,GTA030,BU001,Branch,E011592,In Use,ServiceNow CMDB,2026-05-31,2021-02-01,2027-09-01,4,1300,8.37,Warranty Expired,15.0,Expiring in 24 Months,0,0,1,0,1300,2,0,0,8,40.09,28.0,Low
A0000015,LTP-000015,Laptop,HP,EliteBook 850 G9,LTPIIXX2SOEEE,2021-06-05,2021-06-29,2025-06-04,1266.52,QUE018,BU001,Corporate,E013133,In Use,ServiceNow CMDB,2026-05-31,2022-05-01,2027-05-01,4,1500,4.93,Warranty Expired,10.9,Expiring in 12 Months,0,1,0,0,1500,1,0,0,4,23.74,27.19,Low
A0000016,LTP-000016,Laptop,HP,EliteBook 850 G9,LTPONT2SGZDV7,2018-04-13,2018-05-26,2021-04-12,1171.81,ATL006,BU001,Corporate,E016717,In Stock,Network Discovery,2026-05-31,2022-05-01,2027-05-01,4,1500,8.02,Warranty Expired,10.9,Expiring in 12 Months,0,1,0,0,1500,0,0,0,6,31.04,31.55,Medium
A0000017,LTP-000017,Laptop,Lenovo,ThinkPad T14 Gen 2,LTP7IUF69OSHR,2020-12-11,2021-01-19,2024-12-10,970.04,QUE019,BU001,Branch,E019043,In Use,SCCM,2026-05-31,2021-02-01,2027-09-01,4,1300,5.37,Warranty Expired,15.0,Expiring in 24 Months,0,0,1,0,1300,1,0,0,8,62.8,29.14,Low
A0000018,LTP-000018,Laptop,HP,EliteBook 850 G9,LTPHFO6FQJI7C,2020-08-05,2020-08-30,2024-08-04,1049.31,WST011,BU005,Branch,E015111,In Use,Network Discovery,2026-05-31,2022-05-01,2027-05-01,4,1500,5.75,Warranty Expired,10.9,Expiring in 12 Months,0,1,0,0,1500,0,0,0,6,30.22,31.51,Medium
A0000019,LTP-000019,Laptop,Dell,Latitude 7440,LTPW1UAE4X7JN,2023-06-02,2023-07-06,2028-05-31,1253.56,WST012,BU001,Branch,E001073,In Use,SCCM,2026-05-31,2023-05-01,2029-05-01,4,1650,2.91,Under Warranty,35.0,Expiring in 36 Months,0,0,0,1,1650,1,0,0,4,29.38,14.47,Low
A0000020,LTP-000020,Laptop,Lenovo,ThinkPad T14 Gen 2,LTPR98GZ1TFIX,2019-08-24,2019-10-04,2022-08-23,1034.9,GTA076,BU002,Non-Production,E011057,In Use,Network Discovery,2026-05-31,2021-02-01,2027-09-01,4,1300,6.66,Warranty Expired,15.0,Expiring in 24 Months,0,0,1,0,1300,1,0,0,5,34.43,21.72,Low
A0000021,LTP-000021,Laptop,Lenovo,ThinkPad T14 Gen 2,LTPO6IPTXMRPS,2023-09-11,2023-09-16,2028-09-09,1150.63,GTA018,BU006,Branch,E014941,In Use,ServiceNow CMDB,2026-05-31,2021-02-01,2027-09-01,4,1300,2.71,Under Warranty,15.0,Expiring in 24 Months,0,0,1,0,1300,0,0,0,4,17.44,18.87,Low
A0000022,LTP-000022,Laptop,Dell,Latitude 7440,LTP36GZFUV0QD,2020-05-02,2020-06-08,2024-05-01,1227.64,GTA030,BU002,Corporate,E019460,In Use,SCCM,2026-05-31,2023-05-01,2029-05-01,4,1650,5.98,Warranty Expired,35.0,Expiring in 36 Months,0,0,0,1,1650,1,0,0,2,15.78,9.79,Low
A0000023,LTP-000023,Laptop,Lenovo,ThinkPad T14 Gen 3,LTP74I9BDIECZ,2024-01-19,2024-03-04,2028-01-18,970.22,TOR005,BU001,Branch,E021652,In Use,ServiceNow CMDB,2026-05-31,2022-04-01,2027-04-01,4,1450,2.25,Under Warranty,10.0,Expiring in 12 Months,0,1,0,0,1450,1,0,0,3,14.52,24.73,Low
A0000024,LTP-000024,Laptop,Lenovo,ThinkPad T14 Gen 2,LTPUJGBFK32Q1,2021-03-02,2021-03-24,2026-03-01,906.45,GTA051,BU002,Branch,E009755,In Use,ServiceNow CMDB,2026-05-31,2021-02-01,2027-09-01,4,1300,5.19,Warranty Expired,15.0,Expiring in 24 Months,0,0,1,0,1300,0,0,0,4,25.13,19.26,Low
A0000025,LTP-000025,Laptop,Lenovo,ThinkPad T14 Gen 2,LTPNFC4AMKQGO,2020-10-24,2020-11-29,2023-10-24,1218.36,GTA027,BU003,Corporate,E011310,In Use,ServiceNow CMDB,2026-05-31,2021-02-01,2027-09-01,4,1300,5.51,Warranty Expired,15.0,Expiring in 24 Months,0,0,1,0,1300,0,0,0,5,30.09,21.5,Low
A0000026,LTP-000026,Laptop,Dell,Latitude 5430,LTP6J9RYB55DM,2019-08-23,2019-08-24,2022-08-22,995.16,WST005,BU001,Branch,E019207,In Use,SCCM,2026-05-31,2022-03-01,2029-03-01,4,1350,6.77,Warranty Expired,33.0,Expiring in 36 Months,0,0,0,1,1350,1,0,0,8,52.02,23.6,Low
A0000027,LTP-000027,Laptop,Lenovo,ThinkPad T14 Gen 3,LTP0RNZL3PK6P,2021-01-24,2021-02-09,2024-01-24,992.28,GTA056,BU003,Non-Production,E021236,In Use,ServiceNow CMDB,2026-05-31,2022-04-01,2027-04-01,4,1450,5.31,Warranty Expired,10.0,Expiring in 12 Months,0,1,0,0,1450,2,0,0,5,38.57,29.93,Low
A0000028,LTP-000028,Laptop,Dell,Latitude 7440,LTPYETS92XP80,2024-05-06,2024-06-12,2028-05-05,1130.43,ONR017,BU001,Production,E002348,In Use,SCCM,2026-05-31,2023-05-01,2029-05-01,4,1650,1.97,Under Warranty,35.0,Expiring in 36 Months,0,0,0,1,1650,0,0,0,2,15.73,9.79,Low
A0000029,LTP-000029,Laptop,Dell,Latitude 5430,LTP3SG0OPC0DX,2018-04-21,2018-05-30,2023-04-20,1189.16,WST003,BU001,Corporate,E013981,In Use,ServiceNow CMDB,2026-05-31,2022-03-01,2029-03-01,4,1350,8.01,Warranty Expired,33.0,Expiring in 36 Months,0,0,0,1,1350,0,0,0,1,5.75,7.29,Low
A0000030,LTP-000030,Laptop,HP,EliteBook 840 G8,LTP2TZHVAC2LM,2024-03-13,2024-04-12,2028-03-12,1102.22,ATL010,BU004,Branch,E002948,In Repair,ServiceNow CMDB,2026-05-31,2021-01-01,2026-01-01,4,1300,2.14,Under Warranty,-5.0,Past EOL,1,0,0,0,1300,1,1,0,3,18.21,49.91,Medium
A0000031,LTP-000031,Laptop,Dell,Latitude 5430,LTPMGUH8TMIGO,2020-02-25,2020-03-07,2023-02-24,1268.87,ATL004,BU001,Production,E021860,In Use,ServiceNow CMDB,2026-05-31,2022-03-01,2029-03-01,4,1350,6.24,Warranty Expired,33.0,Expiring in 36 Months,0,0,0,1,1350,1,0,0,7,48.95,21.45,Low
A0000032,LTP-000032,Laptop,Lenovo,ThinkPad T14 Gen 3,LTP4VPR4KRC27,2022-03-05,2022-03-17,2025-03-04,1175.02,QUE019,BU001,Branch,E009060,In Use,SCCM,2026-05-31,2022-04-01,2027-04-01,4,1450,4.21,Warranty Expired,10.0,Expiring in 12 Months,0,1,0,0,1450,0,0,0,4,23.55,27.18,Low
A0000033,LTP-000033,Laptop,Lenovo,ThinkPad T14 Gen 2,LTPVHQJ927K0E,2022-07-06,2022-08-06,2027-07-05,869.62,QUE020,BU002,Branch,E019596,In Use,Intune,2026-05-31,2021-02-01,2027-09-01,4,1300,3.82,Under Warranty,15.0,Expiring in 24 Months,0,0,1,0,1300,1,1,0,6,35.05,31.75,Medium
A0000034,LTP-000034,Laptop,Dell,Latitude 7440,LTP4KBEDL7J6G,2021-03-19,2021-04-07,2024-03-18,1375.09,ONR002,BU002,Production,E015321,In Use,ServiceNow CMDB,2026-05-31,2023-05-01,2029-05-01,4,1650,5.15,Warranty Expired,35.0,Expiring in 36 Months,0,0,0,1,1650,1,0,1,0,0.0,9.0,Low
A0000035,LTP-000035,Laptop,Lenovo,ThinkPad T14 Gen 3,LTPZXWH6HUUCX,2019-12-08,2020-01-01,2022-12-07,1001.11,GTA026,BU003,Non-Production,E007356,In Use,Network Discovery,2026-05-31,2022-04-01,2027-04-01,4,1450,6.42,Warranty Expired,10.0,Expiring in 12 Months,0,1,0,0,1450,0,0,0,5,21.18,29.06,Low
A0000036,LTP-000036,Laptop,Dell,Latitude 5430,LTPGJ58L32FOT,2020-11-05,2020-11-30,2024-11-04,1134.97,QUE021,BU009,Corporate,E020662,In Use,ServiceNow CMDB,2026-05-31,2022-03-01,2029-03-01,4,1350,5.5,Warranty Expired,33.0,Expiring in 36 Months,0,0,0,1,1350,1,0,0,7,34.47,20.72,Low
A0000037,LTP-000037,Laptop,Dell,Latitude 5420,LTPI181PCYDVN,2019-06-28,2019-07-14,2023-06-27,979.08,WST008,BU001,Branch,E019744,In Use,ServiceNow CMDB,2026-05-31,2021-03-01,2027-06-01,4,1250,6.89,Warranty Expired,12.0,Expiring in 12 Months,0,1,0,0,1250,0,0,0,4,20.84,27.04,Low
A0000038,LTP-000038,Laptop,Dell,Latitude 7440,LTPSIMXJ9KIWS,2020-03-18,2020-04-21,2023-03-18,1434.66,GTA078,BU009,Corporate,E018894,In Use,Intune,2026-05-31,2023-05-01,2029-05-01,4,1650,6.11,Warranty Expired,35.0,Expiring in 36 Months,0,0,0,1,1650,0,0,0,2,12.97,9.65,Low
A0000039,LTP-000039,Laptop,Dell,Latitude 5420,LTPQWFKG68NQ6,2021-10-05,2021-10-23,2025-10-04,1075.31,GTA028,BU004,Disaster Recovery,E010540,In Use,SCCM,2026-05-31,2021-03-01,2027-06-01,4,1250,4.61,Warranty Expired,12.0,Expiring in 12 Months,0,1,0,0,1250,1,0,0,4,12.11,26.61,Low
A0000040,LTP-000040,Laptop,HP,EliteBook 840 G8,LTPU2JJ84GSKL,2019-05-12,2019-06-10,2022-05-11,977.73,GTA071,BU001,Production,E006424,In Use,SCCM,2026-05-31,2021-01-01,2026-01-01,4,1300,6.98,Warranty Expired,-5.0,Past EOL,1,0,0,0,1300,0,0,0,5,34.71,46.74,Medium
A0000041,LTP-000041,Laptop,HP,EliteBook 840 G8,LTPAGWF073WIG,2022-04-04,2022-04-10,2027-04-03,1027.77,WST011,BU008,Corporate,E021188,In Use,ServiceNow CMDB,2026-05-31,2021-01-01,2026-01-01,4,1300,4.15,Under Warranty,-5.0,Past EOL,1,0,0,0,1300,1,0,1,6,38.09,52.9,Medium
A0000042,LTP-000042,Laptop,Lenovo,ThinkPad T14 Gen 2,LTP9MFUV8N4FY,2022-06-17,2022-07-03,2027-06-16,1195.4,ONR007,BU001,Branch,E015290,In Use,SCCM,2026-05-31,2021-02-01,2027-09-01,4,1300,3.92,Under Warranty,15.0,Expiring in 24 Months,0,0,1,0,1300,1,0,0,5,31.92,21.6,Low
A0000043,LTP-000043,Laptop,Lenovo,ThinkPad T14 Gen 3,LTPXSO9VBQ92T,2021-10-15,2021-10-26,2026-10-14,1375.07,QUE004,BU010,Production,E005679,In Use,Intune,2026-05-31,2022-04-01,2027-04-01,4,1450,4.6,Under Warranty,10.0,Expiring in 12 Months,0,1,0,0,1450,1,0,0,8,51.61,36.58,Medium
A0000044,LTP-000044,Laptop,HP,EliteBook 850 G9,LTP88M4Z9WA78,2022-06-12,2022-07-13,2027-06-11,1175.76,GTA062,BU005,Corporate,E006076,In Use,Network Discovery,2026-05-31,2022-05-01,2027-05-01,4,1500,3.89,Under Warranty,10.9,Expiring in 12 Months,0,1,0,0,1500,0,0,0,5,57.7,30.88,Medium
A0000045,LTP-000045,Laptop,Lenovo,ThinkPad T14 Gen 2,LTPBEJKJNBAFT,2022-09-28,2022-10-09,2027-09-27,1104.51,GTA034,BU001,Production,E020295,In Use,ServiceNow CMDB,2026-05-31,2021-02-01,2027-09-01,4,1300,3.65,Under Warranty,15.0,Expiring in 24 Months,0,0,1,0,1300,1,0,0,4,10.3,18.52,Low
A0000046,LTP-000046,Laptop,Apple,MacBook Pro M2,LTPDCKIAHFB94,2021-07-05,2021-08-11,2024-07-04,1532.14,GTA037,BU004,Non-Production,E007365,In Use,ServiceNow CMDB,2026-05-31,2022-10-01,2028-10-01,4,2300,4.81,Warranty Expired,28.0,Expiring in 36 Months,0,0,0,1,2300,0,0,0,2,26.79,10.34,Low
A0000047,LTP-000047,Laptop,HP,EliteBook 850 G9,LTPHOQAHKGLHO,2019-10-29,2019-11-08,2022-10-28,1144.66,QUE009,BU010,Branch,E005257,In Use,ServiceNow CMDB,2026-05-31,2022-05-01,2027-05-01,4,1500,6.57,Warranty Expired,10.9,Expiring in 12 Months,0,1,0,0,1500,2,1,0,3,18.25,32.91,Medium
A0000048,LTP-000048,Laptop,HP,EliteBook 850 G9,LTP5PA006IWHW,2021-07-30,2021-08-01,2024-07-29,1129.58,GTA018,BU001,Production,E013656,In Use,Intune,2026-05-31,2022-05-01,2027-05-01,4,1500,4.84,Warranty Expired,10.9,Expiring in 12 Months,0,1,0,0,1500,1,0,1,3,7.92,28.4,Low
A0000049,LTP-000049,Laptop,Lenovo,ThinkPad T14 Gen 3,LTP8UB37Z3S3I,2024-06-08,2024-07-03,2028-06-07,999.48,GTA038,BU002,Production,E018077,In Use,ServiceNow CMDB,2026-05-31,2022-04-01,2027-04-01,4,1450,1.91,Under Warranty,10.0,Expiring in 12 Months,0,1,0,0,1450,0,0,0,4,10.14,26.51,Low
A0000050,LTP-000050,Laptop,Dell,Latitude 5430,LTPC3PAKMGTX9,2021-07-27,2021-09-07,2025-07-26,957.2,WST013,BU006,Disaster Recovery,E004078,In Use,ServiceNow CMDB,2026-05-31,2022-03-01,2029-03-01,4,1350,4.73,Warranty Expired,33.0,Expiring in 36 Months,0,0,0,1,1350,0,0,0,7,37.42,20.87,Low
A0000051,LTP-000051,Laptop,Lenovo,ThinkPad T14 Gen 2,LTPMDFHYDKKQX,2022-08-26,2022-09-09,2026-08-25,1197.86,GTA070,BU002,Branch,E021717,In Use,ServiceNow CMDB,2026-05-31,2021-02-01,2027-09-01,4,1300,3.73,Under Warranty,15.0,Expiring in 24 Months,0,0,1,0,1300,1,0,1,4,25.28,23.26,Low
A0000052,LTP-000052,Laptop,Apple,MacBook Pro M2,LTPNPYDNW8T5Y,2021-12-22,2022-02-03,2024-12-21,1960.41,QUE002,BU001,Production,E004732,In Use,ServiceNow CMDB,2026-05-31,2022-10-01,2028-10-01,4,2300,4.33,Warranty Expired,28.0,Expiring in 36 Months,0,0,0,1,2300,2,1,0,3,12.59,19.63,Low
A0000053,LTP-000053,Laptop,Dell,Latitude 5420,LTPNPVDICW7U9,2021-10-04,2021-10-06,2025-10-03,879.57,GTA047,BU003,Corporate,E017761,In Use,Intune,2026-05-31,2021-03-01,2027-06-01,4,1250,4.65,Warranty Expired,12.0,Expiring in 12 Months,0,1,0,0,1250,0,0,0,3,18.12,24.91,Low
A0000054,LTP-000054,Laptop,Dell,Latitude 5430,LTPFNDB43ZY9Z,2020-02-19,2020-03-19,2023-02-18,1147.67,ONR005,BU001,Branch,E014039,In Use,ServiceNow CMDB,2026-05-31,2022-03-01,2029-03-01,4,1350,6.2,Warranty Expired,33.0,Expiring in 36 Months,0,0,0,1,1350,2,0,1,7,60.66,26.03,Low
A0000055,LTP-000055,Laptop,Lenovo,ThinkPad T14 Gen 3,LTPCBEU79CPO9,2022-04-18,2022-05-03,2025-04-17,962.76,ATL005,BU009,Production,E020151,In Use,ServiceNow CMDB,2026-05-31,2022-04-01,2027-04-01,4,1450,4.08,Warranty Expired,10.0,Expiring in 12 Months,0,1,0,0,1450,0,0,0,4,17.13,26.86,Low
A0000056,LTP-000056,Laptop,Dell,Latitude 5430,LTP3QLMTY08Q4,2018-05-04,2018-06-03,2021-05-03,1024.5,ONR012,BU001,Branch,E008273,In Use,ServiceNow CMDB,2026-05-31,2022-03-01,2029-03-01,4,1350,8.0,Warranty Expired,33.0,Expiring in 36 Months,0,0,0,1,1350,0,0,0,5,32.97,16.65,Low
A0000057,LTP-000057,Laptop,HP,EliteBook 850 G9,LTPAGBZZCN9RW,2024-11-08,2024-12-19,2027-11-08,1044.64,WST011,BU002,Branch,E020376,In Use,ServiceNow CMDB,2026-05-31,2022-05-01,2027-05-01,4,1500,1.45,Under Warranty,10.9,Expiring in 12 Months,0,1,0,0,1500,0,0,0,2,17.8,22.89,Low
A0000058,LTP-000058,Laptop,Dell,Latitude 5420,LTPE3NFY2OGVO,2020-07-17,2020-08-20,2023-07-17,831.25,QUE024,BU004,Production,E016093,In Use,ServiceNow CMDB,2026-05-31,2021-03-01,2027-06-01,4,1250,5.78,Warranty Expired,12.0,Expiring in 12 Months,0,1,0,0,1250,1,1,0,5,28.99,37.45,Medium
A0000059,LTP-000059,Laptop,Dell,Latitude 7440,LTP1EIAVF75II,2019-10-22,2019-11-03,2024-10-20,1274.85,GTA021,BU008,Branch,E013943,In Use,Intune,2026-05-31,2023-05-01,2029-05-01,4,1650,6.58,Warranty Expired,35.0,Expiring in 36 Months,0,0,0,1,1650,0,0,0,1,5.95,7.3,Low
A0000060,LTP-000060,Laptop,Lenovo,ThinkPad T14 Gen 3,LTPIGF77ZDP5J,2020-03-04,2020-04-02,2024-03-03,1105.37,WST002,BU004,Corporate,E003549,In Use,ServiceNow CMDB,2026-05-31,2022-04-01,2027-04-01,4,1450,6.17,Warranty Expired,10.0,Expiring in 12 Months,0,1,0,0,1450,0,0,0,1,5.32,20.27,Low
A0000061,LTP-000061,Laptop,Dell,Latitude 7440,LTPLXG0405U4Y,2024-10-29,2024-11-04,2028-10-28,1361.29,QUE020,BU009,Production,E001512,In Stock,ServiceNow CMDB,2026-05-31,2023-05-01,2029-05-01,4,1650,1.57,Under Warranty,35.0,Expiring in 36 Months,0,0,0,1,1650,0,0,0,5,26.81,16.34,Low
A0000062,LTP-000062,Laptop,Dell,Latitude 5430,LTPOI9D8I9S7V,2022-04-15,2022-05-11,2027-04-14,999.86,GTA039,BU004,Corporate,E003679,In Use,SCCM,2026-05-31,2022-03-01,2029-03-01,4,1350,4.06,Under Warranty,33.0,Expiring in 36 Months,0,0,0,1,1350,0,0,0,6,25.08,18.25,Low
A0000063,LTP-000063,Laptop,HP,EliteBook 840 G8,LTPRAJL4ZAOWM,2020-07-31,2020-08-02,2023-07-31,971.84,GTA014,BU001,Branch,E004435,In Use,ServiceNow CMDB,2026-05-31,2021-01-01,2026-01-01,4,1300,5.83,Warranty Expired,-5.0,Past EOL,1,0,0,0,1300,2,0,1,4,30.28,48.51,Medium
A0000064,LTP-000064,Laptop,HP,EliteBook 840 G8,LTPXKLJ9VUCJK,2024-05-04,2024-05-08,2027-05-04,1118.89,ONR014,BU006,Branch,E021504,In Use,ServiceNow CMDB,2026-05-31,2021-01-01,2026-01-01,4,1300,2.07,Under Warranty,-5.0,Past EOL,1,0,0,0,1300,2,0,0,2,18.28,39.91,Medium
A0000065,LTP-000065,Laptop,Lenovo,ThinkPad T14 Gen 2,LTPBLMCOT8XMZ,2020-01-23,2020-02-10,2024-01-22,1064.17,GTA044,BU002,Production,E006781,In Use,ServiceNow CMDB,2026-05-31,2021-02-01,2027-09-01,4,1300,6.31,Warranty Expired,15.0,Expiring in 24 Months,0,0,1,0,1300,1,0,0,3,17.52,16.88,Low
A0000066,LTP-000066,Laptop,HP,EliteBook 840 G8,LTPQG4CXR8CPC,2024-09-24,2024-10-14,2027-09-24,1040.32,GTA006,BU004,Non-Production,E001752,In Stock,ServiceNow CMDB,2026-05-31,2021-01-01,2026-01-01,4,1300,1.63,Under Warranty,-5.0,Past EOL,1,0,0,0,1300,0,0,0,2,19.67,39.98,Medium
A0000067,LTP-000067,Laptop,Lenovo,ThinkPad T14 Gen 3,LTP5UK04BNFP8,2018-02-06,2018-02-18,2022-02-05,1045.14,DC2001,BU001,Branch,E007361,Retired Pending Disposal,SCCM,2026-05-31,2022-04-01,2027-04-01,4,1450,8.28,Warranty Expired,10.0,Expiring in 12 Months,0,1,0,0,1450,1,0,0,5,37.09,29.85,Low
A0000068,LTP-000068,Laptop,Dell,Latitude 5430,LTPWZAVJMQAYN,2021-06-07,2021-06-16,2025-06-06,1169.6,GTA065,BU010,Corporate,E000639,In Use,ServiceNow CMDB,2026-05-31,2022-03-01,2029-03-01,4,1350,4.96,Warranty Expired,33.0,Expiring in 36 Months,0,0,0,1,1350,2,1,0,6,47.48,27.37,Low
A0000069,LTP-000069,Laptop,Apple,MacBook Pro M2,LTPZYS5X16C1O,2018-10-23,2018-12-03,2023-10-22,1896.15,GTA071,BU003,Production,E010353,In Use,SCCM,2026-05-31,2022-10-01,2028-10-01,4,2300,7.5,Warranty Expired,28.0,Expiring in 36 Months,0,0,0,1,2300,0,0,0,5,38.54,16.93,Low
A0000070,LTP-000070,Laptop,HP,EliteBook 850 G9,LTPHJ1NYAELPY,2023-01-23,2023-02-21,2026-01-22,1156.85,GTA028,BU007,Corporate,E011447,In Use,ServiceNow CMDB,2026-05-31,2022-05-01,2027-05-01,4,1500,3.28,Warranty Expired,10.9,Expiring in 12 Months,0,1,0,0,1500,0,0,0,2,4.9,22.24,Low
A0000071,LTP-000071,Laptop,Apple,MacBook Pro M2,LTP5ZWRLUUQLM,2018-11-26,2018-12-15,2021-11-25,1775.25,ATL003,BU008,Production,E004420,In Use,ServiceNow CMDB,2026-05-31,2022-10-01,2028-10-01,4,2300,7.46,Warranty Expired,28.0,Expiring in 36 Months,0,0,0,1,2300,1,0,0,5,50.95,17.55,Low
A0000072,LTP-000072,Laptop,Apple,MacBook Pro M2,LTPZRDX5FKBHO,2021-03-28,2021-04-30,2024-03-27,1964.74,TOR003,BU002,Corporate,E014273,In Use,ServiceNow CMDB,2026-05-31,2022-10-01,2028-10-01,4,2300,5.09,Warranty Expired,28.0,Expiring in 36 Months,0,0,0,1,2300,0,0,0,5,33.1,16.66,Low
