Installation_ID,Asset_ID,Publisher,Software_Name,Software_Version,Install_Date,Discovery_Source,License_Metric,Last_Seen_Date
SWI00000053,A0000010,Microsoft,Windows 10 Enterprise,22H2,2020-09-27,Intune,Device,2026-05-31
SWI00000054,A0000010,Microsoft,OneDrive,24.x,2020-09-27,Intune,User,2026-05-31
SWI00000055,A0000011,Mozilla,Firefox ESR,115,2019-03-16,SCCM,Enterprise,2026-05-31
SWI00000056,A0000011,Microsoft,Microsoft Teams Classic,1.6,2019-03-16,SCCM,User,2026-05-31
SWI00000057,A0000011,Microsoft,Windows 10 Enterprise,22H2,2019-03-16,Tanium,Open Source,2026-05-31
SWI00000058,A0000011,Microsoft,Microsoft Teams Classic,1.6,2019-03-16,SCCM,Open Source,2026-05-31
SWI00000059,A0000011,Microsoft,Microsoft 365 Apps for Enterprise,Current Channel,2019-03-16,SCCM,User,2026-05-31
SWI00000060,A0000011,Python Software Foundation,Python,3.8,2019-03-16,Tanium,Device,2026-05-31
SWI00000061,A0000011,Tableau,Tableau Desktop,2023.3,2019-03-16,SCCM,Open Source,2026-05-31
SWI00000062,A0000011,Python Software Foundation,Python,3.10,2019-03-16,Intune,User,2026-05-31
SWI00000063,A0000011,Microsoft,Power BI Desktop,2024,2019-03-16,Tanium,User,2026-05-31
SWI00000064,A0000011,Anaconda,Anaconda Distribution,2023.09,2019-03-16,SCCM,Device,2026-05-31
SWI00000065,A0000012,Mozilla,Firefox ESR,115,2021-10-23,SCCM,User,2026-05-31
SWI00000066,A0000012,Microsoft,Microsoft Teams Classic,1.6,2021-10-23,SCCM,Open Source,2026-05-31
SWI00000067,A0000012,Google,Google Chrome,124,2021-10-23,SCCM,Open Source,2026-05-31
SWI00000068,A0000012,Adobe,Adobe Acrobat Pro 2020,20,2021-10-23,SCCM,Enterprise,2026-05-31
SWI00000069,A0000012,Microsoft,Windows 11 Enterprise,23H2,2021-10-23,Intune,Enterprise,2026-05-31
SWI00000070,A0000013,Microsoft,Windows 11 Enterprise,23H2,2023-12-13,SCCM,Device,2026-05-31
SWI00000071,A0000013,Microsoft,Microsoft Teams Classic,1.6,2023-12-13,SCCM,Device,2026-05-31
SWI00000072,A0000013,Microsoft,Windows 10 Enterprise,22H2,2023-12-13,Server Discovery,User,2026-05-31
SWI00000073,A0000013,Microsoft,Microsoft 365 Apps for Enterprise,Current Channel,2023-12-13,SCCM,Open Source,2026-05-31
SWI00000074,A0000013,Adobe,Adobe Acrobat Pro 2020,20,2023-12-13,SCCM,Enterprise,2026-05-31
SWI00000075,A0000013,Docker,Docker Desktop,4.28,2023-12-13,SCCM,Open Source,2026-05-31
SWI00000076,A0000013,Microsoft,Power BI Desktop,2024,2023-12-13,SCCM,Open Source,2026-05-31
SWI00000077,A0000013,Python Software Foundation,Python,3.10,2023-12-13,SCCM,Enterprise,2026-05-31
SWI00000078,A0000014,Microsoft,Microsoft 365 Apps for Enterprise,Current Channel,2018-01-19,SCCM,Device,2026-05-31
SWI00000079,A0000014,Mozilla,Firefox ESR,115,2018-01-19,Intune,User,2026-05-31
SWI00000080,A0000014,Microsoft,Microsoft 365 Apps for Enterprise,Current Channel,2018-01-19,Tanium,Device,2026-05-31
SWI00000081,A0000014,Microsoft,Microsoft Teams Classic,1.6,2018-01-19,Intune,Enterprise,2026-05-31
SWI00000082,A0000014,Adobe,Adobe Acrobat Pro 2020,20,2018-01-19,SCCM,Enterprise,2026-05-31
SWI00000083,A0000015,Microsoft,Microsoft Teams Classic,1.6,2021-06-29,Intune,Device,2026-05-31
SWI00000084,A0000015,Adobe,Adobe Acrobat Pro 2020,20,2021-06-29,Intune,Device,2026-05-31
SWI00000085,A0000015,Microsoft,OneDrive,24.x,2021-06-29,SCCM,Device,2026-05-31
SWI00000086,A0000015,Microsoft,Microsoft Teams Classic,1.6,2021-06-29,SCCM,Device,2026-05-31
SWI00000087,A0000015,Google,Google Chrome,124,2021-06-29,Intune,Enterprise,2026-05-31
SWI00000088,A0000016,Microsoft,Microsoft 365 Apps for Enterprise,Current Channel,2018-05-26,SCCM,Device,2026-05-31
SWI00000089,A0000016,Mozilla,Firefox ESR,115,2018-05-26,SCCM,Device,2026-05-31
SWI00000090,A0000016,Microsoft,Windows 11 Enterprise,23H2,2018-05-26,SCCM,Open Source,2026-05-31
SWI00000091,A0000016,Microsoft,OneDrive,24.x,2018-05-26,SCCM,User,2026-05-31
SWI00000092,A0000016,Microsoft,Windows 10 Enterprise,22H2,2018-05-26,SCCM,Device,2026-05-31
SWI00000093,A0000017,Microsoft,Windows 11 Enterprise,23H2,2021-01-19,SCCM,Device,2026-05-31
SWI00000094,A0000017,Microsoft,Microsoft 365 Apps for Enterprise,Current Channel,2021-01-19,SCCM,Device,2026-05-31
SWI00000095,A0000017,Adobe,Adobe Acrobat Pro 2020,20,2021-01-19,Intune,Enterprise,2026-05-31
SWI00000096,A0000017,Google,Google Chrome,124,2021-01-19,SCCM,Device,2026-05-31
SWI00000097,A0000017,Mozilla,Firefox ESR,115,2021-01-19,Tanium,Device,2026-05-31
SWI00000098,A0000018,Microsoft,Windows 11 Enterprise,23H2,2020-08-30,Intune,Device,2026-05-31
SWI00000099,A0000018,Mozilla,Firefox ESR,115,2020-08-30,SCCM,Device,2026-05-31
SWI00000100,A0000018,Mozilla,Firefox ESR,115,2020-08-30,Intune,Enterprise,2026-05-31
SWI00000101,A0000018,Microsoft,OneDrive,24.x,2020-08-30,Tanium,User,2026-05-31
SWI00000102,A0000018,Microsoft,Microsoft 365 Apps for Enterprise,Current Channel,2020-08-30,SCCM,Device,2026-05-31
SWI00000103,A0000019,Microsoft,Microsoft Teams Classic,1.6,2023-07-06,SCCM,User,2026-05-31
SWI00000104,A0000019,Microsoft,OneDrive,24.x,2023-07-06,SCCM,Enterprise,2026-05-31
SWI00000105,A0000019,Mozilla,Firefox ESR,115,2023-07-06,Intune,Device,2026-05-31
SWI00000106,A0000019,Adobe,Adobe Acrobat Pro 2020,20,2023-07-06,SCCM,User,2026-05-31
SWI00000107,A0000019,Microsoft,Microsoft 365 Apps for Enterprise,Current Channel,2023-07-06,SCCM,Enterprise,2026-05-31
SWI00000108,A0000020,Adobe,Adobe Acrobat Pro 2020,20,2019-10-04,SCCM,User,2026-05-31
SWI00000109,A0000020,Microsoft,Microsoft 365 Apps for Enterprise,Current Channel,2019-10-04,Tanium,User,2026-05-31
SWI00000110,A0000020,Microsoft,Windows 11 Enterprise,23H2,2019-10-04,Intune,Enterprise,2026-05-31
SWI00000111,A0000020,Mozilla,Firefox ESR,115,2019-10-04,SCCM,Open Source,2026-05-31
SWI00000112,A0000020,Mozilla,Firefox ESR,115,2019-10-04,SCCM,User,2026-05-31
SWI00000113,A0000020,Microsoft,.NET,8,2019-10-04,Server Discovery,User,2026-05-31
SWI00000114,A0000020,Git,Git,2.43,2019-10-04,SCCM,Enterprise,2026-05-31
SWI00000115,A0000021,Microsoft,OneDrive,24.x,2023-09-16,Intune,Device,2026-05-31
SWI00000116,A0000021,Adobe,Adobe Acrobat Pro 2020,20,2023-09-16,SCCM,Open Source,2026-05-31
SWI00000117,A0000021,Microsoft,Microsoft 365 Apps for Enterprise,Current Channel,2023-09-16,SCCM,User,2026-05-31
SWI00000118,A0000021,Adobe,Adobe Acrobat Pro 2020,20,2023-09-16,SCCM,User,2026-05-31
SWI00000119,A0000021,Microsoft,Microsoft Teams Classic,1.6,2023-09-16,Intune,Device,2026-05-31
SWI00000120,A0000022,Microsoft,OneDrive,24.x,2020-06-08,SCCM,Open Source,2026-05-31
SWI00000121,A0000022,Google,Google Chrome,124,2020-06-08,Tanium,Open Source,2026-05-31
SWI00000122,A0000022,Microsoft,OneDrive,24.x,2020-06-08,SCCM,Device,2026-05-31
SWI00000123,A0000022,Google,Google Chrome,124,2020-06-08,SCCM,Enterprise,2026-05-31
SWI00000124,A0000022,Microsoft,Microsoft 365 Apps for Enterprise,Current Channel,2020-06-08,SCCM,Open Source,2026-05-31
SWI00000125,A0000022,Microsoft,.NET,6,2020-06-08,SCCM,User,2026-05-31
SWI00000126,A0000022,Microsoft,Power BI Desktop,2024,2020-06-08,SCCM,Open Source,2026-05-31
SWI00000127,A0000022,Anaconda,Anaconda Distribution,2023.09,2020-06-08,SCCM,User,2026-05-31
SWI00000128,A0000022,OpenJS Foundation,Node.js,16,2020-06-08,Intune,Device,2026-05-31
SWI00000129,A0000022,Microsoft,.NET,6,2020-06-08,Server Discovery,Enterprise,2026-05-31
SWI00000130,A0000023,Mozilla,Firefox ESR,115,2024-03-04,SCCM,Open Source,2026-05-31
SWI00000131,A0000023,Mozilla,Firefox ESR,115,2024-03-04,Intune,Enterprise,2026-05-31
SWI00000132,A0000023,Microsoft,OneDrive,24.x,2024-03-04,SCCM,User,2026-05-31
SWI00000133,A0000023,Microsoft,OneDrive,24.x,2024-03-04,Intune,Device,2026-05-31
SWI00000134,A0000023,Microsoft,Windows 10 Enterprise,22H2,2024-03-04,Server Discovery,Device,2026-05-31
SWI00000135,A0000024,Microsoft,OneDrive,24.x,2021-03-24,SCCM,Device,2026-05-31
SWI00000136,A0000024,Google,Google Chrome,124,2021-03-24,SCCM,User,2026-05-31
SWI00000137,A0000024,Mozilla,Firefox ESR,115,2021-03-24,SCCM,Device,2026-05-31
SWI00000138,A0000024,Microsoft,Microsoft Teams Classic,1.6,2021-03-24,Intune,Enterprise,2026-05-31
SWI00000139,A0000024,Microsoft,Windows 10 Enterprise,22H2,2021-03-24,Server Discovery,Enterprise,2026-05-31
SWI00000140,A0000024,IBM,IBM SPSS Statistics,29,2021-03-24,Tanium,Device,2026-05-31
SWI00000141,A0000024,Microsoft,.NET,6,2021-03-24,Intune,Open Source,2026-05-31
SWI00000142,A0000024,Microsoft,Power BI Desktop,2024,2021-03-24,Tanium,User,2026-05-31
SWI00000143,A0000024,Tableau,Tableau Desktop,2023.3,2021-03-24,Intune,Enterprise,2026-05-31
SWI00000144,A0000024,IBM,IBM SPSS Statistics,29,2021-03-24,Tanium,Device,2026-05-31
SWI00000145,A0000025,Microsoft,OneDrive,24.x,2020-11-29,SCCM,Enterprise,2026-05-31
SWI00000146,A0000025,Microsoft,Windows 11 Enterprise,23H2,2020-11-29,Intune,Device,2026-05-31
SWI00000147,A0000025,Microsoft,Windows 11 Enterprise,23H2,2020-11-29,SCCM,Device,2026-05-31
SWI00000148,A0000025,Microsoft,Microsoft 365 Apps for Enterprise,Current Channel,2020-11-29,SCCM,User,2026-05-31
SWI00000149,A0000025,Microsoft,Microsoft 365 Apps for Enterprise,Current Channel,2020-11-29,SCCM,Open Source,2026-05-31
SWI00000150,A0000026,Adobe,Adobe Acrobat Pro 2020,20,2019-08-24,Tanium,Open Source,2026-05-31
SWI00000151,A0000026,Microsoft,OneDrive,24.x,2019-08-24,Intune,User,2026-05-31
SWI00000152,A0000026,Adobe,Adobe Acrobat Pro 2020,20,2019-08-24,SCCM,User,2026-05-31
SWI00000153,A0000026,Microsoft,Windows 10 Enterprise,22H2,2019-08-24,Intune,Enterprise,2026-05-31
SWI00000154,A0000026,Adobe,Adobe Acrobat Pro 2020,20,2019-08-24,Tanium,Device,2026-05-31
SWI00000155,A0000027,Microsoft,Windows 11 Enterprise,23H2,2021-02-09,SCCM,User,2026-05-31
SWI00000156,A0000027,Adobe,Adobe Acrobat Pro 2020,20,2021-02-09,SCCM,User,2026-05-31
SWI00000157,A0000027,Mozilla,Firefox ESR,115,2021-02-09,Intune,Device,2026-05-31
SWI00000158,A0000027,Google,Google Chrome,124,2021-02-09,Tanium,Open Source,2026-05-31
SWI00000159,A0000027,Microsoft,OneDrive,24.x,2021-02-09,SCCM,User,2026-05-31
SWI00000160,A0000028,Microsoft,Microsoft Teams Classic,1.6,2024-06-12,Intune,Enterprise,2026-05-31
SWI00000161,A0000028,Microsoft,Windows 10 Enterprise,22H2,2024-06-12,SCCM,User,2026-05-31
SWI00000162,A0000028,Microsoft,Windows 11 Enterprise,23H2,2024-06-12,SCCM,Enterprise,2026-05-31
SWI00000163,A0000028,Microsoft,Microsoft Teams Classic,1.6,2024-06-12,SCCM,Enterprise,2026-05-31
SWI00000164,A0000028,Adobe,Adobe Acrobat Pro 2020,20,2024-06-12,Tanium,User,2026-05-31
SWI00000165,A0000029,Microsoft,OneDrive,24.x,2018-05-30,SCCM,User,2026-05-31
SWI00000166,A0000029,Mozilla,Firefox ESR,115,2018-05-30,Intune,Enterprise,2026-05-31
SWI00000167,A0000029,Adobe,Adobe Acrobat Pro 2020,20,2018-05-30,Intune,User,2026-05-31
SWI00000168,A0000029,Adobe,Adobe Acrobat Pro 2020,20,2018-05-30,Tanium,Open Source,2026-05-31
SWI00000169,A0000029,Microsoft,Microsoft Teams Classic,1.6,2018-05-30,Intune,User,2026-05-31
SWI00000170,A0000030,Microsoft,Windows 11 Enterprise,23H2,2024-04-12,SCCM,Open Source,2026-05-31
SWI00000171,A0000030,Google,Google Chrome,124,2024-04-12,SCCM,Enterprise,2026-05-31
SWI00000172,A0000030,Microsoft,Microsoft Teams Classic,1.6,2024-04-12,Tanium,User,2026-05-31
SWI00000173,A0000030,Microsoft,Microsoft Teams Classic,1.6,2024-04-12,SCCM,User,2026-05-31
SWI00000174,A0000030,Google,Google Chrome,124,2024-04-12,SCCM,Device,2026-05-31
SWI00000175,A0000031,Microsoft,Windows 10 Enterprise,22H2,2020-03-07,Server Discovery,Open Source,2026-05-31
SWI00000176,A0000031,Microsoft,Windows 11 Enterprise,23H2,2020-03-07,Server Discovery,Device,2026-05-31
SWI00000177,A0000031,Microsoft,Windows 11 Enterprise,23H2,2020-03-07,SCCM,User,2026-05-31
SWI00000178,A0000031,Microsoft,Microsoft Teams Classic,1.6,2020-03-07,SCCM,User,2026-05-31
SWI00000179,A0000031,Microsoft,Windows 11 Enterprise,23H2,2020-03-07,SCCM,Open Source,2026-05-31
SWI00000180,A0000032,Microsoft,Windows 10 Enterprise,22H2,2022-03-17,Intune,Enterprise,2026-05-31
SWI00000181,A0000032,Adobe,Adobe Acrobat Pro 2020,20,2022-03-17,Intune,User,2026-05-31
SWI00000182,A0000032,Microsoft,OneDrive,24.x,2022-03-17,Intune,Device,2026-05-31
SWI00000183,A0000032,Mozilla,Firefox ESR,115,2022-03-17,Intune,Device,2026-05-31
SWI00000184,A0000032,Microsoft,Windows 11 Enterprise,23H2,2022-03-17,Intune,Device,2026-05-31
SWI00000185,A0000033,Microsoft,Microsoft Teams Classic,1.6,2022-08-06,Tanium,Device,2026-05-31
SWI00000186,A0000033,Google,Google Chrome,124,2022-08-06,Intune,Device,2026-05-31
SWI00000187,A0000033,Google,Google Chrome,124,2022-08-06,SCCM,Open Source,2026-05-31
SWI00000188,A0000033,Microsoft,OneDrive,24.x,2022-08-06,SCCM,Device,2026-05-31
SWI00000189,A0000033,Microsoft,OneDrive,24.x,2022-08-06,Tanium,Device,2026-05-31
SWI00000190,A0000033,Microsoft,Visual Studio Code,1.90,2022-08-06,SCCM,Open Source,2026-05-31
SWI00000191,A0000033,Git,Git,2.43,2022-08-06,SCCM,User,2026-05-31
SWI00000192,A0000033,Microsoft,.NET,8,2022-08-06,SCCM,Device,2026-05-31
SWI00000193,A0000034,Microsoft,Microsoft 365 Apps for Enterprise,Current Channel,2021-04-07,SCCM,Device,2026-05-31
SWI00000194,A0000034,Microsoft,OneDrive,24.x,2021-04-07,SCCM,User,2026-05-31
SWI00000195,A0000034,Microsoft,OneDrive,24.x,2021-04-07,Server Discovery,User,2026-05-31
SWI00000196,A0000034,Adobe,Adobe Acrobat Pro 2020,20,2021-04-07,Intune,Enterprise,2026-05-31
SWI00000197,A0000034,Microsoft,Windows 10 Enterprise,22H2,2021-04-07,Intune,Device,2026-05-31
SWI00000198,A0000034,OpenJS Foundation,Node.js,18,2021-04-07,SCCM,Enterprise,2026-05-31
SWI00000199,A0000034,Jenkins,Jenkins,2.401 LTS,2021-04-07,SCCM,Device,2026-05-31
SWI00000200,A0000034,OpenJS Foundation,Node.js,18,2021-04-07,SCCM,Enterprise,2026-05-31
SWI00000201,A0000034,Microsoft,Power BI Desktop,2024,2021-04-07,SCCM,User,2026-05-31
SWI00000202,A0000035,Adobe,Adobe Acrobat Pro 2020,20,2020-01-01,SCCM,Device,2026-05-31
SWI00000203,A0000035,Microsoft,Microsoft 365 Apps for Enterprise,Current Channel,2020-01-01,SCCM,Enterprise,2026-05-31
SWI00000204,A0000035,Microsoft,Microsoft Teams Classic,1.6,2020-01-01,SCCM,Open Source,2026-05-31
SWI00000205,A0000035,Microsoft,Microsoft Teams Classic,1.6,2020-01-01,SCCM,Device,2026-05-31
SWI00000206,A0000035,Microsoft,Microsoft Teams Classic,1.6,2020-01-01,SCCM,Enterprise,2026-05-31
SWI00000207,A0000036,Microsoft,Microsoft Teams Classic,1.6,2020-11-30,SCCM,Device,2026-05-31
SWI00000208,A0000036,Adobe,Adobe Acrobat Pro 2020,20,2020-11-30,SCCM,User,2026-05-31
SWI00000209,A0000036,Google,Google Chrome,124,2020-11-30,SCCM,Open Source,2026-05-31
SWI00000210,A0000036,Microsoft,Windows 10 Enterprise,22H2,2020-11-30,Tanium,Device,2026-05-31
SWI00000211,A0000036,Microsoft,Microsoft 365 Apps for Enterprise,Current Channel,2020-11-30,Server Discovery,Device,2026-05-31
SWI00000212,A0000037,Microsoft,Microsoft 365 Apps for Enterprise,Current Channel,2019-07-14,SCCM,Device,2026-05-31
SWI00000213,A0000037,Microsoft,OneDrive,24.x,2019-07-14,SCCM,Device,2026-05-31
SWI00000214,A0000037,Microsoft,Microsoft Teams Classic,1.6,2019-07-14,Tanium,User,2026-05-31
SWI00000215,A0000037,Mozilla,Firefox ESR,115,2019-07-14,SCCM,Device,2026-05-31
SWI00000216,A0000037,Google,Google Chrome,124,2019-07-14,SCCM,Device,2026-05-31
SWI00000217,A0000038,Microsoft,OneDrive,24.x,2020-04-21,SCCM,Device,2026-05-31
SWI00000218,A0000038,Microsoft,Windows 10 Enterprise,22H2,2020-04-21,Intune,Open Source,2026-05-31
SWI00000219,A0000038,Microsoft,OneDrive,24.x,2020-04-21,SCCM,Device,2026-05-31
SWI00000220,A0000038,Mozilla,Firefox ESR,115,2020-04-21,SCCM,Device,2026-05-31
SWI00000221,A0000038,Microsoft,OneDrive,24.x,2020-04-21,SCCM,Open Source,2026-05-31
SWI00000222,A0000039,Mozilla,Firefox ESR,115,2021-10-23,SCCM,Open Source,2026-05-31
SWI00000223,A0000039,Mozilla,Firefox ESR,115,2021-10-23,SCCM,User,2026-05-31
SWI00000224,A0000039,Microsoft,Windows 11 Enterprise,23H2,2021-10-23,SCCM,Enterprise,2026-05-31
SWI00000225,A0000039,Microsoft,Microsoft 365 Apps for Enterprise,Current Channel,2021-10-23,SCCM,Enterprise,2026-05-31
SWI00000226,A0000039,Mozilla,Firefox ESR,115,2021-10-23,Tanium,Device,2026-05-31
SWI00000227,A0000040,Mozilla,Firefox ESR,115,2019-06-10,Tanium,Enterprise,2026-05-31
SWI00000228,A0000040,Mozilla,Firefox ESR,115,2019-06-10,SCCM,Device,2026-05-31
SWI00000229,A0000040,Microsoft,Microsoft Teams Classic,1.6,2019-06-10,SCCM,User,2026-05-31
SWI00000230,A0000040,Microsoft,Windows 10 Enterprise,22H2,2019-06-10,Intune,User,2026-05-31
SWI00000231,A0000040,Microsoft,Microsoft 365 Apps for Enterprise,Current Channel,2019-06-10,Intune,Enterprise,2026-05-31
SWI00000232,A0000041,Microsoft,Microsoft Teams Classic,1.6,2022-04-10,SCCM,Open Source,2026-05-31
SWI00000233,A0000041,Microsoft,OneDrive,24.x,2022-04-10,Tanium,User,2026-05-31
SWI00000234,A0000041,Microsoft,OneDrive,24.x,2022-04-10,SCCM,Device,2026-05-31
SWI00000235,A0000041,Google,Google Chrome,124,2022-04-10,Server Discovery,Enterprise,2026-05-31
SWI00000236,A0000041,Microsoft,OneDrive,24.x,2022-04-10,Intune,User,2026-05-31
SWI00000237,A0000041,OpenJS Foundation,Node.js,16,2022-04-10,Intune,Open Source,2026-05-31
SWI00000238,A0000041,OpenJS Foundation,Node.js,18,2022-04-10,SCCM,Enterprise,2026-05-31
SWI00000239,A0000041,OpenJS Foundation,Node.js,18,2022-04-10,Server Discovery,Device,2026-05-31
SWI00000240,A0000041,IBM,IBM SPSS Statistics,29,2022-04-10,SCCM,User,2026-05-31
SWI00000241,A0000042,Mozilla,Firefox ESR,115,2022-07-03,Intune,Open Source,2026-05-31
SWI00000242,A0000042,Google,Google Chrome,124,2022-07-03,Tanium,Open Source,2026-05-31
SWI00000243,A0000042,Microsoft,Windows 10 Enterprise,22H2,2022-07-03,SCCM,User,2026-05-31
SWI00000244,A0000042,Adobe,Adobe Acrobat Pro 2020,20,2022-07-03,SCCM,Device,2026-05-31
SWI00000245,A0000042,Mozilla,Firefox ESR,115,2022-07-03,Intune,Open Source,2026-05-31
SWI00000246,A0000042,Anaconda,Anaconda Distribution,2023.09,2022-07-03,SCCM,Open Source,2026-05-31
SWI00000247,A0000042,Atlassian,Bitbucket Data Center,8,2022-07-03,SCCM,Enterprise,2026-05-31
SWI00000248,A0000042,Anaconda,Anaconda Distribution,2023.09,2022-07-03,SCCM,Device,2026-05-31
SWI00000249,A0000042,Tableau,Tableau Desktop,2023.3,2022-07-03,Server Discovery,User,2026-05-31
SWI00000250,A0000042,Microsoft,.NET,6,2022-07-03,Server Discovery,Open Source,2026-05-31
SWI00000251,A0000043,Microsoft,OneDrive,24.x,2021-10-26,SCCM,Device,2026-05-31
SWI00000252,A0000043,Microsoft,Windows 11 Enterprise,23H2,2021-10-26,SCCM,Device,2026-05-31
SWI00000253,A0000043,Mozilla,Firefox ESR,115,2021-10-26,SCCM,Enterprise,2026-05-31
SWI00000254,A0000043,Microsoft,OneDrive,24.x,2021-10-26,SCCM,Enterprise,2026-05-31
SWI00000255,A0000043,Microsoft,Microsoft 365 Apps for Enterprise,Current Channel,2021-10-26,SCCM,User,2026-05-31
SWI00000256,A0000044,Adobe,Adobe Acrobat Pro 2020,20,2022-07-13,Server Discovery,Open Source,2026-05-31
