Resource_ID,Cloud_Platform,Service_Name,Subscription_ID,Resource_Group,Creation_Date,Business_Unit_ID,Environment,Resource_Type
CLOUD000044,Azure,Azure Data Factory,SUB-004,rg-043,2019-01-27,BU008,Production,VM
CLOUD000045,Azure,Virtual Machines,SUB-005,rg-044,2020-04-19,BU002,Non-Production,Data Pipeline
CLOUD000046,Azure,Virtual Machines,SUB-006,rg-045,2019-01-01,BU001,Non-Production,Data Pipeline
CLOUD000047,Azure,S3,SUB-007,rg-046,2022-11-11,BU002,Production,Database
CLOUD000048,AWS,S3,SUB-008,rg-047,2020-01-25,BU002,Production,Container
CLOUD000049,AWS,S3,SUB-009,rg-048,2025-12-04,BU010,Non-Production,Database
CLOUD000050,Azure,RDS,SUB-010,rg-049,2021-09-28,BU002,Non-Production,Data Pipeline
CLOUD000051,Azure,Azure Kubernetes Service,SUB-011,rg-050,2019-09-24,BU002,Non-Production,VM
CLOUD000052,Azure,Virtual Machines,SUB-012,rg-051,2021-03-23,BU009,Non-Production,Container
CLOUD000053,Azure,Virtual Machines,SUB-013,rg-052,2018-06-30,BU005,Production,Data Pipeline
CLOUD000054,Azure,Azure SQL Database,SUB-014,rg-053,2018-07-01,BU002,Non-Production,Data Pipeline
CLOUD000055,Azure,S3,SUB-015,rg-054,2019-10-10,BU002,Non-Production,Container
CLOUD000056,Azure,Azure SQL Database,SUB-016,rg-055,2018-07-05,BU002,Production,Storage
CLOUD000057,AWS,Virtual Machines,SUB-017,rg-056,2022-04-06,BU002,Production,Data Pipeline
CLOUD000058,AWS,Virtual Machines,SUB-018,rg-057,2019-11-13,BU005,Production,Container
CLOUD000059,AWS,RDS,SUB-019,rg-058,2018-04-29,BU009,Production,Database
CLOUD000060,Azure,EC2,SUB-020,rg-059,2019-11-02,BU006,Production,Database
CLOUD000061,Azure,RDS,SUB-021,rg-060,2020-07-31,BU002,Production,Container
CLOUD000062,AWS,RDS,SUB-022,rg-061,2022-11-10,BU002,Production,Container
CLOUD000063,Azure,Azure Data Factory,SUB-023,rg-062,2022-01-23,BU001,Production,Container
CLOUD000064,AWS,RDS,SUB-024,rg-063,2019-03-03,BU002,Production,Container
CLOUD000065,AWS,RDS,SUB-025,rg-064,2023-07-27,BU007,Production,Database
CLOUD000066,Azure,Azure Kubernetes Service,SUB-026,rg-065,2020-03-22,BU007,Production,Data Pipeline
CLOUD000067,AWS,RDS,SUB-027,rg-066,2022-06-05,BU002,Production,Database
CLOUD000068,AWS,Virtual Machines,SUB-028,rg-067,2024-08-18,BU002,Production,Container
CLOUD000069,AWS,EKS,SUB-029,rg-068,2019-09-22,BU002,Production,Data Pipeline
CLOUD000070,Azure,RDS,SUB-030,rg-069,2025-05-28,BU003,Production,Container
CLOUD000071,AWS,EKS,SUB-031,rg-070,2019-01-29,BU007,Production,VM
CLOUD000072,Azure,Azure Kubernetes Service,SUB-032,rg-071,2022-12-22,BU009,Production,Storage
CLOUD000073,AWS,Azure Kubernetes Service,SUB-033,rg-072,2021-03-22,BU002,Production,Storage
CLOUD000074,AWS,Azure Data Factory,SUB-034,rg-073,2025-09-24,BU009,Production,Container
CLOUD000075,Azure,Azure SQL Database,SUB-035,rg-074,2021-04-14,BU007,Non-Production,Container
CLOUD000076,Azure,S3,SUB-036,rg-075,2020-06-23,BU005,Production,Data Pipeline
CLOUD000077,Azure,Azure SQL Database,SUB-037,rg-076,2022-01-23,BU002,Production,Storage
CLOUD000078,Azure,RDS,SUB-038,rg-077,2022-10-12,BU002,Production,Data Pipeline
CLOUD000079,Azure,Azure SQL Database,SUB-039,rg-078,2020-01-05,BU002,Production,VM
CLOUD000080,AWS,Azure SQL Database,SUB-040,rg-079,2023-05-11,BU002,Production,Data Pipeline
CLOUD000081,Azure,Azure Data Factory,SUB-001,rg-080,2018-08-23,BU002,Non-Production,VM
CLOUD000082,Azure,Virtual Machines,SUB-002,rg-081,2021-06-17,BU010,DR,Data Pipeline
CLOUD000083,AWS,S3,SUB-003,rg-082,2024-03-04,BU002,Production,Database
CLOUD000084,Azure,EKS,SUB-004,rg-083,2018-02-01,BU002,Production,VM
CLOUD000085,AWS,Azure Data Factory,SUB-005,rg-084,2025-12-22,BU001,Production,Storage
CLOUD000086,Azure,S3,SUB-006,rg-085,2023-09-27,BU006,Production,VM
CLOUD000087,Azure,RDS,SUB-007,rg-086,2024-03-17,BU003,Non-Production,Storage
CLOUD000088,Azure,Virtual Machines,SUB-008,rg-087,2026-01-16,BU002,Production,Data Pipeline
CLOUD000089,AWS,RDS,SUB-009,rg-088,2020-10-07,BU001,Production,Database
CLOUD000090,AWS,Azure Data Factory,SUB-010,rg-089,2024-09-30,BU001,Production,Data Pipeline
CLOUD000091,AWS,EKS,SUB-011,rg-090,2020-12-01,BU005,Non-Production,Container
CLOUD000092,Azure,Azure Kubernetes Service,SUB-012,rg-091,2018-08-05,BU005,Production,VM
CLOUD000093,Azure,EKS,SUB-013,rg-092,2020-06-02,BU010,Non-Production,VM
CLOUD000094,Azure,Azure Kubernetes Service,SUB-014,rg-093,2025-05-16,BU005,Production,Database
CLOUD000095,Azure,RDS,SUB-015,rg-094,2024-07-22,BU002,Non-Production,Storage
CLOUD000096,AWS,Virtual Machines,SUB-016,rg-095,2023-08-23,BU006,Production,Storage
CLOUD000097,Azure,Virtual Machines,SUB-017,rg-096,2022-08-04,BU002,Non-Production,Container
CLOUD000098,Azure,Virtual Machines,SUB-018,rg-097,2024-05-11,BU002,Non-Production,Storage
CLOUD000099,Azure,Azure Kubernetes Service,SUB-019,rg-098,2022-03-30,BU002,Non-Production,Storage
CLOUD000100,Azure,S3,SUB-020,rg-099,2024-06-21,BU002,Non-Production,Data Pipeline
CLOUD000101,Azure,EC2,SUB-021,rg-100,2020-08-03,BU005,DR,VM
CLOUD000102,AWS,Azure Kubernetes Service,SUB-022,rg-101,2025-01-23,BU001,Production,VM
CLOUD000103,Azure,Virtual Machines,SUB-023,rg-102,2021-10-01,BU003,Production,Storage
CLOUD000104,AWS,S3,SUB-024,rg-103,2023-03-15,BU001,DR,Storage
CLOUD000105,AWS,Virtual Machines,SUB-025,rg-104,2023-12-21,BU002,Non-Production,Storage
CLOUD000106,AWS,EKS,SUB-026,rg-105,2022-05-28,BU007,Production,Container
CLOUD000107,Azure,EKS,SUB-027,rg-106,2018-07-20,BU002,Production,Database
CLOUD000108,Azure,RDS,SUB-028,rg-107,2025-08-30,BU006,Production,VM
CLOUD000109,Azure,Azure Data Factory,SUB-029,rg-108,2024-06-24,BU002,Production,Data Pipeline
CLOUD000110,AWS,EC2,SUB-030,rg-109,2021-04-10,BU005,Production,Storage
CLOUD000111,Azure,Virtual Machines,SUB-031,rg-110,2020-09-18,BU002,DR,Data Pipeline
CLOUD000112,Azure,Virtual Machines,SUB-032,rg-111,2020-04-20,BU007,Production,Container
CLOUD000113,AWS,S3,SUB-033,rg-112,2025-11-19,BU002,Non-Production,VM
CLOUD000114,Azure,Azure Data Factory,SUB-034,rg-113,2020-08-12,BU010,Production,Data Pipeline
CLOUD000115,Azure,RDS,SUB-035,rg-114,2020-07-26,BU006,Production,VM
CLOUD000116,AWS,Azure SQL Database,SUB-036,rg-115,2019-05-01,BU002,Production,Container
CLOUD000117,AWS,Azure Data Factory,SUB-037,rg-116,2024-05-20,BU001,Non-Production,Database
CLOUD000118,Azure,Azure SQL Database,SUB-038,rg-117,2020-01-09,BU009,Non-Production,Container
CLOUD000119,Azure,S3,SUB-039,rg-118,2019-03-02,BU008,Production,VM
CLOUD000120,Azure,EC2,SUB-040,rg-119,2021-12-12,BU002,Non-Production,Database
CLOUD000121,AWS,S3,SUB-001,rg-120,2021-11-25,BU003,Production,Container
CLOUD000122,Azure,RDS,SUB-002,rg-121,2024-10-20,BU006,Production,Container
CLOUD000123,Azure,RDS,SUB-003,rg-122,2023-08-10,BU001,Production,Database
CLOUD000124,Azure,Azure Kubernetes Service,SUB-004,rg-123,2024-05-07,BU002,Production,Database
CLOUD000125,Azure,Azure Data Factory,SUB-005,rg-124,2018-04-04,BU002,Production,Container
CLOUD000126,AWS,EC2,SUB-006,rg-125,2024-08-10,BU006,DR,Container
CLOUD000127,Azure,Virtual Machines,SUB-007,rg-126,2024-02-17,BU001,Non-Production,Storage
CLOUD000128,Azure,EKS,SUB-008,rg-127,2019-01-13,BU002,Production,VM
CLOUD000129,Azure,EKS,SUB-009,rg-128,2023-11-01,BU001,Production,VM
CLOUD000130,AWS,Virtual Machines,SUB-010,rg-129,2022-02-08,BU002,Production,VM
CLOUD000131,Azure,S3,SUB-011,rg-130,2023-11-12,BU002,Non-Production,Data Pipeline
CLOUD000132,Azure,EKS,SUB-012,rg-131,2018-03-02,BU002,Production,Container
CLOUD000133,AWS,EKS,SUB-013,rg-132,2021-01-05,BU005,Production,Data Pipeline
CLOUD000134,AWS,EKS,SUB-014,rg-133,2021-03-27,BU005,Non-Production,Data Pipeline
CLOUD000135,Azure,Azure Data Factory,SUB-015,rg-134,2026-03-11,BU001,Production,Database
CLOUD000136,AWS,S3,SUB-016,rg-135,2024-08-10,BU001,Production,VM
CLOUD000137,AWS,S3,SUB-017,rg-136,2018-01-01,BU002,Production,Storage
CLOUD000138,Azure,EC2,SUB-018,rg-137,2019-04-16,BU002,Production,Container
CLOUD000139,Azure,Virtual Machines,SUB-019,rg-138,2018-07-03,BU001,Production,Data Pipeline
CLOUD000140,Azure,Azure Kubernetes Service,SUB-020,rg-139,2025-03-07,BU003,Production,Data Pipeline
CLOUD000141,Azure,Azure SQL Database,SUB-021,rg-140,2020-03-19,BU002,Production,Container
CLOUD000142,Azure,Virtual Machines,SUB-022,rg-141,2024-09-26,BU009,Production,Data Pipeline
CLOUD000143,Azure,RDS,SUB-023,rg-142,2026-03-08,BU004,Production,VM
CLOUD000144,AWS,Azure SQL Database,SUB-024,rg-143,2021-12-22,BU002,Non-Production,Database
CLOUD000145,Azure,S3,SUB-025,rg-144,2024-01-02,BU002,Non-Production,Container
CLOUD000146,AWS,Virtual Machines,SUB-026,rg-145,2025-01-29,BU001,Production,Storage
CLOUD000147,AWS,EKS,SUB-027,rg-146,2021-05-02,BU001,Production,Database
CLOUD000148,Azure,Azure Data Factory,SUB-028,rg-147,2018-03-28,BU001,Production,Storage
CLOUD000149,Azure,EKS,SUB-029,rg-148,2021-01-10,BU003,Production,VM
CLOUD000150,Azure,S3,SUB-030,rg-149,2018-06-18,BU001,Non-Production,Data Pipeline
CLOUD000151,Azure,Azure SQL Database,SUB-031,rg-000,2021-05-17,BU002,Production,Data Pipeline
CLOUD000152,AWS,S3,SUB-032,rg-001,2019-09-19,BU002,Production,Storage
CLOUD000153,Azure,EKS,SUB-033,rg-002,2025-09-02,BU002,Non-Production,Data Pipeline
CLOUD000154,Azure,Azure Kubernetes Service,SUB-034,rg-003,2025-10-31,BU010,DR,Data Pipeline
CLOUD000155,Azure,Azure SQL Database,SUB-035,rg-004,2019-09-09,BU002,DR,Data Pipeline
CLOUD000156,Azure,Azure SQL Database,SUB-036,rg-005,2025-01-24,BU006,Production,Database
CLOUD000157,AWS,Azure SQL Database,SUB-037,rg-006,2024-03-12,BU007,Production,Database
CLOUD000158,Azure,EC2,SUB-038,rg-007,2024-10-12,BU002,Production,Storage
CLOUD000159,Azure,Azure Data Factory,SUB-039,rg-008,2019-12-28,BU009,Non-Production,Storage
CLOUD000160,Azure,EKS,SUB-040,rg-009,2025-10-16,BU002,Production,Database
CLOUD000161,Azure,S3,SUB-001,rg-010,2019-09-11,BU002,Production,Data Pipeline
CLOUD000162,Azure,Azure Data Factory,SUB-002,rg-011,2018-04-03,BU002,Non-Production,VM
CLOUD000163,Azure,Azure Data Factory,SUB-003,rg-012,2026-04-23,BU009,Production,Storage
CLOUD000164,AWS,Azure Data Factory,SUB-004,rg-013,2018-06-12,BU002,Non-Production,Database
CLOUD000165,Azure,S3,SUB-005,rg-014,2020-12-02,BU003,Non-Production,Container
CLOUD000166,Azure,EC2,SUB-006,rg-015,2019-12-13,BU002,Production,Data Pipeline
CLOUD000167,Azure,Virtual Machines,SUB-007,rg-016,2025-05-30,BU002,Production,Database
CLOUD000168,Azure,RDS,SUB-008,rg-017,2020-11-01,BU007,Production,Data Pipeline
CLOUD000169,AWS,Azure SQL Database,SUB-009,rg-018,2022-09-28,BU003,Production,Container
CLOUD000170,Azure,EC2,SUB-010,rg-019,2018-07-20,BU002,Non-Production,VM
CLOUD000171,Azure,Azure Kubernetes Service,SUB-011,rg-020,2023-09-23,BU002,Production,Storage
CLOUD000172,AWS,Azure Data Factory,SUB-012,rg-021,2018-10-24,BU002,DR,Container
CLOUD000173,Azure,Virtual Machines,SUB-013,rg-022,2019-12-21,BU002,Production,VM
CLOUD000174,AWS,Azure SQL Database,SUB-014,rg-023,2025-08-03,BU002,Production,Storage
CLOUD000175,Azure,Azure Data Factory,SUB-015,rg-024,2018-01-06,BU010,Non-Production,Data Pipeline
CLOUD000176,Azure,EKS,SUB-016,rg-025,2020-09-03,BU002,Production,Database
CLOUD000177,Azure,Azure SQL Database,SUB-017,rg-026,2024-12-11,BU002,Production,Database
CLOUD000178,AWS,Azure Data Factory,SUB-018,rg-027,2020-02-26,BU010,Production,Database
CLOUD000179,Azure,EC2,SUB-019,rg-028,2018-04-30,BU003,Production,Database
CLOUD000180,Azure,S3,SUB-020,rg-029,2019-12-23,BU002,Production,Container
CLOUD000181,Azure,Virtual Machines,SUB-021,rg-030,2021-01-02,BU002,Production,Container
CLOUD000182,Azure,EC2,SUB-022,rg-031,2024-06-02,BU002,Production,VM
CLOUD000183,Azure,Azure SQL Database,SUB-023,rg-032,2023-02-14,BU002,Non-Production,Storage
CLOUD000184,Azure,Virtual Machines,SUB-024,rg-033,2023-09-26,BU002,Production,Container
CLOUD000185,Azure,Azure Data Factory,SUB-025,rg-034,2018-05-09,BU004,Production,Container
CLOUD000186,Azure,EKS,SUB-026,rg-035,2018-05-26,BU009,Production,Data Pipeline
CLOUD000187,AWS,Virtual Machines,SUB-027,rg-036,2018-12-31,BU010,Production,VM
CLOUD000188,AWS,Azure Kubernetes Service,SUB-028,rg-037,2025-04-23,BU002,Non-Production,Storage
CLOUD000189,Azure,Azure Kubernetes Service,SUB-029,rg-038,2018-05-19,BU007,Production,VM
CLOUD000190,AWS,RDS,SUB-030,rg-039,2020-06-01,BU010,Non-Production,Container
CLOUD000191,Azure,RDS,SUB-031,rg-040,2024-04-24,BU001,Production,Database
CLOUD000192,Azure,Azure Data Factory,SUB-032,rg-041,2018-12-14,BU004,Production,Data Pipeline
CLOUD000193,Azure,Azure Data Factory,SUB-033,rg-042,2022-06-04,BU004,Production,Container
CLOUD000194,AWS,EC2,SUB-034,rg-043,2023-07-30,BU002,Non-Production,Database
CLOUD000195,Azure,Azure SQL Database,SUB-035,rg-044,2020-03-08,BU006,Production,Container
CLOUD000196,AWS,Azure Kubernetes Service,SUB-036,rg-045,2023-03-31,BU008,Non-Production,Data Pipeline
CLOUD000197,Azure,S3,SUB-037,rg-046,2026-04-28,BU005,Production,Database
CLOUD000198,AWS,Azure Kubernetes Service,SUB-038,rg-047,2023-01-01,BU004,Production,Container
CLOUD000199,Azure,S3,SUB-039,rg-048,2023-12-31,BU002,Production,Database
CLOUD000200,Azure,EKS,SUB-040,rg-049,2024-12-18,BU002,Non-Production,VM
CLOUD000201,Azure,EC2,SUB-001,rg-050,2019-12-06,BU009,Production,Database
CLOUD000202,AWS,Azure SQL Database,SUB-002,rg-051,2026-04-20,BU006,Non-Production,Storage
CLOUD000203,Azure,Azure Data Factory,SUB-003,rg-052,2021-04-21,BU001,Production,Container
CLOUD000204,AWS,Azure Kubernetes Service,SUB-004,rg-053,2025-04-21,BU005,Production,Data Pipeline
CLOUD000205,AWS,Azure SQL Database,SUB-005,rg-054,2023-09-05,BU003,Production,Container
CLOUD000206,Azure,Azure SQL Database,SUB-006,rg-055,2023-05-23,BU006,Production,Container
CLOUD000207,Azure,RDS,SUB-007,rg-056,2022-11-09,BU001,Non-Production,Storage
CLOUD000208,AWS,Azure Kubernetes Service,SUB-008,rg-057,2018-09-30,BU001,DR,Data Pipeline
CLOUD000209,Azure,Azure SQL Database,SUB-009,rg-058,2023-08-20,BU002,Production,Data Pipeline
CLOUD000210,Azure,RDS,SUB-010,rg-059,2024-11-20,BU002,Non-Production,Data Pipeline
CLOUD000211,AWS,Azure Data Factory,SUB-011,rg-060,2022-11-20,BU005,DR,Data Pipeline
CLOUD000212,Azure,Azure Data Factory,SUB-012,rg-061,2022-10-04,BU002,Production,Data Pipeline
CLOUD000213,AWS,EKS,SUB-013,rg-062,2018-07-28,BU002,Production,Data Pipeline
CLOUD000214,AWS,Virtual Machines,SUB-014,rg-063,2023-11-22,BU009,Production,Container
CLOUD000215,Azure,S3,SUB-015,rg-064,2021-09-27,BU001,Non-Production,Database
CLOUD000216,Azure,EKS,SUB-016,rg-065,2020-10-15,BU002,Non-Production,Data Pipeline
CLOUD000217,AWS,Azure Kubernetes Service,SUB-017,rg-066,2020-11-27,BU001,Non-Production,Database
CLOUD000218,AWS,Azure Data Factory,SUB-018,rg-067,2021-03-30,BU002,Production,Database
CLOUD000219,AWS,EC2,SUB-019,rg-068,2020-03-21,BU001,Non-Production,VM
CLOUD000220,AWS,Azure SQL Database,SUB-020,rg-069,2024-01-15,BU002,Production,Container
CLOUD000221,Azure,EC2,SUB-021,rg-070,2025-02-21,BU002,Production,Storage
CLOUD000222,Azure,Virtual Machines,SUB-022,rg-071,2020-04-05,BU002,Non-Production,Container
CLOUD000223,Azure,Azure Kubernetes Service,SUB-023,rg-072,2022-12-02,BU002,Production,Database
CLOUD000224,Azure,EC2,SUB-024,rg-073,2021-10-23,BU002,Production,Database
CLOUD000225,AWS,S3,SUB-025,rg-074,2025-03-25,BU006,Non-Production,Data Pipeline
CLOUD000226,AWS,RDS,SUB-026,rg-075,2024-07-13,BU001,Production,VM
CLOUD000227,AWS,Azure Data Factory,SUB-027,rg-076,2018-01-09,BU003,Production,Database
CLOUD000228,Azure,RDS,SUB-028,rg-077,2021-12-02,BU002,Non-Production,Container
CLOUD000229,AWS,EKS,SUB-029,rg-078,2020-01-07,BU007,Production,Storage
CLOUD000230,AWS,Azure Kubernetes Service,SUB-030,rg-079,2023-10-14,BU002,Production,Database
CLOUD000231,Azure,Virtual Machines,SUB-031,rg-080,2019-03-05,BU001,DR,Storage
CLOUD000232,AWS,RDS,SUB-032,rg-081,2024-09-01,BU009,Non-Production,Database
CLOUD000233,Azure,Azure Data Factory,SUB-033,rg-082,2021-10-22,BU003,Production,Container
CLOUD000234,Azure,EKS,SUB-034,rg-083,2024-01-19,BU002,Production,Data Pipeline
CLOUD000235,AWS,Azure Kubernetes Service,SUB-035,rg-084,2026-02-05,BU002,Non-Production,VM
CLOUD000236,Azure,RDS,SUB-036,rg-085,2025-11-11,BU002,Production,Database
CLOUD000237,AWS,RDS,SUB-037,rg-086,2026-04-29,BU009,Production,Database
CLOUD000238,AWS,RDS,SUB-038,rg-087,2024-07-20,BU002,DR,Storage
CLOUD000239,AWS,Azure Data Factory,SUB-039,rg-088,2019-10-15,BU002,Production,Container
CLOUD000240,Azure,EC2,SUB-040,rg-089,2019-08-17,BU001,Production,Database
CLOUD000241,AWS,RDS,SUB-001,rg-090,2025-09-03,BU002,Production,VM
CLOUD000242,Azure,EKS,SUB-002,rg-091,2025-07-14,BU002,Non-Production,Storage
CLOUD000243,AWS,Azure SQL Database,SUB-003,rg-092,2024-07-08,BU004,Production,Database
CLOUD000244,AWS,Azure Data Factory,SUB-004,rg-093,2021-05-03,BU002,Production,Storage
CLOUD000245,Azure,Azure Kubernetes Service,SUB-005,rg-094,2020-12-22,BU002,Non-Production,Database
CLOUD000246,Azure,Azure Kubernetes Service,SUB-006,rg-095,2018-01-02,BU006,Production,Database
CLOUD000247,Azure,Azure Kubernetes Service,SUB-007,rg-096,2025-12-11,BU001,Non-Production,Database
CLOUD000248,Azure,S3,SUB-008,rg-097,2023-01-23,BU001,Production,Data Pipeline
CLOUD000249,Azure,Azure SQL Database,SUB-009,rg-098,2025-05-25,BU001,Production,Storage
CLOUD000250,AWS,Azure Kubernetes Service,SUB-010,rg-099,2022-11-18,BU002,Production,VM
CLOUD000251,Azure,Azure Data Factory,SUB-011,rg-100,2020-09-10,BU002,Non-Production,Data Pipeline
CLOUD000252,Azure,S3,SUB-012,rg-101,2023-09-28,BU002,Production,Container
CLOUD000253,Azure,Azure SQL Database,SUB-013,rg-102,2022-12-20,BU002,Production,Data Pipeline
CLOUD000254,Azure,EC2,SUB-014,rg-103,2020-06-05,BU002,Production,Data Pipeline
CLOUD000255,Azure,EC2,SUB-015,rg-104,2022-02-20,BU006,DR,VM
CLOUD000256,AWS,EKS,SUB-016,rg-105,2025-04-08,BU006,Production,Storage
CLOUD000257,Azure,EC2,SUB-017,rg-106,2025-06-09,BU009,Production,Storage
CLOUD000258,Azure,RDS,SUB-018,rg-107,2025-06-09,BU009,Production,Container
CLOUD000259,AWS,Azure Data Factory,SUB-019,rg-108,2023-08-26,BU002,Non-Production,Container
CLOUD000260,Azure,EC2,SUB-020,rg-109,2022-10-05,BU002,Production,Container
CLOUD000261,AWS,EKS,SUB-021,rg-110,2023-12-26,BU001,Non-Production,VM
CLOUD000262,Azure,Azure Kubernetes Service,SUB-022,rg-111,2020-02-29,BU007,Production,Storage
CLOUD000263,Azure,Virtual Machines,SUB-023,rg-112,2020-07-06,BU002,Production,Container
CLOUD000264,Azure,EC2,SUB-024,rg-113,2025-02-10,BU001,Production,VM
CLOUD000265,Azure,Azure SQL Database,SUB-025,rg-114,2019-10-04,BU003,Production,Container
CLOUD000266,Azure,Azure SQL Database,SUB-026,rg-115,2019-07-01,BU007,Non-Production,Data Pipeline
CLOUD000267,Azure,Azure SQL Database,SUB-027,rg-116,2021-12-11,BU002,Production,Container
CLOUD000268,Azure,Azure Kubernetes Service,SUB-028,rg-117,2026-01-20,BU003,Production,VM
CLOUD000269,Azure,Azure Kubernetes Service,SUB-029,rg-118,2025-10-07,BU005,Non-Production,Database
CLOUD000270,AWS,RDS,SUB-030,rg-119,2019-06-27,BU002,Production,Data Pipeline
CLOUD000271,Azure,S3,SUB-031,rg-120,2019-10-17,BU003,Non-Production,Data Pipeline
CLOUD000272,Azure,Azure Data Factory,SUB-032,rg-121,2018-05-03,BU001,Production,Container
CLOUD000273,Azure,Virtual Machines,SUB-033,rg-122,2022-07-17,BU007,Production,Data Pipeline
CLOUD000274,Azure,EKS,SUB-034,rg-123,2021-08-03,BU005,DR,Database
CLOUD000275,Azure,Virtual Machines,SUB-035,rg-124,2024-05-10,BU007,Non-Production,Container
CLOUD000276,AWS,RDS,SUB-036,rg-125,2024-06-17,BU009,Non-Production,Storage
CLOUD000277,AWS,EC2,SUB-037,rg-126,2021-05-05,BU001,Non-Production,Database
CLOUD000278,AWS,EKS,SUB-038,rg-127,2025-10-03,BU006,Non-Production,Database
CLOUD000279,Azure,EC2,SUB-039,rg-128,2021-10-29,BU002,Non-Production,Container
CLOUD000280,Azure,Azure SQL Database,SUB-040,rg-129,2023-03-31,BU001,Production,Storage
CLOUD000281,AWS,EC2,SUB-001,rg-130,2023-07-17,BU002,Production,VM
CLOUD000282,Azure,EC2,SUB-002,rg-131,2019-03-17,BU002,Non-Production,Container
CLOUD000283,Azure,Virtual Machines,SUB-003,rg-132,2025-09-16,BU002,Production,VM
CLOUD000284,AWS,EC2,SUB-004,rg-133,2026-03-30,BU002,Production,VM
