Location_ID,Location_Name,Region_Code,Province,Office_Type
WST020,Western Canada 20,WST,Alberta,Regional Office
WST021,Western Canada 21,WST,Alberta,Regional Office
WST022,Western Canada 22,WST,Alberta,Regional Office
WST023,Western Canada 23,WST,Alberta,Regional Office
WST024,Western Canada 24,WST,Alberta,Regional Office
WST025,Western Canada 25,WST,Alberta,Regional Office
WST026,Western Canada 26,WST,Alberta,Regional Office
WST027,Western Canada 27,WST,Alberta,Regional Office
WST028,Western Canada 28,WST,Alberta,Regional Office
WST029,Western Canada 29,WST,Alberta,Regional Office
WST030,Western Canada 30,WST,Alberta,Regional Office
QUE001,Quebec 1,QUE,Quebec,Regional Office
QUE002,Quebec 2,QUE,Quebec,Regional Office
QUE003,Quebec 3,QUE,Quebec,Regional Office
QUE004,Quebec 4,QUE,Quebec,Regional Office
QUE005,Quebec 5,QUE,Quebec,Regional Office
QUE006,Quebec 6,QUE,Quebec,Regional Office
QUE007,Quebec 7,QUE,Quebec,Regional Office
QUE008,Quebec 8,QUE,Quebec,Regional Office
QUE009,Quebec 9,QUE,Quebec,Regional Office
QUE010,Quebec 10,QUE,Quebec,Regional Office
QUE011,Quebec 11,QUE,Quebec,Regional Office
QUE012,Quebec 12,QUE,Quebec,Regional Office
QUE013,Quebec 13,QUE,Quebec,Regional Office
QUE014,Quebec 14,QUE,Quebec,Regional Office
QUE015,Quebec 15,QUE,Quebec,Regional Office
QUE016,Quebec 16,QUE,Quebec,Regional Office
QUE017,Quebec 17,QUE,Quebec,Regional Office
QUE018,Quebec 18,QUE,Quebec,Regional Office
QUE019,Quebec 19,QUE,Quebec,Regional Office
QUE020,Quebec 20,QUE,Quebec,Regional Office
QUE021,Quebec 21,QUE,Quebec,Regional Office
QUE022,Quebec 22,QUE,Quebec,Regional Office
QUE023,Quebec 23,QUE,Quebec,Regional Office
QUE024,Quebec 24,QUE,Quebec,Regional Office
QUE025,Quebec 25,QUE,Quebec,Regional Office
ATL001,Atlantic Canada 1,ATL,Nova Scotia,Regional Office
ATL002,Atlantic Canada 2,ATL,Nova Scotia,Regional Office
ATL003,Atlantic Canada 3,ATL,Nova Scotia,Regional Office
ATL004,Atlantic Canada 4,ATL,Nova Scotia,Regional Office
ATL005,Atlantic Canada 5,ATL,Nova Scotia,Regional Office
ATL006,Atlantic Canada 6,ATL,Nova Scotia,Regional Office
ATL007,Atlantic Canada 7,ATL,Nova Scotia,Regional Office
ATL008,Atlantic Canada 8,ATL,Nova Scotia,Regional Office
ATL009,Atlantic Canada 9,ATL,Nova Scotia,Regional Office
ATL010,Atlantic Canada 10,ATL,Nova Scotia,Regional Office
ATL011,Atlantic Canada 11,ATL,Nova Scotia,Regional Office
ATL012,Atlantic Canada 12,ATL,Nova Scotia,Regional Office
ATL013,Atlantic Canada 13,ATL,Nova Scotia,Regional Office
ATL014,Atlantic Canada 14,ATL,Nova Scotia,Regional Office
ATL015,Atlantic Canada 15,ATL,Nova Scotia,Regional Office
DC1001,Primary Data Centre,DC1,Ontario,Data Centre
DC2001,Secondary Data Centre,DC2,Ontario,Data Centre
DR1001,Disaster Recovery Site,DR1,Quebec,DR Site
